Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,6,-2,4,7
2,5,-14,27,-1
3,9,3,-2,12
4,1,15,-4,1
5,-1,0,-1,6
6,6,2,10,6
7,17,-8,16,9
8,14,-2,-6,12
9,3,-2,15,2
10,14,4,10,4
11,1,26,-27,21
12,-9,31,-22,7
13,4,-4,15,7
14,6,10,0,8
15,0,2,6,5
16,7,11,-1,12
17,8,17,-6,14
18,3,19,-7,19
19,11,10,-1,12
20,7,9,1,8
21,24,-15,28,5
22,-7,32,-11,14
23,9,12,-5,10
24,0,43,-23,21
25,17,0,5,11
26,0,31,-10,18
27,13,10,-1,12
28,21,1,8,14
29,21,6,7,14
30,11,11,2,15
31,9,15,13,10
32,10,13,-3,16
33,23,3,12,14
34,6,25,-10,17
35,21,4,7,17
36,5,18,5,19
37,5,22,-13,22
38,21,-3,18,13
39,12,24,5,11
40,18,9,16,13
41,4,16,10,8
42,1,22,4,20
43,12,27,1,10
44,14,5,13,18
45,19,0,20,15
46,6,12,5,24
47,14,17,6,16
48,23,7,-1,18
49,22,6,4,34
50,19,0,31,12
51,24,-6,26,10
52,4,30,-10,25
53,14,17,2,27
54,9,13,9,12
55,15,8,24,19
56,9,7,27,17
57,14,2,28,12
58,9,14,12,24
59,16,8,11,22
60,9,30,-16,27
61,14,25,-11,26
62,15,20,0,24
63,12,26,0,27
64,10,23,-5,32
65,9,26,0,30
66,10,32,-16,33
67,13,17,3,25
68,15,0,43,19
69,6,23,9,29
70,13,17,-2,25
71,14,25,6,29
72,16,9,19,20
73,1,31,-9,33
74,7,15,5,32
75,12,20,14,26
76,3,35,7,30
77,22,7,23,19
78,-1,40,-2,30
79,22,16,7,29
80,3,42,-21,29
81,18,10,11,26
82,12,8,21,24
83,5,27,0,24
84,6,29,6,26
85,9,20,23,30
86,13,29,9,33
87,18,20,23,38
88,10,28,15,44
89,20,32,7,51
90,18,8,52,30
91,13,24,16,45
92,17,6,45,24
93,29,1,27,29
94,28,4,30,29
95,26,15,9,29
96,5,35,-2,39
97,15,14,21,34
98,21,17,15,33
99,15,14,17,36
100,14,17,20,35
101,14,11,22,35
102,12,15,25,33
103,14,37,-4,32
104,7,38,-1,40
105,13,29,4,44
106,17,10,18,32
107,10,39,-20,38
108,3,60,-31,40
109,22,10,11,30
110,16,3,26,29
111,11,33,7,30
112,7,22,11,38
113,11,32,-10,39
114,10,31,0,28
115,18,10,23,36
116,22,-2,40,21
117,19,12,8,31
118,7,32,1,35
119,17,22,29,29
120,22,3,31,26
121,11,32,14,26
122,4,43,-8,40
123,11,28,14,33
124,29,1,28,36
125,23,18,6,25
126,16,32,4,32
127,17,17,20,37
128,35,-14,52,16
129,21,8,29,29
130,18,6,28,21
131,20,11,6,35
132,5,34,3,39
133,9,28,11,34
134,11,40,-18,43
135,14,19,28,29
136,23,4,40,25
137,16,11,27,30
138,15,24,20,33
139,21,12,24,28
140,14,27,11,30
141,17,18,31,32
142,17,33,3,39
143,4,42,-12,41
144,1,49,-15,39
145,1,37,9,32
146,15,40,-10,45
147,15,33,8,35
148,10,23,17,31
149,9,28,5,31
150,19,12,11,37
151,8,27,8,36
152,22,15,11,35
153,25,10,9,39
154,17,22,9,41
155,4,36,-11,34
156,17,15,30,31
157,13,24,12,30
158,23,6,35,27
159,16,20,9,45
160,5,31,25,28
161,14,31,6,40
162,31,11,18,33
163,8,18,21,36
164,26,12,17,40
165,10,23,14,40
166,19,7,24,43
167,12,21,17,38
168,12,17,30,30
169,10,22,12,39
170,17,14,27,32
171,19,20,29,30
172,10,33,0,47
173,20,22,12,30
174,3,38,3,44
175,10,42,-17,49
176,0,40,4,30
177,8,31,10,40
178,7,28,32,35
179,18,16,23,41
180,31,7,30,41
181,6,34,15,40
182,11,32,19,39
183,14,47,-10,49
184,22,16,30,38
185,22,6,30,32
186,13,19,27,43
187,17,19,27,36
188,23,26,8,43
189,10,34,5,46
190,11,14,27,37
191,24,4,29,35
192,18,31,1,44
193,29,8,28,38
194,18,17,27,40
195,10,31,11,35
196,13,23,12,40
197,25,-3,37,32
198,7,36,26,37
199,16,16,27,35
200,12,38,15,48
201,25,8,31,44
202,20,29,-2,46
203,10,20,41,30
204,2,44,10,49
205,27,22,19,41
206,21,11,24,38
207,-2,42,13,38
208,23,21,25,39
209,14,28,13,38
210,29,8,29,43
211,4,44,9,51
212,33,7,25,44
213,18,22,18,48
214,16,28,16,49
215,19,10,37,45
216,14,25,21,42
217,7,39,13,41
218,18,14,42,45
219,24,18,21,51
220,29,18,25,48
221,25,10,28,44
222,16,41,2,52
223,18,35,0,49
224,9,29,23,44
225,19,18,31,45
226,22,24,31,42
227,8,35,29,37
228,15,33,26,47
229,28,20,38,41
230,29,7,56,34
231,17,35,19,49
232,10,36,21,48
233,18,38,23,50
234,11,37,15,47
235,29,18,35,46
236,17,31,21,53
237,25,26,35,48
238,28,16,36,57
239,26,15,45,46
240,23,30,23,63
241,8,38,4,54
242,30,14,32,55
243,10,38,29,54
244,24,17,47,41
245,35,11,51,56
246,25,32,35,54
247,13,33,47,45
248,34,18,46,55
249,22,34,24,58
250,25,14,46,52
251,31,31,25,62
252,28,32,32,60
253,20,35,18,59
254,30,20,47,53
255,40,19,50,62
256,36,24,37,60
257,32,25,53,60
258,26,42,34,65
259,13,48,19,63
260,31,42,24,70
261,48,4,58,66
262,37,24,55,61
263,43,45,49,75
264,50,39,62,88
265,53,48,53,96
266,61,22,74,84
267,61,57,62,120
268,78,55,79,135
269,67,70,74,128
270,68,44,79,119
271,65,64,77,134
272,66,79,72,151
273,91,62,78,175
274,69,66,72,144
275,88,60,81,173
276,75,67,76,162
277,84,62,81,155
278,78,38,91,144
279,67,64,77,144
280,74,67,64,146
281,66,68,53,146
282,69,71,59,129
283,79,52,83,141
284,78,58,77,153
285,72,54,84,139
286,69,48,93,127
287,89,45,85,130
288,69,50,75,121
289,68,37,73,120
290,66,45,80,102
291,56,30,83,97
292,44,54,53,90
293,56,37,76,84
294,60,17,79,85
295,29,68,39,82
296,52,37,51,79
297,40,57,23,86
298,33,48,38,85
299,26,44,33,77
300,37,30,55,62
301,38,27,49,70
302,37,36,56,69
303,36,43,47,66
304,42,24,60,65
305,54,24,58,69
306,34,36,59,67
307,50,22,45,77
308,44,29,54,68
309,36,32,48,65
310,50,23,41,69
311,29,45,36,75
312,32,42,34,59
313,27,24,42,54
314,26,40,24,54
315,18,33,23,62
316,33,30,40,49
317,38,13,67,42
318,20,25,41,56
319,23,33,41,52
320,32,17,33,53
321,22,22,47,47
322,22,35,27,57
323,24,34,32,55
324,29,28,26,60
325,38,14,46,47
326,42,-6,68,42
327,14,39,26,58
328,37,15,34,53
329,28,20,40,49
330,20,29,32,58
331,27,15,43,53
332,21,29,38,39
333,25,18,43,36
334,14,32,29,47
335,42,3,45,41
336,9,32,33,51
337,16,38,18,49
338,16,23,25,51
339,19,38,12,46
340,31,4,44,46
341,28,15,45,50
342,13,41,20,62
343,20,28,26,50
344,27,24,46,47
345,23,23,30,49
346,6,38,14,52
347,23,16,55,53
348,26,11,49,56
349,23,23,45,49
350,16,40,6,58
351,25,14,46,45
352,21,19,46,45
353,23,28,21,53
354,29,23,31,52
355,26,17,50,44
356,20,20,42,47
357,32,15,30,61
358,32,23,28,52
359,22,34,41,44
360,22,25,43,50
361,29,10,46,51
362,21,30,18,63
363,33,20,23,49
364,21,25,33,57
365,31,20,32,53
366,34,16,53,50
367,14,51,15,66
368,27,20,37,50
369,24,31,26,60
370,18,22,51,45
371,40,3,44,52
372,25,31,21,62
373,18,40,15,50
374,20,30,28,52
375,12,37,34,38
376,13,34,13,54
377,21,10,40,48
378,17,33,18,48
379,16,18,26,45
380,19,25,30,44
381,21,23,43,40
382,28,6,43,50
383,9,37,28,53
384,23,22,31,51
385,12,21,55,43
386,18,26,37,45
387,23,10,50,38
388,16,19,24,56
389,18,15,40,48
390,21,29,20,66
391,18,19,60,53
392,26,10,51,48
393,18,25,37,51
394,20,32,14,64
395,26,20,48,42
396,15,18,44,54
397,29,20,25,58
398,17,35,25,48
399,25,0,49,51
400,26,9,53,42
401,22,7,47,49
402,15,10,36,43
403,15,28,41,50
404,29,14,50,51
405,12,37,15,56
406,24,11,41,46
407,23,13,33,53
408,16,31,38,53
409,41,-7,64,47
410,41,-4,54,52
411,31,7,61,48
412,32,7,54,47
413,19,21,51,44
414,47,-23,87,40
415,37,-7,72,47
416,19,38,42,53
417,29,20,49,50
418,27,48,13,68
419,42,7,76,64
420,23,54,25,67
421,27,43,29,70
422,17,47,36,65
423,28,49,25,73
424,38,15,39,73
425,33,-5,70,52
426,16,19,41,49
427,5,39,17,62
428,31,17,26,51
429,20,13,44,46
430,11,34,18,51
431,22,21,33,55
432,17,25,39,54
433,27,24,37,46
434,20,20,39,51
435,19,26,37,49
436,19,27,39,59
437,16,13,48,49
438,13,20,33,57
439,16,32,23,52
440,27,3,40,55
441,23,0,72,47
442,24,-1,65,48
443,10,19,47,42
444,0,35,29,51
445,18,5,39,50
446,9,24,22,49
447,5,37,6,51
448,16,12,33,48
449,6,23,30,48
450,4,21,34,37
451,18,13,34,49
452,10,15,31,45
453,12,17,45,49
454,13,21,26,48
455,0,41,11,52
456,21,12,51,44
457,15,24,45,53
458,19,12,46,45
459,18,-3,50,49
460,7,14,44,47
461,23,8,58,38
462,26,5,56,45
463,8,36,27,51
464,20,26,37,52
465,15,9,48,48
466,4,30,38,58
467,12,32,34,56
468,6,31,26,53
469,18,8,62,45
470,16,18,55,43
471,20,1,54,47
472,11,16,42,50
473,9,18,36,47
474,21,-3,51,44
475,16,9,33,46
476,5,15,44,49
477,2,26,33,47
478,12,12,45,49
479,14,13,41,49
480,7,26,21,55
481,1,28,42,49
482,4,17,32,36
483,16,13,32,46
484,23,-7,62,37
485,17,0,53,39
486,4,14,32,51
487,4,33,25,45
488,20,12,26,48
489,21,-19,81,34
490,17,11,40,47
491,16,8,45,46
492,8,17,43,44
493,6,30,26,50
494,17,4,64,39
495,9,32,24,49
496,9,21,22,47
497,5,24,32,46
498,19,12,47,51
499,25,-12,58,36
500,23,12,35,57
501,15,11,28,45
502,9,0,58,40
503,1,19,38,46
504,29,-9,75,40
505,-3,45,23,47
506,22,-5,61,39
507,17,-11,57,45
508,15,14,42,42
509,4,23,37,38
510,19,-7,60,40
