Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,3,2,-1,6
2,1,1,1,5
3,4,-15,9,-4
4,3,0,1,2
5,-11,20,-19,1
6,4,-3,5,-1
7,3,1,-2,0
8,-6,-8,15,-8
9,7,-12,-2,0
10,0,-9,13,-5
11,-9,10,-12,11
12,-3,9,-9,1
13,0,-5,2,1
14,-7,3,0,-1
15,-2,7,-8,0
16,-7,13,-10,-1
17,-1,6,-9,9
18,0,-8,12,1
19,4,-13,11,-5
20,-2,3,-7,2
21,-2,13,-15,6
22,-1,5,-10,11
23,-2,6,-14,2
24,-3,5,-8,3
25,6,-13,8,0
26,8,-4,-16,5
27,-11,16,-6,0
28,0,10,-20,8
29,-4,10,-11,0
30,-5,0,2,-3
31,12,-13,11,0
32,-1,0,0,-4
33,9,-15,14,-2
34,-8,4,-13,4
35,15,-11,0,-1
36,3,-1,-3,1
37,4,-2,-8,8
38,-10,12,-13,0
39,2,-3,-2,5
40,0,0,-18,10
41,0,0,-14,1
42,0,-5,0,2
43,2,-3,8,2
44,2,1,-12,5
45,7,-12,16,1
46,0,2,-5,8
47,0,0,-6,-1
48,-6,13,-12,5
49,-11,7,4,0
50,1,-1,5,-3
51,-7,11,-8,4
52,-9,21,-20,0
53,0,11,-25,9
54,-10,9,0,4
55,-6,2,7,2
56,12,-20,18,-1
57,7,-15,14,-4
58,-1,0,7,0
59,2,-4,-1,0
60,4,2,-24,9
61,-13,23,-28,6
62,6,-1,-3,4
63,-2,5,-11,1
64,6,-8,-1,0
65,-3,7,-7,2
66,5,-4,-10,0
67,-9,6,-3,0
68,1,-8,7,-3
69,-1,4,-11,10
70,-2,20,-26,5
71,-1,-5,14,-11
72,-10,16,-8,6
73,4,-4,9,-3
74,-3,11,-8,6
75,3,-4,6,2
76,8,-3,5,-1
77,-3,19,-21,2
78,0,5,-5,-3
79,1,-4,8,-3
80,-10,11,-11,3
81,-2,2,-5,-4
82,-14,2,17,-6
83,0,8,-26,11
84,-3,-2,7,2
85,-9,6,-5,7
86,2,-2,4,-1
87,5,2,-17,1
88,-2,8,-11,10
89,-2,9,-22,12
90,0,-1,9,3
91,0,-10,20,-3
92,4,-15,22,1
93,10,-20,20,2
94,-5,2,1,6
95,-11,15,-13,1
96,-5,8,-19,11
97,-4,10,-15,10
98,-3,15,-20,8
99,11,-9,1,2
100,2,1,-10,8
101,0,-1,-6,7
102,4,-11,10,3
103,0,4,-5,4
104,-12,28,-15,10
105,1,6,-4,3
106,7,-15,12,3
107,-4,18,-26,5
108,-2,3,-15,6
109,2,-11,5,0
110,1,4,-9,7
111,-6,13,-22,13
112,2,-2,0,6
113,-2,18,-24,9
114,-12,20,-11,1
115,0,4,3,0
116,7,-12,6,7
117,-2,11,-14,7
118,4,0,-4,5
119,13,-19,16,6
120,3,4,-1,0
121,-12,18,-7,0
122,-4,23,-24,11
123,-1,2,-7,11
124,11,-17,13,2
125,-4,8,-10,1
126,2,-6,7,3
127,-1,2,-11,10
128,6,-8,1,2
129,0,-9,8,0
130,-1,-5,-4,5
131,0,-10,8,2
132,-4,11,-12,8
133,-2,10,-13,7
134,-11,14,-11,0
135,1,1,-10,8
136,8,-7,7,0
137,-1,6,-6,3
138,2,2,5,2
139,-4,16,-14,6
140,-7,20,-25,6
141,2,-11,15,1
142,4,-14,17,0
143,-5,5,-1,-1
144,-1,0,-1,4
145,-8,21,-28,15
146,-6,15,-19,12
147,4,2,-1,0
148,3,-15,19,-1
149,-3,8,-6,2
