Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-9,5,20,-3
2,20,-24,27,-8
3,-2,15,-17,6
4,0,5,-3,0
5,9,10,-19,4
6,-7,10,1,2
7,-4,6,-8,8
8,1,0,-2,2
9,2,0,-1,4
10,15,-22,18,0
11,-8,16,-23,5
12,-7,23,-34,11
13,6,-13,17,-4
14,3,11,-14,8
15,-4,15,-19,11
16,-1,6,-5,7
17,12,-10,12,-6
18,6,2,3,7
19,19,-24,10,-6
20,-2,6,-13,-6
21,0,-2,1,6
22,6,-9,-8,6
23,-8,16,-19,5
24,9,-1,-7,0
25,-2,3,-3,0
26,-6,6,-13,3
27,4,3,-11,6
28,5,-5,6,0
29,-4,10,-7,1
30,1,9,-13,6
31,2,2,-9,7
32,1,0,-9,0
33,1,-5,-2,2
34,7,-14,11,-1
35,0,-8,9,-2
36,-4,7,-9,-1
37,2,3,-15,-2
38,-1,21,-38,15
39,5,-5,2,0
40,0,12,-20,7
41,-5,22,-32,4
42,7,-7,4,0
43,7,4,-10,7
44,-2,1,9,-2
45,7,-10,15,0
46,-4,14,-14,4
47,-2,11,-25,14
48,-15,16,-26,7
49,-3,-10,11,2
50,7,-21,17,-5
51,5,0,-13,6
52,-8,25,-33,0
53,-6,6,-13,-1
54,6,-9,-2,2
55,2,-5,-11,9
56,-4,6,-14,7
57,3,8,-20,6
58,7,-12,7,4
59,6,0,-18,5
60,-4,14,-15,4
61,-1,-5,3,-9
62,4,1,-12,4
63,-4,5,-7,3
64,0,9,-25,4
65,-4,19,-16,1
66,-15,26,-23,5
67,-6,10,-17,7
68,1,-1,-2,3
69,6,-12,4,8
70,-11,12,-2,-6
71,0,-3,5,-5
72,1,-2,-5,0
73,7,-6,1,-4
74,-3,4,-12,0
75,6,-4,-2,1
76,-3,1,-6,4
77,-2,-8,1,-9
78,0,-4,-10,0
79,-3,5,-13,0
80,-9,19,-34,6
81,1,6,-7,-4
82,1,-12,12,-6
83,-5,9,-26,-3
84,4,-7,0,-6
85,-3,2,-7,4
86,-1,7,-21,5
87,-4,5,-11,-2
88,-1,1,-5,0
89,8,-5,3,0
90,-2,2,-3,-1
91,0,-10,5,-5
92,8,-20,15,-4
93,4,-19,6,0
94,2,-3,11,-1
95,-4,18,-28,0
96,2,-11,2,-10
97,6,0,-8,-2
98,7,-2,-9,-7
99,-1,0,-6,-4
100,-3,-6,1,-1
101,-5,3,3,0
102,-9,4,-3,0
103,-4,11,-17,-1
104,-3,-20,15,-2
105,0,-13,11,-5
106,0,5,-6,0
107,-3,15,-33,4
108,-10,21,-29,0
109,-3,0,-9,0
110,-5,15,-17,2
111,-3,12,-24,7
112,3,-10,-6,4
113,-10,14,-26,1
114,-8,6,-19,-2
115,-4,3,-5,-2
116,-6,-4,3,-2
117,-12,24,-26,-1
118,-10,-1,0,-3
119,8,-18,8,8
120,2,3,-8,7
121,-2,3,-11,2
122,-11,0,-1,2
123,-6,4,-2,-4
124,-3,5,-12,-1
125,-5,17,-31,6
126,-8,0,-8,2
127,-4,-3,3,-3
128,1,-13,7,-6
129,-8,3,-4,-2
130,-1,5,-12,-1
131,-5,16,-28,8
132,-6,2,-9,-2
133,-8,4,-7,-2
134,0,5,-27,2
135,2,-9,-4,-1
136,9,-10,-2,0
137,-1,7,-18,12
138,-3,-6,1,-6
139,-2,8,-25,12
140,1,17,-44,10
141,-9,6,-13,1
142,7,-11,-2,0
143,-2,15,-43,8
144,-1,3,-15,-1
145,-15,22,-24,5
146,-5,4,-15,-9
147,-10,15,-32,5
148,-3,-5,-15,-3
149,-16,6,-21,-3
150,-6,22,-40,11
151,-2,2,-19,3
152,1,-8,-12,3
153,0,5,-25,1
154,-10,7,-24,2
155,0,-3,-14,-4
156,0,-1,-18,-5
157,0,-6,-1,-4
158,-2,0,-1,-1
159,-1,-2,-9,-1
160,-3,1,0,-1
161,-5,7,-18,-1
162,1,6,-21,6
163,1,7,-14,-4
164,-5,11,-30,4
165,1,-4,-15,-2
166,-2,-4,-5,5
167,-5,-2,-7,-13
168,6,-19,4,-6
169,-4,15,-31,2
170,-13,5,-11,-11
171,-4,-1,0,-1
172,-8,5,-19,-6
173,-3,3,-32,3
174,-7,9,-13,-11
175,-6,6,-20,-3
176,-6,14,-30,-1
177,-2,7,-25,0
178,-2,-8,-7,-3
179,-10,7,-15,-2
180,5,-2,-19,3
181,-21,26,-31,0
182,-1,0,-29,3
183,-18,20,-34,1
184,5,-11,-4,-4
185,-4,-2,-5,-6
186,-11,6,-8,-7
187,-10,19,-18,-6
188,-10,15,-38,2
189,-17,11,-16,0
190,-3,0,-4,-5
191,-6,-9,-2,-9
192,-8,10,-26,-5
193,-4,-10,-9,-10
194,-2,-11,-1,-13
195,-12,24,-46,-4
196,-9,7,-27,2
197,6,-19,0,-9
198,-9,11,-24,1
199,-9,15,-42,-3
200,-12,13,-37,5
201,-3,-10,0,-8
202,-20,8,-7,-8
203,6,-18,-3,-1
204,-9,19,-27,-4
205,-12,14,-22,-7
206,-2,-5,-20,0
207,-11,13,-43,-1
208,0,0,-12,-5
209,-15,5,-15,-10
210,0,-13,-20,1
211,-5,1,-31,-4
212,-13,13,-21,-11
213,-7,0,-14,-9
214,-11,2,-28,-4
215,0,-10,-13,-5
216,-15,7,-19,-4
217,-14,15,-36,-2
218,0,-6,-4,-21
219,-14,6,-20,0
220,7,-17,-11,-10
221,-1,1,-20,3
222,-6,8,-22,-9
223,0,1,-23,-6
224,-1,-5,-24,-6
225,-11,9,-26,-9
226,-6,0,-10,-7
227,-13,7,-22,-6
228,-10,2,-22,0
229,-17,14,-25,-8
230,-5,-17,3,-12
231,-4,-8,-2,-19
232,-10,4,-19,-6
233,7,-41,26,-16
234,1,-2,-33,1
235,-6,-15,-7,-8
236,0,-10,2,-15
237,0,-3,-19,-4
238,-4,-1,-16,-8
239,0,-14,-3,-12
240,-7,1,-11,-9
241,-6,1,-19,-12
242,-7,-5,-11,-12
243,-13,3,-5,-19
244,-4,-10,-2,-12
245,3,-16,-14,-4
246,-2,-10,-5,-9
247,-3,1,-11,-7
248,0,-13,-5,-12
249,-5,-5,-11,-7
250,-9,-4,-4,-16
251,-4,4,-16,-3
252,-6,0,-14,-11
253,-6,-5,-9,-13
254,-9,1,-18,-2
255,-1,-2,-20,-3
256,-1,-5,-18,-5
257,-7,-2,-7,-2
258,-9,5,-16,-6
259,-2,-4,-22,0
260,-5,-3,-11,-4
261,1,-13,6,-6
262,5,-20,-7,-7
263,-10,11,-12,-10
264,0,-17,13,-13
265,-12,7,-11,-6
266,4,-25,15,-12
267,-14,3,-14,-5
268,-14,1,0,-9
269,0,-12,7,-5
270,0,-7,-9,-1
271,-1,-4,-2,-9
272,-4,7,-2,-8
273,1,-12,-6,-3
274,-3,-1,-9,-1
275,2,-6,-3,0
276,0,-12,-2,-1
277,-3,-12,12,-7
278,-8,12,-19,3
279,1,-1,8,-10
280,8,-4,1,-2
281,-5,1,5,-1
282,3,0,-9,7
283,1,1,-1,4
284,7,-14,10,-1
285,10,-7,4,9
286,5,1,2,3
287,6,11,1,4
288,17,-18,27,6
289,13,4,3,9
290,12,-2,16,16
291,16,-12,36,4
292,22,-2,4,15
293,18,-15,37,9
294,17,-14,30,11
295,16,-1,17,9
296,17,0,15,7
297,1,25,-25,16
298,-1,7,9,7
299,0,12,-11,12
300,13,-4,9,5
301,11,5,-2,9
302,14,5,0,12
303,12,-9,18,5
304,14,-13,17,-7
305,1,15,-14,9
306,0,9,-1,0
307,5,3,6,3
308,4,-4,9,2
309,0,24,-31,8
310,-3,10,-8,-1
311,5,-10,13,-6
312,3,1,5,-4
313,-2,1,10,0
314,2,7,-17,1
315,5,4,-6,-1
316,24,-14,6,-2
317,11,-7,12,7
318,2,-3,2,1
319,12,-18,27,-8
320,10,-24,20,-11
321,17,-17,13,3
322,6,-8,10,0
323,5,15,-16,10
324,0,9,-6,4
325,10,-7,6,0
326,14,-18,12,2
327,11,-10,-1,4
328,-3,13,-17,1
329,8,-12,16,-7
330,3,-14,16,-4
331,0,-6,4,7
332,-6,15,-30,7
333,-5,-3,-4,-5
334,-6,-3,-5,-8
335,1,-15,5,-9
336,-13,13,-9,0
337,-9,8,-17,-3
338,0,0,-20,-4
339,-7,12,-34,-3
340,-6,4,-32,5
341,-1,-5,-2,-7
342,-6,3,-18,0
343,5,-17,-9,-1
344,-11,16,-13,-9
345,-14,1,-13,-2
346,-7,-3,-16,-6
347,-9,-2,2,-5
348,-5,-4,-7,-7
349,5,-28,7,-8
350,-2,5,-23,-2
351,3,-20,8,-8
352,-5,6,-24,0
353,0,-14,4,-13
354,-2,0,-9,-4
355,0,-1,-13,-5
356,-3,-12,-3,-10
357,0,2,-20,-3
358,1,-2,-11,-7
359,0,-5,-10,-5
360,-13,1,-1,-4
361,0,-2,-11,-4
362,-11,32,-36,4
363,-1,-1,-10,0
364,1,-6,-4,-1
365,4,0,-16,-6
366,2,-1,-7,-6
367,2,-2,-3,-2
368,0,0,-15,-2
369,4,-16,4,-8
370,-4,7,-16,1
371,-4,-1,-4,-9
372,-1,-3,-5,-7
373,-3,10,-34,3
374,4,-8,-1,-14
375,-4,6,-3,-10
376,3,-3,-1,-10
377,-10,13,-20,6
