Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,10,-22,22,-4
2,-3,-9,15,-6
3,-1,-4,2,-4
4,-7,-1,7,-7
5,0,-5,-2,-7
6,13,-31,28,-11
7,-12,19,-15,11
8,-5,-6,21,-12
9,-6,-6,15,-9
10,9,-11,10,-5
11,-5,4,-10,4
12,2,0,-17,0
13,1,-17,14,0
14,0,2,-5,1
15,-3,0,2,-1
16,-4,2,-9,0
17,-2,-8,6,0
18,8,-21,22,-4
19,2,-19,23,-8
20,-15,14,-8,-5
21,4,-15,24,-8
22,0,-13,14,-4
23,-8,4,-8,0
24,2,-2,-2,-4
25,-6,4,-7,2
26,-6,15,-22,1
27,-9,4,1,-4
28,0,-4,8,0
29,8,-9,-5,-2
30,7,-9,6,-7
31,0,-4,6,-3
32,0,-3,7,-1
33,0,-15,17,-4
34,-7,13,-12,0
35,-6,13,-16,1
36,-5,-3,6,-6
37,-6,-2,-1,-4
38,2,-3,-8,0
39,0,12,-14,0
40,-7,7,-11,-7
41,7,-9,-5,0
42,-5,3,-8,5
43,-2,-6,14,-9
44,-5,2,4,-1
45,0,-20,31,-6
46,-6,-6,10,-2
47,-4,2,-4,-5
48,-1,-10,0,-3
49,-3,-16,27,-3
50,3,-12,11,-3
51,-1,-8,13,-6
52,-11,11,-5,-5
53,-8,5,-9,3
54,-5,-2,4,-3
55,0,-1,6,1
56,1,-1,10,0
57,7,-14,6,-2
58,-7,1,11,-4
59,-7,-3,1,0
60,-11,7,-13,0
61,3,-9,2,-4
62,4,-9,10,-2
63,1,-15,22,-12
64,-4,0,2,-1
65,-5,0,0,1
66,-6,-1,0,0
67,-7,1,4,-6
68,-1,-18,24,-4
69,4,-14,21,-8
70,4,-6,4,-3
71,-3,-9,18,-7
72,4,-22,33,-10
73,-3,-6,11,-4
74,0,-13,14,-10
75,2,-13,15,1
76,-4,-15,14,-9
77,-14,15,-3,-1
78,-4,3,2,3
79,7,-18,16,-8
80,-4,3,-12,2
81,-4,-8,13,-7
82,-3,0,7,-5
83,-13,12,-11,-6
84,2,-14,22,-4
85,1,-20,28,-5
86,-1,-4,5,-1
87,-2,0,-2,1
88,7,-20,34,-15
89,3,-22,22,-3
90,5,-15,24,-13
91,-6,-2,18,-7
92,0,-3,21,0
93,2,-7,17,-7
94,-2,-4,13,-6
95,4,-9,2,0
96,0,6,-4,-7
97,6,-5,8,-8
