Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,2,8,-4
2,-3,8,3,5
3,-5,15,-7,3
4,-1,0,-3,-4
5,-2,-2,2,0
6,-3,-1,12,-2
7,0,0,0,-4
8,6,2,-5,0
9,5,-7,7,-5
10,12,-20,21,-3
11,-6,18,-25,0
12,-8,22,-20,1
13,0,-11,18,-3
14,6,-12,3,-3
15,6,-14,13,-4
16,-6,8,-10,0
17,11,-16,26,-6
18,-2,-3,16,5
19,0,2,1,5
20,-1,20,-19,9
21,0,-4,15,-4
22,0,-2,3,0
23,7,-8,4,0
24,-2,18,-23,11
25,6,0,2,3
26,-1,5,-3,-5
27,-1,3,5,-2
28,1,1,9,-3
29,-3,18,-19,0
30,2,2,-5,3
31,0,16,-8,1
32,8,-9,6,5
33,7,-13,6,-1
34,2,2,4,-1
35,2,4,1,2
36,11,3,-10,11
37,9,-8,5,-3
38,1,8,-8,11
39,-3,13,2,4
40,-6,28,-31,19
41,-2,22,-20,3
42,3,-2,2,8
43,13,-19,28,-11
44,-1,7,1,12
45,5,-21,42,-5
46,0,0,3,6
47,0,10,-13,5
48,0,-3,2,0
49,11,-11,20,-4
50,-3,2,12,2
51,7,-5,-1,10
52,-8,14,-17,0
53,-7,5,-1,-3
54,0,2,3,-2
55,-2,0,3,0
56,-6,3,8,-3
57,0,9,-17,12
58,10,-17,15,-1
59,5,-7,1,3
60,-11,14,-3,-1
61,5,-12,13,-8
62,11,-6,0,3
63,-2,11,-8,2
64,-2,-3,8,0
65,8,-11,5,-6
66,-2,2,-3,1
67,4,-12,11,-10
68,0,2,2,-7
69,-1,-2,14,-7
70,4,-1,1,-1
71,6,-17,20,-3
72,2,3,5,-4
73,-6,0,15,1
74,9,-18,19,-6
75,7,0,-2,6
76,5,0,0,4
77,2,-10,12,-1
78,11,-21,27,-10
79,-2,16,-20,6
80,-8,5,-6,-1
81,-13,26,-19,4
82,-2,0,8,1
83,-1,6,-14,7
84,-6,0,15,-6
85,13,-20,17,0
86,11,-20,17,0
87,9,0,-6,-2
88,6,-16,11,-2
89,0,6,10,1
90,3,-6,17,-2
91,7,-19,26,-4
92,8,-15,27,-1
93,4,-17,26,-5
94,8,-14,18,-1
95,-3,11,-18,7
96,-8,0,1,-1
97,4,6,-8,1
98,-1,6,4,-2
99,-12,18,-5,9
100,7,-5,13,-3
101,-3,-4,20,-2
102,11,-13,4,3
