Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,-2,2,4
2,3,2,-3,13
3,4,1,-13,8
4,-9,23,-26,5
5,-5,9,-8,-6
6,4,-17,15,-4
7,4,-7,3,-3
8,-4,17,-21,8
9,10,-12,9,0
10,0,-14,32,-11
11,2,6,-10,-3
12,-7,18,-28,9
13,15,-15,9,-1
14,2,-8,0,5
15,2,-11,8,-3
16,9,-9,7,-6
17,4,-14,21,-1
18,-2,-8,19,-6
19,-2,5,3,-2
20,-7,19,-20,7
21,-3,7,-1,2
22,4,7,-14,0
23,0,-4,0,-3
24,-18,32,-33,4
25,-8,16,-18,7
26,-7,11,-13,1
27,0,6,-11,5
28,-1,9,-9,6
29,-7,14,-24,1
30,-1,0,-3,-2
31,-8,18,1,4
32,-3,-2,11,4
33,-4,1,0,3
34,-4,17,-20,8
35,11,-1,-6,2
36,-3,21,-27,3
37,0,10,-12,-2
38,1,2,0,0
39,2,3,-12,9
40,-9,21,-25,7
41,-7,8,-13,0
42,-1,2,-4,1
43,1,12,-10,2
44,4,6,-5,4
45,2,0,3,7
46,-9,25,-20,8
47,0,7,-16,2
48,-8,28,-32,10
49,5,2,1,5
50,-6,2,-2,3
51,-2,6,-4,8
52,-6,8,-6,-5
53,-1,5,2,-4
54,7,-21,29,-14
55,-4,13,-10,5
56,6,6,-8,8
57,3,-10,12,-7
58,-5,7,3,-5
59,-9,13,-14,1
60,-10,13,-1,-6
61,0,12,-27,0
62,5,1,-12,3
63,-7,6,-3,2
64,-4,7,-3,-1
65,0,9,-8,-2
66,-8,14,-14,3
67,2,9,-14,12
68,-2,2,-7,0
69,6,-13,13,-8
70,-3,13,-13,5
71,1,-2,4,0
72,6,-15,9,9
73,0,4,1,0
74,-1,3,-3,2
75,-2,-2,16,1
76,-1,10,-7,8
77,2,-3,3,1
78,-3,-1,11,-1
79,8,0,0,-1
80,2,-3,0,0
81,3,-2,-4,5
82,-6,14,-15,2
83,0,3,-3,-2
84,-11,8,7,0
85,-5,7,4,8
86,-2,0,4,1
87,1,-4,3,0
88,0,1,0,0
89,-2,0,13,-6
90,-3,8,4,-2
91,12,-11,13,1
92,0,0,4,11
93,4,-14,26,-6
94,1,-16,24,-4
95,-3,10,-26,3
96,0,5,-14,7
97,-3,10,-12,12
98,-3,13,-13,10
99,6,-12,0,3
100,0,-5,6,3
101,4,-6,13,-1
102,7,-9,17,1
103,-5,17,-15,1
104,-14,12,4,2
105,5,-10,11,5
106,-2,4,3,2
107,5,6,-10,-2
108,-1,0,1,-7
109,1,-10,18,-5
110,-6,9,7,0
111,-2,14,-10,6
112,6,-10,20,0
113,1,5,-17,4
114,-1,17,-26,4
115,9,-4,-5,4
116,8,-10,13,5
117,-6,24,-19,9
118,3,0,5,2
119,12,-9,14,1
120,0,4,5,2
121,0,8,-7,2
122,7,2,-13,9
123,-5,8,-8,10
124,5,-2,4,-1
125,-3,7,-14,9
126,2,-4,3,0
127,1,-4,10,3
128,5,-6,7,-6
129,1,1,-4,8
130,0,1,-3,1
131,2,5,-13,3
132,-5,3,4,0
133,0,-1,3,4
134,6,7,-19,13
135,0,4,-8,2
136,4,0,14,0
137,-4,3,-2,-5
138,4,10,-13,8
139,1,9,-12,2
140,-3,12,-16,7
141,2,15,-12,13
142,12,-14,14,4
143,-5,23,-23,6
144,-1,11,-17,7
145,0,-5,8,-1
146,-7,15,-13,0
147,12,-6,-1,3
148,-6,6,0,0
149,-13,17,-11,2
150,0,7,-9,6
151,11,-21,17,10
152,4,-15,18,3
153,5,-7,18,-2
154,-16,30,-23,10
155,4,1,-5,2
156,-1,15,-17,10
157,-3,6,-14,12
158,-2,0,-1,10
159,6,0,-4,9
160,2,0,-3,11
161,-8,12,-13,6
162,2,0,-5,5
163,6,3,-5,9
164,5,0,-2,7
165,3,-8,17,-4
166,-6,15,-18,17
167,-8,25,-26,8
168,11,-12,12,3
169,1,-1,4,0
170,-8,19,-17,14
171,-1,7,4,7
172,6,-11,17,-3
173,4,0,-6,4
174,0,15,-17,15
175,-1,1,-5,0
176,-9,17,-21,8
177,3,3,-3,6
178,8,-3,2,5
179,6,2,-7,17
180,-1,12,2,6
181,-14,38,-37,16
182,-3,12,-3,-4
183,0,17,-21,6
184,3,0,1,7
185,11,-9,11,0
186,3,7,-6,10
187,6,0,-6,8
188,5,-18,19,-2
189,-1,12,-14,8
190,2,-8,8,7
191,-3,9,5,2
192,5,-5,4,4
