Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-4,4,-5,4
2,-2,13,-16,3
3,-3,18,-26,14
4,-7,8,-20,14
5,-6,6,-9,3
6,-1,8,-20,5
7,5,-2,-3,0
8,2,-4,-2,0
9,-7,15,-21,1
10,8,-12,9,-2
11,0,2,-13,0
12,4,5,-12,4
13,3,9,-7,7
14,-1,10,-12,0
15,-3,8,-5,2
16,-10,20,-18,4
17,-7,14,-10,7
18,5,-3,-6,1
19,0,1,-1,-5
20,-11,21,-27,5
21,5,0,-2,7
22,5,0,-4,-1
23,4,-1,0,-1
24,1,-6,2,-11
25,5,-7,-5,5
26,-3,12,-13,1
27,2,0,-4,2
28,0,4,0,1
29,3,2,-15,5
30,-3,9,-7,0
31,-6,8,-9,7
32,1,1,-2,-1
33,4,1,-7,4
34,-2,22,-34,12
35,0,6,-10,5
36,6,-5,0,1
37,4,-12,10,0
38,-5,16,-16,3
39,4,-2,-9,6
40,0,6,-15,4
41,2,3,-21,8
42,-9,15,-15,5
43,11,-5,-8,3
44,3,-11,4,7
45,5,-11,9,0
46,0,13,-22,6
47,-3,9,-17,5
48,5,4,-12,-1
49,0,-8,20,-4
50,2,2,-12,4
51,6,-5,-4,6
52,-2,13,-27,7
53,-3,0,-10,5
54,1,-5,5,0
55,4,-4,7,-1
56,9,-6,2,5
57,0,8,-9,3
58,2,-3,7,6
59,-3,14,-21,3
60,0,14,-29,11
61,-3,9,-9,4
62,5,-5,3,-1
63,-2,7,-12,11
64,-9,16,-13,6
65,-3,7,-9,5
66,-4,1,0,1
67,6,0,-19,4
68,-3,12,-18,5
69,-2,14,-21,10
70,6,-13,6,0
71,-1,-4,14,-1
72,-6,13,-8,0
73,-7,13,-3,10
74,-1,11,-22,10
75,1,-4,3,4
76,5,-19,24,-6
77,-7,-2,8,0
78,-3,5,-4,8
79,2,-5,4,-2
80,-1,21,-36,13
81,-4,17,-16,4
82,-3,-6,12,0
83,-4,6,-18,1
84,0,-3,1,7
85,0,-4,16,-3
86,-5,7,0,-1
87,-4,2,-5,3
88,10,8,-37,14
89,0,9,-12,5
90,0,0,3,-9
91,3,-3,9,4
92,4,1,16,-4
93,1,0,2,7
94,5,-2,-1,8
95,0,12,-22,2
96,-7,16,-12,7
97,-7,14,-3,-5
98,-1,1,-6,10
99,-1,5,-1,-1
