Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,4,-8,7,8
2,-1,-16,38,-6
3,-8,9,-8,6
4,-9,14,-11,3
5,-2,9,-25,8
6,-9,9,-3,6
7,-4,-4,17,-4
8,-2,18,-22,11
9,5,-9,-6,3
10,8,-21,17,0
11,-5,8,-15,8
12,-4,17,-31,14
13,-10,8,-1,2
14,2,6,-13,11
15,-8,11,-10,4
16,-1,1,-9,16
17,-1,-9,14,1
18,4,0,-5,16
19,7,-19,9,3
20,-6,13,-21,5
21,6,-16,14,-5
22,1,0,-2,4
23,-1,-1,-5,4
24,0,-1,-14,3
25,-10,5,-6,5
26,-9,14,-15,12
27,7,-13,10,5
28,-7,5,5,-2
29,6,-2,-13,5
30,5,-7,-4,14
31,0,-7,13,2
32,5,-2,-4,15
33,0,4,-7,6
34,6,-9,-3,5
35,-3,5,-9,11
36,-1,9,-14,14
37,1,-2,-11,12
38,-12,22,-14,4
39,-2,-6,0,7
40,-1,9,-11,5
41,-9,10,-11,-3
42,-2,6,-12,9
43,0,4,0,5
44,-15,15,-11,8
45,10,-31,37,-9
46,-5,16,-19,10
47,-10,21,-34,11
48,0,-1,-16,14
49,-9,9,6,8
50,0,-13,16,0
51,-7,2,7,12
52,-5,1,-16,9
53,-8,21,-22,8
54,-6,-5,8,4
55,10,-30,20,2
56,3,-12,23,-3
57,-3,6,0,0
58,2,-8,8,3
59,-7,16,-19,6
60,-5,28,-32,2
61,-4,8,-5,0
62,2,4,-5,6
63,-2,2,-7,7
64,-3,3,-4,5
65,-2,3,-7,2
66,-3,13,-18,12
67,-5,0,3,9
68,-5,-1,-1,7
69,-9,2,10,-3
70,-3,1,-2,3
71,-3,0,-6,7
72,15,-27,27,-1
73,3,-13,11,2
74,-1,0,-6,9
75,1,-16,21,2
76,-1,-2,17,-1
77,3,0,-18,12
78,-7,9,3,0
79,-1,0,-5,5
80,-11,13,-22,15
81,-21,22,-16,1
82,-2,-8,8,-4
83,-12,17,-22,13
84,-1,-9,13,0
85,10,-14,14,0
86,7,-15,19,-1
87,-7,7,-11,7
88,-2,9,-12,10
89,9,-11,9,4
90,2,-10,28,0
91,-5,4,-4,11
92,-3,-3,23,-3
93,0,-11,14,1
94,10,-16,20,-4
95,-7,23,-42,16
96,-2,-3,0,-3
97,4,-10,8,1
98,1,2,-9,4
