Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-5,15,6,0
2,-3,-2,12,-1
3,-3,21,-23,8
4,-8,15,-23,6
5,0,7,-17,-1
6,10,-2,-2,10
7,0,-3,12,-7
8,4,7,-22,15
9,-2,6,-17,9
10,2,-14,15,0
11,3,13,-17,0
12,-4,8,-12,3
13,7,-21,18,6
14,-2,5,-10,-1
15,3,-2,6,0
16,0,7,-1,5
17,5,-13,15,-1
18,4,-11,16,-6
19,-1,8,-11,7
20,-9,20,-20,-1
21,6,-13,9,0
22,-4,10,-18,12
23,-3,11,-23,8
24,-5,9,-16,0
25,1,-10,2,0
26,-7,12,-4,-1
27,8,-10,2,2
28,-6,-3,12,0
29,-9,7,-20,11
30,0,0,-7,4
31,-9,2,6,-4
32,-1,-1,11,-2
33,0,-2,2,-1
34,-3,-3,-3,-5
35,-1,-1,-2,4
36,-4,1,5,-4
37,-9,13,-13,9
38,11,-15,13,-11
39,-5,2,-5,9
40,-19,25,-17,1
41,0,7,-7,-1
42,-7,11,-8,6
43,-2,-14,23,-4
44,1,4,-13,9
45,2,-10,19,-4
46,5,-11,16,-10
47,-8,16,-5,-3
48,-2,1,0,0
49,1,3,6,2
50,-19,18,-2,3
51,3,-9,15,2
52,-7,31,-27,3
53,-9,14,-9,3
54,-10,18,-23,12
55,2,-9,22,-3
56,7,-5,14,1
57,-2,10,-8,1
58,4,-22,33,-8
59,2,9,-9,3
60,-13,18,-13,4
61,-9,11,-12,7
62,6,-17,14,-7
63,5,-1,-6,7
64,3,3,-5,2
65,7,-8,-8,7
66,-5,-4,0,6
67,6,-9,15,4
68,0,-8,12,6
69,-6,1,10,-2
70,16,-22,14,0
71,0,8,1,3
72,2,-14,20,4
73,7,-20,27,0
74,0,5,-11,6
75,12,-10,16,6
76,-2,8,-4,5
77,2,15,-15,7
78,2,-2,3,0
79,-9,23,-19,7
80,3,9,-20,5
81,1,-2,-3,3
82,-1,0,10,4
83,0,6,-11,-5
84,-2,-1,11,0
85,7,-17,21,2
86,-1,1,6,0
87,-4,-5,6,-3
88,12,-20,21,0
89,-1,-6,15,0
90,2,-10,25,-3
91,-8,10,9,-3
92,-1,-5,18,3
93,5,-10,11,0
94,-9,3,13,4
95,-15,33,-34,15
96,0,7,-8,5
97,-7,13,2,-2
98,3,-9,13,0
99,0,2,-8,8
100,10,-19,25,2
101,0,-1,12,3
102,6,5,2,7
103,4,1,0,2
104,1,11,-13,5
105,6,-5,15,0
106,6,-14,23,-4
107,-4,24,-22,4
108,-7,8,-10,-1
109,7,-14,15,-7
110,13,-14,15,-7
111,-4,3,-3,7
112,4,2,5,4
113,-13,26,-25,13
114,-15,29,-19,3
115,0,12,-15,11
116,-10,17,-9,6
117,7,-6,-5,7
118,16,-29,23,-1
119,13,-27,47,-7
120,0,13,-9,9
121,-6,13,-9,8
122,-4,5,0,2
123,4,-6,12,7
124,3,7,-12,10
125,-2,3,-10,8
126,-6,8,-8,14
127,3,-7,4,2
128,7,-13,3,4
129,0,-3,17,-7
130,10,-9,-1,5
131,2,-3,0,0
132,-6,7,3,4
133,5,3,4,4
134,5,4,-7,7
135,-3,-3,11,-8
136,-5,-2,13,3
137,6,-17,17,3
138,3,-5,18,0
139,-1,-5,7,-2
140,2,16,-17,8
141,-2,5,-5,5
142,1,-13,25,-2
143,8,-23,23,-7
144,0,-13,9,2
145,3,3,-6,7
146,-9,15,-18,1
147,0,0,-2,12
148,4,3,0,11
149,-10,25,-23,12
150,10,-5,0,4
151,3,-4,7,6
152,2,-17,33,0
153,7,-5,14,0
154,-6,4,3,4
155,-6,10,-1,0
156,-2,0,20,-5
157,8,1,-6,8
158,5,2,0,0
159,1,5,7,3
160,3,-4,15,4
161,-10,25,-21,10
162,0,9,-9,14
163,-6,9,10,4
164,1,6,4,0
165,5,-9,9,7
166,5,-11,16,0
167,0,9,-1,7
168,5,-11,20,4
169,-1,8,-7,5
170,5,-2,10,-1
171,0,-3,11,-2
172,-9,14,-13,16
173,1,0,4,1
174,-4,17,-11,7
175,0,-1,6,-3
176,-2,6,-14,4
177,4,-6,-1,-3
178,1,-2,4,8
179,9,-16,25,-5
180,14,-25,28,2
181,3,-4,-1,3
182,-4,21,-22,5
183,-1,0,5,0
184,12,-18,19,-1
185,0,1,4,7
186,-1,-6,26,-9
187,13,-20,12,-2
188,-4,13,0,8
189,-9,2,16,-2
190,-1,0,12,3
191,5,-6,11,2
192,1,2,0,-1
193,0,8,-12,11
194,1,-4,15,3
195,-11,24,-14,5
196,7,-1,-3,3
197,2,-5,8,2
198,11,-22,16,1
199,4,6,-12,6
200,0,0,1,0
201,9,-10,8,1
202,7,-21,26,-4
203,-2,-5,16,0
204,-5,14,-7,4
205,6,-8,12,3
206,-4,5,3,-5
207,-4,15,-22,5
208,2,-13,20,0
209,6,-1,-5,2
210,11,-17,30,-8
211,-3,0,2,0
212,-3,4,5,1
213,-5,2,5,11
214,-4,2,1,0
215,4,-17,18,-7
216,1,-7,13,-5
217,3,-2,8,-10
218,9,-9,14,1
219,3,-10,7,6
220,8,-17,18,-7
221,0,-3,13,6
222,3,-11,10,-1
223,-3,19,-24,2
224,-1,-12,6,5
225,1,-11,12,6
