Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,1,-1,6
2,7,-12,16,-2
3,0,-2,-1,0
4,-8,7,4,-4
5,-6,9,0,-5
6,0,3,5,-3
7,-2,-9,13,-6
8,5,-7,11,-8
9,-8,19,-12,5
10,2,-7,15,-3
11,-6,7,-1,-6
12,-4,12,-8,4
13,-6,-1,16,-2
14,2,1,-4,1
15,-1,9,-6,1
16,0,4,3,-2
17,4,-14,18,-5
18,-3,-2,17,1
19,-13,17,-14,12
20,-3,3,7,-6
21,-3,2,12,-9
22,-6,3,3,-6
23,-5,-10,11,-2
24,-4,10,-16,4
25,-3,5,-1,0
26,-2,21,-34,11
27,1,0,3,-8
28,-3,4,4,0
29,-2,-1,3,-6
30,8,-4,0,-7
31,0,0,13,-3
32,1,4,13,-7
33,4,-14,26,-5
34,-2,9,-16,2
35,-6,4,-1,-2
36,3,-12,20,-5
37,-3,-4,14,-3
38,2,-11,7,2
39,0,8,0,0
40,-7,10,-4,0
41,-10,30,-28,-1
42,-13,18,-4,-4
43,-6,0,8,0
44,6,-10,18,2
45,0,-4,26,-4
46,5,-8,8,3
47,3,6,-4,-3
48,4,12,-16,5
49,11,-29,46,-9
50,-7,8,1,8
51,10,-14,18,-4
52,-19,31,-20,6
53,-3,5,1,-4
54,0,-3,11,-6
55,0,-11,26,-4
56,9,-24,36,-11
57,-2,0,-3,8
58,-3,-2,15,-2
59,-11,7,5,-3
60,5,4,-19,9
61,-4,5,0,-2
62,0,0,4,-5
63,1,-7,7,2
64,-4,10,-17,7
65,-11,18,0,-5
66,-7,-4,5,0
67,-2,0,13,-4
68,10,-16,20,-9
69,9,-5,7,3
70,2,-2,4,1
71,-1,3,-2,5
72,-12,22,-6,2
73,6,-21,42,-5
74,-5,0,9,-9
75,6,-20,30,-2
76,7,-7,4,5
77,3,-2,3,0
78,2,-17,20,-4
79,-4,-11,21,-8
80,3,2,-11,2
81,9,-14,5,1
82,3,-4,16,-4
83,-3,3,1,-2
84,-4,0,16,-6
85,-2,-4,13,2
86,2,2,3,4
87,-1,10,-3,8
88,6,-6,16,-4
89,0,-4,15,-2
90,9,-32,50,-6
91,7,-15,21,-5
92,10,-22,35,-10
93,14,-20,28,-4
94,4,-16,17,-2
95,2,5,-8,1
96,-2,11,-13,1
97,-4,-12,18,-3
98,-2,8,1,-1
99,6,-22,26,-2
100,-1,-9,22,-4
101,-1,2,13,0
102,2,-24,48,-19
103,0,12,-13,4
104,3,-7,16,2
105,5,-7,27,-4
106,-2,-1,10,0
107,-4,6,-10,1
108,3,-1,-1,-3
109,6,-13,17,0
110,2,2,4,1
111,-7,16,-25,12
112,0,-18,39,-8
113,-14,30,-31,12
114,4,-3,5,-2
115,0,10,-8,7
116,4,-1,9,6
117,2,-10,35,-9
118,-6,2,3,4
119,5,-22,47,-3
120,1,-12,27,-5
121,0,-9,5,4
122,6,-17,23,-6
123,0,-8,24,-9
124,-3,6,4,7
125,0,-7,5,-4
126,12,-23,15,0
127,4,-7,8,0
128,0,-4,16,1
129,0,-7,10,0
130,4,-13,17,-5
131,2,-4,9,-3
132,2,-5,9,0
133,-3,1,8,4
134,-7,7,-8,4
135,-8,14,-12,7
136,5,-17,26,-3
137,4,-14,24,-1
138,6,-23,31,-8
139,-7,3,14,-6
140,2,-3,1,-3
141,6,-5,11,-11
142,0,-10,23,-5
143,0,0,0,5
144,-3,-6,4,-3
145,-3,10,-9,11
146,-3,4,10,-6
147,4,0,0,2
148,1,-19,31,-9
149,7,-6,-1,4
150,-2,3,0,4
151,1,-11,15,-3
152,5,-13,21,4
153,15,-31,32,-5
154,-2,-3,8,1
155,5,-12,16,-1
156,0,-7,18,-4
157,-1,-6,15,-3
158,10,-9,10,7
159,3,-5,14,8
160,0,-10,20,-7
161,-6,9,-9,12
162,-11,8,5,-2
163,-8,8,1,6
164,0,-10,22,-4
165,0,-13,20,-6
166,8,-26,21,-5
167,0,4,7,1
168,0,-31,36,0
169,-1,-10,13,0
170,1,0,3,5
171,1,-19,38,-13
172,-3,3,-2,3
173,0,-2,7,-3
174,4,-9,9,3
175,-5,14,-13,9
176,-4,20,-23,2
177,0,-7,10,2
178,5,-12,22,-9
179,5,-10,14,-1
180,-2,-9,31,-12
181,-7,2,18,-8
182,-7,6,4,-7
183,0,-5,8,1
184,3,-12,24,-5
185,-6,0,11,1
186,-12,6,10,3
187,-6,-3,0,7
188,-3,1,-3,7
189,-2,-3,3,0
190,5,-19,26,0
191,3,-17,25,0
192,0,-9,13,-5
193,2,-9,18,-2
194,12,-30,46,-13
195,-8,19,-28,14
196,3,-17,28,-4
197,-10,20,-15,7
198,5,-13,26,-4
199,-8,6,4,2
200,1,-3,4,-3
201,6,-5,15,1
202,1,-5,15,1
203,2,-4,13,0
204,0,-10,15,2
205,0,3,0,0
206,-6,1,1,5
207,0,2,-7,0
208,4,-18,13,-5
209,-2,-4,6,3
210,-10,2,8,1
211,-4,0,1,-1
212,1,-18,22,3
213,-2,0,11,0
214,3,-3,10,-3
215,6,-15,37,-8
216,-1,-7,21,-5
217,4,-5,5,-2
218,-1,-10,20,-5
219,5,-17,20,-7
220,0,-5,18,-4
221,0,-4,14,6
222,-1,-8,17,-4
223,-2,0,3,-8
224,0,-8,9,-2
225,-1,-6,22,-4
226,2,-15,26,-2
227,-7,8,-2,-3
228,0,-2,7,3
229,-13,15,6,1
230,-3,-2,12,2
231,-7,7,13,-3
232,-4,-3,31,-13
233,2,-12,23,1
234,-3,-8,17,-10
235,11,-26,39,-12
236,-3,-14,36,-14
237,9,-17,27,-5
238,-9,10,2,7
239,3,-16,34,-11
240,2,-10,11,0
241,-5,0,6,-3
242,0,0,8,1
243,-9,11,12,0
244,9,0,4,-1
245,6,-11,18,-1
246,8,-23,26,-6
247,6,-12,14,0
248,5,-19,34,-9
249,-7,-2,8,3
250,-4,7,2,-1
251,1,-12,22,-5
252,-10,7,0,1
253,-8,14,-12,8
254,0,-10,26,-8
255,14,-12,9,-4
256,8,-14,25,-10
257,0,-4,21,-7
258,7,-16,22,-3
259,-4,2,8,-4
260,0,-7,15,0
261,6,-11,25,-1
262,-1,-8,22,1
263,4,-10,25,0
264,8,-10,15,3
265,14,-27,38,-3
266,8,-9,19,8
267,7,-20,28,0
268,11,-24,29,-1
269,15,-25,30,2
270,4,-1,18,0
271,0,-14,36,-5
272,10,-16,29,-3
273,5,-5,23,1
274,4,1,-2,5
275,7,-10,29,-2
276,5,-6,20,-3
277,7,-12,14,2
278,16,-29,46,-8
279,10,-20,26,2
280,0,-4,19,2
281,8,-5,8,4
282,-2,3,-1,9
283,11,-30,51,-3
284,13,-24,39,-9
285,11,-26,41,-2
286,8,-16,16,4
287,12,-37,54,-15
288,5,-9,15,-1
289,-1,4,9,0
290,5,-19,40,-2
291,0,5,9,2
292,0,0,18,0
293,4,-8,33,-6
294,17,-30,46,-10
295,11,-13,24,-3
296,2,-13,32,-8
297,1,-3,3,6
298,-18,24,-8,-2
299,6,-7,11,-3
300,-1,2,9,4
301,-2,6,12,3
302,5,-16,12,7
303,5,-25,46,-8
304,4,-5,13,0
305,7,-18,29,-4
306,-3,2,19,3
307,1,-13,36,-6
308,4,-17,42,-7
309,-4,0,8,5
310,3,10,0,-1
311,11,-34,52,-4
312,-2,6,6,2
313,1,-11,30,-3
314,-2,-4,22,-1
315,0,0,13,2
316,-1,-6,14,5
317,13,-24,35,6
318,-1,-5,21,-1
319,6,-4,21,-5
320,0,0,11,6
321,-11,16,-3,7
322,-1,0,6,-3
323,0,1,4,1
324,7,-24,41,-5
325,6,-14,36,-5
326,8,-26,46,-7
327,8,-7,22,-8
328,2,7,-1,0
329,-1,2,12,-1
330,-4,7,7,5
331,4,-8,23,0
332,-7,3,8,-1
333,7,-15,20,-5
334,-1,-2,22,-5
335,6,-14,25,-5
336,14,-22,28,-3
337,0,11,-12,6
338,4,-6,9,6
339,7,-7,9,0
340,-4,6,-1,1
341,7,-15,32,-5
342,-1,-6,11,5
343,-9,-1,17,-10
344,-3,-5,28,-7
345,3,-14,29,-6
346,7,-14,18,2
347,-9,-5,34,-4
348,-4,-10,26,-1
349,9,-17,39,-8
350,0,8,-11,6
351,4,-19,29,-6
