Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,2,-21,22,-4
2,8,-19,27,-4
3,0,7,-15,9
4,-6,7,-14,0
5,1,1,-10,-8
6,4,4,-9,6
7,1,8,-11,6
8,-4,9,-5,-3
9,4,-7,0,-2
10,5,-13,15,0
11,0,3,-3,1
12,4,-5,-9,1
13,19,-30,17,1
14,7,-7,2,-3
15,0,2,1,-4
16,7,-11,11,0
17,15,-29,22,-3
18,4,-1,3,1
19,-5,6,-7,5
20,-5,0,-3,-2
21,13,-24,23,-9
22,0,6,-13,-1
23,1,6,-9,-2
24,1,3,-2,2
25,-3,3,0,0
26,-1,21,-37,14
27,1,7,-15,11
28,1,-5,7,0
29,2,0,-7,0
30,-12,17,-6,-3
31,-10,10,0,3
32,-4,12,-13,7
33,11,-28,24,-3
34,8,-9,1,-3
35,-3,0,2,-8
36,4,-1,4,-1
37,0,8,-17,10
38,-2,4,-3,-5
39,-2,0,-6,6
40,-3,4,-11,5
41,3,-1,-7,3
42,-2,2,0,2
43,1,6,9,-5
44,-3,18,-14,6
45,-4,-10,32,-1
46,-3,-2,0,1
47,-1,3,-12,3
48,-2,-1,7,-8
49,6,-21,23,-2
50,-3,7,3,-1
51,4,1,-5,8
52,1,13,-25,2
53,-6,6,3,-8
54,12,-23,23,0
55,4,-8,19,-1
56,16,-25,25,0
57,5,-2,-1,1
58,2,-6,20,-6
59,1,-3,6,-13
60,0,9,-16,6
61,7,0,-9,8
62,5,-20,15,1
63,-5,6,-10,13
64,7,-9,3,1
65,5,1,-4,6
66,1,4,-9,1
67,-3,13,-3,7
68,1,-9,15,-1
69,11,-10,10,5
70,8,-7,13,-1
71,1,-5,1,3
72,14,-9,8,-5
73,9,-28,28,-4
74,9,-9,12,0
75,3,-20,33,-7
76,-2,4,12,0
77,6,-7,2,2
78,5,-12,16,-3
79,2,-5,9,1
80,-11,20,-24,11
81,6,-8,3,0
82,11,-15,19,-11
83,-5,10,-8,0
84,9,-22,30,0
85,6,-15,20,0
86,8,-3,-5,7
87,-2,0,-1,-1
88,7,-9,10,-4
89,5,-9,18,0
90,12,-21,25,-3
91,0,0,-3,14
92,12,-34,42,0
93,2,-10,17,1
94,12,-16,20,2
95,-10,28,-35,8
96,-4,6,-18,10
97,8,-2,-6,4
98,3,2,-8,10
99,3,0,7,0
100,6,-12,15,0
101,-2,1,5,4
102,7,-20,31,-1
103,-2,14,-20,5
104,-5,7,-3,11
105,5,-19,25,0
106,5,-4,19,-3
107,0,7,-5,7
108,1,1,-2,2
109,1,-12,15,2
110,2,0,-6,9
111,-2,11,-16,6
112,7,-6,13,0
113,-11,11,-9,-1
114,-8,24,-23,5
115,2,4,-5,2
116,10,-25,40,-14
117,0,0,1,4
118,-1,0,0,9
119,2,-14,25,4
120,3,-5,10,3
121,-6,9,-8,8
122,2,3,-8,8
123,-4,9,-5,3
124,3,-9,14,3
125,1,-8,8,-5
126,3,-3,9,-2
127,1,-7,7,6
128,5,1,14,-4
129,0,-6,12,2
130,6,-3,-8,8
131,0,-2,0,7
132,0,-8,14,-2
133,6,6,1,5
134,-4,7,-2,-1
135,1,-8,10,-2
136,-2,5,0,8
137,0,8,-7,7
138,-3,6,2,0
139,6,-5,-2,1
140,-6,7,-7,0
141,7,-5,1,10
142,10,-12,18,0
143,9,-3,4,3
144,5,-6,6,3
145,5,0,3,3
146,-2,7,-3,7
147,9,-12,9,-4
148,4,-7,24,-7
149,-2,-9,8,-6
150,-1,-3,9,-8
151,3,-7,9,3
152,-2,-4,16,8
153,-1,-8,23,-3
154,0,-11,13,-1
155,5,-8,0,3
156,0,3,-4,7
157,6,2,-6,0
158,-2,10,-6,8
159,6,-15,29,-5
160,2,-11,22,4
161,-5,4,4,0
162,4,-9,18,-5
163,2,-12,30,1
164,0,-13,31,-6
165,13,-19,30,-2
166,9,-13,18,1
167,10,-7,3,8
168,7,-14,22,-1
169,-1,13,-17,7
170,6,-1,-2,7
171,12,-19,31,-6
172,3,-3,3,4
173,-6,10,-7,2
174,8,-7,10,10
175,-1,15,-12,5
176,-5,9,-21,8
177,-8,0,7,0
178,10,-8,7,2
179,4,-8,13,0
180,18,-34,41,-6
181,10,-8,0,0
182,-4,16,-4,4
183,6,-9,2,-3
184,0,-9,24,-5
185,0,-1,15,-2
186,7,-22,18,-7
187,0,1,-4,11
188,1,-5,11,0
