Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,4,-5,10,0
2,0,-3,25,-4
3,1,7,-3,-7
4,-3,-8,13,-6
5,-2,9,-5,-1
6,1,0,11,-6
7,-2,6,2,0
8,-7,16,-10,7
9,-2,5,1,3
10,0,-4,13,-3
11,7,-9,4,-1
12,0,4,-7,0
13,5,-18,29,-7
14,0,-1,12,-7
15,-9,8,3,-5
16,2,-12,4,0
17,2,-4,22,-4
18,2,-15,31,-8
19,4,-1,1,1
20,-1,8,-15,1
21,6,-12,30,-12
22,0,4,4,-1
23,-8,4,5,-2
24,3,0,-6,-2
25,-2,13,-11,9
26,-2,11,-5,-1
27,-4,10,-11,10
28,0,-6,14,-5
29,-6,13,-14,6
30,4,-3,7,-3
31,10,-3,8,0
32,-3,4,1,6
33,0,0,17,-5
34,-2,13,-3,3
35,5,-8,5,0
36,-12,8,-2,0
37,-3,1,0,0
38,-11,3,6,-5
39,10,-8,3,-4
40,7,-10,1,-6
41,-1,0,-5,1
42,-8,5,0,-2
43,5,-18,20,-3
44,0,-13,20,-3
45,15,-40,58,-23
46,2,-4,0,3
47,6,-11,7,-1
48,-2,4,-3,-3
49,4,-6,12,0
50,0,-5,19,-7
51,4,-19,28,-8
52,-5,19,-17,7
53,-1,-2,-2,6
54,-4,-4,12,4
55,3,-13,24,-9
56,0,-9,41,-13
57,3,-2,11,-4
58,9,-25,32,-4
59,3,4,0,-1
60,-10,17,-13,1
61,-7,15,-14,7
62,-4,-4,7,0
63,9,-20,22,-2
64,5,-9,4,1
65,1,1,-3,4
66,5,-18,19,0
67,-7,12,-7,5
68,-11,-7,25,-8
69,5,-22,29,-3
70,0,4,0,5
71,3,5,-3,6
72,10,-16,24,-4
73,0,-9,13,-2
74,3,-6,-2,3
75,7,-17,26,-2
76,1,-10,19,-1
77,12,-30,35,-5
78,10,-23,34,-11
79,0,0,2,-1
80,-6,16,-23,2
81,-6,-5,13,-3
82,2,-1,16,0
83,-8,18,-17,0
84,3,-5,19,-8
85,10,-18,22,-3
86,1,-4,16,-11
87,1,10,-9,-4
88,1,4,1,5
89,12,-20,23,-4
90,4,-8,25,0
91,-1,2,8,4
92,12,-17,25,3
93,13,-25,41,-9
94,15,-16,19,4
95,8,-3,-6,2
96,-4,-2,12,-3
97,9,-2,3,4
98,9,-17,25,-10
99,4,-1,9,-1
100,10,-18,24,-3
101,3,-12,26,-7
102,0,-11,14,2
103,3,-6,14,-1
104,5,-7,12,6
105,15,-22,31,-3
106,3,-21,42,-12
107,5,0,13,-6
108,-3,12,-11,4
109,-7,9,7,0
110,-9,3,8,0
111,-4,5,0,6
112,2,-15,37,-2
113,-1,21,-38,9
114,0,-1,13,-8
115,-1,4,0,-2
116,15,-20,33,-3
117,-1,-1,17,0
118,4,-16,23,0
119,9,-21,47,-8
120,-5,-5,13,11
121,9,-4,3,0
122,2,-4,14,-3
123,0,0,6,0
124,10,-16,29,-3
125,-6,12,-2,6
126,2,-5,13,3
127,6,-18,30,-3
128,8,-13,21,0
129,8,0,-4,12
130,10,-22,19,-7
131,0,-2,7,-3
132,0,0,13,-4
133,10,-14,21,2
134,2,-4,-3,5
135,0,5,2,2
136,-4,7,1,7
137,7,-23,34,-3
138,16,-15,15,2
139,3,4,-2,7
140,1,4,2,0
141,10,-19,30,-3
142,16,-27,29,-2
143,-2,6,4,3
144,-1,3,-2,4
145,6,-8,10,3
146,8,-19,21,-12
147,1,0,9,4
148,-2,-7,15,5
149,6,-5,6,-3
150,6,-6,13,-5
151,5,-11,32,-13
152,1,-8,10,9
153,8,-16,16,3
154,2,0,3,-4
155,4,-4,9,2
156,-4,0,14,3
157,8,0,4,1
158,10,-22,25,-7
159,3,-7,15,-1
160,6,-13,27,-4
161,-5,3,12,-4
162,8,-18,23,4
163,15,-13,20,2
164,5,-5,14,5
165,-5,2,17,1
166,0,-14,28,-3
167,2,-2,8,2
168,-1,-8,12,5
169,-2,5,-5,7
170,-3,-7,16,-4
171,0,-3,17,6
172,-2,6,5,-3
173,3,-6,4,0
174,1,9,-7,6
175,-8,1,9,-2
176,1,6,-3,-3
177,-2,7,-5,2
178,9,-21,26,-1
179,1,-14,29,-3
180,-2,-5,20,4
181,2,-12,19,-5
182,0,6,-9,7
183,1,8,-6,4
184,7,-17,32,-1
185,10,-9,20,1
186,-1,3,13,2
187,0,-5,22,-12
188,9,-10,10,1
189,-3,-6,27,-12
190,2,-7,16,4
191,2,-2,12,-4
192,9,-7,17,0
193,6,-11,30,-7
194,14,-30,42,-6
195,2,-1,0,-5
196,1,-3,17,-4
197,2,-6,19,1
198,6,-13,22,-4
199,-4,0,2,4
200,4,-7,11,1
201,10,-17,19,0
202,9,-7,14,9
203,7,-11,25,-4
204,7,-3,13,0
205,4,-14,21,0
206,-3,2,6,5
207,-12,27,-20,6
208,4,-9,22,-4
209,4,-4,7,10
210,-5,5,7,10
211,3,-16,23,-5
212,6,-16,17,6
213,11,-21,33,-8
214,12,-26,26,-4
215,10,-13,18,-2
216,1,-7,9,4
217,-17,28,-20,10
218,7,-14,16,-2
219,13,-21,23,0
220,14,-19,13,5
221,14,-25,32,-7
222,0,3,0,8
223,0,-1,-2,11
224,1,-8,12,4
225,5,-6,6,8
226,2,0,4,5
227,5,-12,18,-1
228,6,-20,30,-3
229,2,-1,8,2
230,8,-21,26,3
231,6,2,6,-1
232,13,-31,32,0
233,9,-20,26,-8
234,5,-12,12,2
235,0,-9,25,-4
236,6,-13,31,-4
237,-2,0,20,0
238,11,-21,24,-2
239,1,1,13,0
240,1,2,1,8
241,4,-8,2,1
242,1,-3,8,1
243,9,-7,7,3
244,4,-8,24,0
245,6,-21,36,-9
246,14,-25,35,-4
247,6,-14,31,-3
248,3,-8,23,-1
249,6,-4,12,1
250,1,-13,22,0
251,6,0,7,0
252,-2,1,4,2
253,3,-8,21,-1
254,-3,10,8,7
255,3,-14,24,-4
256,19,-28,35,-7
257,7,-10,24,0
258,7,-11,28,-5
259,4,-2,-3,5
260,6,-4,20,2
261,13,-23,42,-8
262,6,-5,16,0
263,4,-1,26,8
264,10,-24,49,-11
265,9,-19,38,-7
266,15,-27,52,-2
267,12,-3,23,-4
268,9,-12,23,9
269,3,-11,35,-3
270,17,-27,33,-1
271,7,-8,23,0
272,15,-24,36,-7
273,14,-7,8,13
274,9,9,-4,5
275,12,-17,29,5
276,-2,9,3,12
277,14,-15,16,6
278,0,-4,23,0
279,8,-5,21,-1
280,2,-9,34,-4
281,15,-6,19,0
282,11,-12,26,2
283,15,-17,25,0
284,19,-38,47,-5
285,2,-8,24,5
286,2,5,13,-2
287,11,-18,23,2
288,0,-3,22,5
289,0,0,28,-3
290,13,-21,39,-8
291,8,-15,29,1
292,4,1,8,2
293,7,-3,26,-3
294,19,-29,37,-3
295,12,-13,26,0
296,17,-24,44,0
297,3,-2,18,-3
298,9,-5,20,-4
299,7,-2,4,1
300,6,-8,22,4
301,8,-8,19,-4
302,13,-10,24,-2
303,9,-20,40,-4
304,4,-7,21,0
305,6,0,16,-3
306,2,1,15,8
307,11,-15,31,-9
308,13,-17,39,-6
309,4,-11,27,-12
310,9,-4,11,-1
311,16,-22,27,-2
312,10,-17,18,3
313,14,-11,16,2
314,8,-15,31,-5
315,-4,5,4,7
316,2,-3,17,3
317,6,-10,24,8
318,9,-7,14,2
319,4,-10,28,6
320,6,-11,27,-3
321,8,-21,34,-1
322,9,-18,17,10
323,1,6,5,0
324,0,2,9,1
325,8,3,0,7
326,8,-20,32,0
327,7,-17,31,-10
328,2,4,12,-7
329,1,-5,24,-5
330,12,-16,24,0
331,0,-11,42,-9
332,7,-4,19,-2
333,3,1,11,0
334,12,-24,38,1
335,5,-3,19,-2
336,5,-12,22,0
337,15,-29,31,-1
338,17,-27,32,-2
339,11,-8,1,4
340,13,-11,17,5
341,11,-30,49,-9
342,10,-27,37,-3
343,0,26,-19,5
344,11,-16,30,-5
345,8,-8,15,1
346,2,0,7,-2
347,11,-29,43,-5
348,10,-23,35,3
349,4,-7,15,5
350,3,-4,27,0
351,17,-31,46,-9
352,16,-8,6,7
353,1,9,14,-1
354,16,-20,33,-8
355,7,-3,20,1
356,0,2,10,8
357,-4,-1,28,-5
358,-1,8,3,2
359,5,-1,14,3
360,18,-22,36,-1
361,13,-25,43,-6
362,-4,3,17,-1
363,6,-2,2,11
364,7,-11,27,3
365,7,4,0,3
366,9,-7,22,-5
367,3,2,15,2
368,-2,5,14,2
369,2,-4,31,-1
370,2,-7,26,1
371,3,4,10,9
372,7,-10,35,-4
373,1,-7,16,0
374,12,-17,38,-1
375,13,-21,38,-7
376,-2,1,15,-1
377,12,-15,31,-1
378,7,0,10,2
379,8,-6,17,-1
380,-5,-3,24,-2
381,13,-23,37,-4
382,9,-15,30,2
383,1,-4,23,-2
384,12,-10,19,1
385,10,-17,39,-2
386,21,-41,58,-5
387,10,-16,28,-5
388,7,-11,11,1
389,-3,-10,32,-5
390,7,-22,38,-2
391,4,-8,34,3
392,9,-5,20,0
393,6,-21,44,-3
394,3,-8,22,2
395,12,-10,6,10
396,13,-23,34,-3
397,-6,10,5,7
398,7,-4,12,2
399,5,-4,31,0
400,5,0,22,0
401,18,-28,45,2
402,8,-7,35,-6
403,15,-6,20,12
404,10,-9,39,-4
405,20,-24,37,-7
406,18,-27,49,-7
407,1,1,22,-1
408,5,-5,17,5
409,12,-21,62,-5
410,18,-27,42,0
411,16,-29,42,1
412,11,-20,45,5
413,10,-4,15,5
414,9,-13,31,9
415,16,-22,47,3
416,10,-12,26,16
417,8,-7,23,11
418,14,-8,14,17
419,9,-12,44,-1
420,0,15,-10,21
421,6,-6,11,4
422,-1,1,6,11
423,0,-6,22,4
424,4,-10,22,7
425,13,-18,33,9
426,4,-1,20,6
427,20,-29,37,-3
428,11,-23,38,2
429,5,-14,27,0
430,-6,7,10,6
431,12,-12,32,6
432,4,-5,21,0
433,3,-23,49,-5
434,23,-29,29,0
435,7,-15,36,-6
436,0,-10,31,0
437,10,-13,25,9
438,11,-17,24,0
439,19,-14,5,9
440,1,2,17,2
441,19,-36,58,-1
442,9,-26,49,-3
443,6,-7,22,4
444,7,-11,32,-1
445,16,-11,22,3
446,5,2,13,4
447,15,-9,19,7
448,7,-11,35,-6
449,15,-18,31,5
450,8,-7,24,3
451,7,-23,49,-3
452,4,6,5,2
453,-1,0,24,4
454,6,-11,28,-1
455,7,-5,28,-12
456,9,-23,53,-8
457,16,-24,27,1
458,5,-7,19,15
459,8,-29,63,-13
460,16,-31,46,-7
461,6,-6,7,8
462,10,-26,51,-10
463,2,11,2,6
464,3,4,9,6
465,11,-25,44,-4
466,0,3,9,6
467,3,-2,23,-4
468,17,-22,30,0
469,9,-23,42,-5
470,14,-16,27,1
471,5,-3,15,3
472,5,-14,32,-3
473,13,-17,23,0
474,13,-21,32,-6
475,7,11,3,8
476,6,-7,26,-4
477,16,-31,53,-1
478,1,-6,36,-1
479,10,-23,47,-4
480,7,-3,31,5
481,22,-41,57,-7
482,20,-31,53,-8
483,5,-12,35,-4
484,11,-23,39,4
485,13,-26,49,-1
486,9,-16,37,-2
487,1,-7,35,-1
488,19,-26,34,3
489,18,-27,50,-10
490,15,-20,41,-3
491,11,-19,40,0
492,8,-18,27,0
493,3,-3,28,-2
494,14,-22,36,3
495,5,0,13,4
496,4,-7,34,-10
497,4,-3,18,1
498,11,-10,30,1
499,8,-15,39,-5
500,4,-9,23,5
501,6,-13,25,-5
502,19,-28,34,0
503,8,-9,27,-2
504,15,-33,59,-7
505,6,-4,19,1
506,14,-20,26,3
507,4,-21,45,-2
508,9,-11,23,7
509,0,-16,41,-3
510,0,5,16,12
511,12,-17,37,-4
512,7,-15,38,-3
513,10,-14,31,-7
514,12,-28,57,-6
515,19,-26,42,-3
516,14,-28,47,-9
517,13,-28,58,-12
518,10,-10,23,7
519,-1,0,22,-7
520,13,-13,29,0
521,6,-5,30,6
522,7,-16,34,2
523,14,-21,27,-3
524,11,-10,31,-8
525,13,-17,40,0
526,17,-23,33,0
527,16,-18,26,5
528,8,-14,28,0
529,4,2,14,-1
530,5,-6,21,4
531,13,-17,34,0
532,10,-15,29,0
533,2,0,26,2
534,22,-42,53,0
535,7,-23,57,-10
536,4,-13,39,-10
537,11,-21,38,2
538,11,-19,34,-5
539,9,-5,21,0
540,10,-2,5,6
541,16,-14,30,-5
542,14,-32,58,-3
543,21,-33,57,-4
544,4,-17,33,5
545,-1,-6,32,1
546,9,-18,29,0
547,19,-24,38,-3
548,20,-34,49,-6
549,6,-18,45,-6
550,11,-10,33,1
551,7,-15,61,-6
552,9,-10,40,-3
553,23,-37,68,-11
554,16,-24,40,-2
555,8,-9,29,7
556,5,-7,22,0
557,12,-17,37,-7
558,5,-11,35,-1
559,6,-14,34,-2
560,8,-16,24,3
561,12,-18,32,-3
562,4,-10,32,-5
563,12,-28,53,-7
564,8,-8,17,2
565,13,-17,41,-1
566,7,-14,37,-3
567,17,-25,36,0
568,14,-25,46,-1
569,9,-25,57,-7
570,4,-5,20,-3
571,16,-27,50,-5
572,9,-20,40,-6
573,14,-23,40,-7
574,12,-20,34,0
575,10,-7,25,3
576,7,-9,46,-10
577,7,14,0,6
578,10,-12,30,1
579,13,-7,27,2
580,0,7,5,12
581,8,-13,41,-9
582,11,-14,36,2
583,9,-22,46,-14
584,2,-13,42,-7
585,4,2,9,4
586,16,-29,42,-2
587,7,-20,42,-8
588,10,-14,28,-4
589,2,8,6,1
590,0,-6,31,-9
591,15,-24,30,0
592,1,-4,36,-1
593,13,-26,43,0
594,13,-25,43,-8
595,5,-8,22,1
596,10,-16,36,-7
597,7,-1,26,-6
598,4,-7,27,4
599,1,-12,40,-9
600,4,-11,28,-4
601,8,-28,38,-11
602,0,11,8,7
603,8,-14,28,-5
604,16,-27,47,-5
605,-1,-5,30,-3
606,13,-3,6,10
607,3,-3,26,0
