Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,6,-10,11,-5
2,6,-10,10,0
3,-2,17,-25,5
4,-5,-4,5,3
5,-3,12,-21,9
6,0,-7,19,-8
7,3,-3,6,2
8,5,-10,5,0
9,0,9,-12,0
10,8,-13,12,-4
11,3,4,-6,-1
12,0,14,-18,1
13,17,-18,14,-2
14,-4,10,-21,7
15,5,-3,-1,0
16,9,-3,-11,1
17,-2,0,6,-6
18,-7,15,-13,9
19,5,-8,3,4
20,-6,1,-8,5
21,11,-31,24,0
22,4,5,-16,14
23,0,-2,5,-8
24,-6,22,-32,4
25,0,-1,0,-1
26,1,6,-20,2
27,8,-4,-9,5
28,1,-5,14,-9
29,-7,13,-17,11
30,1,-7,12,-10
31,5,-3,1,7
32,0,15,-25,9
33,4,-10,3,2
34,6,-4,-2,-4
35,-2,9,-12,4
36,8,-8,-2,2
37,4,2,-7,1
38,1,-9,6,0
39,-9,21,-25,8
40,-8,15,-23,7
41,-6,-7,14,-14
42,7,-7,4,-1
43,0,1,-6,1
44,3,-1,-5,6
45,9,-19,21,-6
46,6,-1,2,-9
47,8,-4,-9,0
48,-1,-8,21,-12
49,6,-2,0,3
50,8,-5,4,2
51,1,-2,5,-3
52,-10,21,-22,5
53,2,9,-10,0
54,6,-12,12,-1
55,-3,10,1,-1
56,15,-38,30,-3
57,11,-13,7,-1
58,-6,15,-6,4
59,-3,2,1,-4
60,11,-2,-7,0
61,1,11,-26,9
62,-3,6,-10,2
63,3,0,0,7
64,1,2,-9,5
65,-4,-4,17,-4
66,0,10,-13,10
67,2,-2,-5,0
68,1,-8,10,-6
69,0,-3,14,0
70,5,-5,7,-7
71,-1,12,-16,7
72,0,0,-2,1
73,5,-9,13,-7
74,10,-7,-11,7
75,21,-32,17,-3
76,-2,10,-16,14
77,3,0,2,-3
78,7,-16,9,0
79,7,-6,-4,0
80,-7,24,-16,4
81,0,15,-13,3
82,7,-5,3,8
83,4,8,-22,8
84,7,-15,18,-6
85,0,-11,15,3
86,-8,-2,6,0
87,3,-7,-1,3
88,-3,2,7,-5
89,2,5,-12,11
90,6,-13,15,-3
91,1,-8,5,1
92,7,-2,5,0
93,9,-15,8,2
94,3,-8,3,6
95,0,12,-12,-1
96,0,-3,-3,-1
97,-5,7,-3,2
98,7,-13,3,5
99,3,3,1,-2
100,1,-8,6,7
101,4,-8,6,0
102,8,-17,16,0
103,1,-8,0,1
104,9,0,-12,10
105,-4,-7,9,0
106,4,-16,11,2
107,-3,13,-10,8
108,-4,28,-37,14
109,3,4,-11,7
110,-3,7,-8,1
111,2,-2,-9,7
112,11,-18,27,-3
113,-4,18,-19,6
114,3,-4,3,0
115,-2,12,-11,10
116,12,-18,12,1
117,8,-19,15,-5
118,1,-4,1,1
119,4,-7,10,3
120,5,-14,12,-2
121,6,-6,2,2
122,6,1,-8,0
123,6,-1,-4,2
124,8,-8,2,3
125,5,-3,-4,4
126,3,-10,9,3
127,8,0,-8,5
128,-4,-4,13,-5
129,0,0,0,5
130,8,-16,19,-5
131,3,3,-4,0
132,-8,18,-11,5
133,6,-13,2,3
134,4,-4,-7,-1
135,-3,18,-18,8
136,12,-15,6,7
137,-3,12,-14,6
138,0,-3,3,0
139,0,-4,6,-4
140,-8,22,-21,7
141,-2,16,-19,15
142,4,5,-13,13
143,-1,10,-13,4
144,4,11,-22,7
145,8,-7,-1,6
146,0,1,-11,6
147,0,-2,9,0
148,-4,1,0,3
149,7,-9,2,0
150,4,5,-11,11
151,3,-16,19,-3
152,5,-7,8,3
153,3,5,-4,16
154,-1,6,-2,0
155,1,15,-21,8
156,-1,9,-8,7
157,0,13,-26,10
158,0,-2,6,-3
159,6,9,-12,5
160,-2,6,4,3
161,6,3,-8,7
162,0,0,-6,10
163,2,1,-8,7
164,4,-6,9,3
165,0,12,-17,11
166,2,9,-16,9
167,0,10,-9,9
168,0,14,-12,3
169,-2,1,4,2
170,11,7,-12,6
171,10,-1,1,2
172,-2,19,-26,12
173,0,6,-7,1
174,-1,14,-13,6
175,2,2,-2,1
176,6,9,-23,9
177,-4,12,-14,5
178,7,-11,0,2
179,14,-24,23,-2
180,3,-1,-1,4
181,-1,6,-7,3
182,-5,18,-19,1
183,3,7,-7,9
184,9,-4,4,6
185,0,10,-12,16
186,2,-13,16,-8
187,0,-4,3,-1
188,-15,21,-16,11
189,9,-1,-7,2
190,-5,13,-16,8
191,9,-7,4,-2
192,1,2,1,4
193,0,20,-17,6
194,2,-4,16,-5
195,-1,18,-31,14
196,5,-2,1,0
197,-6,20,-15,9
198,7,-6,3,-1
199,-8,9,-4,4
200,-6,9,-7,4
201,6,1,-4,9
202,5,9,-23,11
203,7,-9,11,1
204,1,6,-11,3
205,0,14,-20,10
206,1,-6,8,4
207,10,7,-23,3
208,4,-9,5,3
209,1,3,-1,-1
210,-6,14,-17,7
