Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-5,14,-6,0
2,24,-33,17,-3
3,7,-5,-4,7
4,4,-5,5,-4
5,5,0,-4,0
6,-5,7,5,1
7,-4,3,-7,4
8,5,-6,0,0
9,-14,18,-7,-2
10,1,-11,16,1
11,1,10,-15,3
12,0,2,-4,3
13,1,-10,19,-2
14,6,1,-6,3
15,-5,10,0,-1
16,0,7,-18,0
17,-1,-12,18,-6
18,-1,2,-5,3
19,0,0,-2,3
20,3,0,1,-2
21,2,-11,20,-3
22,9,-19,7,2
23,-5,13,-17,16
24,0,0,-1,-1
25,1,3,-4,2
26,-3,11,-12,0
27,-13,9,2,0
28,7,-10,15,-11
29,-3,15,-22,7
30,7,-10,2,4
31,8,-21,13,0
32,-2,8,-3,-2
33,-3,14,-20,12
34,5,3,-13,8
35,5,0,-7,4
36,11,-9,4,5
37,-5,8,-7,0
38,-6,6,-4,2
39,1,2,-5,0
40,-1,0,-8,12
41,-4,20,-36,12
42,13,-7,4,0
43,0,11,-13,10
44,3,-6,3,8
45,13,-29,37,-11
46,4,-11,16,-7
47,0,0,-5,1
48,-2,9,-8,2
49,2,-9,10,1
50,7,-16,15,-6
51,4,-9,2,5
52,0,6,-10,0
53,3,-4,2,-6
54,5,-7,13,-7
55,4,-12,16,0
56,8,-16,19,0
57,4,-6,11,0
58,0,-6,10,6
59,-11,8,5,-1
60,0,6,-11,6
61,-2,13,-14,3
62,-3,9,-16,7
63,3,-4,0,6
64,2,-2,1,4
65,-7,6,-3,6
66,3,9,-12,1
67,6,-1,-2,6
68,-12,10,6,-2
69,12,-17,18,-5
70,9,3,-13,9
71,-3,15,-10,5
72,1,-13,27,-7
73,8,-13,15,2
74,2,4,-8,2
75,1,1,5,-1
76,13,-15,10,-4
77,6,-7,-1,4
78,5,-8,10,-2
79,-6,7,-8,2
80,-13,7,-7,-4
81,4,1,-10,4
82,4,-23,34,-6
83,1,-3,-2,0
84,-5,12,-3,2
85,0,-5,12,3
86,4,1,1,5
87,6,0,-8,9
88,-4,8,-1,1
89,4,0,-8,10
90,7,-9,15,4
91,-4,0,15,3
92,11,-15,22,-3
93,-5,4,3,0
94,5,-12,16,-4
95,0,0,0,-4
96,-1,13,-22,0
97,-1,-10,1,1
98,-4,6,-7,10
99,-2,8,-21,11
100,8,-4,0,-1
101,14,-14,16,-1
102,5,-20,29,-6
103,0,-6,2,1
104,-3,6,-4,7
105,8,-13,10,2
106,4,-1,-11,14
107,0,4,-10,6
108,-1,8,-16,3
109,0,-3,3,-1
110,9,-14,10,-6
111,-9,20,-16,11
112,8,0,9,7
113,7,5,-19,2
114,3,0,4,2
115,5,-1,-7,6
116,9,0,-4,7
117,5,0,-7,16
118,-1,7,1,-1
119,8,-12,14,1
120,0,10,-21,18
121,5,-11,6,4
122,0,3,0,-1
123,-8,27,-32,13
124,2,1,-11,6
125,-9,15,-6,-2
126,-5,4,6,4
127,6,-5,-6,7
128,13,-16,8,1
