Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,5,-4,0,8
2,0,10,-4,0
3,-2,19,-35,19
4,5,-2,-9,4
5,0,1,-14,2
6,0,4,-3,0
7,1,0,-5,3
8,0,5,-11,9
9,0,-3,2,0
10,8,-9,9,3
11,2,-4,1,-6
12,3,10,-19,6
13,-4,1,5,0
14,0,20,-19,7
15,6,-10,4,0
16,0,5,-8,1
17,4,3,-3,-2
18,3,-10,9,0
19,3,-2,1,2
20,16,-10,-9,0
21,-1,7,-3,2
22,-2,0,-9,2
23,-7,10,-18,9
24,-6,17,-16,0
25,7,-12,13,-3
26,-12,37,-36,8
27,9,-16,13,-3
28,-2,11,-18,3
29,0,14,-20,4
30,16,-17,-2,1
31,2,2,-14,10
32,-5,9,3,-1
33,-4,11,-11,6
34,7,-1,-8,5
35,-5,4,-1,-5
36,11,1,-19,16
37,-2,7,-8,15
38,-1,11,-8,6
39,5,-3,8,0
40,-9,16,-13,3
41,-2,6,-12,5
42,1,6,-23,13
43,6,-13,18,-10
44,12,-15,14,0
45,5,-11,21,-4
46,6,-12,-3,6
47,4,1,-13,1
48,4,0,-9,2
49,6,-15,13,-7
50,0,0,-10,6
51,0,14,-10,2
52,-1,1,-1,-2
53,-1,12,-15,-6
54,-3,8,-3,3
55,8,-9,9,0
56,9,-22,26,-6
57,8,-20,17,-5
58,-2,0,14,0
59,2,0,-6,3
60,2,14,-23,7
61,-2,23,-27,12
62,2,-3,5,3
63,2,1,-4,2
64,2,3,-12,7
65,-1,7,-15,10
66,2,0,-8,5
67,4,-7,-2,2
68,-2,3,-18,10
69,-11,13,-16,13
70,2,6,-7,6
71,11,-16,13,-2
72,2,8,-15,13
73,-7,0,12,-5
74,-6,-1,11,-2
75,1,4,-5,3
76,2,9,-3,7
77,-2,1,-3,8
78,9,-9,-7,7
79,1,-2,3,-2
80,-1,5,-10,6
81,2,-3,-14,10
82,6,-7,11,-2
83,-1,12,-29,7
84,5,-19,30,-7
85,6,-8,-4,4
86,8,-1,-10,4
87,2,0,-7,5
88,-1,9,-13,2
89,15,-27,30,-12
90,5,1,-15,16
91,-1,-7,6,4
92,0,0,13,-5
93,-7,3,6,-1
94,0,0,4,3
95,-9,16,-18,8
96,4,1,-18,6
97,-6,15,-20,12
98,11,-12,-2,7
99,3,0,-11,6
100,5,-11,15,0
101,4,-1,4,0
102,1,-8,19,-3
103,6,2,-9,8
104,-6,17,-11,0
105,4,3,-11,12
106,-8,-3,13,-2
107,0,9,-19,7
108,9,-9,-3,2
109,-4,11,-17,8
110,0,12,-20,8
111,0,0,-15,8
112,9,-10,6,1
113,3,18,-23,0
114,1,8,-15,3
115,-8,17,-8,8
116,3,-1,-8,17
117,1,18,-30,20
118,-6,5,-4,4
119,11,-12,12,5
120,7,-11,19,1
121,9,-10,7,2
122,1,0,-1,9
123,8,-18,15,3
124,2,-9,10,7
125,10,9,-29,11
126,-1,3,2,0
127,-2,4,-5,12
128,-6,7,-2,9
129,3,-4,6,2
130,2,-9,11,6
131,6,-4,-2,3
132,-5,16,-17,6
133,5,-12,9,7
134,0,1,-7,10
135,2,4,-21,10
136,14,0,-8,7
137,2,-10,6,3
138,6,-14,12,0
139,-4,7,-1,4
140,8,7,-20,4
141,10,-12,11,4
142,4,-9,9,0
143,0,-8,0,-1
144,-1,12,-19,7
145,-3,13,-14,10
146,-5,22,-29,14
147,0,10,-18,16
148,7,-5,2,9
149,1,12,-23,16
150,1,1,2,1
151,-7,19,-16,10
152,1,4,-3,9
153,3,3,-10,13
154,6,5,-12,7
155,-11,23,-19,10
156,2,1,-2,4
157,3,-3,3,1
158,-2,18,-19,0
159,-1,-2,-1,5
160,-2,15,-15,14
161,0,11,-22,15
162,13,-16,14,0
163,-5,7,-5,10
164,0,9,-15,7
165,0,-2,4,-1
166,3,1,-16,14
167,-1,9,-14,10
168,13,-11,5,7
169,9,-15,10,0
170,0,6,-2,6
171,6,5,-18,16
172,1,12,-30,18
173,-5,18,-20,11
174,-13,23,-20,9
175,6,9,-23,13
176,-8,19,-20,3
177,-2,18,-14,-1
178,10,-12,11,7
179,0,11,-13,6
180,11,4,-14,11
181,17,11,-39,18
182,3,10,-6,8
183,7,-2,4,-1
184,7,-14,7,5
185,9,-3,-12,9
186,-6,10,-2,8
187,10,-7,-8,10
188,10,-11,0,9
189,7,-1,-5,10
190,6,-1,3,2
191,6,-13,14,5
192,8,-3,-14,9
193,0,16,-23,16
