Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,3,-10,4,2
2,6,-5,5,3
3,2,4,-20,4
4,-7,8,-3,0
5,-9,20,-21,8
6,2,2,-10,10
7,-8,15,-4,-1
8,5,10,-19,11
9,8,-8,4,3
10,3,-11,13,0
11,-6,21,-27,4
12,5,-4,-15,10
13,3,-14,15,-2
14,-1,-2,5,-2
15,5,-2,0,2
16,-12,17,-20,8
17,-6,8,0,0
18,6,-14,7,0
19,4,0,8,-1
20,0,5,-16,5
21,-1,13,-12,4
22,-9,7,-18,15
23,1,15,-22,6
24,0,1,-9,8
25,-5,14,-9,5
26,2,14,-25,8
27,-6,6,-5,3
28,0,-8,25,-15
29,-7,17,-9,-2
30,1,-9,13,3
31,8,-16,19,-8
32,-2,0,2,1
33,2,-2,3,0
34,-3,9,-10,-3
35,1,6,-3,-1
36,8,-6,-2,0
37,9,-11,7,-1
38,-8,20,-23,11
39,-4,12,-10,8
40,5,-5,1,-4
41,-2,5,0,-4
42,5,-13,11,-2
43,7,5,-9,3
44,0,12,-9,-1
45,0,-13,29,-7
46,0,5,0,-3
47,-4,10,-24,7
48,-1,20,-23,9
49,5,-9,18,0
50,2,6,0,9
51,2,2,5,0
52,0,-2,-3,-3
53,-3,3,3,-1
54,-1,1,9,-7
55,0,-9,9,1
56,0,-1,10,-1
57,-2,6,-3,1
58,6,-13,20,-4
59,-4,12,-18,2
60,-7,17,-22,7
61,-6,19,-31,19
62,-6,20,-19,8
63,-4,6,-12,6
64,4,-4,-8,7
65,2,3,-16,7
66,-4,4,-2,-2
67,-1,-6,3,2
68,2,4,-1,2
69,0,0,10,-2
70,0,-7,13,-4
71,-6,15,-16,7
72,11,-23,30,-12
73,-3,6,0,6
74,-5,19,-19,3
75,3,-9,11,3
76,-3,6,-4,7
77,-10,18,-17,11
78,-2,4,-2,7
79,-6,-10,18,-2
80,-4,7,-16,7
81,-6,16,-10,4
82,3,-2,-2,7
83,7,-1,-7,-6
84,7,-2,-2,10
85,0,0,9,0
86,1,0,-12,12
87,-1,1,-3,5
88,0,7,-11,3
89,6,-4,-2,6
90,8,-24,27,-2
91,1,-11,11,8
92,5,-7,2,10
93,3,-13,25,-8
94,2,-2,2,11
95,-11,17,-17,7
96,-7,5,-7,6
97,3,4,-9,9
98,-6,5,-1,-1
99,-8,20,-18,9
100,4,-8,16,-5
101,8,-19,20,0
102,2,-18,28,-9
103,-4,14,-9,8
104,1,12,-19,18
105,7,-22,27,-7
106,2,-7,7,4
107,-3,12,-20,12
108,-4,9,-18,7
109,1,-7,2,-4
110,-3,1,-4,5
111,-1,3,-10,5
112,9,-20,33,-7
113,-6,12,-16,3
114,4,-1,-9,4
115,5,5,-9,6
116,6,-12,17,2
117,-6,2,5,8
118,4,0,-2,5
119,9,-13,21,2
120,5,-11,14,1
121,-2,0,2,2
122,-2,-2,14,-5
123,6,-13,14,-4
124,3,-15,15,-2
125,2,-6,-5,0
126,-3,10,-9,0
127,1,-10,15,4
128,8,-15,13,1
129,-4,7,-5,6
130,2,-7,3,-3
131,-4,2,-2,4
132,-5,7,1,1
133,-3,10,-4,9
134,8,-15,14,-5
135,-4,3,-4,2
136,8,-1,0,6
137,6,-4,0,3
138,-1,-10,18,1
139,0,-3,3,4
140,-10,11,-11,10
141,-3,0,7,5
142,-1,2,1,12
143,-7,2,1,4
144,-13,27,-23,8
145,0,0,0,1
146,-1,19,-35,13
147,3,-9,7,0
148,0,7,-3,2
149,-2,4,0,2
150,-4,9,-7,7
151,-2,-1,8,2
152,13,-24,27,-1
153,6,-10,5,4
154,-1,-6,7,5
155,-2,0,-3,9
156,5,-11,8,6
157,0,-7,15,-8
158,1,3,5,0
159,0,5,-5,12
160,12,-8,12,7
161,-5,11,-18,15
162,2,8,-15,8
163,-5,12,-7,9
164,-5,13,5,-2
165,-3,-2,24,-6
166,5,-8,6,4
167,3,-7,3,3
168,2,-16,24,-1
169,8,-6,0,6
170,3,4,-12,7
171,4,-5,11,0
172,0,-1,0,-1
173,6,-10,9,-4
174,13,-16,13,0
175,-1,4,-14,10
176,2,3,-9,0
177,0,4,-11,1
178,4,-10,8,5
179,0,-7,21,0
180,6,-8,2,8
181,10,-9,5,0
182,4,3,-11,12
183,7,-2,-4,-1
184,6,-20,22,0
185,4,0,-6,6
186,-4,3,0,4
187,0,1,3,0
188,2,-11,1,1
189,3,2,-8,8
190,3,-9,8,5
191,3,-3,2,0
192,0,-1,1,5
193,0,-1,-6,4
194,5,-10,1,7
195,-5,17,-21,9
196,1,1,5,-5
197,8,-4,15,-11
198,-3,4,5,0
199,12,-17,15,0
200,-2,7,0,6
201,1,-3,4,11
202,-2,-9,17,-6
203,3,-22,28,-2
204,1,-5,5,3
205,1,-3,12,-4
206,-11,15,-6,2
207,-1,12,-26,9
208,-2,-7,14,-4
209,-1,0,-4,0
210,0,-4,6,5
211,5,-2,-4,8
212,10,-16,3,2
213,-3,-13,28,-11
214,-12,16,-13,4
215,3,-4,7,-2
216,6,-8,2,-1
217,-8,32,-36,12
218,-1,0,10,2
219,3,-5,20,-3
220,-10,16,-4,3
221,-4,7,-5,0
222,-5,0,4,1
223,0,-1,-1,3
224,12,-11,-3,7
225,4,-5,6,-2
226,-2,-5,7,3
227,-3,5,-9,6
228,-11,10,-7,8
229,-9,8,3,5
230,1,2,3,6
231,-3,10,-5,0
232,-4,1,2,8
233,0,-9,15,1
234,1,-2,-1,1
235,11,-30,28,0
236,7,-23,22,-7
237,4,-8,7,-1
238,1,-2,-1,1
239,10,-15,15,-1
240,2,-7,15,-6
241,1,-7,3,-2
242,7,-13,16,-6
243,-5,5,1,1
244,0,-9,16,1
245,-6,6,9,1
246,0,-13,34,-12
247,-2,-6,25,-3
248,1,-11,22,0
249,1,-5,10,7
250,6,0,4,-1
251,-1,0,4,0
252,6,-8,8,-3
253,-1,0,-2,6
254,0,-4,15,-3
255,4,-13,19,0
256,6,-3,0,1
257,7,-9,16,-4
258,1,1,-1,1
259,0,11,-25,13
260,-2,-2,13,-5
261,4,-7,16,-2
262,-3,8,7,-4
263,3,-15,23,-1
264,7,-22,34,-3
265,18,-32,29,5
266,0,-6,21,5
267,11,-13,15,4
268,8,-18,34,-8
269,12,-21,24,0
270,0,-3,6,4
271,1,-3,10,0
272,3,4,6,1
273,-4,7,10,0
274,-1,15,-16,9
275,12,-13,11,10
276,6,1,0,6
277,-2,3,0,13
278,0,-2,17,1
279,1,16,-16,12
280,0,2,14,-4
281,0,5,0,4
282,11,-18,23,-6
283,4,-16,21,1
284,16,-26,29,0
285,7,-11,22,7
286,7,-11,16,0
287,10,-16,25,-2
288,6,-4,7,3
289,5,0,2,9
290,6,-7,23,-3
291,5,-16,23,-1
292,6,-11,10,3
293,10,-14,21,4
294,15,-33,47,0
295,1,1,-7,12
296,0,6,10,6
297,0,2,0,8
298,5,0,0,-3
299,0,0,1,6
300,11,-17,31,-1
301,-8,-3,10,5
302,-1,4,15,0
303,5,-4,12,6
304,8,-8,10,5
305,18,-26,37,0
306,11,-9,18,7
307,3,-8,18,11
308,19,-23,27,0
309,2,-1,6,11
310,-1,7,-3,9
311,6,-1,8,6
312,5,-6,16,2
313,2,-4,7,8
314,1,-8,20,-5
315,6,2,-7,3
316,-5,10,8,4
317,15,-25,38,-1
318,3,-19,35,-11
319,11,-13,26,4
320,11,-14,20,-1
321,13,-25,28,0
322,10,-6,4,-2
323,5,-9,20,-1
324,-6,2,10,2
325,0,-12,20,0
326,4,-16,28,2
327,1,0,-4,12
328,-6,5,13,-6
329,-4,8,3,5
330,6,-20,32,-8
331,18,-40,45,-1
332,7,-18,31,-6
333,-2,-9,23,-5
