Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,1,5,5,0
2,6,-14,28,-6
3,-8,8,-4,-3
4,4,0,-7,-2
5,-2,13,-22,2
6,-3,2,11,-8
7,8,-5,0,-1
8,0,-6,10,-3
9,-3,10,-4,-4
10,0,2,0,3
11,-5,11,-10,1
12,-12,32,-32,5
13,-4,11,3,-2
14,-16,26,-19,12
15,-9,-2,15,-4
16,-5,18,-13,3
17,4,-2,13,-6
18,1,5,-17,12
19,-4,0,7,-4
20,-16,20,-16,4
21,-6,-1,12,1
22,-5,17,-20,5
23,-7,14,-21,4
24,-2,5,-9,-1
25,-6,0,14,-13
26,-7,15,-20,3
27,-10,12,-4,4
28,-1,-9,17,-4
29,-9,17,-11,-2
30,0,-6,10,-5
31,0,6,1,3
32,-3,-5,10,0
33,-7,-1,3,3
34,2,-10,11,-4
35,6,-7,2,-3
36,-3,14,-25,2
37,0,16,-11,3
38,-9,39,-45,12
39,3,1,-4,-2
40,-11,29,-37,11
41,-2,21,-31,3
42,-7,16,-13,6
43,-5,14,-28,15
44,-1,8,-4,5
45,1,0,9,6
46,-3,0,4,-3
47,-9,20,-12,0
48,-3,19,-15,0
49,4,-8,11,-3
50,-1,11,-17,12
51,-1,0,2,0
52,-8,24,-25,8
53,-3,10,-6,-1
54,-4,12,-12,9
55,-5,2,14,-4
56,-2,2,17,-5
57,0,5,-1,0
58,-4,0,15,-1
59,0,7,-11,6
60,-5,12,-14,6
61,-13,22,-10,-4
62,1,7,-6,1
63,-8,23,-14,7
64,-3,8,-4,1
65,-19,26,-12,-5
66,5,3,-17,4
67,-10,11,-3,6
68,0,6,-9,1
69,-6,1,17,-2
70,-3,10,-8,7
71,12,-12,13,0
72,-2,6,0,5
73,-2,5,5,1
74,-2,18,-18,4
75,3,-3,17,-5
76,-8,19,-12,5
77,-10,15,-1,-6
78,0,11,-2,1
79,2,4,2,-3
80,-18,34,-23,3
81,12,-10,11,-6
82,-6,0,12,-2
83,-7,22,-26,10
84,-2,14,-8,4
85,1,-3,17,-4
86,-6,4,5,1
87,-5,4,5,0
88,-2,7,1,1
89,-3,6,-2,5
90,-1,-5,16,0
91,10,-12,12,4
92,-1,3,8,4
93,-3,3,4,8
94,-4,-4,19,-1
95,-6,21,-28,0
96,2,-7,-9,0
97,-1,12,-12,3
98,0,8,-8,3
99,-11,27,-24,12
100,3,-6,15,-2
101,11,-13,15,-3
102,3,-7,28,-9
103,4,4,-5,0
104,3,7,-8,8
105,7,-18,19,3
106,7,-2,5,10
107,-11,12,-5,3
108,-3,18,-18,4
109,0,9,-6,6
110,-5,8,-5,4
111,-4,1,5,0
112,-6,21,-22,16
113,-7,18,-20,-2
114,0,7,-12,0
115,-5,9,9,1
116,0,-1,10,2
117,0,16,-5,2
118,-5,0,5,-2
119,9,-21,33,-5
120,-3,-9,8,10
121,4,-13,11,4
122,-1,3,3,6
123,1,-5,12,0
124,-3,7,5,1
125,-4,11,-17,9
126,-7,14,-14,11
127,-9,14,-9,5
128,0,7,-6,6
129,-1,1,4,0
130,2,4,-2,0
131,0,6,-3,1
132,4,-7,5,3
133,-3,-9,16,6
134,-4,17,-19,13
135,-10,22,-27,11
136,5,4,3,0
137,-8,25,-21,6
138,-2,-6,9,3
139,-4,9,-4,2
140,-1,5,-11,4
141,3,0,1,10
142,0,16,-8,7
143,-9,19,-19,4
144,0,9,1,-3
145,-4,4,-2,5
146,-2,13,-19,11
147,-3,15,-7,-1
148,0,-6,11,0
149,-3,7,-2,-2
150,-4,14,-25,11
151,0,3,6,2
152,-1,-5,15,0
153,-2,1,2,4
154,-4,5,2,7
155,0,13,-12,6
156,-6,17,-20,5
157,-2,11,-2,-5
158,-2,9,-7,5
159,-2,14,-8,4
160,-4,9,-4,7
161,-2,9,-10,3
162,-8,15,-12,7
163,5,-3,5,2
164,-7,17,0,5
165,8,-8,5,10
166,3,0,-5,9
167,-6,7,-2,2
168,-9,25,-20,19
169,-6,22,-11,0
170,-7,13,1,4
171,-4,13,7,3
172,-4,-1,2,1
173,-11,22,-28,12
174,-5,6,-2,1
175,-6,30,-33,19
176,-18,31,-18,2
177,-13,17,-8,4
178,-6,5,6,-1
179,8,-6,18,-1
180,0,-3,10,6
181,0,11,-14,7
182,1,13,-10,7
183,-7,12,-5,5
184,0,0,9,8
185,3,1,-5,12
186,0,6,-5,11
187,-1,5,0,7
188,-9,14,1,0
189,-4,16,-13,5
190,0,10,-8,5
191,-1,-3,13,2
192,5,3,6,-2
193,-7,7,-4,6
194,-8,3,7,7
195,-7,18,-16,6
196,-8,16,-6,-4
197,3,-6,19,-6
198,-2,3,8,-2
199,-5,8,-3,1
200,1,-5,8,-7
201,6,-7,14,-1
202,-6,13,4,4
203,-2,4,7,1
204,-6,6,8,0
205,-10,15,7,-4
206,5,-8,10,-5
207,-10,24,-22,4
208,-2,2,-3,2
209,-2,0,11,-7
210,-4,1,2,3
211,1,7,-10,4
212,-6,12,-6,0
213,-1,4,-4,12
214,8,4,4,-4
215,-2,16,-2,8
216,6,-10,4,7
217,-1,2,1,3
218,-13,23,-7,0
219,4,-4,-7,11
220,3,-5,11,-1
221,-4,17,-7,10
222,1,12,-18,3
223,-9,16,-13,1
224,-4,3,4,-3
225,6,-14,12,0
226,2,-3,9,-2
227,-10,11,-11,6
228,-3,1,10,-6
229,6,-2,5,-1
230,9,-13,21,-5
231,-11,24,-12,7
232,1,-5,16,3
233,-2,-2,16,0
234,-6,-1,13,0
235,0,-1,7,0
236,-8,5,16,-5
237,8,-9,9,1
238,0,8,-3,7
239,-4,2,11,-4
240,-5,12,-9,12
241,-4,15,-11,7
242,0,-7,9,-7
243,7,-14,12,0
244,9,-6,14,-14
245,2,-15,21,-2
246,-5,1,5,5
247,-10,11,7,0
248,2,0,14,3
249,-2,2,7,0
250,0,-5,9,-2
251,5,3,-7,12
252,-2,0,-9,7
253,-2,14,-14,5
254,-1,0,5,6
255,2,-1,11,-2
256,0,2,-1,3
257,5,-2,8,0
258,-2,8,2,-3
259,0,6,-3,-1
260,0,9,-11,5
261,4,-6,8,-2
262,-6,9,-2,4
263,4,-16,29,-12
264,0,2,8,-3
265,-8,8,-1,6
266,3,-4,3,7
267,-4,5,7,-2
268,-12,0,18,0
269,-7,13,4,0
270,0,-5,-6,5
271,0,-4,10,6
272,0,1,8,1
273,5,-7,4,0
274,-10,6,6,-5
275,8,-22,23,-4
276,3,0,0,3
277,6,-1,6,0
278,-1,-9,15,-5
279,-14,30,-11,5
280,-2,13,5,-6
281,8,-9,13,1
282,9,-18,20,-2
283,-2,4,3,1
284,3,-10,12,8
285,3,0,19,-1
286,5,9,0,5
287,-2,9,0,-1
288,2,-8,12,0
289,-7,-1,12,5
290,7,-11,29,0
291,-4,6,12,0
292,0,11,10,1
293,11,-9,14,1
294,11,-26,48,0
295,-4,15,0,7
296,18,-14,23,0
297,-6,24,-8,6
298,0,1,6,2
299,-1,12,-1,-2
300,8,3,14,-2
301,-5,13,-13,7
302,4,-6,16,0
303,-2,-5,20,2
304,-2,15,-3,4
305,0,9,0,6
306,11,-18,30,4
307,-3,3,6,9
308,1,-1,22,0
309,1,2,-7,7
310,0,9,-4,7
311,7,-6,12,5
312,-3,7,6,-1
313,2,-12,14,4
314,-2,10,-2,3
315,-2,-2,15,1
316,10,-9,15,7
317,4,0,12,3
318,0,9,12,-5
319,-1,4,17,2
320,-3,11,-1,0
321,7,0,12,3
322,5,-5,18,-3
323,7,-13,21,0
324,8,-15,36,-9
325,2,-5,12,1
326,0,1,22,-3
327,3,-3,14,4
328,-5,26,-5,1
329,2,1,14,4
330,2,-1,15,5
331,11,-28,44,-6
332,-3,10,1,-3
333,-1,-2,9,2
334,11,-13,18,0
335,8,-8,17,-2
336,1,0,16,-2
337,-8,7,9,-3
338,8,-4,9,6
339,-1,20,-26,7
340,1,6,7,1
341,-1,-4,13,-4
342,-9,22,-10,7
343,-6,10,-4,2
344,0,7,9,-2
345,-1,4,8,-3
346,-10,20,-16,4
347,18,-36,38,-1
348,15,-22,27,-2
349,1,-7,15,2
350,-10,13,6,-9
351,0,9,7,-1
352,6,-20,37,-10
353,0,12,-4,4
354,8,-20,34,-10
355,4,-8,19,-4
356,-7,2,14,-7
357,12,-14,20,0
358,0,-8,16,-1
359,-9,22,-9,6
360,5,1,11,0
361,-3,-9,24,-3
362,5,0,3,-1
363,2,-7,4,-3
364,-2,16,-8,2
365,1,13,-6,2
366,-6,-2,31,-7
367,0,11,11,1
368,6,-9,11,0
369,1,-11,20,-1
370,3,-10,24,-4
371,0,-2,16,-6
372,10,-10,14,4
373,0,9,-3,5
374,11,-9,8,2
375,0,15,-8,8
376,0,0,5,3
377,1,1,11,5
378,9,-17,25,-7
379,7,-3,5,3
380,0,9,-8,6
381,5,-3,15,-1
382,-4,7,13,0
383,5,4,0,-2
384,0,4,2,4
385,10,-23,43,-8
386,6,-12,36,-4
387,-1,9,4,1
388,2,-3,13,-7
389,-2,0,13,-3
390,3,-3,13,2
391,11,-22,42,-1
392,0,-3,18,-8
393,6,-10,11,-2
394,3,-11,33,-5
395,-1,13,-12,10
396,-8,0,27,-11
397,10,-19,17,-1
398,-4,9,9,-4
399,-8,3,15,-3
400,1,-2,6,0
401,14,-19,29,-6
402,-8,22,-17,11
403,6,-9,22,-5
404,-2,7,1,8
405,-5,23,-13,7
406,5,-4,20,-4
407,5,0,7,2
408,0,7,0,5
409,0,-10,43,-11
410,14,-24,39,-13
411,9,-26,42,-6
412,5,-13,30,3
413,8,7,-1,0
414,11,-24,48,-16
415,9,-11,17,0
416,0,-4,22,-2
417,1,-1,10,5
418,0,2,-3,3
419,10,-19,33,-5
420,-3,17,-1,0
421,-1,18,-17,9
422,2,3,6,0
423,18,-23,30,-1
424,4,-4,16,0
425,15,-25,52,-5
426,10,-22,35,-3
427,0,7,8,0
428,-8,7,12,6
429,11,-12,26,-5
430,2,0,14,-3
431,-1,4,24,-1
432,-5,20,3,3
433,-4,9,8,3
434,-3,4,8,10
435,4,9,8,5
436,0,16,-5,11
437,9,-8,21,2
438,11,-17,24,6
439,2,0,17,7
440,0,16,-3,16
441,18,-37,51,0
442,-2,-2,26,5
443,3,-3,19,4
444,5,-3,19,5
445,4,-13,30,0
446,-1,2,1,11
447,1,16,-18,6
448,2,-8,6,10
449,6,-11,19,2
450,2,-10,20,5
451,6,-15,39,-6
452,8,0,11,3
453,0,3,12,0
454,-8,16,5,6
455,-3,7,4,2
456,6,-20,54,-6
457,11,-17,19,6
458,8,-3,18,8
459,6,-18,28,6
460,3,-10,30,-1
461,0,4,14,1
462,11,-13,23,5
