Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,7,-9,18,-5
2,14,-19,25,-8
3,-3,-8,7,0
4,-8,9,0,-4
5,-3,1,-13,7
6,11,-19,12,8
7,0,-1,-3,9
8,7,-8,13,-2
9,-5,-5,11,-4
10,8,-11,5,5
11,-9,6,-4,-4
12,-12,16,-8,1
13,12,-13,12,-6
14,-2,16,-13,1
15,10,-10,4,-1
16,5,-7,10,-2
17,9,-17,19,-5
18,4,-7,3,3
19,5,-7,4,1
20,-9,12,-9,1
21,5,0,-12,8
22,5,2,-23,7
23,2,-1,-5,1
24,-2,18,-24,3
25,-3,11,-13,2
26,-1,17,-24,8
27,2,5,-3,-1
28,8,-5,5,-3
29,3,-5,-1,-2
30,9,-13,5,-3
31,-4,11,-12,0
32,14,-20,22,-4
33,0,0,7,-1
34,6,-1,-10,3
35,-4,-1,-1,4
36,0,-4,-1,-5
37,2,0,-6,0
38,2,1,2,-3
39,10,-8,0,1
40,8,-16,22,-11
41,-3,19,-31,10
42,2,-7,14,1
43,-1,-4,18,-8
44,6,0,-10,-1
45,8,-28,29,-1
46,-5,14,-21,2
47,-12,22,-30,6
48,2,6,-16,11
49,11,-16,12,0
50,6,-19,13,0
51,9,-22,15,-6
52,-3,-5,0,-3
53,0,8,-13,1
54,5,-16,12,1
55,0,-15,18,-9
56,5,-11,6,2
57,3,-8,4,3
58,2,-11,15,0
59,-4,8,-7,1
60,-9,13,-6,-2
61,8,-2,-9,0
62,2,-2,-8,5
63,4,-15,21,-6
64,7,0,-21,5
65,6,-11,-2,5
66,1,-14,5,-6
67,5,-14,9,-2
68,7,-2,-12,10
69,-4,-1,3,3
70,-3,-1,1,-6
71,1,1,1,-1
72,-1,-4,9,0
73,19,-35,29,-5
74,-2,-1,1,-2
75,3,-12,15,0
76,3,-6,-2,-4
77,5,-7,9,1
78,-2,-1,-6,1
79,7,-12,8,6
80,-4,2,-15,2
81,-5,10,-5,-2
82,-1,-8,12,-2
83,-4,16,-29,2
84,-2,0,-1,3
85,-1,8,-6,3
86,-6,5,-13,2
87,-2,-1,6,-2
88,0,-11,4,1
89,-2,-1,12,-2
90,8,-19,27,-6
91,1,-10,-3,12
92,8,-27,21,-4
93,11,-22,10,-4
94,3,1,-3,4
95,-3,15,-29,10
96,1,-4,-5,-2
97,-4,4,-1,4
98,-7,17,-16,3
99,-3,-4,0,0
100,4,-13,6,2
101,3,-2,-4,9
102,5,-4,5,4
103,0,5,-11,1
104,8,-13,5,-4
105,-3,-5,4,-1
106,1,-1,0,2
107,0,-2,-3,10
108,-1,10,-17,6
109,12,-22,10,-2
110,-3,-2,1,1
111,2,-4,3,1
112,-6,2,0,-1
113,-6,17,-36,13
114,-2,0,-9,11
115,4,-5,-1,1
116,-7,-3,11,0
117,-7,14,-2,1
118,4,-1,-10,2
119,-5,0,3,5
120,0,-4,-1,7
121,3,5,-12,9
122,14,-22,0,0
123,1,3,-7,11
124,-6,-4,5,0
125,-3,1,-16,12
126,5,-5,-1,0
127,-4,-5,1,3
128,10,-15,8,0
129,4,0,-8,2
130,-5,0,-3,-4
131,-6,-1,-5,3
132,-7,7,-13,4
133,0,0,-8,7
134,-1,22,-43,21
135,0,-7,-16,9
136,8,-19,8,-2
137,-8,14,-25,12
