Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,7,-3,3,-6
2,3,-12,26,-12
3,4,-5,4,-1
4,-1,-14,16,2
5,-4,10,-13,2
6,8,-20,20,-11
7,-4,-4,3,0
8,-4,-5,7,-3
9,-7,7,-5,5
10,11,-19,23,-3
11,4,-6,1,-1
12,-8,16,-18,6
13,-4,5,-2,-2
14,-2,-5,16,-7
15,4,-2,0,0
16,2,6,-7,5
17,11,-16,16,2
18,0,-11,23,-4
19,2,-4,7,-6
20,1,3,-17,12
21,0,0,0,-2
22,1,6,-9,2
23,-12,13,0,-3
24,1,2,-9,1
25,-2,-12,6,-1
26,0,15,-24,3
27,1,-2,-3,4
28,9,-2,-2,3
29,-1,5,-5,0
30,-4,0,4,-3
31,-7,0,12,-6
32,0,8,-5,-1
33,-2,1,7,3
34,-5,8,-9,6
35,-2,3,-7,5
36,-4,4,-1,-3
37,6,-2,-6,5
38,-3,7,0,0
39,3,10,-15,6
40,12,9,-9,7
41,8,-10,7,1
42,7,9,-10,17
43,-3,11,-3,8
44,7,-20,23,0
45,6,-3,12,1
46,2,-1,10,-3
47,2,4,-4,6
48,-7,13,-15,10
49,15,-27,31,-5
50,12,-4,-7,7
51,-14,18,-14,10
52,-7,3,-4,2
53,2,-5,-4,0
54,4,-5,11,-5
55,5,-10,-5,6
56,7,-17,14,1
57,3,-9,15,-1
58,-9,3,7,6
59,-5,14,-12,0
60,0,8,3,0
61,3,-2,-1,0
62,2,-3,6,0
63,4,-3,14,-5
64,-4,8,-4,0
65,-8,7,-5,6
66,6,-14,18,-10
67,-7,8,3,-6
68,-4,0,5,-9
69,11,-17,13,6
70,5,4,-20,7
71,8,-23,23,-9
72,2,-1,-6,0
73,-11,10,-6,4
74,-1,-2,11,-5
75,11,-14,14,0
76,3,-9,19,-3
77,4,-11,18,-7
78,0,3,-1,0
79,-4,8,-8,4
80,-8,-3,10,-11
81,5,-5,-1,1
82,6,-32,38,-9
83,4,-10,-6,7
84,0,-8,11,-3
85,-10,12,2,2
86,0,-12,23,-10
87,11,-19,12,-5
88,4,8,-1,-1
89,3,3,-7,12
90,2,-5,2,1
91,3,-11,26,-12
92,1,-2,10,-1
93,1,-3,6,3
94,8,-2,0,7
95,2,15,-24,8
96,-8,11,-7,9
97,10,-16,12,-1
98,2,-14,28,-9
99,-6,7,8,-2
100,4,-19,21,-8
101,6,-15,16,-4
102,0,3,-6,10
103,-2,7,3,-2
104,-4,8,-2,3
105,5,-10,12,-7
106,5,-14,14,0
107,7,-1,-2,1
108,2,0,-5,-1
109,2,-5,11,0
110,-4,6,-5,2
111,-1,19,-23,11
112,1,1,1,-1
113,-11,19,-20,0
114,-6,11,-11,5
115,0,5,-2,6
116,1,-15,22,0
117,9,-1,-2,3
118,0,3,-1,0
119,2,-12,18,-4
120,-9,8,-3,-3
121,0,6,-5,5
122,-10,15,0,-1
123,-9,2,2,-1
124,1,4,-10,11
125,0,1,-4,4
126,-2,22,-14,2
127,16,-16,6,4
128,0,1,-3,1
129,1,5,0,-7
130,1,2,-12,6
131,9,0,-3,5
132,9,-12,-1,8
133,5,-14,25,-12
134,-3,21,-15,7
135,5,2,-5,8
136,1,-6,9,1
137,0,-8,13,-12
138,-4,9,-3,0
139,-8,16,-10,0
140,3,0,1,3
141,7,-17,22,-1
142,2,-2,20,-1
143,4,-3,3,-1
144,-4,13,-7,7
145,-7,17,-15,4
146,0,6,-15,9
147,-1,-3,1,0
148,2,6,-6,4
149,1,-4,-7,11
150,-9,17,-14,0
151,-6,-3,7,-2
152,6,-18,11,2
153,-1,-2,6,4
154,7,1,-11,11
155,-10,18,-15,7
156,-7,2,3,7
157,3,-3,4,-2
158,-6,4,2,0
159,8,-6,5,2
160,0,1,1,0
161,4,2,-5,3
162,9,-18,11,1
163,2,4,3,9
164,5,-8,6,-1
165,6,-3,-6,3
166,5,-5,5,3
167,7,-8,0,3
168,-6,1,9,2
169,1,0,5,-2
