Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,8,-18,18,-2
2,-6,13,-7,6
3,2,-11,12,-5
4,3,-13,0,0
5,3,-15,19,-3
6,2,-3,4,2
7,1,-6,10,-4
8,2,-11,12,-3
9,-8,13,-4,7
10,1,-1,3,3
11,0,2,0,3
12,3,-10,4,0
13,-3,1,7,5
14,3,-10,16,-6
15,6,3,-9,6
16,-2,5,-6,4
17,-3,8,-8,5
18,0,-1,6,-3
19,-1,-6,2,1
20,-6,0,2,2
21,2,-11,19,-5
22,-1,12,-6,1
23,0,17,-4,12
24,-6,26,-22,12
25,10,-10,6,0
26,2,-2,6,-2
27,3,-9,12,0
28,3,-19,28,-4
29,5,-1,1,2
30,0,0,3,-4
31,13,-20,16,2
32,-2,3,10,0
33,0,4,-3,5
34,-4,12,-5,1
35,1,0,8,-1
36,3,-5,6,0
37,6,-7,15,0
38,-2,7,-3,3
39,-3,3,4,5
40,-3,9,2,5
41,-2,22,-17,15
42,11,-8,14,8
43,5,-2,12,11
44,-4,1,19,2
45,4,-12,27,5
46,2,-1,4,7
47,-1,4,-11,12
48,12,-22,13,5
49,-1,1,12,10
50,8,-3,-1,13
51,3,-8,13,0
52,-7,7,3,2
53,0,-3,-13,7
54,2,-5,15,-4
55,0,-7,13,0
56,1,-8,16,-3
57,1,-9,14,2
58,0,-14,15,0
59,5,0,-1,5
60,-1,6,0,0
61,2,0,-11,9
62,-3,7,0,0
63,9,-24,25,-4
64,3,-1,0,0
65,-3,15,-14,8
66,0,7,-6,3
67,-2,13,-13,9
68,5,-7,-2,5
69,5,-13,20,-1
70,-4,-4,5,-2
71,-2,0,8,-4
72,10,-11,7,5
73,4,-6,14,3
74,7,-6,6,-2
75,-1,0,-5,8
76,0,0,1,3
77,-3,1,5,-4
78,9,-6,-9,10
79,0,0,4,0
80,-1,0,-2,9
81,0,5,1,1
82,-10,10,0,8
83,-5,16,-19,8
84,7,-13,10,0
85,-2,-3,14,0
86,3,-2,0,0
87,-2,2,-4,3
88,-8,0,19,-5
89,6,-4,5,4
90,-1,0,7,2
91,3,-10,5,2
92,8,-9,8,5
93,-5,5,7,0
94,-9,11,7,-1
95,-1,10,-16,12
96,3,1,3,1
97,0,0,2,7
98,2,1,-4,9
99,0,3,-3,5
100,-9,19,-15,13
101,7,-15,18,2
102,21,-29,30,-6
103,10,-14,10,1
104,7,0,0,4
105,0,-8,12,0
106,9,-8,2,3
107,0,18,-22,13
108,7,-7,0,1
109,3,-5,7,4
110,-4,0,6,-2
111,1,14,-11,9
112,-1,-3,12,-1
113,-6,21,-29,11
114,0,0,-9,5
115,1,8,-3,4
116,-6,4,6,0
117,-8,12,-8,7
118,3,3,-7,5
119,-8,5,16,0
120,-1,8,-10,6
121,0,13,-20,20
122,5,-10,10,2
123,-5,13,-10,10
124,0,0,3,3
125,3,9,-15,7
126,-1,2,-3,7
127,0,-3,1,6
128,8,-10,14,-2
129,4,0,-9,11
130,9,-10,6,4
131,-2,1,2,3
132,-2,3,5,2
133,1,5,-10,7
134,-4,18,-16,9
135,5,14,-29,13
136,6,-18,15,4
137,-5,6,-3,6
138,-1,4,5,-3
139,4,0,-2,6
140,-1,14,-18,17
141,2,4,-11,11
142,2,-17,20,0
143,-1,9,-13,7
144,-6,16,-24,9
145,2,3,-2,2
146,-7,17,-16,6
147,-4,27,-26,7
148,-2,8,-8,6
149,0,15,-20,7
150,7,-3,-6,6
151,-1,-4,0,4
152,8,-6,7,3
153,6,-4,15,-4
154,-3,14,-20,8
155,5,5,-18,6
156,1,5,-19,16
157,-8,10,-9,7
158,2,-7,-1,11
159,11,-7,2,7
160,0,13,-11,11
161,7,-1,-4,4
162,-1,3,3,12
163,-6,6,0,3
164,4,-2,14,-6
165,-3,12,-5,8
166,-11,19,-6,6
167,3,-12,12,2
168,11,-19,24,-1
169,2,18,-30,23
170,-3,12,-16,6
171,-8,14,-8,10
172,6,-1,-8,-1
173,5,-2,-10,3
174,1,6,-6,5
175,-4,9,-9,2
176,-7,13,-16,10
177,2,10,-20,13
178,8,-2,-7,9
179,4,-6,4,4
180,-1,0,0,4
181,4,8,-13,5
182,5,11,-28,19
183,-6,15,-2,-1
184,-8,4,-3,6
185,10,-8,-2,4
186,3,8,-20,11
187,3,1,-6,15
188,-2,3,-4,5
189,-2,11,-17,14
190,1,2,-5,4
191,-3,-1,17,4
192,4,3,-3,9
193,2,2,-4,11
194,5,-6,14,2
195,-5,15,-16,2
196,18,-20,13,6
197,2,-3,17,0
198,1,0,10,7
199,-6,10,-11,4
200,4,0,-11,5
201,-4,9,-18,16
202,7,-14,3,5
203,6,-8,11,0
204,2,8,-8,18
205,13,-9,12,7
206,-2,10,-13,9
207,-8,20,-22,12
208,-1,8,-8,9
209,-2,10,-9,5
210,-5,17,-12,8
211,10,-7,-9,4
