Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,9,-33,25,-3
2,3,-3,9,4
3,2,0,-6,4
4,0,14,-25,1
5,-5,9,-7,-2
6,0,6,3,-4
7,1,-4,5,2
8,6,4,-12,4
9,8,-12,-2,3
10,-6,-3,14,-3
11,2,2,-11,1
12,-3,-2,0,1
13,-4,-3,14,4
14,-3,9,-16,3
15,9,-15,18,-6
16,-2,-2,5,1
17,9,-17,13,0
18,10,-13,8,2
19,7,-16,17,-9
20,6,-9,10,-3
21,-1,-13,17,0
22,2,7,-21,9
23,2,-1,0,0
24,5,-4,-8,1
25,0,-5,0,4
26,0,9,-21,7
27,-1,-8,8,-3
28,10,-13,12,-5
29,-4,2,2,-4
30,3,-8,15,-1
31,-6,1,11,-4
32,0,-5,-6,4
33,6,-9,17,-10
34,-1,3,2,-2
35,-8,11,-14,13
36,9,-17,10,-4
37,0,0,-17,10
38,-4,2,-2,-1
39,5,-9,7,-1
40,1,-9,12,-1
41,-5,9,-20,2
42,3,-10,9,-10
43,7,6,-18,2
44,3,-8,8,3
45,-3,-2,12,0
46,3,-10,4,-2
47,-14,20,-14,3
48,5,-11,8,-6
49,1,-21,38,-12
50,6,-8,-3,5
51,5,-5,0,8
52,5,-7,1,-1
53,7,-9,4,1
54,3,-9,15,0
55,7,-15,21,2
56,1,-11,18,-8
57,0,8,-4,2
58,0,-10,12,1
59,6,-6,-11,5
60,-3,9,-10,7
61,0,-18,27,-14
62,3,-1,-6,0
63,0,5,-8,4
64,7,-9,5,-2
65,2,-2,0,-1
66,-6,5,0,1
67,0,15,-20,11
68,-2,15,-18,11
69,4,-15,6,2
70,6,-11,3,7
71,-1,8,-5,10
72,3,-7,7,3
73,-3,-2,3,4
74,-6,5,-3,1
75,-4,-4,12,2
76,1,1,4,0
77,3,-8,0,-1
78,1,1,0,0
79,2,0,-2,9
80,-1,4,-12,7
81,0,-8,1,2
82,8,-9,21,-5
83,-4,-4,-1,1
84,4,-1,-1,4
85,5,-15,10,-1
86,-8,7,-3,5
87,3,-8,0,4
88,3,-8,6,-3
89,9,-2,0,4
90,3,-10,9,-2
91,-1,-3,7,-1
92,0,-9,17,-2
93,1,-5,16,-5
94,3,3,-8,14
95,4,0,-7,-1
96,4,9,-12,2
97,5,-6,3,1
98,0,0,-5,4
99,0,-3,11,2
100,6,-7,-2,5
