Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,3,-2,0,0
2,4,-13,14,-7
3,-6,11,-15,1
4,-7,2,-4,-4
5,-4,2,-1,-10
6,-1,4,-9,1
7,-1,1,-4,1
8,-4,6,-4,1
9,0,-4,0,-8
10,5,-14,13,-3
11,-19,25,-27,8
12,-2,5,-7,-3
13,1,-9,17,-6
14,-2,10,-11,0
15,-8,8,-3,0
16,-1,-4,2,0
17,-8,5,-1,-5
18,-1,1,1,-6
19,7,-6,-1,1
20,-6,8,-11,0
21,12,-8,6,-4
22,0,5,-11,-8
23,-5,20,-25,3
24,8,-2,-7,0
25,-2,12,-5,-10
26,2,-8,-7,2
27,3,-2,0,2
28,3,0,-10,5
29,-1,4,-17,6
30,-1,-2,5,-5
31,8,-14,8,-7
32,-1,-3,3,0
33,3,1,0,1
34,-3,15,-18,-1
35,3,-13,18,-15
36,8,-10,0,-2
37,3,-5,12,-8
38,0,6,-6,4
39,2,-14,8,0
40,0,-3,2,0
41,-3,4,-6,0
42,-6,17,-10,-2
43,-2,9,-2,-1
44,-3,10,-6,0
45,11,-16,13,2
46,0,4,-8,0
47,-3,12,-12,3
48,-3,5,0,0
49,4,-8,17,-7
50,-1,11,-16,1
51,3,-5,16,-9
52,1,-2,7,-9
53,3,7,-8,-2
54,-4,14,-13,-1
55,5,-7,9,-6
56,10,-12,16,-7
57,-3,5,-7,4
58,11,-12,9,-3
59,-3,21,-25,3
60,0,11,-26,3
61,-9,19,-27,7
62,0,-5,1,-3
63,8,0,-7,0
64,6,-9,1,1
65,2,3,-13,0
66,0,3,-6,0
67,-2,10,-14,7
68,0,3,7,-10
69,5,-11,11,-4
70,-6,24,-18,2
71,3,-3,9,-3
72,7,-17,23,-10
73,4,-18,13,-4
74,-3,14,-31,10
75,3,4,-2,1
76,-3,-3,-1,1
77,3,0,-13,1
78,3,1,-6,0
79,6,-3,-3,0
80,-4,14,-22,5
81,5,-8,7,-7
82,10,-5,0,1
83,-5,17,-28,0
84,-4,3,8,-1
85,0,-15,18,-1
86,0,3,-13,6
87,8,-9,6,-4
88,4,0,-15,9
89,1,1,0,-5
90,0,1,7,0
91,3,-7,18,-5
92,2,9,-8,6
93,-5,0,12,-5
94,0,-5,2,0
95,0,6,-16,1
96,0,9,-19,8
97,0,8,-11,0
98,-7,9,-2,2
99,3,-7,13,-6
100,-11,18,-18,3
101,3,-17,18,-1
102,2,0,-4,3
103,0,8,-12,3
104,-5,21,-14,0
105,-1,-2,-14,2
106,9,-14,12,0
107,-11,20,-21,4
108,-10,14,-18,3
109,2,6,-20,2
110,-2,2,-12,6
111,-2,11,-25,11
112,-5,13,-7,1
113,-2,9,-18,6
114,0,2,1,0
115,1,2,1,4
116,-1,2,-1,5
117,-9,16,-16,4
118,-7,19,-19,3
119,4,-7,16,-6
120,9,-20,16,-4
121,2,4,-7,5
122,-9,24,-17,4
123,3,-4,12,-5
124,4,5,-23,5
125,-5,16,-33,12
126,-5,6,-13,7
127,4,-3,-13,7
128,0,-11,21,-9
129,5,-4,3,0
130,2,22,-27,6
131,7,-6,2,8
132,2,-20,10,-2
133,-9,3,-9,11
134,1,3,-6,2
135,-6,18,-10,2
136,2,-1,3,5
137,0,-1,3,-9
138,-5,11,-26,17
139,-3,8,-5,3
140,0,2,0,1
141,3,5,-8,3
142,0,10,-9,10
143,-1,15,-28,5
144,13,-10,-1,0
145,-7,19,-20,12
146,-8,26,-28,12
147,-3,11,-12,1
148,4,-2,-2,4
149,1,6,-13,0
150,-9,14,-7,5
151,4,3,-11,6
152,-3,-5,10,-3
153,1,0,8,0
154,-2,0,0,1
155,-3,13,-18,10
156,-7,3,-8,1
157,-3,15,-9,-2
158,-3,12,-8,3
159,6,-3,-1,0
160,3,-2,-1,-3
161,-5,13,-17,12
162,-2,-10,11,-1
163,-2,8,-3,2
164,8,-16,13,-3
165,9,-12,8,-2
166,7,-5,4,-2
167,-4,14,-26,10
168,10,-14,9,1
169,3,6,-20,10
170,-4,5,-7,6
171,-7,3,1,3
172,-10,11,-4,-4
173,3,-5,-2,-2
174,-1,-2,0,2
175,9,2,-21,16
176,-1,14,-13,-2
177,3,8,-12,0
178,-2,-7,12,-5
179,2,3,-9,-3
180,6,-7,-2,7
181,-10,23,-40,17
182,0,-1,-1,-1
183,-5,16,-18,1
184,12,-25,14,-3
185,-2,9,-8,11
186,3,1,-10,2
187,0,3,-1,0
188,-6,16,-19,5
189,-10,20,-21,7
190,0,0,1,2
191,-8,4,-8,10
192,-4,6,-19,11
193,1,-6,-1,3
194,-3,4,-5,5
195,-7,13,-20,4
196,3,-3,-5,2
197,4,-8,0,3
198,3,0,2,-4
199,-1,18,-24,5
200,-7,13,-11,2
201,-5,5,-7,2
202,-9,7,0,10
203,2,-2,-10,4
204,0,1,-10,12
205,7,-1,-5,3
206,2,0,-10,9
207,-6,21,-11,-2
208,7,-12,7,-3
209,-2,-4,2,3
210,4,6,1,0
211,8,3,-16,0
212,-3,10,-18,4
213,-4,8,-15,5
214,-5,12,-29,7
215,-9,19,-26,8
216,0,4,-24,15
217,-16,24,-17,0
218,4,-2,-4,-6
219,1,9,-20,5
220,-8,14,-14,6
221,2,2,-5,6
222,-9,10,-28,8
223,-9,12,-19,2
224,-4,4,-10,0
225,-4,14,-19,2
226,-8,0,7,-7
227,-1,-1,-3,0
228,-6,11,-7,-4
229,-3,-2,9,-2
230,0,-10,12,-4
231,5,3,-8,-2
232,-6,17,-19,6
233,7,-7,-1,-1
234,-1,3,-10,5
235,1,-4,9,-3
236,-1,9,-15,0
237,1,-17,25,-8
238,2,10,-20,11
239,-2,4,-12,5
240,5,-2,1,-1
241,-3,5,-9,5
242,-3,-2,1,-2
243,-9,15,-17,8
244,6,-16,9,-2
245,-9,12,-5,0
246,-1,3,8,4
247,5,-7,4,4
248,-5,9,0,4
249,0,0,-5,2
250,-5,15,-26,10
251,-15,20,-23,7
252,-3,12,-5,0
253,-1,4,-11,6
254,6,-7,-3,-3
255,4,-2,2,0
256,-6,12,-9,0
257,0,13,-18,14
258,-6,9,-9,7
259,3,4,-23,2
260,4,-9,7,-2
261,0,0,1,0
262,0,-1,-1,3
263,-8,3,0,1
264,-2,4,-5,-3
265,-1,-8,9,-3
266,0,-2,0,1
267,-3,4,-5,1
268,-2,4,-6,10
269,0,0,2,-6
270,-7,4,-1,-3
271,3,-1,-10,-1
272,0,-4,6,-7
273,0,-3,0,2
274,3,-5,-11,1
275,6,-4,-8,3
276,1,-1,-4,4
277,-9,17,-10,-1
278,14,-15,4,-5
279,-7,14,-7,0
280,3,-2,0,-1
281,-1,4,-18,6
282,-6,16,-25,3
283,4,0,-4,-4
284,6,-2,-2,1
285,0,-10,21,-10
286,0,-4,-3,1
287,-2,4,-16,15
288,0,-14,20,-5
289,-3,-4,2,2
290,0,-2,-2,9
291,-10,4,-6,3
292,6,-10,7,0
293,-3,0,-1,9
294,-1,-12,8,-2
295,-5,3,-8,9
296,-4,-2,20,-8
297,3,10,-26,2
298,-4,10,-15,-3
299,-9,16,-23,5
300,8,-14,13,1
301,-3,2,-6,4
302,3,-11,2,-4
303,-6,6,-2,-2
304,4,17,-21,8
305,-13,12,-14,10
306,0,12,-15,6
307,14,-15,13,2
308,9,-21,26,-2
309,-13,21,-28,6
310,8,-10,7,-2
311,14,-28,14,1
312,-9,14,-6,0
313,-4,8,-5,5
314,4,2,-5,4
315,5,27,-43,11
316,3,-4,0,0
317,6,-8,14,-1
318,8,7,-14,8
319,1,1,0,4
320,14,-10,-2,1
321,0,1,0,-1
322,-2,4,-9,9
323,5,-5,4,-2
324,-11,13,4,-2
325,6,-4,0,1
326,4,-1,-2,6
327,10,-14,6,5
328,-4,8,-4,-4
329,-4,2,3,1
330,4,-4,-2,1
331,5,-17,21,-5
332,6,-14,19,-8
333,-1,7,-14,6
334,-2,7,-9,4
335,0,8,-12,4
336,-8,9,-3,7
337,9,5,-16,-5
338,6,4,-3,5
339,-6,19,-22,5
340,0,2,-10,0
341,1,-4,17,-5
342,1,6,-7,8
343,0,8,-18,9
344,0,4,-5,11
345,2,6,-8,5
346,-1,15,-14,2
347,0,-6,13,0
348,11,-15,8,0
349,7,-12,17,-7
350,5,6,-10,3
351,8,-8,12,0
352,-4,7,-1,0
353,-2,12,-18,8
354,-4,9,1,1
355,-7,12,-11,5
356,2,0,-3,-1
357,1,9,-11,4
358,-6,12,-8,5
359,10,-10,-6,8
360,-6,14,-13,12
361,0,7,-5,1
362,-3,10,-21,12
363,0,5,-11,12
364,3,1,-11,7
365,-7,8,-9,3
366,-5,25,-26,8
367,2,-8,16,1
368,5,4,-7,3
369,1,13,-37,16
370,-8,18,-11,6
371,-1,0,-10,5
372,-1,16,-19,3
373,-4,-3,2,0
374,-8,7,-7,0
375,-2,13,-5,0
376,-2,10,-11,4
377,-8,18,-29,13
378,-6,8,-2,-2
379,0,7,-17,7
380,-4,11,-7,2
381,-4,4,11,-6
382,0,-8,14,0
383,1,5,-10,8
384,4,-7,12,-5
385,8,-9,2,5
386,4,-2,6,2
387,-1,13,-11,8
388,-7,20,-25,0
389,0,1,0,2
390,2,2,-6,3
391,13,-25,18,0
392,1,1,-7,6
393,-1,5,0,1
394,-7,4,-4,3
395,1,9,-18,7
396,-5,0,-3,3
397,-2,9,-8,1
398,2,-4,4,-2
399,1,5,-6,-5
400,11,-9,-2,0
401,1,-14,30,-5
402,0,13,-20,5
403,-6,1,0,4
404,-2,6,-17,9
405,-4,13,-18,6
406,1,-16,20,-13
407,-4,5,-6,-1
408,1,10,-23,10
409,10,-6,8,3
410,-7,8,2,0
411,3,0,3,8
412,19,-23,28,-4
413,10,-20,13,-4
414,2,-2,-3,6
415,2,-16,15,-2
