Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,2,-4,1,7
2,3,-22,22,-9
3,10,-22,11,-7
4,-6,14,2,-8
5,2,-7,10,-5
6,-3,15,-13,6
7,-5,0,10,-8
8,-13,15,-8,3
9,-2,3,1,0
10,-1,0,12,-9
11,-11,12,0,-1
12,0,16,-15,7
13,8,-7,4,-4
14,1,9,-15,10
15,-3,14,-10,7
16,-2,7,0,-2
17,-11,15,0,-3
18,2,0,0,0
19,-4,6,0,5
20,3,-3,4,-4
21,0,1,-2,10
22,0,6,0,0
23,0,1,-6,1
24,-7,10,-14,5
25,0,6,-3,8
26,2,5,1,-6
27,-3,5,3,-3
28,-4,0,8,-4
29,-5,8,0,0
30,5,-12,26,-14
31,-4,5,3,0
32,3,8,-20,6
33,-7,12,-11,6
34,9,-10,-4,7
35,-1,-4,14,-10
36,0,8,-13,5
37,3,-2,3,3
38,14,-20,9,-5
39,-7,6,5,8
40,1,13,-19,9
41,1,12,-8,-4
42,0,9,-4,6
43,-8,10,-4,2
44,-7,11,-10,2
45,-6,16,-12,5
46,-5,10,-9,6
47,-2,15,-13,-2
48,9,7,-19,9
49,-7,10,0,0
50,5,6,-6,11
51,-1,1,-2,-3
52,-8,24,-17,3
53,0,12,-15,7
54,-4,20,-22,9
55,-2,1,11,-11
56,-10,14,-20,14
57,9,-20,15,-3
58,6,-7,10,0
59,-6,16,-7,-5
60,-5,17,-18,0
61,-4,17,-16,14
62,-7,8,0,0
63,-5,12,-10,9
64,-1,2,8,0
65,5,-6,10,0
66,0,7,-5,1
67,-6,13,-3,4
68,3,9,-9,6
69,-4,6,-3,-2
70,-8,18,-8,0
71,5,2,-3,1
72,-1,14,-8,2
73,-1,8,1,0
74,-6,25,-18,11
75,-3,11,0,0
76,-6,16,-13,7
77,-6,18,-12,4
78,0,10,-19,11
79,2,9,-8,6
80,-9,15,-8,3
81,-7,2,7,1
82,-6,12,-14,6
83,-5,15,-11,-1
84,2,-1,2,-4
85,2,10,-5,0
86,8,1,-10,7
87,-6,9,2,-3
88,-6,21,-18,6
89,2,-10,9,4
90,-3,27,-24,11
91,-3,16,-12,7
92,4,4,6,-3
93,-6,12,1,-1
94,-1,4,4,11
95,6,5,-4,5
96,0,9,-7,2
97,8,-18,14,-4
98,-2,6,-17,18
99,-3,7,-5,3
100,-3,11,-12,5
101,3,10,-9,0
102,0,2,2,-1
103,-14,37,-19,0
104,-3,10,-8,-4
105,2,2,0,5
106,5,0,-13,9
107,-18,28,-20,7
108,-4,23,-21,11
109,-6,11,-4,12
110,3,9,-10,3
111,-1,15,-7,2
112,15,-4,-8,10
113,5,5,1,-1
114,-4,9,-4,5
115,-4,8,2,4
116,-7,29,-27,9
117,-5,12,-9,2
118,4,2,-3,11
119,-6,-3,10,-7
120,0,13,-8,11
121,4,0,4,1
122,3,3,-1,1
123,-4,6,-10,15
