Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,4,-2,4,-4
2,-2,-1,1,7
3,-3,1,1,4
4,1,-6,8,-8
5,5,-3,12,6
6,4,-4,-4,6
7,7,-11,2,2
8,7,3,-2,1
9,6,3,-16,10
10,0,12,-11,11
11,3,-7,7,0
12,6,-6,12,-5
13,-3,-1,10,1
14,-4,13,-12,3
15,0,0,-1,3
16,2,-1,-8,6
17,7,-1,7,-3
18,10,-2,-9,6
19,12,0,-10,8
20,-6,12,-12,3
21,10,-8,2,2
22,-5,10,-7,7
23,4,-1,1,3
24,8,-8,2,5
25,4,-4,0,7
26,-2,5,-3,3
27,1,0,0,-1
28,14,-18,6,-1
29,6,-13,20,-1
30,-7,17,-11,8
31,0,11,-7,6
32,1,3,9,-5
33,7,-8,9,0
34,1,5,-4,9
35,4,-17,20,-5
36,6,-11,9,0
37,-1,10,5,2
38,5,0,-9,5
39,4,-3,6,1
40,4,-4,1,8
41,6,-6,10,-2
42,8,0,-3,2
43,-1,-15,21,-5
44,4,8,-13,3
45,4,-3,1,-1
46,6,-11,11,-2
47,5,0,-1,0
48,5,-11,1,0
49,0,9,-5,1
50,10,-12,15,3
51,6,-5,7,1
52,-5,9,6,-2
53,6,-11,2,11
54,10,0,-6,9
55,0,2,-10,4
56,-3,13,-3,4
57,-1,9,-4,2
58,2,5,-1,2
59,1,0,-2,7
60,12,-6,2,4
61,8,-12,3,1
62,7,-14,20,-5
63,13,-8,11,9
64,-11,8,15,3
65,-1,9,5,0
66,-4,3,3,3
67,16,-11,0,8
68,2,-2,4,4
69,10,-5,4,4
70,4,-2,8,-1
71,-1,4,-9,8
72,11,-2,-9,8
73,11,-13,11,-4
74,10,0,-2,6
75,5,4,-2,-3
76,0,18,-20,19
77,6,5,-8,7
78,2,-2,7,0
79,0,7,-2,3
80,3,7,-11,9
81,8,-13,8,-1
82,7,-7,8,4
83,-5,13,-5,10
84,1,1,0,12
85,9,-25,19,7
86,4,10,-13,12
87,2,6,-14,16
88,0,6,-5,7
89,12,-14,10,3
90,-6,8,7,0
91,-7,18,-9,9
92,8,-1,-4,7
93,-6,22,-9,10
94,12,-5,-2,4
95,1,-5,16,-4
96,0,4,9,-5
97,9,-14,17,-1
98,-5,1,4,6
99,5,-5,6,5
100,-4,16,-11,7
101,-7,26,-18,4
102,2,9,-13,15
103,6,-7,6,2
104,3,7,-5,7
105,2,1,0,9
106,10,-10,1,7
107,-6,14,-9,7
108,4,-2,8,1
109,3,6,-3,14
110,6,-5,7,5
111,12,-15,0,10
112,-4,10,-2,7
113,6,-3,0,9
114,0,0,0,11
115,13,-9,3,13
116,0,18,-8,7
117,3,0,0,6
118,1,-1,-3,10
119,4,5,-5,8
120,6,0,-6,23
121,-2,6,-3,9
122,5,3,-3,8
123,5,-5,11,-5
124,2,16,-13,5
125,-1,11,0,4
126,-1,5,0,14
127,3,8,2,0
128,12,-15,18,3
129,-9,8,4,4
130,5,-13,11,12
131,8,-4,9,1
132,2,12,-1,7
133,-2,19,-10,4
134,0,18,-9,4
135,9,-4,-8,14
136,15,-7,-7,12
137,0,15,-9,8
138,4,3,-12,16
139,10,0,-1,8
140,5,-4,8,0
141,7,0,4,-1
142,3,0,12,1
143,13,-5,-5,9
144,0,2,2,5
145,8,-12,12,4
146,11,-14,9,0
147,17,-15,13,1
148,3,3,10,2
149,17,-13,7,1
150,13,-13,10,15
151,4,3,-4,11
152,7,7,-1,3
153,12,-26,21,10
154,0,29,-26,16
155,3,8,-11,10
156,-4,7,15,0
157,9,0,0,1
158,-2,18,-11,9
159,-8,40,-40,22
160,4,4,0,1
161,-1,13,-2,4
162,-1,10,-3,6
163,8,-2,2,2
164,0,15,0,3
165,6,9,-14,8
166,11,-5,11,2
167,9,-8,11,1
168,2,11,-2,4
169,19,-23,17,2
170,10,-2,-4,13
171,2,8,-11,9
172,-1,13,-5,15
173,11,-9,8,0
174,6,10,-7,-2
175,4,1,-5,12
176,0,4,10,-3
177,3,10,-12,9
178,0,11,-10,9
179,6,-6,12,-1
180,15,-5,-13,10
181,2,-4,4,0
182,-4,7,1,0
183,1,8,-16,9
184,3,6,-10,9
185,3,7,-14,8
186,3,7,0,3
187,3,-3,3,3
188,9,-16,13,3
189,1,7,0,4
190,17,-10,-5,13
191,14,-12,19,-4
192,12,2,-10,6
193,13,-9,8,2
194,3,11,-1,8
195,12,-2,0,10
196,6,-3,4,0
197,8,3,-10,15
198,-9,25,-8,6
199,15,-7,7,10
200,10,-5,22,-1
201,3,4,0,7
202,0,6,6,4
203,0,14,-6,13
204,9,-4,12,2
205,2,13,10,-1
206,-3,11,-2,9
207,13,-28,25,4
208,-2,6,8,2
209,5,5,-6,11
210,1,8,9,5
211,17,-19,-1,16
212,4,0,11,10
213,5,0,17,-2
214,14,-1,7,6
215,10,-14,27,6
216,8,0,2,11
217,6,2,17,6
218,12,-3,0,11
219,8,-2,8,13
220,11,5,0,9
221,-4,18,1,20
222,13,3,11,9
223,10,4,-1,13
224,12,-10,20,6
225,11,0,12,5
226,14,-1,12,7
227,16,-5,24,7
228,6,15,-4,13
229,4,-4,21,5
230,2,5,10,5
231,10,4,4,10
232,10,1,0,6
233,9,-2,7,8
234,0,16,2,10
235,9,0,8,6
236,8,7,-7,19
237,7,-10,18,6
238,2,15,-4,1
239,6,12,0,11
240,3,28,-12,8
241,8,-1,4,6
242,8,3,2,9
243,10,-6,18,0
244,10,0,10,2
245,7,-8,18,3
246,11,2,9,5
247,16,-18,34,1
248,8,3,-1,7
249,11,-10,13,7
250,12,2,14,7
251,15,-7,10,10
252,18,-9,19,0
253,19,-9,9,3
254,17,-4,-1,9
255,11,-2,4,17
256,3,9,6,9
257,11,-20,30,7
258,18,-10,18,0
259,12,1,12,3
260,12,-4,9,8
261,9,1,10,10
262,11,-9,20,5
263,14,15,-13,14
264,19,-19,26,0
265,3,7,8,2
266,5,0,22,-7
267,13,-1,10,6
268,8,6,10,6
269,13,-7,24,5
270,11,-9,13,11
271,10,-10,26,-1
272,7,4,7,5
273,20,-11,22,3
274,10,-2,14,11
275,14,-10,20,3
276,9,-7,14,10
277,16,-11,21,9
278,8,4,1,15
279,17,-6,17,11
280,14,0,17,14
281,14,3,5,18
282,11,-2,15,10
283,21,-21,26,3
284,22,-14,29,7
285,20,-19,27,5
286,14,-2,14,13
287,25,-18,24,3
288,13,1,0,14
289,9,19,-11,24
290,13,-7,29,4
291,12,0,8,4
292,14,-4,24,3
293,13,4,22,7
294,11,0,21,4
295,3,8,12,9
296,14,15,-8,19
297,21,-1,15,9
298,11,-3,22,13
299,23,-2,11,13
300,10,11,13,10
301,28,-19,16,13
302,15,13,7,10
303,11,17,3,18
304,9,5,5,20
305,29,-20,32,4
306,24,-17,22,7
307,15,0,6,12
308,14,0,10,19
309,19,-6,20,5
310,19,1,10,14
311,17,7,8,4
312,20,-1,9,6
313,11,-12,28,6
314,12,6,2,15
315,19,2,10,11
316,19,-1,4,17
317,6,5,4,15
318,21,0,4,7
319,11,-2,16,4
320,10,1,10,3
321,18,-20,28,4
322,5,18,-6,17
323,13,0,11,11
324,15,-13,22,6
325,20,-16,29,-1
326,14,4,3,13
327,8,-5,20,7
328,12,5,6,12
329,17,-15,26,1
