Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,7,-4,6,8
2,0,-3,-1,1
3,1,2,-4,0
4,1,-2,-10,12
5,6,-3,1,2
6,5,0,-10,4
7,0,-3,18,-2
8,0,17,-18,11
9,-3,5,-4,10
10,5,-6,12,-1
11,4,3,-2,12
12,1,0,1,8
13,-1,0,5,-9
14,16,-13,6,3
15,2,-1,14,-8
16,7,-2,8,3
17,-6,15,1,0
18,11,-15,19,-6
19,8,-9,23,3
20,10,-2,8,6
21,8,2,1,-2
22,4,11,-18,12
23,9,-3,14,-4
24,-2,6,5,0
25,15,-20,19,0
26,6,5,-1,6
27,0,11,-3,5
28,0,16,-5,1
29,5,-2,14,-4
30,1,3,7,2
31,7,-8,11,0
32,-2,11,1,6
33,4,-11,16,1
34,-5,17,-13,13
35,0,16,-1,4
36,9,-3,3,5
37,7,0,0,5
38,-12,15,7,-6
39,8,4,-8,13
40,13,-26,22,0
41,0,-17,30,-5
42,8,0,0,2
43,-6,2,20,-1
44,10,-5,-5,17
45,1,7,-5,-1
46,0,2,9,-6
47,8,5,0,2
48,-11,11,4,0
49,11,-14,23,-5
50,2,-4,12,-1
51,8,-3,7,0
52,9,-13,17,-4
53,5,6,0,2
54,6,-3,5,-1
55,3,-2,0,0
56,0,4,0,2
57,5,-7,12,-2
58,1,8,-9,18
59,1,2,-5,8
60,0,1,8,1
61,4,-4,19,-4
62,4,9,-5,9
63,9,-18,35,-2
64,10,-4,0,7
65,0,8,5,4
66,1,13,-3,12
67,0,11,4,-4
68,8,-12,14,-4
69,0,-6,12,7
70,4,-2,-2,4
71,4,-4,8,2
72,4,1,0,13
73,3,-5,19,1
74,0,11,-3,7
75,-7,14,-4,3
76,6,-9,16,-1
77,6,3,3,-2
78,2,-8,16,0
79,13,-13,2,4
80,-5,15,-8,16
81,2,10,-6,7
82,0,6,6,-2
83,0,8,-2,7
84,12,-13,15,2
85,9,7,-2,0
86,6,-1,10,0
87,1,5,3,0
88,-1,6,0,2
89,11,-10,1,6
90,11,-12,18,-4
91,6,-1,1,8
92,4,-8,23,-4
93,9,0,0,0
94,10,-5,5,1
95,5,-23,29,1
96,12,-19,21,0
97,13,-15,9,0
98,18,-7,2,4
99,5,-1,5,1
100,-1,10,-3,1
101,3,0,3,-5
102,4,-1,13,-7
103,2,14,-5,12
104,2,19,-15,13
105,16,-12,10,-2
106,4,7,-6,9
107,5,-3,12,0
108,-8,11,-1,4
109,4,-7,16,4
110,10,-15,18,2
111,1,-11,17,-5
112,7,-6,11,2
113,-3,10,0,7
114,8,0,8,0
115,-4,1,15,-3
116,14,-7,5,12
117,9,-2,18,-4
118,13,-2,-4,1
119,2,11,-2,5
120,9,-6,11,6
121,8,-13,14,3
122,-3,0,11,0
123,13,-13,15,-1
124,13,-7,4,9
125,0,8,-4,7
126,2,10,-11,16
127,3,-3,7,1
128,7,-7,18,-1
129,0,6,7,3
130,-9,29,-18,16
131,19,-14,4,5
132,7,3,-4,8
133,3,-8,28,-8
134,6,1,-2,4
135,7,-3,11,0
136,3,13,3,0
137,10,-4,15,2
138,6,3,1,7
139,9,-7,13,-1
140,7,2,6,9
141,-5,15,-2,6
142,3,4,-2,11
143,13,-11,14,1
144,12,-7,6,6
145,0,8,4,12
146,-2,17,-2,7
147,3,-1,1,6
148,6,3,3,3
149,12,-1,13,3
150,8,5,3,3
151,10,-4,8,2
152,6,-4,17,5
153,14,-24,31,-5
154,6,-7,11,1
155,8,-6,4,9
156,7,9,-4,7
157,12,-5,8,0
158,19,-27,27,-3
159,4,2,0,3
160,14,-3,2,-1
161,6,-7,16,-4
162,3,3,11,5
163,14,-13,12,4
164,13,-21,23,-13
165,12,-3,3,7
166,4,0,9,3
167,11,5,-1,0
168,-1,0,6,1
169,-3,-3,15,3
170,-1,15,-2,1
171,2,-7,8,0
172,5,13,-3,3
173,12,-20,25,0
174,-1,14,-6,6
175,-5,10,-4,1
176,4,0,8,-4
177,-2,-8,25,-6
178,11,0,0,1
179,7,-9,13,-15
180,5,-16,23,-8
181,21,-26,18,-1
182,-1,8,5,1
183,-1,-1,15,-7
184,-4,14,-5,-1
185,2,2,2,0
186,10,-16,16,-5
187,4,7,-9,8
188,10,-16,10,-2
189,7,3,6,1
190,9,-11,18,-11
191,13,-11,17,-3
192,14,-25,34,-5
193,8,0,0,5
194,2,-2,2,6
195,3,15,-21,11
196,11,-3,11,-10
197,13,-10,10,1
198,5,-8,20,-5
199,10,-14,13,1
200,8,-12,9,-1
201,11,5,-2,-3
202,0,3,6,1
203,10,-16,12,-3
204,4,-9,15,1
205,8,3,4,-3
206,9,-11,21,-3
207,5,0,12,1
208,9,-11,16,-2
209,2,24,-12,10
210,4,6,-5,4
211,0,8,0,3
212,14,-20,23,-1
