Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,2,-4,3,-5
2,1,-3,8,0
3,10,-12,1,0
4,3,4,-2,-3
5,0,4,-12,9
6,-1,-1,2,2
7,4,-13,8,1
8,-4,1,4,-1
9,6,-4,4,-3
10,0,-10,21,-11
11,3,-1,0,2
12,7,-8,6,-6
13,5,-9,5,3
14,6,-5,7,-4
15,0,-5,7,1
16,10,-15,18,-6
17,1,-12,16,-9
18,8,-26,22,-3
19,3,-3,8,-5
20,4,-2,-6,3
21,0,8,-11,10
22,5,-12,16,-8
23,4,-8,10,-1
24,0,2,9,-9
25,0,12,-8,0
26,7,22,-27,11
27,4,-5,1,0
28,0,0,1,0
29,-5,9,-3,2
30,0,-3,13,-11
31,7,-3,2,-6
32,-2,-7,14,0
33,6,-1,10,0
34,12,-9,4,4
35,15,-13,6,8
36,6,-8,3,-1
37,6,5,-13,6
38,-5,2,6,0
39,11,-5,8,-5
40,1,8,3,1
41,0,-9,15,-5
42,-4,13,-13,5
43,12,-14,0,0
44,0,2,-4,7
45,-1,4,8,-1
46,9,-8,1,3
47,2,-2,12,0
48,13,-10,6,-5
49,9,-11,14,-3
50,6,-8,8,-7
51,0,12,-5,-4
52,6,0,-2,4
53,5,10,-12,6
54,3,-7,13,-1
55,4,-8,2,2
56,0,-3,7,1
57,11,-14,13,-2
58,9,-5,5,0
59,8,-12,20,-6
60,1,0,-3,5
61,19,-25,23,-8
62,4,-3,15,-5
63,0,-5,14,0
64,9,-2,4,4
65,7,0,0,6
66,0,-3,22,-10
67,-9,13,-8,9
68,-4,2,4,5
69,8,1,-2,11
70,6,-4,-1,-3
71,14,-7,0,-1
72,-1,4,-11,11
73,-8,21,-16,13
74,1,-4,1,4
75,7,1,3,6
76,4,-4,15,0
77,-5,10,-7,8
78,2,0,7,-1
79,0,1,-5,4
80,-5,21,-8,1
81,6,-7,12,2
82,12,-11,7,-2
83,14,-17,10,-1
84,-1,11,-2,0
85,2,0,11,-3
86,7,-8,6,5
87,7,-10,10,-3
88,2,5,-2,12
89,11,-10,9,-3
90,6,0,-3,5
91,12,-3,-3,9
92,8,-12,16,-3
93,10,-8,6,0
94,4,10,2,1
95,8,9,-12,7
96,18,-25,17,-1
97,4,0,9,-7
98,6,5,-7,7
99,10,1,-8,6
100,10,-1,-4,7
101,2,20,-28,18
102,6,9,-11,4
103,2,-1,10,5
104,5,0,-2,8
105,0,-7,17,0
106,7,1,3,3
107,3,8,-1,3
108,9,3,7,5
109,-8,12,1,2
110,11,-14,17,0
111,2,3,0,10
112,8,-7,3,10
113,1,-1,8,3
114,4,-5,20,-2
115,7,-13,20,-4
116,1,4,-3,6
117,8,-9,15,3
118,12,-4,12,10
119,-10,26,-14,6
120,8,-1,4,2
121,7,0,3,0
122,13,-11,17,2
123,8,-1,5,12
124,15,-7,8,0
125,5,10,-3,3
126,10,-4,8,11
127,5,0,17,0
128,0,1,7,2
129,20,-15,3,0
130,-1,1,11,-10
131,13,-18,12,2
132,6,-5,12,6
133,-1,1,2,4
134,0,0,14,0
135,9,2,-21,16
136,10,-13,16,0
137,13,-20,29,-8
138,4,11,-5,5
139,7,4,6,0
140,9,-6,12,11
141,14,-11,11,0
142,8,-9,15,0
143,6,-7,8,7
144,16,6,-3,8
145,10,-12,17,-2
146,0,-2,20,-3
147,-4,10,2,1
148,7,-16,21,-3
149,8,-14,22,6
150,19,2,-8,13
151,7,-11,23,-4
152,7,1,-1,11
153,1,5,-1,4
154,1,12,0,0
155,1,10,-13,11
156,5,-3,4,11
157,17,-25,25,-9
158,12,-10,12,-1
159,14,-1,0,3
160,14,-27,33,-13
161,11,-11,18,-5
162,-5,18,-6,1
163,0,3,3,7
164,0,-1,5,-1
165,16,-19,12,4
166,15,-15,14,2
167,5,0,8,5
168,2,4,-5,11
169,1,11,0,2
170,15,-26,23,-6
171,-5,12,-8,4
172,10,-6,0,-1
173,13,-7,9,-1
174,10,0,0,2
175,8,-8,1,5
176,0,15,-16,6
177,10,-2,0,5
178,6,-6,11,0
179,5,5,-11,4
180,0,-4,13,0
181,5,5,0,0
182,7,5,-1,0
183,0,6,-2,5
184,8,-6,-2,6
185,-2,20,-18,21
186,7,2,6,-1
187,15,-4,-10,14
188,-4,2,1,12
189,2,2,7,2
190,14,-17,15,-2
191,8,-10,3,5
192,10,-17,14,7
193,-5,20,-2,6
194,12,-12,11,8
195,5,-2,13,-7
196,-7,13,2,-3
197,-2,17,-12,14
198,6,-13,21,-5
199,14,3,-20,18
200,12,0,1,5
201,4,8,-3,7
202,8,1,7,-2
203,5,3,6,3
204,12,-4,2,11
205,7,-4,2,7
206,14,-21,24,-2
207,9,7,-5,11
208,10,-3,0,1
209,14,-7,16,-3
210,17,-9,1,9
211,12,-15,14,-2
212,4,9,-4,9
213,7,5,0,5
214,14,-7,11,-1
215,10,-3,10,-2
216,7,-2,-2,12
217,9,7,-10,12
218,3,0,4,0
219,12,0,-4,3
220,27,-23,23,-6
221,7,7,-1,7
222,9,1,6,8
223,13,-7,2,2
224,5,1,13,-1
225,8,-1,1,10
226,7,-6,17,5
227,17,-8,7,11
228,8,-2,5,8
229,-6,13,0,5
230,16,-18,25,-7
231,19,-14,15,2
232,11,-9,9,3
233,8,-11,31,-15
