Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,1,-2,7,-6
2,2,-11,9,1
3,3,-20,11,-7
4,4,-1,-17,15
5,2,-13,5,-7
6,4,-12,2,8
7,1,11,-12,12
8,2,-3,-2,1
9,-8,31,-28,12
10,-4,7,0,10
11,-4,7,5,-5
12,9,-13,20,-4
13,-1,15,-4,-6
14,0,-3,8,-3
15,12,-23,21,-8
16,-5,17,-17,8
17,-5,1,6,0
18,-5,15,-14,4
19,-1,-4,24,-14
20,-1,3,-9,-1
21,9,10,-16,-1
22,-9,10,-2,3
23,5,-1,-1,8
24,-3,-7,15,-9
25,4,-5,0,-1
26,7,1,-11,4
27,13,-27,22,-8
28,14,-15,2,-6
29,9,1,-7,5
30,8,3,-5,-2
31,-2,14,-6,-3
32,0,1,-1,0
33,1,0,8,-2
34,5,3,-11,7
35,1,-10,17,-11
36,-2,6,-12,3
37,3,4,-7,1
38,3,2,1,-4
39,-2,-1,7,1
40,2,1,-4,2
41,11,-20,12,-4
42,6,-16,21,-12
43,2,7,-7,6
44,1,-5,6,3
45,-2,8,-14,7
46,-3,6,-4,-1
47,-4,1,2,4
48,5,-9,8,8
49,8,-6,1,3
50,-5,18,-8,2
51,-7,7,2,7
52,-7,18,-10,2
53,0,3,-7,7
54,-3,21,-10,6
55,-6,5,3,-4
56,-4,0,0,0
57,-9,8,4,0
58,1,3,-8,7
59,2,-4,-3,3
60,-5,-3,19,-6
61,-10,14,-11,11
62,-8,28,-30,9
63,-7,14,-7,9
64,-1,7,-7,3
65,3,-9,18,-7
66,3,8,-11,3
67,1,1,5,-2
68,6,-1,9,-1
69,2,0,-7,11
70,6,-24,20,-5
71,-9,24,-10,0
72,0,1,-3,0
73,5,11,-11,4
74,-12,23,-13,11
75,-3,13,-4,-1
76,-3,14,-13,3
77,1,9,-11,9
78,-4,26,-26,14
79,1,-7,8,0
80,0,9,-1,6
81,2,1,14,-5
82,-4,8,-8,3
83,-8,12,-17,10
84,-4,15,-17,15
85,8,-2,0,3
86,2,1,-7,3
87,0,3,-5,1
88,6,-13,12,-4
89,3,-6,12,-3
90,1,9,-7,0
91,4,0,6,-2
92,8,8,-4,5
93,-1,10,5,-1
94,2,-1,-2,5
95,-10,31,-15,7
96,3,-3,0,0
97,9,-10,-1,2
98,-1,-6,12,-1
99,-1,1,2,2
100,0,8,-1,-5
101,2,-7,1,3
102,-1,16,-30,18
103,5,-8,13,-2
104,1,-6,17,-5
105,-2,-1,6,-2
106,-5,13,-6,0
107,0,4,-3,2
108,3,1,-7,2
109,7,-10,6,6
110,5,-9,8,0
111,7,-8,3,4
112,4,-2,-11,7
113,15,-11,10,-2
114,-4,0,14,-6
115,7,-11,13,-5
116,0,7,0,-1
117,10,-9,-11,10
118,-10,13,-2,0
119,12,0,-16,13
120,3,7,-5,10
121,-2,4,0,8
122,0,5,7,-2
123,5,6,-13,8
124,12,-13,18,-2
125,24,-32,17,-1
126,0,-1,13,5
127,3,-13,15,-2
128,0,-9,15,-3
129,4,-2,1,-1
130,-8,19,2,0
131,0,1,-5,5
132,-12,24,-6,2
133,4,-2,11,0
134,-9,29,-20,4
135,4,-8,13,0
136,13,-13,6,8
137,0,4,1,5
138,-5,19,-8,9
139,-2,15,-18,15
140,7,-22,25,-4
141,-5,13,10,-6
142,-6,14,0,0
143,5,7,-11,7
144,2,5,1,-7
145,-2,10,-3,-2
146,8,8,-16,5
147,11,-3,1,8
148,15,-9,7,-1
149,-3,20,-16,14
150,7,-1,-6,7
151,5,-5,7,8
152,3,4,11,-3
153,1,0,-5,2
154,9,5,-14,1
155,10,10,-11,-1
156,2,9,-11,4
157,0,6,2,-1
158,-3,-1,13,-11
159,0,2,-6,8
160,3,8,-8,0
161,-11,6,9,-4
162,-3,-2,10,1
163,4,7,-8,1
164,0,5,2,0
165,-1,12,-7,-4
166,6,-9,13,-4
167,0,10,-12,2
168,0,-8,1,7
169,6,0,6,-1
170,0,1,-10,6
171,7,-1,-7,4
172,-3,-3,11,-9
173,-1,13,-19,9
174,-5,0,-5,-1
175,-3,-4,0,0
176,-5,23,-11,-7
177,0,-7,17,-13
178,3,0,0,0
179,5,-5,-3,2
180,-9,12,-12,3
181,-9,20,-16,2
182,2,12,-26,11
183,0,7,-5,0
184,15,-21,17,-14
185,-7,23,-21,8
186,-6,18,-10,2
187,3,7,-19,10
188,16,-20,16,-9
189,2,2,-5,-1
190,-14,31,-19,10
191,5,-3,8,-7
192,-4,6,-5,4
193,-2,-3,1,-1
194,1,7,-8,10
195,-5,11,-5,1
196,0,5,-4,2
197,1,7,-14,12
198,-7,16,-5,9
199,0,4,-8,6
200,4,7,-4,3
201,8,-2,-3,-2
202,12,-6,-1,4
203,-10,20,-6,8
204,-6,17,-3,-1
205,5,1,1,3
206,-10,14,3,6
207,2,-5,16,-2
208,2,-4,19,-6
209,4,7,3,0
210,0,1,-3,4
211,7,-4,10,1
212,0,2,10,-4
213,1,1,-10,11
214,4,-6,8,2
215,3,-11,16,-6
216,10,-2,-1,-3
217,2,4,14,-5
218,5,9,-5,4
219,-7,13,-9,2
220,-10,24,-14,6
221,5,11,-14,12
222,7,8,-4,4
223,-3,-2,20,-8
224,14,-5,0,6
225,-2,0,5,0
226,-5,12,4,-3
227,-1,4,3,9
228,4,1,3,7
229,-7,35,-32,29
230,-3,9,7,7
231,-2,8,8,3
232,5,7,0,-3
233,-3,6,2,11
234,1,8,1,5
235,10,8,-10,10
236,-3,10,1,4
237,8,6,12,-7
238,4,4,8,4
239,7,3,5,0
240,0,20,-8,6
241,17,-11,9,-1
242,4,11,-4,9
243,1,17,-5,10
244,8,-11,16,5
245,6,5,7,5
246,1,18,-3,11
247,4,0,25,-8
248,-2,16,4,10
249,7,-9,12,5
250,4,4,6,3
251,3,11,4,0
252,-2,11,1,0
253,4,2,6,0
254,16,4,-8,0
255,13,-23,32,-9
256,0,1,18,-2
257,-1,14,-13,11
258,12,-2,20,0
259,5,-1,-3,9
260,12,11,-5,12
261,4,0,13,-3
262,15,-14,19,-3
