Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,7,-14,20,-9
2,-3,17,-22,2
3,5,-8,-1,5
4,3,-6,2,0
5,-10,0,-2,3
6,3,5,-2,3
7,6,0,-6,0
8,3,-4,3,3
9,-16,24,-17,1
10,3,0,-1,0
11,0,2,1,0
12,-8,6,0,-3
13,17,-18,1,-1
14,0,0,-8,7
15,-3,8,-7,4
16,-1,2,5,-7
17,6,-13,17,-5
18,-6,11,-1,-4
19,-5,8,0,0
20,1,-12,13,0
21,6,-18,10,-2
22,-10,21,-8,0
23,-1,14,-23,10
24,-2,19,-13,4
25,14,-16,6,-2
26,1,0,4,4
27,5,-13,14,1
28,-2,-2,5,3
29,3,2,5,-3
30,-9,11,-3,6
31,0,1,-2,10
32,0,8,0,0
33,6,2,-2,5
34,-2,-6,15,-2
35,6,-17,28,-13
36,12,-28,26,-6
37,-6,15,-1,-5
38,-6,11,-4,0
39,-9,5,7,-2
40,-5,13,-6,2
41,2,-5,7,-3
42,1,0,3,-4
43,-9,4,7,-1
44,0,5,-2,4
45,-4,2,4,-1
46,3,0,-4,6
47,-5,9,-1,0
48,-4,1,6,0
49,2,-8,2,-1
50,10,-17,15,-1
51,0,15,-10,2
52,-4,9,-8,10
53,0,9,-7,0
54,8,-8,7,5
55,-6,-1,11,-7
56,6,-22,19,-10
57,-5,15,-10,-3
58,-1,-3,8,-2
59,2,-2,18,-14
60,-3,-7,9,-5
61,2,3,0,0
62,8,2,4,-4
63,0,-6,12,-2
64,-1,0,-3,1
65,-3,16,-6,4
66,0,-1,2,-1
67,-4,4,10,0
68,0,9,-1,2
69,4,-8,7,-1
70,-5,13,-11,5
71,5,-13,12,-4
72,12,-17,21,-7
73,-9,20,0,3
74,4,-12,13,0
75,19,-27,19,-3
76,2,-3,6,-1
77,-10,15,-7,-4
78,-1,0,12,-6
79,-1,-8,8,-8
80,1,11,-8,5
81,8,4,-16,6
82,3,0,-2,8
83,-5,2,11,-6
84,-9,16,-10,4
85,0,0,14,-8
86,1,6,0,-4
87,1,-2,6,2
88,0,0,-1,3
89,3,-7,17,-10
90,-1,13,-4,4
91,1,9,-17,4
92,-6,7,5,0
93,0,-4,5,-5
94,3,9,-6,1
95,9,-7,19,-6
96,-4,15,-3,-3
97,3,-12,18,0
98,4,-7,14,5
99,1,10,-9,7
100,-11,20,-1,-12
101,8,-5,-3,0
102,6,-12,18,-4
103,8,-13,22,-5
104,9,-15,6,3
105,-2,21,-12,3
106,9,-2,-2,0
107,0,5,-11,8
108,-8,13,-4,1
109,10,-6,11,3
110,3,-7,8,4
111,8,-4,2,1
112,1,0,11,-11
113,15,-7,-3,9
114,-7,21,-3,0
115,0,4,-4,0
116,11,-13,14,0
117,-3,4,6,8
118,-5,7,3,0
119,-8,20,1,2
120,-1,4,10,3
121,6,-4,4,-5
122,3,-10,12,2
123,0,-1,10,-1
124,5,-1,11,5
125,0,3,0,7
126,8,-11,17,0
127,2,6,7,2
128,5,4,2,-1
129,14,-26,30,-17
130,8,6,-2,4
131,0,1,-9,10
132,0,1,5,5
133,8,-2,0,-2
134,-8,18,-12,6
135,7,1,10,-1
136,5,0,7,0
137,0,-4,12,0
138,11,-17,21,-3
139,7,-13,25,-4
140,4,-1,2,5
141,5,-3,1,4
142,-2,9,-1,3
143,8,-8,12,-5
144,4,-3,0,3
145,-1,5,-3,0
146,0,1,6,-10
147,-3,12,0,-5
148,-1,11,-4,-1
149,3,9,-4,4
150,25,24,26,31
151,6,14,7,7
152,-1,11,0,-7
153,6,-3,7,-2
154,-2,16,-15,13
155,-3,12,-3,0
156,9,-6,9,0
157,-2,-1,3,1
158,-5,20,-16,7
159,-6,6,0,9
160,-4,8,9,-2
161,8,0,2,4
162,13,-13,6,0
163,-4,10,0,-5
164,-7,7,-7,11
165,-2,13,0,-7
166,9,-14,4,-1
167,-1,14,-2,2
168,-6,0,17,0
169,8,-19,16,-9
170,7,-2,-1,2
171,-1,8,-8,7
172,10,-27,24,-4
173,6,-2,-3,3
174,-1,4,-2,2
175,0,0,11,-6
176,1,-1,-5,-1
177,1,1,14,-7
178,7,9,-14,4
179,7,-8,14,-8
180,0,3,12,-12
181,-2,-7,6,-4
182,2,-3,2,0
183,3,5,-26,16
184,2,-2,-4,5
185,1,-2,6,0
186,8,-6,-3,5
187,-1,-1,18,-11
188,-3,4,-2,2
189,0,-2,6,-2
190,7,-16,29,-11
191,6,-7,10,-3
192,8,-5,2,1
193,3,5,-9,0
194,-4,6,13,-6
195,0,4,-1,10
196,2,-16,19,-7
197,4,-3,-2,-2
198,1,0,8,-3
199,4,-10,6,0
200,2,1,2,1
201,0,5,2,-8
202,0,7,2,0
203,1,-1,13,-5
204,-1,-3,4,2
205,3,-10,18,-4
206,-2,0,5,0
207,-6,27,-28,9
208,1,-4,5,-4
209,2,-11,14,-3
210,10,-15,17,-10
211,-9,3,8,-9
212,6,-10,13,-5
213,8,-2,6,4
214,7,-14,9,-2
215,1,5,6,0
216,4,-10,24,-11
217,16,-19,27,-14
218,3,4,-4,1
219,7,-2,4,2
220,-1,-2,2,0
221,2,6,-5,1
222,0,2,7,1
223,2,-8,16,6
224,8,-7,14,-7
225,3,7,4,-6
226,1,-4,12,1
227,12,-8,8,3
228,1,6,4,-6
229,4,-2,13,5
230,9,-12,24,-13
231,8,-2,3,2
232,-5,16,-4,10
233,5,0,10,0
234,2,1,12,0
235,14,-7,1,-3
236,0,29,-17,0
237,-1,9,12,-10
238,0,7,3,5
239,7,9,-1,7
240,8,-21,27,0
241,5,16,-4,2
242,-1,15,-7,1
243,10,-6,9,-5
244,5,-10,25,-8
245,0,0,17,1
246,2,-6,16,0
247,9,0,5,7
248,-1,-6,17,-1
249,8,-6,3,2
250,19,-26,27,-9
251,0,0,7,2
252,7,1,13,-5
253,-5,2,11,0
254,5,0,12,-5
255,1,15,-9,11
256,7,11,0,6
257,12,-7,27,-7
258,4,1,11,5
259,16,-18,22,-12
260,1,4,13,-9
261,10,-4,5,9
262,0,1,7,-3
263,1,-5,9,8
264,11,-22,20,-2
265,8,3,5,0
266,10,0,4,0
267,3,2,20,0
268,6,0,13,-7
269,5,-4,20,0
270,7,2,10,2
271,4,5,11,0
272,5,-9,26,-1
273,4,-2,4,9
274,1,3,23,-4
275,2,2,20,2
276,-1,5,29,0
277,7,-2,19,1
278,9,-6,26,4
279,2,23,8,8
280,10,0,22,5
281,20,-10,32,9
282,14,6,11,11
283,14,8,10,3
284,14,12,11,15
285,19,0,19,7
286,14,0,27,4
287,8,4,15,6
288,13,6,3,5
289,7,0,19,4
290,11,4,10,6
291,12,-8,26,0
292,11,0,20,0
293,16,-7,22,-5
294,4,0,16,0
295,11,-7,15,4
296,3,5,17,2
297,21,-8,22,-3
298,10,-8,20,0
299,2,10,10,0
300,15,-22,23,6
301,7,-5,27,-3
302,15,-7,18,6
303,2,3,24,4
304,5,-3,23,1
305,-2,20,-9,13
306,-4,18,-8,10
307,16,-9,23,-6
308,4,-12,31,-5
309,7,1,3,7
310,2,5,14,3
311,5,1,6,8
312,9,8,9,8
313,7,-4,26,-3
314,10,-1,20,0
315,18,-1,18,-2
316,3,9,-4,9
317,9,-5,32,-15
318,3,6,12,0
319,9,11,4,0
320,3,9,12,-4
321,11,-2,13,-4
322,11,-6,16,-7
323,21,-24,29,-2
324,-4,9,10,5
325,10,-10,25,-4
326,5,7,14,-7
327,6,-1,26,0
328,15,-8,14,2
329,17,-1,20,-5
330,4,-3,22,-6
331,6,-1,7,0
332,8,-7,20,1
333,1,4,17,0
334,7,11,6,4
335,17,-12,16,-4
336,7,6,-2,6
337,8,0,4,-2
338,3,-21,35,-7
339,8,0,18,2
340,10,2,-3,7
341,7,10,-3,5
342,0,12,5,12
343,8,-8,34,-8
344,6,2,12,0
345,2,6,7,4
346,9,0,11,4
347,-1,15,5,8
348,16,-3,10,-2
349,11,-3,18,1
350,16,-3,14,3
351,2,8,24,-4
352,7,9,6,7
353,18,-14,33,3
354,-4,28,-2,12
355,17,-10,20,7
356,12,-8,20,8
357,8,0,12,10
358,20,-19,33,5
359,6,4,18,4
360,0,16,5,5
361,14,-10,28,-2
362,0,12,10,6
363,18,-6,10,6
364,11,-1,16,5
365,14,0,23,-2
366,7,0,26,6
367,13,3,12,10
368,9,0,15,6
369,3,17,1,8
370,5,6,23,-2
371,-9,32,4,3
372,11,0,20,-1
373,12,-10,28,-8
374,1,3,27,-1
375,4,4,10,4
376,8,5,8,5
377,9,7,10,0
378,-2,27,-7,10
379,17,-2,23,-1
380,3,-3,33,-1
381,10,8,10,12
382,9,-15,39,0
383,0,11,15,4
384,15,-2,19,2
385,30,2,27,25
386,15,12,2,12
387,22,-33,43,-7
388,4,27,-19,13
389,0,26,-9,15
390,3,-4,19,-9
391,8,5,14,1
392,3,10,9,6
393,7,4,13,2
394,11,3,6,5
395,5,4,12,6
396,13,-8,21,5
397,4,14,5,6
398,17,-5,15,6
399,10,-3,12,5
400,12,-12,32,-3
401,14,0,10,9
402,20,-10,20,2
403,10,-3,8,8
404,2,-9,33,-1
405,23,-18,27,-3
406,6,7,9,7
407,19,-6,17,4
408,9,11,18,-6
409,12,-8,28,-4
410,11,2,2,5
411,11,5,2,4
412,20,-21,25,0
413,19,-10,21,3
414,9,2,19,3
415,19,-21,38,-8
416,7,5,10,12
417,8,12,-3,11
418,16,-9,25,2
419,4,10,6,6
420,6,-4,27,-2
421,0,15,0,20
422,15,-8,23,0
423,8,1,14,4
424,12,-9,15,4
425,18,3,0,8
426,7,-3,28,-1
427,12,-3,19,3
428,13,0,13,4
429,5,15,-2,12
430,9,18,-11,18
431,15,-7,16,1
432,11,6,1,4
433,2,12,13,1
434,13,-4,20,8
435,4,-5,29,2
436,11,2,8,7
437,15,0,21,5
438,13,-8,19,12
439,12,-2,6,12
440,7,16,10,4
441,4,1,27,5
442,9,1,21,-2
443,14,3,1,5
444,6,0,12,13
445,12,-19,46,-4
446,0,8,23,8
447,0,6,9,8
448,8,10,7,10
449,20,-12,32,-1
450,6,13,8,4
451,17,-28,43,1
452,14,-7,23,0
453,19,-6,17,3
454,9,0,12,10
455,11,-4,21,8
456,4,8,5,6
457,12,-3,11,9
458,12,-4,16,14
459,13,5,12,9
460,10,-4,31,-6
461,11,-18,39,-2
462,6,10,19,7
463,16,12,2,8
464,13,-3,27,7
465,11,8,7,10
466,4,18,2,11
467,16,-4,19,1
468,15,-2,22,4
469,12,-12,25,-1
470,16,1,8,17
471,16,-5,12,17
472,13,-7,25,7
473,8,-5,29,6
474,14,-6,24,4
475,11,-13,35,-3
476,18,-9,30,-4
477,7,-3,26,4
478,18,-12,29,1
479,10,-2,12,2
480,15,-10,37,-9
481,11,-6,26,11
482,5,6,32,-5
483,5,1,20,3
484,14,10,2,9
485,9,7,10,15
486,7,-4,20,0
487,14,-8,22,8
488,11,-5,30,4
489,6,15,7,14
490,18,-3,9,13
491,17,-8,26,4
492,11,4,15,6
493,0,17,15,11
494,16,-10,30,1
495,11,-9,35,0
496,14,0,11,10
497,8,1,21,1
498,4,23,-2,11
499,9,9,15,7
500,9,0,16,11
501,13,0,24,3
502,8,7,19,6
503,12,4,7,11
504,7,4,14,12
505,14,3,17,6
506,10,3,9,2
507,7,3,16,1
508,14,-1,17,4
509,6,-15,45,-2
510,-4,12,12,12
511,0,18,12,-1
512,12,-5,22,-1
513,18,-21,42,-6
514,11,-11,25,0
515,14,10,8,7
516,11,-4,26,9
517,11,-1,28,5
518,18,-25,48,-1
519,6,5,18,5
520,10,-3,30,0
521,12,0,26,2
522,9,6,20,3
523,16,-12,31,0
524,9,-5,22,6
525,13,-13,41,-6
526,7,3,28,3
527,20,-13,30,-2
528,18,-7,30,-5
529,9,5,4,15
530,8,21,6,4
531,17,5,14,3
532,4,2,29,5
533,11,5,15,12
534,12,-4,21,1
535,8,-3,29,4
536,4,5,28,-3
537,0,20,9,8
538,19,-1,23,1
539,18,-15,35,0
540,8,3,12,13
541,3,14,13,5
542,10,0,19,2
543,22,-1,17,5
544,16,-7,29,0
545,14,-8,46,-2
546,11,-5,15,12
547,3,23,7,8
548,17,-9,27,-2
549,13,-11,27,2
550,18,-14,30,3
551,3,6,22,0
552,20,-1,23,0
553,13,-14,38,-4
554,9,0,23,1
555,14,-2,13,4
556,12,5,6,14
557,14,-16,41,-9
558,17,-15,34,-2
559,11,0,23,0
560,8,-7,27,1
561,12,-4,29,-1
562,14,13,14,1
563,13,-3,22,0
564,20,-11,28,-6
565,18,-8,14,10
566,1,10,21,-5
567,8,-12,40,0
568,5,2,24,0
569,13,-2,21,4
570,19,-27,48,-10
571,15,-12,27,4
572,23,-19,20,7
573,12,-10,24,6
574,9,9,2,2
575,15,-8,23,7
576,11,-7,26,3
577,5,9,20,2
578,8,8,19,-3
579,14,-9,23,2
580,9,-1,29,3
581,11,-1,20,5
582,7,-5,29,5
583,10,6,18,8
584,5,9,13,9
585,8,-1,23,2
586,7,-28,51,-1
587,16,0,17,10
588,9,0,19,5
589,10,-8,33,-1
590,1,0,20,3
591,17,-9,37,7
592,17,-26,39,13
593,10,2,16,3
594,18,-24,49,-10
595,6,14,11,7
596,26,-20,43,-8
597,8,0,30,1
598,9,-2,32,-2
599,11,-5,34,-7
600,18,4,19,1
601,11,-5,31,-5
602,23,-25,48,-16
603,19,-12,30,2
604,16,-8,33,-1
605,15,-5,30,1
606,17,-9,28,10
607,21,0,19,4
608,20,-12,34,3
609,21,-14,36,-6
610,-1,18,17,4
611,17,-5,17,8
612,1,9,21,7
613,7,2,30,1
614,14,-7,33,2
615,16,-4,23,11
616,10,-1,31,-2
617,13,-2,30,3
618,19,-5,27,2
619,15,2,32,-3
620,5,9,28,2
621,16,0,31,-4
622,10,13,25,2
623,25,-16,39,5
624,27,-32,52,-5
625,12,4,17,10
626,20,-13,46,0
627,27,-18,39,0
628,13,-13,46,-6
629,13,-7,34,4
630,13,1,30,-1
631,12,5,24,14
632,19,-5,41,3
633,8,8,23,2
634,11,9,13,10
635,21,-3,29,6
636,22,-5,24,12
637,18,0,27,6
638,13,4,12,20
639,7,16,19,3
640,25,-26,50,-3
641,17,0,22,5
642,15,8,16,6
643,26,-11,25,7
644,17,-1,36,0
645,6,11,24,1
646,21,-15,48,-2
647,17,-3,30,-1
648,13,3,32,-3
649,10,-5,36,3
650,13,10,21,1
651,11,2,28,0
652,24,-15,33,1
653,10,-7,45,-3
654,13,-1,22,1
655,12,8,14,9
656,10,8,21,8
657,4,15,22,0
658,17,-2,29,2
659,12,-4,37,1
660,13,-9,30,1
661,18,-13,33,-1
662,-2,8,37,-5
663,17,-22,56,-8
664,9,-14,44,-9
665,24,-19,49,-12
666,17,-11,31,5
667,18,0,23,-6
668,15,-8,35,1
669,7,13,13,5
670,21,-16,32,-8
671,22,-12,28,-1
672,18,3,22,-1
673,22,-13,37,1
674,5,-5,44,-3
675,11,-4,35,0
676,17,-20,60,-16
677,14,-5,37,-10
678,14,-13,48,-6
679,20,-9,35,-9
680,15,-9,40,-6
681,21,-11,34,1
682,11,-3,31,0
683,19,-14,41,-4
684,16,-13,31,1
685,14,-1,35,0
686,15,10,27,-4
687,32,-18,40,-8
688,8,-4,39,-4
689,15,5,15,10
690,16,-20,60,-11
691,11,0,36,-6
692,12,0,34,7
693,30,-34,56,-13
694,19,5,20,5
695,14,6,27,-2
696,11,9,21,7
697,17,-4,37,0
698,13,-7,39,-10
699,12,1,34,0
700,20,-17,51,-3
701,17,1,29,2
702,23,-14,43,4
703,12,-3,43,-5
704,15,11,26,3
705,26,-13,45,-6
706,24,5,26,14
707,24,-5,45,1
708,25,-4,49,0
709,27,-3,30,12
710,23,-11,51,5
711,21,1,49,3
712,29,1,39,10
713,23,11,36,9
714,22,1,48,8
715,21,7,44,13
716,39,-24,57,2
717,35,-10,49,11
718,24,5,39,12
719,32,-6,52,0
720,36,0,39,19
721,34,-8,49,7
722,28,-11,55,2
723,33,-11,52,0
724,29,-9,45,6
725,19,4,50,2
726,36,-29,79,-8
727,20,0,47,16
728,31,0,40,8
729,18,15,40,20
730,27,-15,61,12
731,20,-3,65,5
732,33,-28,69,-4
733,33,-4,53,4
734,35,2,27,10
735,21,-3,44,11
736,17,10,41,9
737,32,-1,47,4
738,25,18,27,14
739,32,-7,48,7
740,33,-12,42,8
741,27,-3,48,0
742,25,6,38,11
743,19,13,42,1
744,27,-26,60,8
745,26,2,39,9
746,20,5,35,11
747,28,6,27,21
748,35,-5,35,18
749,33,3,25,26
750,31,-9,51,18
751,27,-11,53,6
752,14,4,54,10
753,29,0,48,5
754,14,5,40,14
755,37,-17,49,0
756,29,-26,61,-3
757,18,9,35,5
758,30,-12,40,0
759,29,5,31,11
760,25,-6,47,1
761,31,-21,62,-4
762,26,-2,35,9
763,30,-15,54,8
764,27,-14,53,3
765,27,5,28,18
766,30,-13,54,5
767,27,-8,42,12
768,25,7,32,5
769,27,-1,34,4
770,26,4,36,12
771,26,15,21,17
772,19,2,34,8
773,37,-2,38,7
774,28,4,28,7
775,26,-5,56,-3
776,34,4,29,7
777,26,1,46,11
778,24,-6,54,0
779,27,-9,54,2
780,25,12,29,10
781,36,9,25,4
782,29,-4,41,9
783,36,1,42,0
784,39,-2,43,4
785,22,12,34,0
786,39,2,32,8
787,23,14,39,5
788,39,-1,53,-8
789,41,11,38,4
790,44,-2,42,-1
791,48,-2,46,1
792,51,5,31,18
793,49,-17,66,-5
794,43,-7,50,9
795,36,9,44,5
796,27,18,27,10
797,45,-13,58,5
798,49,-21,54,-4
799,34,-9,54,-5
800,26,3,55,13
801,36,1,32,10
802,37,-5,57,-1
803,44,-13,44,5
804,44,-22,62,-5
805,45,-18,57,7
806,30,3,36,9
807,29,-3,57,7
808,30,7,31,11
809,38,-6,34,6
810,41,-11,48,2
811,30,5,37,12
812,35,-13,61,1
813,29,3,44,3
814,36,-1,38,7
815,31,8,31,12
816,46,-31,61,7
817,44,-13,53,1
818,38,-2,47,4
819,31,17,27,7
820,40,-14,54,9
821,38,-16,67,-7
822,36,4,47,3
823,42,-11,63,-1
824,34,12,36,7
825,34,5,44,9
826,45,-10,62,-3
827,41,-3,46,3
828,39,5,32,3
829,40,-2,46,-1
830,41,-20,67,-10
831,50,-6,51,2
832,27,-1,60,-6
833,25,14,35,7
834,35,-12,62,0
835,22,4,46,9
836,46,-17,67,-1
837,33,4,38,6
838,50,-2,32,12
839,26,23,31,8
840,44,17,36,8
841,51,8,48,3
842,61,8,59,2
843,73,17,48,1
844,99,5,62,-1
845,111,32,43,2
846,154,17,35,6
847,168,7,56,7
848,176,14,55,0
849,186,6,63,-7
850,176,18,63,-11
851,212,28,52,4
852,269,63,41,-2
853,350,73,62,-13
854,493,110,30,-1
855,627,99,55,-20
856,705,124,31,0
857,742,122,26,-3
858,697,98,60,-11
859,600,96,29,3
860,484,72,47,-2
861,370,74,32,4
862,293,40,32,1
863,212,35,45,0
864,166,18,39,7
865,146,7,64,-4
866,115,22,42,8
867,107,0,59,-11
868,105,3,45,0
869,104,4,53,3
870,110,-9,55,-9
871,92,14,38,9
872,105,9,28,5
873,108,-4,65,-2
874,106,-3,39,8
875,118,-16,67,-6
876,96,8,41,4
877,103,-18,65,0
878,96,-14,67,-5
879,92,11,40,1
880,80,13,51,2
881,77,-3,67,-1
882,95,-4,60,-3
883,97,2,70,-4
884,105,16,46,-6
885,112,23,35,10
886,119,20,51,2
887,127,29,50,-2
888,131,16,59,-6
889,130,15,65,-3
890,130,11,67,-8
891,134,-4,59,-4
892,117,37,25,18
893,104,30,35,6
894,116,12,55,0
895,123,1,59,0
896,119,37,41,0
897,155,10,38,5
898,158,25,38,5
899,213,16,50,-6
900,237,19,51,0
901,268,31,36,10
902,284,24,43,3
903,305,32,40,8
904,297,24,52,3
905,326,13,69,-14
906,328,35,57,-1
907,358,53,43,-2
908,403,70,40,-13
909,471,66,47,-5
910,521,77,51,-4
911,579,95,59,-18
912,593,123,38,-4
913,578,103,59,-15
914,529,103,41,-3
915,416,125,46,-14
916,320,111,35,2
917,243,66,46,2
918,188,45,47,4
919,140,52,34,5
920,112,39,42,-3
921,103,26,44,0
922,98,16,46,0
923,98,0,57,0
924,105,12,35,8
925,99,-16,83,-6
926,95,23,37,5
927,104,14,24,10
928,108,9,45,-1
929,104,-5,64,-10
930,93,33,26,7
931,102,3,57,-8
932,107,9,45,-3
933,90,7,37,-2
934,103,17,27,8
935,100,-13,58,-1
936,80,1,61,-7
937,101,0,45,-2
938,94,2,49,7
939,77,17,45,5
940,86,7,60,-3
941,78,22,40,7
942,93,6,33,9
943,110,3,47,-4
944,125,-5,45,-2
945,149,-13,55,-2
946,180,12,35,0
947,207,0,56,-3
948,264,11,32,6
949,303,12,53,0
950,326,24,45,0
951,395,6,54,-6
952,403,30,40,-7
953,426,35,53,-12
954,425,36,40,-2
955,407,43,51,-6
956,389,53,43,-12
957,350,41,58,-6
958,311,48,53,-3
959,291,45,58,-7
960,225,49,48,2
961,206,37,45,-10
962,182,34,40,15
963,157,44,41,0
964,138,16,68,-6
965,132,22,42,8
966,118,37,42,3
967,108,37,28,3
968,106,20,55,-4
969,103,21,50,0
970,97,20,51,-1
971,100,17,58,-1
972,105,10,44,16
973,88,29,38,9
974,100,0,66,-5
975,104,4,66,-12
976,110,6,57,-6
977,117,3,66,-6
978,121,16,43,4
979,145,2,64,-1
980,186,29,54,3
981,264,24,62,1
982,491,46,47,4
983,867,76,41,-7
984,1088,129,46,1
985,1005,124,59,-3
986,789,163,51,0
987,615,134,62,-11
988,445,118,54,2
989,350,75,74,-2
990,288,91,40,9
991,291,62,38,6
992,316,50,46,4
993,321,29,67,-2
994,350,6,74,-4
995,346,34,49,2
996,343,57,39,9
997,334,43,51,1
998,336,47,42,0
999,331,37,68,-13
1000,388,49,49,-1
1001,412,55,46,-1
1002,494,60,43,-2
1003,593,58,44,0
1004,717,70,47,-20
1005,810,125,38,0
1006,937,130,52,-18
1007,1014,199,48,-17
1008,1042,268,36,-11
1009,990,371,51,-25
1010,929,476,61,-19
1011,812,626,29,-13
1012,747,697,41,-2
1013,747,781,48,-5
1014,782,835,37,-9
1015,1004,774,58,-20
1016,1333,718,28,-23
1017,1846,582,17,-37
1018,2442,414,7,-47
1019,2959,279,15,-59
1020,3306,136,40,-72
1021,3274,107,-4,-58
1022,2930,93,-3,-43
1023,2362,97,1,-37
1024,1716,101,29,-31
1025,1256,75,46,-18
1026,932,93,48,-12
1027,886,113,47,-8
1028,960,108,65,-18
1029,1134,100,53,-13
1030,1247,156,32,-12
1031,1403,156,64,-28
1032,1486,255,28,-20
1033,1653,328,33,-14
1034,1846,350,66,-36
1035,2121,373,21,-30
1036,2291,417,29,-46
1037,2446,424,45,-49
1038,2610,381,1,-35
1039,2608,297,28,-40
1040,2527,236,38,-43
1041,2306,220,34,-62
1042,1981,187,10,-26
1043,1612,160,28,-21
1044,1294,146,35,-12
1045,1024,140,44,-13
1046,876,137,39,-11
1047,765,159,47,-12
1048,745,141,52,-10
1049,731,111,66,-3
1050,729,128,64,-4
1051,719,134,63,-7
1052,698,152,54,-4
1053,716,154,53,-7
1054,746,162,62,-15
1055,812,179,35,-8
1056,917,201,35,-2
1057,1062,209,49,-13
1058,1213,241,38,-15
1059,1323,273,35,-24
1060,1435,266,60,-29
1061,1559,225,51,-20
1062,1537,235,46,-27
1063,1478,239,30,-21
1064,1330,213,25,-12
1065,1199,170,57,-17
1066,1072,166,63,-19
1067,948,169,44,-6
1068,886,168,63,-13
1069,860,117,66,-11
1070,782,157,43,-6
1071,794,137,63,-12
1072,809,109,68,-11
1073,835,113,53,-9
1074,868,151,26,-1
1075,932,152,18,-5
1076,968,181,32,-6
1077,1081,166,50,-19
1078,1163,212,44,-27
1079,1253,239,35,-22
1080,1347,240,62,-27
1081,1406,255,36,-14
1082,1410,300,19,-3
1083,1360,318,31,-15
1084,1313,327,44,-25
1085,1259,314,23,-7
1086,1225,242,61,-19
1087,1266,216,48,-5
1088,1306,190,40,-17
1089,1352,168,37,-18
1090,1391,146,48,-25
1091,1426,107,54,-20
1092,1378,146,32,-16
1093,1306,145,47,-20
1094,1241,176,25,3
1095,1181,165,47,-13
1096,1194,180,55,-17
1097,1253,151,69,-32
1098,1245,199,53,-8
1099,1297,199,17,-3
1100,1302,219,18,-13
1101,1328,178,44,-24
1102,1351,146,33,-3
1103,1312,158,50,-19
1104,1332,123,72,-22
1105,1326,153,54,-19
1106,1376,128,58,-24
1107,1464,119,59,-13
1108,1486,161,19,-3
1109,1512,119,60,-21
1110,1538,134,49,-14
1111,1561,167,45,-21
1112,1553,151,54,-16
1113,1560,169,57,-18
1114,1566,198,28,-10
1115,1655,176,77,-39
1116,1756,204,26,-35
1117,1848,200,59,-33
1118,2009,200,52,-37
1119,2168,218,35,-42
1120,2350,232,32,-38
1121,2531,207,24,-42
1122,2631,194,37,-54
1123,2691,253,10,-33
1124,2774,240,28,-40
1125,2831,290,-10,-48
1126,2898,250,4,-35
1127,2991,244,-1,-41
1128,3179,189,40,-59
1129,3384,180,-5,-47
1130,3565,137,15,-52
1131,3786,211,9,-70
1132,3920,243,-33,-43
1133,4081,237,-9,-58
1134,4088,225,17,-66
1135,4121,170,62,-66
1136,4076,266,16,-46
1137,4115,287,-13,-25
