Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-2,11,-9,6
2,9,-5,2,4
3,3,-7,-1,3
4,5,-11,10,-8
5,4,3,-19,12
6,12,-7,-2,5
7,-4,2,-9,1
8,12,-34,30,-7
9,1,0,-6,2
10,10,-16,7,2
11,4,-6,-4,5
12,0,-9,12,-6
13,4,2,-4,5
14,0,-2,0,5
15,0,-1,3,-2
16,0,3,-2,8
17,3,0,4,-3
18,1,-1,5,0
19,2,1,-5,8
20,5,0,0,-3
21,-2,-4,7,6
22,-2,-7,7,0
23,8,-8,4,-4
24,4,-8,4,-2
25,-3,2,-6,12
26,15,-13,1,7
27,2,5,-4,2
28,15,-19,17,-6
29,12,-27,3,2
30,3,-2,-1,0
31,8,-15,18,-5
32,7,1,2,0
33,5,-9,20,1
34,0,-1,2,0
35,12,-25,29,-7
36,15,-25,14,0
37,0,0,5,3
38,11,-18,9,-2
39,8,-4,-2,1
40,6,-1,0,7
41,2,5,-12,9
42,11,-13,4,5
43,4,-1,2,5
44,6,0,-3,5
45,0,18,-21,15
46,0,0,0,3
47,4,-12,0,3
48,7,-11,17,-2
49,14,-11,6,2
50,-2,17,-6,12
51,0,4,-10,20
52,0,2,-10,8
53,7,5,-13,11
54,7,-4,-1,3
55,11,-12,-1,7
56,4,-25,35,-16
57,-5,12,5,6
58,9,-3,-10,3
59,7,-15,10,-4
60,9,-11,3,2
61,-5,14,-18,13
62,8,-8,0,12
63,17,-18,19,-3
64,11,-22,18,0
65,3,2,0,0
66,9,-11,4,5
67,9,-5,1,11
68,5,-8,3,5
69,2,-2,4,-3
70,3,-2,6,6
71,5,3,-6,-1
72,17,-13,10,-4
73,3,-1,7,0
74,5,-21,27,-5
75,15,-14,0,7
76,1,15,-19,14
77,2,-8,8,2
78,-3,-11,21,-3
79,4,-10,14,-2
80,3,-11,17,-5
81,9,-2,6,0
82,8,-6,4,5
83,9,-7,14,0
84,10,-15,4,8
85,8,-6,1,-1
86,17,-20,15,4
87,6,-22,18,-4
88,12,-16,7,-1
89,16,-28,9,5
90,20,-24,20,-1
91,3,2,-8,9
92,15,-12,-1,0
93,5,-1,-6,7
94,8,-16,7,0
95,17,-23,14,0
96,12,-14,2,3
97,2,6,-5,4
98,1,-5,7,2
99,1,-12,9,0
100,8,-12,3,2
101,4,2,0,2
102,4,13,-13,7
103,11,-5,0,4
104,3,0,0,2
105,2,-14,18,4
106,16,-13,6,5
107,7,-12,14,-4
108,17,-13,0,2
109,14,-18,18,-2
110,1,-11,17,-3
111,5,3,-6,8
112,8,-18,16,1
113,9,-9,7,7
114,6,-2,10,1
115,-6,15,-9,10
116,15,-7,15,-1
117,13,-11,12,3
118,1,0,7,3
119,9,-3,-3,5
120,7,-4,6,6
121,6,-9,9,-2
122,5,-3,12,1
123,17,-7,2,8
124,17,-14,3,3
125,9,-14,9,11
126,11,-19,16,0
127,-4,1,2,9
128,7,-4,-1,12
129,4,-1,16,-11
130,15,-17,14,-1
131,1,0,0,0
132,9,-13,5,1
133,13,-18,16,-5
134,6,0,0,3
135,2,19,-15,10
136,7,-14,23,-1
137,1,-7,8,2
138,10,-19,21,1
139,19,-14,-4,9
140,-4,7,0,12
141,9,-15,21,3
142,2,7,-4,4
143,1,0,9,0
144,13,-5,16,-1
145,8,-6,14,4
146,5,-6,11,3
147,4,5,1,0
148,18,-20,12,-1
149,8,-3,12,6
150,4,-4,18,-7
151,16,-16,16,3
152,12,-19,28,-13
153,20,-28,25,-2
154,7,-13,6,3
155,7,-5,14,5
156,4,0,0,8
157,11,-27,26,-4
158,21,-15,-7,15
159,4,-11,17,-2
160,1,7,2,9
161,3,-7,13,0
162,2,12,-14,19
163,0,0,13,1
164,6,5,0,5
165,17,-14,12,0
166,12,-14,9,5
167,10,-8,1,6
168,11,-17,9,14
169,11,-8,5,4
170,25,-34,21,0
171,1,21,-23,16
172,-3,6,-4,5
173,9,-7,3,3
174,17,-15,10,3
175,7,0,8,5
176,10,-3,-15,11
177,12,-24,19,-3
178,4,-12,5,10
179,3,-2,2,-1
180,3,2,-17,17
181,-8,33,-26,14
182,8,-9,11,3
183,2,-1,0,-4
184,0,0,5,0
185,6,-5,-4,4
186,8,-7,-1,11
187,11,5,-3,1
188,15,-8,0,9
189,10,-14,4,5
190,7,6,-8,5
191,2,-12,10,3
192,11,-17,7,1
193,3,-7,13,0
194,3,-1,4,9
195,5,-10,15,-2
196,13,-14,7,4
197,6,0,-3,4
198,-2,3,2,8
199,15,-3,-11,10
200,4,-12,6,5
201,2,4,-3,0
202,-4,8,0,4
203,1,3,-12,17
204,11,-9,8,-1
205,9,-25,31,-11
206,17,-15,14,-3
207,5,1,-8,9
208,7,-4,1,0
209,14,-15,11,0
210,13,-18,9,3
211,13,-18,11,2
212,8,-5,5,6
213,6,-1,11,-3
214,4,-2,7,0
215,6,-2,0,-5
216,7,-1,-5,7
217,9,-13,6,4
218,27,-38,21,0
219,13,-5,-1,6
220,1,6,6,-4
221,4,8,-5,14
222,8,2,9,2
223,11,-12,3,10
224,16,-6,-5,14
225,15,-11,13,0
226,14,-12,6,5
227,3,5,-2,6
228,11,-18,29,-6
229,8,4,4,-3
230,8,-15,13,5
231,7,-7,12,1
232,7,-7,6,0
233,7,-3,8,4
234,9,-10,9,1
235,3,-12,21,-2
236,2,7,-6,7
237,6,5,-7,8
238,8,-2,1,9
239,5,2,-5,5
240,23,-32,34,-5
241,7,1,-5,8
242,17,-14,8,6
243,18,-22,26,0
244,4,-3,6,-1
245,14,-20,18,0
246,12,-2,-4,5
247,16,-4,11,1
248,17,-1,-6,14
249,11,-2,2,9
250,15,-12,7,4
251,2,2,7,6
252,-1,8,9,0
253,8,-21,25,-3
254,0,16,-16,6
255,12,-15,23,-1
256,7,-10,16,4
257,6,9,-8,21
258,-1,10,9,1
259,14,-22,32,-6
260,9,6,1,3
261,16,-14,13,4
262,15,1,-2,11
263,-1,8,6,4
264,6,0,7,3
265,7,0,10,9
266,16,-4,1,14
267,12,-7,11,11
268,14,-2,6,11
269,20,-12,17,2
270,16,-19,32,-4
271,11,-13,26,4
272,10,-10,26,2
273,27,-23,26,11
274,11,0,20,11
275,12,0,14,16
276,12,-12,31,2
277,12,-1,19,11
278,11,-2,22,5
279,24,-33,42,6
280,16,-2,21,7
281,32,-24,37,11
282,19,-14,21,17
283,4,17,16,15
284,14,-1,29,5
285,22,-22,33,9
286,12,19,2,18
287,24,-1,20,-2
288,14,-6,20,14
289,19,-6,18,14
290,10,-17,39,-2
291,24,-22,24,10
292,20,-13,27,4
293,8,3,5,4
294,12,-6,20,7
295,16,-20,44,0
296,8,4,10,10
297,17,-9,16,10
298,10,-2,15,4
299,22,-12,1,13
300,4,0,9,9
301,23,-15,16,9
302,8,9,6,11
303,20,-2,10,19
304,6,-3,27,-4
305,19,-13,19,4
306,0,12,12,1
307,24,-7,19,2
308,13,-9,26,-1
309,19,-13,25,7
310,11,-7,11,17
311,9,3,8,4
312,20,-20,39,1
313,13,0,5,16
314,19,-17,27,9
315,9,0,17,5
316,23,-14,19,7
317,7,-2,29,11
318,18,-22,43,-4
319,22,-14,20,4
320,17,4,5,11
321,9,-7,22,8
322,10,-5,31,-1
323,18,-7,20,4
324,19,5,-2,13
325,16,-12,26,2
326,19,-6,-1,15
327,17,-17,28,14
328,16,-10,18,12
329,17,-12,14,4
330,18,-13,30,-2
331,23,-9,13,-1
332,16,0,2,6
333,21,0,3,12
334,11,-8,22,1
335,0,21,-2,15
336,23,-24,30,2
337,23,-2,11,9
338,14,-17,36,-8
339,12,5,10,9
340,22,-8,13,2
341,21,-22,25,1
342,20,-4,-1,9
343,20,-4,5,12
344,8,3,6,12
345,9,2,7,1
346,6,6,11,1
347,4,8,9,-2
348,6,-13,30,-7
349,24,-22,25,0
350,15,-28,39,-1
351,12,-4,22,7
352,19,-8,15,10
353,15,-19,39,2
354,10,-4,15,10
355,18,6,6,7
356,14,-15,27,-10
357,20,-11,25,1
358,17,0,10,3
359,19,-13,17,6
360,18,-23,32,5
361,6,14,-4,16
362,27,-14,23,0
363,10,4,11,14
364,19,-12,18,9
365,16,-5,8,21
366,31,-30,42,-5
367,13,7,9,5
368,15,-7,25,14
369,23,-5,17,15
370,15,-9,25,4
371,17,-14,35,3
372,17,-14,38,4
373,14,1,20,4
374,28,-19,45,3
375,18,-4,23,4
376,24,-11,28,4
377,9,-1,23,10
378,18,-9,28,0
379,14,-10,31,6
380,12,6,13,20
381,30,-24,37,-3
382,22,-9,20,2
383,17,0,23,1
384,19,-7,28,7
385,25,-19,29,3
386,14,-1,14,1
387,17,-6,16,17
388,20,-6,20,14
389,7,-2,25,3
390,18,-8,12,12
391,12,-9,20,5
392,17,-4,23,10
393,4,10,11,11
394,26,-19,24,9
395,10,8,3,9
396,14,-17,36,1
397,32,-30,35,5
398,12,6,6,9
399,17,-10,25,4
400,25,-18,25,6
401,11,8,-1,17
402,16,-21,39,4
403,15,-13,30,6
404,18,-11,20,13
405,17,-6,14,12
406,24,-20,24,3
407,5,10,15,5
408,24,-17,20,11
409,18,-11,39,-2
410,17,-15,29,-1
411,28,-5,12,9
412,14,-13,32,0
413,14,-3,12,10
414,12,13,-9,15
415,13,-7,15,12
416,14,-6,25,-5
417,15,-1,18,10
418,34,-28,30,-1
419,18,2,13,7
420,0,21,-4,13
421,19,-13,20,2
422,0,2,14,16
423,18,3,4,19
424,27,-14,15,10
425,19,-17,20,5
426,16,-1,21,5
427,24,-14,25,3
428,23,-1,2,13
429,30,-14,19,13
430,13,2,0,21
431,30,-24,25,8
432,11,-11,34,1
433,7,6,13,6
434,15,-15,22,4
435,12,5,10,14
436,31,-14,22,13
437,7,-3,24,3
438,12,-2,15,14
439,23,-5,11,16
440,23,-8,6,11
441,20,-7,9,15
442,19,-5,27,0
443,21,-10,18,12
444,15,-1,25,7
445,29,-14,22,9
446,10,9,10,10
447,24,-10,16,12
448,20,-21,45,-1
449,17,2,13,11
450,15,8,5,15
451,15,4,17,10
452,13,-8,31,8
453,19,4,12,19
454,20,-7,26,13
455,27,2,17,26
456,13,19,9,15
457,16,14,4,17
458,31,-17,23,13
459,24,-16,39,10
460,26,-14,28,10
461,33,-13,17,24
462,17,-7,28,14
463,23,-20,41,7
464,22,-12,40,5
465,23,-17,41,1
466,18,-5,16,8
467,24,-12,14,17
468,17,-6,27,4
469,13,-3,26,2
470,21,-4,13,17
471,21,-13,34,2
472,19,-13,26,16
473,19,0,18,9
474,23,2,17,9
475,26,-15,25,16
476,20,-2,25,11
477,19,-5,19,16
478,25,-3,6,11
479,20,-9,16,16
480,21,-17,32,2
481,21,-6,18,11
482,30,-31,50,0
483,19,-5,11,30
484,21,0,25,9
485,14,-14,39,2
486,18,-10,26,11
487,14,3,16,14
488,14,0,16,19
489,30,-27,49,1
490,19,1,14,12
491,23,-4,14,15
492,13,0,22,17
493,20,-16,36,6
494,23,-15,28,9
495,26,-23,35,3
496,22,-18,32,10
497,22,-11,22,10
498,29,-15,21,3
499,29,-23,35,8
500,20,-8,25,8
501,17,-1,26,10
502,10,9,4,16
503,23,-5,8,17
504,23,-12,28,18
505,14,3,20,15
506,18,-19,34,9
507,24,-12,25,10
508,18,-4,13,15
509,10,13,8,17
510,26,-25,43,-4
511,20,3,12,9
512,29,-22,27,14
513,18,-11,35,11
514,21,-3,12,19
515,17,-9,35,10
516,19,-9,34,1
517,31,-33,51,-2
518,22,-21,39,11
519,20,-12,43,1
520,20,-16,43,0
521,24,-6,16,25
522,31,-26,44,2
523,17,2,17,11
524,3,4,28,13
525,17,0,17,11
526,26,-16,25,13
527,18,-3,22,8
528,26,-16,24,11
529,21,-26,46,5
530,30,-19,37,1
531,15,-2,31,9
532,27,-26,42,0
533,25,-14,40,-3
534,30,-29,49,1
535,16,-15,46,5
536,26,-17,27,13
537,29,-20,38,7
538,21,-4,21,15
539,12,-4,23,7
540,20,-10,30,-1
541,21,14,9,13
542,14,-1,35,19
543,30,-29,34,7
544,18,-8,29,6
545,26,-20,43,2
546,23,-7,23,7
547,14,-1,15,19
548,23,-10,23,15
549,21,-14,25,11
550,19,-6,17,15
551,19,-11,26,9
552,13,-16,40,10
553,22,-11,23,7
554,19,-7,34,4
555,19,-11,22,9
556,17,-20,43,11
557,22,-11,39,2
558,17,-22,40,-1
559,30,-22,33,-1
560,23,-23,40,0
561,16,0,23,0
562,26,-22,46,3
563,16,3,21,11
564,23,0,19,12
565,32,-24,39,3
566,22,-19,34,3
567,31,-8,14,10
568,19,-13,35,2
569,22,-5,25,4
570,21,-33,50,2
571,14,-8,33,8
572,21,-13,35,5
573,27,-19,24,5
574,28,-18,30,5
575,22,-24,43,5
576,24,-18,44,-4
577,10,-8,42,-1
578,25,-3,24,0
579,14,-17,29,14
580,16,-5,29,10
581,19,-8,26,15
582,25,-7,26,4
583,20,-12,53,4
584,26,-15,32,10
585,16,0,34,7
586,18,-15,36,4
587,30,-24,40,0
588,32,-16,29,8
589,28,-24,36,11
590,25,-6,20,10
591,16,-16,44,0
592,24,-11,36,10
593,17,-2,27,0
594,26,-11,29,7
595,37,-39,46,-4
596,24,-12,33,8
597,17,-10,41,-4
598,23,-13,45,-7
599,23,-16,40,1
600,22,-21,42,4
601,23,-23,43,4
602,23,-13,32,8
603,20,-12,37,7
604,20,-5,29,12
605,12,3,23,7
606,31,-22,47,5
607,28,-24,41,10
608,33,-10,31,12
609,27,-7,37,7
610,24,-11,41,3
611,28,-10,27,14
612,18,-7,47,3
613,15,1,39,3
614,22,-12,40,0
615,16,-8,35,12
616,17,4,20,22
617,25,-10,32,14
618,23,-5,28,6
619,20,-12,45,4
620,17,-2,42,2
621,23,-12,45,3
622,25,-19,44,9
623,36,-21,38,3
624,24,-14,49,3
625,26,-14,42,11
626,20,-2,30,12
627,23,0,25,6
628,26,-6,26,14
629,28,-12,40,4
630,30,-10,42,8
631,32,-22,40,10
632,28,-17,49,4
633,13,-12,49,-2
634,34,-22,55,5
635,29,-27,50,14
636,25,-26,45,7
637,29,-21,44,2
638,30,-13,29,16
639,17,7,22,15
640,31,-20,28,9
641,32,-32,46,10
642,32,-23,49,1
643,36,-14,36,9
644,14,0,38,8
645,29,-14,37,12
646,32,-34,59,11
647,23,-21,57,-5
648,26,-17,45,4
649,20,-3,38,6
650,24,-23,48,-4
651,27,-17,42,5
652,17,0,27,6
653,25,-13,38,4
654,22,-18,45,6
655,27,-3,28,9
656,23,-11,28,11
657,23,-23,47,-2
658,13,9,20,7
659,21,-30,61,-2
660,17,-2,34,4
661,36,-22,38,0
662,26,-15,44,1
663,17,1,31,7
664,21,-17,45,0
665,28,-27,52,-4
666,17,8,23,9
667,7,0,44,-1
668,33,-33,49,-1
669,21,-3,36,2
670,15,-8,36,8
671,28,-21,48,-4
672,16,6,23,-2
673,21,-13,42,2
674,36,-39,57,-3
675,29,-20,37,4
676,26,-14,34,4
677,18,-15,48,1
678,25,-22,38,7
679,18,-10,42,1
680,34,-7,24,6
681,28,-21,49,-8
682,23,-6,28,6
683,17,-12,29,2
684,29,-21,45,-6
685,11,6,28,5
686,16,-12,37,-1
687,16,1,36,-1
688,26,-19,50,2
689,29,-17,40,0
690,31,-28,50,-9
691,22,-7,23,10
692,22,-6,35,-1
693,26,-33,58,-7
694,22,-24,42,4
695,26,-15,39,-5
696,23,-23,50,-3
697,29,-23,51,-1
698,25,-19,47,-2
699,25,-9,41,3
700,25,-20,40,5
701,23,-20,41,1
702,34,-30,56,-2
703,26,-11,40,6
704,27,-3,20,15
705,25,-16,48,3
706,29,-18,46,6
707,24,-16,56,-2
708,31,-13,48,-2
709,24,-14,57,-8
710,21,-16,44,3
711,13,-3,37,0
712,29,-32,56,3
713,28,-15,51,2
714,18,-4,47,5
715,35,-23,51,-1
716,30,-12,45,7
717,24,-6,45,-1
718,33,-3,30,13
719,23,-14,54,16
720,33,-9,29,17
721,28,-1,45,12
722,38,-17,61,4
723,34,8,41,19
724,31,0,42,17
725,48,-6,38,16
726,39,13,22,35
727,37,-9,78,6
728,55,-22,91,16
729,54,3,46,26
730,46,4,63,21
731,53,-14,82,15
732,51,-2,70,16
733,56,-17,71,20
734,52,-7,76,11
735,54,-17,65,25
736,60,-31,82,14
737,46,5,53,17
738,48,-10,73,19
739,44,-14,71,15
740,51,-24,71,15
741,44,-4,56,15
742,50,-12,66,25
743,45,-11,66,27
744,53,-29,69,24
745,44,-7,77,9
746,54,-24,73,19
747,55,-23,70,15
748,30,8,41,21
749,32,1,54,21
750,42,-26,82,21
751,40,0,48,23
752,36,-4,64,15
753,35,-11,67,13
754,32,-7,59,12
755,36,-6,49,23
756,28,17,33,19
757,47,-24,68,14
758,37,-4,57,14
