Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,3,-6,-2,6
2,-3,-1,-1,10
3,7,-21,18,-4
4,6,-11,7,-3
5,7,1,-6,2
6,-2,-5,7,8
7,2,-14,13,-8
8,-4,33,-30,23
9,0,-17,27,-5
10,-1,4,-7,4
11,9,-5,5,-2
12,0,0,6,0
13,1,1,0,3
14,1,6,-13,7
15,0,-7,10,-3
16,11,-18,8,5
17,0,5,-6,4
18,10,-1,-4,13
19,13,-4,5,1
20,-9,18,-15,16
21,5,-6,16,-8
22,8,-2,-4,6
23,13,-9,19,-4
24,-3,13,-19,3
25,-1,5,-8,12
26,4,-6,6,2
27,12,-6,-1,3
28,-6,10,13,-1
29,-6,6,0,3
30,0,8,-12,10
31,-3,18,-18,12
32,6,-1,15,-10
33,-5,2,9,0
34,-3,4,2,-1
35,0,15,-21,14
36,4,2,-4,5
37,3,-7,7,7
38,7,1,-5,9
39,4,4,-9,-1
40,1,13,0,5
41,3,6,11,-3
42,0,0,-2,8
43,2,-3,18,-4
44,5,0,11,1
45,-2,11,5,7
46,-1,1,5,0
47,-5,12,-3,12
48,3,5,-4,-1
49,0,6,-5,6
50,0,4,-5,9
51,1,1,2,7
52,5,-2,6,0
53,-5,13,-4,12
54,8,-4,8,0
55,5,0,1,4
56,5,-10,25,-7
57,3,-13,20,0
58,0,3,-2,8
59,-10,22,-13,12
60,6,-2,-1,4
61,-2,0,7,10
62,0,6,1,0
63,4,-5,14,5
64,8,-12,17,-3
65,4,-5,-6,9
66,4,12,-10,10
67,-2,5,9,-2
68,2,0,14,2
69,-3,22,-21,13
70,2,8,3,2
71,-4,16,-15,11
72,-1,6,3,-2
73,4,3,2,4
74,3,0,5,5
75,5,6,-4,10
76,-9,6,12,2
77,1,2,4,4
78,4,2,0,9
79,1,3,1,11
80,7,2,-5,13
81,7,-2,3,4
82,5,8,3,2
83,10,-7,12,4
84,4,6,-4,3
85,15,-12,2,1
86,1,6,8,1
87,-7,6,17,-2
88,-3,6,2,0
89,0,1,7,3
90,-4,15,-1,4
91,3,8,-11,5
92,6,1,-3,10
93,0,6,4,3
94,-3,7,10,-1
95,-1,7,13,-1
96,-1,-3,15,1
97,0,-3,9,0
98,3,-2,15,-1
99,0,3,5,5
100,5,13,-22,22
101,11,-9,10,1
102,6,-10,17,0
103,2,-7,10,8
104,6,-7,15,-4
105,8,-18,25,-2
106,4,-9,16,-5
107,0,12,-12,5
108,11,-9,12,-3
109,2,3,0,7
110,-1,-1,12,0
111,11,-5,9,6
112,6,-3,3,7
113,0,15,-1,8
114,3,0,7,10
115,5,5,-2,8
116,-1,6,0,6
117,11,-4,5,6
118,9,-7,2,-2
119,2,2,7,-1
120,9,-17,27,4
121,5,-1,10,4
122,7,-12,11,1
123,2,1,6,4
124,-2,-3,23,-4
125,8,2,-7,17
126,5,-3,5,2
127,-2,10,-10,9
128,6,-10,13,3
129,6,-5,18,-3
130,2,-9,26,-9
131,10,-8,4,6
132,9,-6,10,1
133,4,-2,13,0
134,2,0,2,10
135,8,-15,27,-2
136,3,1,10,1
137,4,1,7,10
138,7,3,0,5
139,-2,8,5,1
140,10,-11,15,1
141,2,11,-6,6
142,10,-7,15,-4
143,10,-5,1,8
144,6,-21,35,-9
145,-3,19,-8,9
146,8,-4,4,6
147,-4,2,12,1
148,21,-24,19,4
149,5,-9,6,8
150,10,-4,0,3
151,0,-3,7,8
152,-3,4,4,9
153,11,-8,17,-1
154,4,-4,12,4
155,13,-18,28,-4
156,0,-3,8,7
157,-5,19,-17,14
158,-4,10,7,3
159,2,8,3,-2
160,0,9,0,5
161,5,-13,22,0
162,-1,17,-9,5
163,4,4,2,10
164,2,11,-10,14
165,10,1,0,3
166,4,-5,18,-5
167,9,-9,26,-5
168,4,6,0,0
169,3,12,-7,19
170,0,19,-14,9
171,10,-3,10,0
172,2,0,8,4
173,-8,27,-12,10
174,0,8,0,0
175,-6,20,-10,11
176,10,-3,1,6
177,9,1,1,7
178,-4,19,-16,7
179,-1,0,9,3
180,5,0,-5,5
181,-8,15,-6,8
182,1,-7,15,4
183,-4,13,0,4
184,3,-7,7,-3
185,-3,-4,17,0
186,0,12,-14,13
187,1,0,20,0
188,5,4,-1,10
189,5,-19,23,4
190,14,-16,9,-3
191,17,-11,7,4
192,9,0,0,0
193,0,3,0,5
194,10,-1,-2,0
195,9,3,-16,6
196,-5,28,-13,13
197,11,-1,0,7
198,2,12,-11,11
199,1,3,-2,-2
200,7,-12,6,3
201,2,-7,16,-3
202,-7,16,-6,11
203,3,0,0,1
204,5,0,12,7
