Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-9,26,-23,13
2,2,-3,4,6
3,-7,14,-13,1
4,-4,-1,17,-3
5,-6,11,-2,-1
6,7,-12,16,-6
7,-6,31,-25,12
8,1,4,-9,5
9,4,5,-10,0
10,-7,4,6,0
11,-1,11,-16,8
12,9,-22,16,-7
13,9,-17,6,4
14,-4,22,-33,22
15,-2,7,-9,11
16,-10,7,4,-10
17,1,6,-16,3
18,-7,18,-13,0
19,0,3,-1,0
20,6,0,-10,8
21,3,7,-8,0
22,5,7,-12,6
23,-4,12,-4,5
24,-7,16,-2,7
25,33,2,24,32
26,16,15,17,21
27,2,-12,12,0
28,6,9,-9,7
29,-1,10,-5,-1
30,-1,1,1,1
31,0,6,-9,4
32,5,5,-4,6
33,8,-11,9,3
34,-4,3,9,2
35,1,5,-10,11
36,-12,7,3,7
37,1,14,-19,9
38,16,-20,8,-1
39,-4,-2,11,-3
40,6,-1,-7,5
41,8,-4,2,3
42,-1,27,-21,3
43,0,12,-10,7
44,-4,16,-9,8
45,-6,3,8,-6
46,7,1,-8,4
47,1,13,-19,4
48,-3,12,-2,6
49,9,-3,0,10
50,-3,18,-19,0
51,14,-9,-7,9
52,-3,22,-7,4
53,0,9,0,3
54,-9,24,-15,8
55,-6,12,-8,7
56,5,12,-7,8
57,-9,14,0,1
58,-1,19,-15,13
59,3,-2,1,-3
60,5,-4,5,-7
61,0,14,-6,3
62,1,2,-3,2
63,9,5,-13,3
64,3,-4,18,-1
65,1,18,-20,11
66,2,6,-2,0
67,10,2,-1,6
68,1,17,-4,1
69,1,6,2,4
70,8,-2,4,8
71,0,12,-21,12
72,0,-2,11,5
73,1,11,-8,1
74,5,11,-12,6
75,7,4,-1,11
76,12,-13,14,0
77,-9,19,-13,3
78,6,5,7,0
79,1,11,-11,4
80,3,5,0,4
81,7,4,-14,9
82,5,-2,-9,9
83,13,9,-16,8
84,-5,11,-1,5
85,-1,6,8,1
86,2,21,-16,10
87,0,14,-8,5
88,8,-12,13,-2
89,-7,10,5,6
90,0,14,-18,8
91,6,0,3,0
92,0,0,-1,9
93,0,0,1,1
94,0,16,-14,11
95,9,-8,12,1
96,12,-16,26,-5
97,2,-7,16,1
98,8,-5,18,-5
99,0,1,-1,9
100,5,-1,4,1
101,7,2,-4,4
102,-3,10,0,1
103,0,16,-7,0
104,5,3,0,-3
105,1,8,-2,11
106,-2,15,-7,10
107,-6,33,-22,10
108,-14,26,-23,13
109,3,12,-5,3
110,-3,43,-40,11
111,5,1,3,2
112,-4,5,4,0
113,2,3,-4,9
114,9,-2,6,8
115,8,-3,1,3
116,13,8,-7,9
117,-7,8,5,8
118,3,26,-23,13
119,-1,0,12,-2
120,-2,16,-7,14
121,11,-4,0,0
122,0,7,-4,0
123,2,-7,19,-6
124,1,0,-8,10
125,-1,8,6,5
126,2,10,-12,20
127,0,13,-1,3
128,0,13,2,7
129,7,10,-18,16
130,-2,10,1,5
131,2,-4,6,2
132,6,0,4,2
133,-9,26,-7,2
134,9,-1,0,6
135,12,12,-12,4
136,-3,23,-4,0
137,7,5,2,7
138,12,-3,7,-1
139,15,1,-3,7
140,8,6,8,3
141,20,-15,8,6
142,-1,-3,20,-8
143,5,8,-5,9
144,4,20,-15,9
145,6,2,3,0
146,5,10,-4,4
147,-7,22,-9,15
148,10,-6,10,0
149,0,24,-7,8
150,2,12,-2,6
151,8,1,-2,5
152,4,3,6,2
153,-9,18,13,-2
154,-5,14,9,1
155,2,0,3,9
156,-3,23,-10,9
157,13,-17,19,-5
158,8,-7,8,1
159,-5,19,-4,2
160,9,10,-13,15
161,-2,13,3,0
162,10,4,-5,13
163,20,-23,15,-3
164,7,12,-4,3
165,0,11,8,6
166,9,5,3,2
167,0,17,-14,5
168,7,1,4,5
169,13,10,-15,15
170,6,-1,16,1
171,6,4,-3,7
172,-3,21,-10,7
173,6,7,0,6
174,11,1,0,11
175,12,-7,14,-4
176,7,0,9,-2
177,2,20,-3,6
178,12,13,-21,19
179,16,-8,13,3
180,0,25,-7,12
181,10,1,2,10
182,1,13,1,7
183,8,19,-12,12
184,9,7,3,9
185,-3,29,-22,8
186,0,22,0,4
187,6,1,16,-6
188,5,14,-4,7
189,-3,27,-13,18
190,15,-18,20,4
191,7,0,8,-1
192,8,-1,8,6
193,1,15,-2,14
194,12,-7,8,3
195,6,5,3,8
196,9,6,-2,11
197,11,9,5,7
198,-2,35,-25,20
199,11,-6,25,-1
200,0,22,-14,16
201,9,-5,12,1
202,7,6,-6,13
203,17,1,7,0
204,6,18,-16,12
205,10,-6,24,-4
206,9,10,-9,8
207,14,-6,13,3
208,4,4,-3,15
209,7,-4,18,1
210,8,-4,14,3
211,10,16,-12,6
212,-2,17,-4,6
213,8,6,1,4
214,16,-12,11,2
215,0,19,-6,6
216,4,22,-9,2
217,4,7,9,0
218,7,12,-2,12
219,0,23,-5,4
220,-5,6,22,1
221,6,-7,19,5
222,-6,23,-8,12
223,5,-1,11,3
224,13,-9,12,5
225,3,10,1,13
226,5,-9,19,5
227,12,4,3,10
228,-3,25,-19,15
229,7,27,-20,18
230,7,7,0,8
231,3,2,-1,11
232,18,-3,10,-1
233,16,-9,6,2
234,6,-12,21,-4
235,-6,33,-24,18
236,0,0,9,4
237,0,3,13,-13
238,20,-13,16,4
239,6,12,-4,10
240,5,-3,21,-3
241,8,7,3,-3
242,1,13,-4,8
243,1,4,8,2
244,6,7,7,5
245,4,5,9,-2
246,-5,18,5,7
247,12,-8,6,9
248,4,1,21,0
249,-2,19,-5,6
250,13,-2,6,6
251,9,13,-1,5
252,8,5,17,-1
253,8,-5,13,0
254,2,9,5,1
255,13,-5,9,7
256,9,8,2,6
257,6,-4,13,4
258,2,0,17,-2
259,5,-1,15,6
260,8,0,18,-8
261,0,7,10,11
262,8,9,0,12
263,13,-4,11,14
264,10,15,-3,9
265,-4,12,14,6
266,13,-8,20,0
267,8,21,-14,20
268,12,6,5,6
269,9,2,11,0
270,13,7,-3,14
271,2,6,6,4
272,6,9,3,10
273,20,-7,11,2
274,7,21,-12,14
275,11,0,11,6
276,3,2,17,1
277,6,-4,12,-1
278,13,-11,26,-3
279,12,-4,21,1
280,5,12,5,0
281,0,27,-8,10
282,9,10,2,2
283,4,21,-7,7
284,11,-1,9,4
285,7,-1,25,-6
286,21,-4,15,3
287,8,14,-12,13
288,4,12,4,1
289,10,0,14,9
290,7,0,8,13
291,8,18,-7,17
292,22,-14,16,6
293,-5,29,3,5
294,15,1,6,9
295,15,0,18,7
296,6,8,16,0
297,9,0,24,-1
298,14,-7,24,0
299,12,16,3,12
300,13,1,4,5
301,15,2,3,12
302,7,10,12,16
303,6,11,0,9
304,-2,30,-15,15
