Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,0,-10,-1
2,-4,6,-1,-2
3,-6,4,4,-7
4,-3,-16,35,-15
5,-3,-16,11,1
6,-3,-8,10,-1
7,-1,-3,-9,12
8,-5,12,-13,10
9,0,15,-16,9
10,5,-7,7,3
11,-3,-8,19,-4
12,4,-3,-4,2
13,-1,-1,0,0
14,1,-5,-7,5
15,0,-9,10,-2
16,-1,3,-3,0
17,-2,0,-11,14
18,1,-18,14,-9
19,6,-20,23,-10
20,4,-12,15,-1
21,-7,13,-7,3
22,-10,6,1,5
23,-7,3,0,1
24,-4,-2,3,1
25,-1,-5,8,-2
26,-13,-5,8,4
27,2,-7,11,4
28,-8,-5,11,-3
29,1,2,-7,2
30,-8,2,9,-2
31,0,-22,29,-12
32,-6,3,2,-2
33,-1,-4,9,-2
34,9,-16,16,-2
35,-13,18,-11,3
36,6,-11,18,-11
37,-6,9,-9,5
38,6,0,-6,11
39,-9,14,-2,-7
40,2,-7,0,6
41,3,-7,1,2
42,-3,5,1,0
43,6,-9,8,-3
44,-3,-7,11,-1
45,-2,10,-26,13
46,1,0,-6,5
47,2,11,-18,10
48,-7,-2,13,2
49,0,-6,16,-12
50,-1,-23,20,-9
51,2,-5,2,7
52,2,-7,9,-8
53,-10,18,-14,5
54,0,-4,16,-11
55,-7,1,1,4
56,-3,13,-4,0
57,-3,0,6,-6
58,1,-22,26,-6
59,10,-19,14,-6
60,-1,-9,17,-2
61,-3,16,-25,9
62,-14,6,5,3
63,6,3,-3,-1
64,-3,5,-4,1
65,-9,-5,18,-8
66,-2,3,-2,5
67,3,-3,11,-8
68,-3,-1,9,4
69,11,-13,12,-3
70,-1,2,-7,4
71,0,-4,9,0
72,-9,16,-17,12
73,-7,8,2,4
74,-5,-1,7,-2
75,-10,12,-9,10
76,-2,-5,9,7
77,7,0,-5,9
78,1,2,0,0
79,-2,8,-3,4
80,-9,-2,7,4
81,2,-13,7,4
82,-2,0,9,-1
83,5,-16,9,0
84,0,0,0,3
85,-6,9,-5,10
86,8,-24,12,1
87,4,2,-3,0
88,0,6,7,2
89,11,0,-10,13
90,-6,8,6,0
91,5,-11,11,0
92,-12,21,-19,17
93,0,-7,10,1
94,2,-2,6,0
95,-1,2,-9,2
96,-6,2,7,0
97,0,3,-1,6
98,-9,13,-6,5
99,-3,-5,2,9
100,2,0,-4,7
101,-6,0,14,4
102,-7,16,-5,0
103,4,-6,9,0
104,-1,2,-6,12
105,-3,11,-23,23
106,2,1,-1,1
107,-4,9,-10,6
108,-4,-3,11,0
109,-4,5,-4,7
110,-3,7,-10,14
111,11,-6,0,4
112,-2,3,-6,7
113,2,-7,10,0
114,2,-9,13,1
115,-4,-1,1,8
116,-4,2,2,3
117,7,-5,1,3
118,4,0,0,1
119,4,-6,3,2
120,-9,10,0,9
121,-1,7,2,5
122,-2,-1,4,3
123,2,1,1,6
124,-3,2,7,-4
125,-5,3,3,-3
126,4,-5,11,-2
127,-3,15,-15,5
128,5,-4,1,5
129,-5,-6,16,-5
130,1,-5,10,3
131,0,0,10,-4
132,2,-8,3,5
133,-5,2,0,2
134,-8,5,6,-1
135,8,-11,0,7
136,0,-10,19,-2
137,5,-12,13,-3
138,8,-6,7,4
139,-1,-8,14,4
140,-8,22,-13,7
141,1,-11,14,4
142,-5,0,3,3
143,4,-10,21,0
144,2,0,3,5
145,5,1,1,5
146,15,-25,18,-3
147,0,2,-1,5
148,-3,-2,22,-7
149,3,-8,15,-1
150,-3,15,-13,7
151,9,-6,2,10
152,-5,2,7,2
153,3,-26,26,1
154,-1,4,3,-1
155,0,7,-12,5
156,3,-20,19,-4
157,-8,11,-10,13
158,-1,9,8,-8
159,0,7,2,7
160,12,-6,3,7
161,5,-3,0,6
162,7,-2,-2,1
163,10,-20,22,0
164,8,-26,20,-1
165,-6,6,13,1
166,8,-11,1,9
167,-6,13,-7,3
168,2,4,3,3
169,0,-5,12,-3
170,-5,18,-16,9
171,-4,5,3,-3
172,-5,8,1,3
173,-5,13,-13,13
174,10,-16,3,6
175,5,1,0,0
176,-6,10,0,6
177,-2,-2,11,0
178,-3,5,-2,9
179,-4,1,8,-4
180,-3,4,0,12
181,-6,-2,7,12
182,17,-5,5,-1
183,-7,1,17,-3
184,0,-14,17,2
185,-8,3,15,0
186,3,4,-8,8
187,-10,-7,32,-2
188,8,-5,5,5
189,11,-2,-7,6
190,11,-3,-1,8
191,-3,6,5,11
192,4,-9,21,-2
193,-5,10,-8,11
194,-5,9,0,2
195,7,-13,24,-4
196,5,2,-10,11
