Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,4,1,-8
2,-2,6,-5,0
3,3,1,-4,-1
4,-2,-10,11,-7
5,2,0,-6,-1
6,6,0,-4,3
7,0,6,-11,-4
8,7,-18,16,-9
9,0,-7,12,-8
10,-7,5,0,5
11,2,-4,-1,0
12,7,-6,5,-2
13,0,3,-2,0
14,7,-6,10,-10
15,-3,4,2,-7
16,10,-20,15,-5
17,9,-20,20,-14
18,6,-6,0,0
19,-8,12,-2,3
20,10,-4,-1,2
21,4,-18,21,-2
22,5,-9,4,-1
23,-3,0,0,7
24,2,6,-13,3
25,-3,3,7,-4
26,1,1,-4,2
27,10,-9,7,-1
28,6,-15,14,-1
29,0,19,-21,6
30,-2,-3,16,-7
31,8,-14,13,-4
32,-3,13,-6,5
33,-1,5,-4,2
34,-5,-5,9,-5
35,1,-12,20,-8
36,0,-2,0,5
37,-3,-5,20,-2
38,7,-2,-10,6
39,5,-9,5,-3
40,-3,11,-8,8
41,-4,4,4,1
42,17,-19,11,-4
43,7,1,-1,-3
44,0,3,-7,0
45,-9,14,2,-10
46,0,-3,6,-1
47,0,0,10,5
48,10,-16,7,6
49,2,8,-2,-1
50,5,-10,9,-2
51,4,6,-4,2
52,10,-12,5,7
53,6,-4,-1,3
54,-1,4,-9,5
55,-12,3,4,1
56,6,6,-4,1
57,3,-10,0,5
58,2,-4,-2,14
59,6,-15,11,2
60,6,-1,-5,6
61,6,0,-4,4
62,2,12,-13,4
63,-3,1,3,2
64,6,8,-22,13
65,10,-18,18,-2
66,6,-4,-4,8
67,1,8,-3,1
68,0,0,4,-7
69,1,6,-1,1
70,-2,11,-14,4
71,4,0,3,-10
72,4,0,3,3
73,4,5,-3,-1
74,5,1,6,-4
75,-1,1,8,-4
76,-1,1,-1,1
77,10,-2,0,2
78,14,-11,0,9
79,4,-9,1,-1
80,-2,-9,14,1
81,10,-12,2,3
82,15,-8,-10,7
83,1,-10,8,-2
84,-1,-2,22,-7
85,11,-19,12,-7
86,3,-1,11,-5
87,3,0,5,-3
88,3,-2,10,0
89,6,-5,7,-5
90,7,-1,9,0
91,-4,17,-11,6
92,3,6,4,8
93,2,9,-2,9
94,6,-13,11,-1
95,-6,7,2,7
96,3,-10,8,0
97,10,-11,10,0
98,6,-2,0,0
99,11,3,-3,1
100,6,-3,-3,7
101,3,9,-7,1
102,3,4,-4,2
103,-8,15,-2,4
104,7,0,-1,-1
105,6,-2,4,-1
106,-1,8,-7,7
107,2,0,5,2
108,-2,1,1,14
109,7,-16,22,5
110,13,-4,1,5
111,4,13,-12,10
112,6,-6,11,0
113,3,-10,24,-2
114,3,3,6,4
115,-8,18,-9,18
116,13,-6,8,4
117,5,13,-17,12
118,5,4,1,-6
119,4,-10,22,-10
120,22,-20,17,-3
121,0,-5,17,-3
122,7,-2,4,3
123,4,6,-6,8
124,3,3,0,6
125,2,-1,3,4
126,10,6,-4,6
127,19,-30,30,-9
128,2,-5,9,0
129,5,-4,12,-5
130,7,4,-4,6
131,1,10,-5,1
132,8,-8,0,5
133,5,-2,6,7
134,1,3,3,-2
135,11,-6,9,5
136,3,-5,5,5
137,5,-3,2,6
138,8,-11,6,4
139,6,-13,14,2
140,-2,10,-11,12
141,5,-2,11,4
142,-11,2,18,-9
143,-2,9,-3,0
144,9,-8,10,0
145,4,6,0,3
146,5,3,-5,2
147,4,-1,1,0
148,4,0,-3,7
149,14,-23,18,5
150,5,-6,10,4
151,4,4,9,0
152,8,-6,4,0
153,9,-6,5,4
154,11,-1,2,-2
155,9,3,-7,5
156,16,-12,8,10
157,8,0,4,1
158,4,-4,22,0
159,6,6,-1,4
160,8,3,-2,5
161,6,-5,10,2
162,7,-5,2,1
163,3,2,1,-2
164,4,-4,7,1
165,-1,7,4,4
166,4,2,3,6
167,13,-18,19,1
168,9,-6,15,5
169,6,-6,9,0
170,-1,5,5,-1
171,18,-19,16,-1
172,9,-8,11,0
173,-1,13,-4,4
174,0,-10,19,-14
175,14,-3,-9,6
176,-2,0,2,1
177,14,-11,2,5
178,6,12,-10,5
179,10,6,-6,1
180,-5,1,11,2
181,9,-2,10,1
182,13,-4,2,2
183,-4,23,-11,7
184,10,-3,4,-1
185,9,-2,-2,9
186,2,0,6,0
187,5,-14,6,-1
188,8,-7,11,0
189,14,-4,0,3
190,3,11,3,0
191,7,6,-6,9
192,10,-14,21,-2
193,11,-11,14,0
194,10,-2,-1,8
195,5,0,3,8
196,8,-3,-4,10
197,5,-3,11,1
198,0,-6,17,-1
199,0,4,9,0
200,8,-15,20,-4
201,6,10,-3,8
202,5,-17,35,-14
203,-1,-2,10,5
204,6,-1,5,-10
205,0,15,-2,6
206,8,-2,2,7
207,5,11,-1,7
208,6,-12,10,4
209,14,-13,0,11
210,4,1,7,2
211,9,-4,1,5
212,8,-3,4,-1
213,0,-2,14,0
214,10,-11,12,6
215,4,-7,22,-5
216,14,-7,17,-2
217,14,-9,20,-9
218,3,0,7,3
219,13,-17,20,-6
220,16,-7,7,6
221,9,-16,27,-6
222,6,-1,12,5
223,15,-8,12,7
224,6,-15,20,-2
225,8,0,8,3
226,10,-19,21,-2
227,16,-6,9,-1
228,11,-3,11,-1
229,6,-5,10,5
230,0,4,5,6
231,18,-12,5,5
232,19,-15,18,1
233,1,2,4,2
234,3,19,-12,8
235,2,0,16,0
236,3,-19,36,-6
237,8,-20,27,-9
238,-1,11,7,0
239,12,-14,24,-7
240,-1,12,-6,16
241,7,12,8,-6
242,2,11,2,3
243,-2,4,14,0
244,8,-11,23,-3
245,12,0,3,6
246,14,-7,4,2
247,12,-6,11,0
248,-2,9,9,0
249,7,0,1,6
250,15,-10,8,8
251,9,3,0,3
252,11,0,18,-8
253,8,6,3,3
254,1,7,10,-4
255,-8,10,3,9
256,13,-1,4,8
257,4,7,-9,12
258,15,-9,7,6
259,7,-7,24,-4
260,3,15,1,3
261,3,15,-7,5
262,1,0,12,0
263,13,-18,28,-11
264,-8,13,13,-7
265,17,-8,12,3
266,15,-22,35,-10
267,10,-12,20,-12
268,6,-12,30,-8
269,12,-8,9,4
270,13,-1,6,0
271,7,-8,9,3
272,11,-18,31,-11
273,9,5,11,3
274,8,-5,27,-4
275,4,-11,29,-10
276,9,4,5,7
277,11,-7,17,2
278,9,-1,23,-6
279,7,-4,13,4
280,9,1,11,6
281,14,-18,25,-1
282,8,-11,21,0
283,18,-4,-1,6
284,4,8,-4,15
285,4,13,-8,5
286,11,-11,15,1
287,14,-10,19,-2
288,4,0,15,3
289,11,-13,21,1
290,0,4,16,2
291,13,-12,10,6
292,23,-21,22,4
293,15,-10,18,-1
294,21,-25,37,-10
295,10,-4,13,5
296,7,2,10,8
297,9,-7,30,2
298,7,1,5,10
299,3,6,10,4
300,13,-14,25,0
301,12,-13,27,-4
302,11,-1,12,4
303,7,-9,15,7
304,15,-21,42,-11
305,17,-19,34,-6
306,8,-16,35,-1
307,5,4,7,1
308,17,-7,19,0
309,12,-2,25,1
310,5,13,0,8
311,16,-9,18,0
312,15,-7,17,6
313,5,11,2,5
314,17,-3,15,3
315,25,-27,42,-2
316,14,-4,19,2
317,15,-5,26,0
318,7,0,16,0
319,1,9,5,12
320,13,-12,32,-8
321,16,-9,13,6
322,5,-14,24,5
323,12,6,-1,8
324,15,-1,19,1
325,15,-21,29,0
326,17,-13,25,0
327,3,26,-16,11
328,16,5,-2,14
329,7,4,15,10
330,2,4,9,5
331,15,0,16,-1
332,10,-14,37,-8
333,3,-15,40,-11
334,10,-3,23,-1
335,12,-1,12,0
336,6,14,-12,12
337,22,-9,31,-6
338,14,1,4,3
339,3,-3,20,-2
340,7,-9,18,3
341,6,11,9,7
342,8,3,7,0
343,12,4,13,6
344,16,2,6,14
345,4,9,3,8
346,10,-15,24,-4
347,13,-1,12,4
348,28,-31,28,-1
349,11,-1,18,0
350,7,-7,20,3
351,0,4,15,0
352,21,-13,24,0
353,8,3,19,-4
354,18,-12,16,0
355,12,-7,15,-2
