Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,12,-16,14,-1
2,-2,16,-15,7
3,13,-14,11,-12
4,5,-16,14,-1
5,2,-11,19,-18
6,-9,4,13,-8
7,-9,0,13,-12
8,12,-4,-1,0
9,-6,-12,26,-8
10,-3,10,-4,6
11,-1,-5,14,-2
12,2,-5,14,-10
13,-3,13,-7,0
14,4,-19,22,-9
15,7,-6,-7,11
16,13,-28,20,0
17,2,-8,4,8
18,6,-14,9,-2
19,13,-5,2,3
20,-8,-5,21,-5
21,8,-25,30,-11
22,3,-6,6,3
23,7,2,-13,6
24,2,-4,3,3
25,-1,3,-5,11
26,-3,17,-7,5
27,17,-20,2,6
28,0,-15,20,-5
29,0,5,-5,9
30,7,-18,13,0
31,10,-18,11,-2
32,-1,6,6,2
33,3,-6,9,-2
34,1,-1,1,3
35,6,-11,10,-1
36,7,-10,15,-7
37,7,-14,9,-2
38,-2,9,-11,11
39,1,5,-4,5
40,9,-4,2,9
41,-5,12,-11,7
42,9,-7,1,1
43,6,-14,12,-2
44,5,-5,11,-7
45,3,-13,22,-6
46,-7,7,1,7
47,0,-13,24,-1
48,8,-7,2,7
49,-1,3,-3,2
50,6,-11,13,-1
51,4,-9,12,-5
52,-1,-3,6,-5
53,5,13,-19,13
54,-2,-6,8,-7
55,1,9,1,0
56,7,-5,4,-1
57,4,-13,11,-1
58,13,-8,4,0
59,6,-7,8,2
60,-4,0,11,-3
61,11,-8,3,3
62,12,-1,6,1
63,-1,-8,17,1
64,11,-8,11,0
65,-8,10,-10,9
66,3,0,2,9
67,3,-12,14,-1
68,-2,4,7,-1
69,-6,2,4,-1
70,6,-8,13,-1
71,11,-12,7,0
72,5,6,-6,9
73,6,-9,7,3
74,0,-11,16,-7
75,-2,6,-5,2
76,0,0,10,-8
77,1,1,-2,2
78,9,-5,7,0
79,-2,-4,1,6
80,0,-4,-2,2
81,14,-13,9,3
82,-2,7,-6,8
83,-1,15,-3,6
84,3,3,4,2
85,7,-12,8,2
86,0,-1,6,0
87,1,0,1,-5
88,9,-10,13,1
89,-12,11,-1,6
90,-2,27,-25,12
91,6,6,-8,14
92,-1,22,-21,14
93,10,6,-4,0
94,-2,8,3,7
95,4,6,0,2
96,-4,-1,14,1
97,14,-18,11,-1
98,4,-2,7,-3
99,4,3,-5,3
100,5,4,0,-1
101,2,-1,9,-2
102,-11,16,-2,0
103,0,-7,6,0
104,8,-5,-2,7
105,3,-2,5,4
106,3,1,2,0
107,3,8,-8,11
108,3,4,-1,4
109,15,-9,2,8
110,10,0,6,6
111,5,-12,13,1
112,5,1,4,-2
113,9,-5,-1,7
114,-2,-3,20,-2
115,15,-9,8,-7
116,11,-4,8,4
117,-4,15,2,8
118,0,-3,12,-1
119,2,11,-9,10
120,-20,28,-10,6
121,0,0,-1,7
122,-2,-4,9,6
123,0,0,10,1
124,8,-7,-2,10
125,4,5,-15,14
126,8,0,0,11
127,10,3,-4,6
128,15,-13,1,15
129,4,-14,26,-10
130,7,0,2,0
131,-1,3,-4,12
132,2,-8,14,1
133,7,-2,-1,6
134,12,-21,20,-4
135,-1,4,0,12
136,-4,6,-2,11
137,15,1,-8,14
138,2,-1,12,-6
139,-9,19,-14,12
140,11,4,-13,14
141,12,-10,13,-1
142,1,4,0,6
143,-4,-1,11,6
144,3,-9,10,1
145,6,-1,5,0
146,8,2,-3,1
147,0,-1,10,3
148,-2,5,19,-8
149,16,-11,9,-7
150,0,5,-2,3
151,5,11,-13,12
152,-2,13,-10,1
153,0,18,-17,7
154,6,-5,7,4
155,10,-18,22,-3
156,0,-5,13,0
157,-7,9,-9,8
158,11,-6,4,0
159,-3,3,6,0
160,-3,7,7,2
161,17,-19,10,2
162,3,15,-10,17
163,4,12,-15,16
164,6,-11,14,-9
165,5,-4,5,-7
166,7,-6,-2,10
167,4,-6,-6,4
168,4,0,-6,8
169,2,7,-2,5
170,-2,10,-9,2
171,-5,15,-18,12
172,-3,15,-11,0
173,9,-5,10,-6
174,4,0,-1,1
175,12,-22,27,-8
176,-3,5,8,3
177,-6,8,10,-2
178,6,-4,9,1
179,-3,19,-5,7
180,5,10,-14,15
181,-5,9,-2,7
182,-5,17,-4,-5
183,14,0,-4,12
184,3,1,-1,10
185,0,21,-16,14
186,10,-7,11,3
187,7,3,-5,6
188,11,-3,0,9
189,-3,8,2,1
190,-1,2,10,-3
191,7,0,2,0
192,2,-3,0,6
193,8,9,-21,28
194,7,-4,14,0
195,6,4,1,3
196,5,-1,4,0
197,-3,-2,6,1
198,10,6,-11,11
199,4,8,-7,9
200,3,6,-5,14
201,0,5,11,1
202,12,-16,18,-3
203,-4,9,1,10
204,2,11,-2,10
205,0,9,-2,6
206,8,-6,1,9
207,3,-4,9,-4
208,0,6,-1,9
209,-12,24,-2,3
210,12,-5,12,2
211,-8,9,7,0
212,4,16,-5,2
213,1,5,14,-7
214,1,3,6,5
215,17,-17,12,-1
216,9,-7,7,8
217,8,0,6,5
218,-2,0,12,4
219,-4,14,-4,9
220,10,-5,9,3
221,16,-24,27,-4
222,9,0,7,0
223,9,-5,13,-4
224,4,-2,15,-4
225,3,-2,10,0
226,11,10,-20,18
227,3,13,3,0
228,-1,16,-11,9
229,4,8,-3,17
230,8,-6,18,7
231,12,-12,10,4
232,5,0,17,-2
233,4,8,5,1
234,2,6,1,2
235,11,1,-5,11
236,6,0,6,0
237,-3,9,10,2
238,7,5,0,5
239,4,8,6,8
240,6,-4,20,5
241,1,9,10,0
242,14,-6,4,14
243,6,-14,22,3
244,9,-10,28,-3
245,14,-5,17,2
246,-2,12,-6,8
247,-1,4,11,2
248,6,-5,17,0
249,14,-10,10,8
250,7,-3,8,11
251,-6,8,6,0
252,3,-11,21,5
253,6,-3,13,-1
254,0,9,-6,11
255,5,-4,26,-4
256,4,9,1,8
257,5,6,8,8
258,0,5,3,1
259,9,-4,15,2
260,21,-14,22,-3
261,2,-1,2,2
262,-3,23,-15,16
