Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-2,3,-16,16
2,-4,6,0,-2
3,0,0,5,-4
4,-6,8,-5,2
5,3,4,-12,2
6,-1,-5,9,0
7,9,-3,-1,0
8,0,-9,15,-3
9,-5,13,-8,4
10,-1,10,-6,7
11,-2,14,-8,5
12,-2,10,-10,4
13,0,0,3,4
14,-2,11,-4,6
15,8,-6,4,-1
16,-2,7,-4,0
17,-2,16,-5,3
18,10,-9,4,-1
19,-2,7,-5,14
20,11,-1,-9,5
21,1,-7,15,-3
22,-8,17,2,-3
23,-14,18,-8,5
24,-9,22,-11,8
25,-7,1,1,2
26,9,-11,12,4
27,0,0,9,-3
28,-7,16,-5,-6
29,-2,10,-6,8
30,6,-2,-2,8
31,0,0,-3,6
32,0,0,4,2
33,18,2,-4,2
34,-4,-5,6,-3
35,4,3,-18,14
36,4,3,-3,0
37,5,0,2,4
38,2,-8,12,0
39,3,0,0,8
40,-6,20,-24,14
41,0,0,5,4
42,2,8,-12,6
43,15,-17,2,0
44,-2,2,-1,12
45,7,6,-17,11
46,-1,6,-4,7
47,-2,7,-4,8
48,5,-4,10,-1
49,-6,1,1,4
50,8,0,-5,1
51,-4,5,-1,11
52,1,12,-13,7
53,0,5,-9,16
54,15,-10,6,8
55,3,-12,15,-1
56,1,0,-1,12
57,8,-7,11,-2
58,6,1,-4,8
59,2,6,-5,4
60,1,8,-10,12
61,0,14,-21,3
62,7,-1,-4,5
63,4,-6,6,10
64,5,7,-4,20
65,-9,23,-20,17
66,5,1,3,5
67,-2,14,-17,18
68,0,21,-25,14
69,3,21,-29,13
70,11,-9,10,4
71,12,-10,3,10
72,1,6,0,3
73,8,-3,8,2
74,-2,5,-2,7
75,0,-5,5,6
76,11,0,5,7
77,9,2,-10,12
78,10,-10,12,0
79,4,1,13,0
80,5,-7,4,3
81,1,0,0,3
82,13,-4,-3,5
83,4,0,0,13
84,-2,2,-1,11
85,4,5,-5,11
86,-4,5,-4,8
87,8,-14,16,4
88,-1,11,-17,18
89,8,-3,5,8
90,4,6,-11,15
91,17,-21,16,-4
92,16,-2,-3,6
93,16,-8,1,5
94,-3,1,8,7
95,0,16,-11,13
96,-7,-4,18,-1
97,-4,-2,14,2
98,8,-10,7,5
99,0,2,-6,11
100,11,-10,19,-2
101,-1,8,0,6
102,4,-5,7,0
103,4,-7,3,1
104,-4,2,-3,7
105,5,-5,0,3
106,-1,21,-14,8
107,7,-9,12,0
108,0,-4,0,9
109,1,10,-6,6
110,10,-1,7,0
111,3,-8,21,-2
112,6,11,-17,9
113,-4,-1,12,6
114,7,1,3,9
115,5,6,-4,13
116,5,3,-2,7
117,8,8,-6,12
118,1,-11,6,1
119,1,-7,9,8
120,20,-29,18,6
121,3,0,-2,7
122,5,-12,20,0
123,4,3,-3,13
124,11,-14,9,6
125,0,4,-6,14
126,7,-10,9,10
127,9,-2,-9,10
128,12,-3,12,-2
129,10,-8,4,0
130,-2,-1,7,7
131,-4,3,9,0
132,-2,3,-8,6
133,1,-6,0,14
134,-1,15,-18,16
135,5,-16,19,-4
136,-5,16,-16,6
137,4,11,-23,22
138,-2,11,-16,16
139,0,4,-3,10
140,1,0,8,8
141,-1,0,-3,0
142,9,-15,18,-3
143,0,1,-3,3
144,0,7,-3,3
145,12,-18,17,-3
146,11,-12,11,7
147,3,-5,5,6
148,2,-1,3,6
149,7,8,-18,17
150,11,-6,4,6
151,7,-1,0,14
152,7,-3,3,2
153,14,-10,1,11
154,5,11,-19,9
155,9,-3,4,3
156,-4,23,-22,19
157,3,3,-3,5
158,3,4,-1,10
159,7,0,-5,7
160,3,1,2,4
161,3,1,-2,2
162,0,12,-20,15
163,5,-3,1,9
164,10,-17,17,-8
165,4,-4,3,9
166,14,-11,9,0
167,15,-8,2,8
168,-6,2,13,0
169,-1,-8,22,-2
170,0,8,-1,7
171,4,6,-1,4
172,3,16,-15,9
173,-1,4,4,3
174,-4,5,-6,3
175,2,0,-3,0
176,11,-1,-1,14
177,0,2,-5,13
178,-1,1,0,7
179,-1,17,-15,16
180,4,20,-16,8
181,10,-11,6,-1
182,0,6,4,-3
183,-1,0,5,4
184,8,-2,0,10
185,5,-1,4,4
186,0,-2,4,5
187,10,-3,-12,8
188,-1,3,-2,9
189,-9,10,0,10
190,6,6,4,6
191,8,-1,4,-1
192,-1,-5,12,-3
193,0,0,2,4
194,0,-4,-3,11
195,8,8,-8,4
196,2,6,-1,1
197,-1,7,-12,14
198,-6,11,-1,8
199,10,-10,16,3
200,9,-3,-2,13
201,7,-5,0,7
202,10,-6,2,9
203,-4,11,-3,14
204,8,-16,24,-8
205,14,-5,-4,12
206,4,-6,2,7
207,-7,-2,5,3
208,8,-5,12,3
209,-3,7,2,10
210,5,-6,8,2
211,1,4,5,5
212,3,5,6,12
213,9,3,2,12
214,5,-12,24,0
215,9,1,4,3
216,8,-1,11,4
217,14,-7,12,1
218,5,10,-3,12
219,0,0,7,5
220,4,-5,12,4
221,6,-15,12,10
222,16,-13,26,0
223,3,8,3,13
224,5,6,0,11
225,-2,3,5,7
226,-2,4,15,8
227,14,-3,8,6
228,1,0,9,3
229,10,-2,4,10
230,8,-7,19,4
231,1,7,11,9
232,8,0,11,10
233,2,1,8,6
234,4,-5,13,4
235,0,0,5,8
236,12,-17,17,3
237,2,0,14,7
238,7,-4,9,13
239,0,-1,14,8
240,12,-11,18,3
241,2,13,-1,8
242,10,-8,19,10
243,20,-19,29,5
244,-1,1,29,-4
245,12,-15,32,8
246,21,-21,26,1
247,4,7,14,6
248,0,-4,24,10
249,0,5,15,5
250,2,3,12,8
251,16,-14,16,11
252,2,2,11,8
253,0,15,5,6
254,9,13,-8,18
255,9,-5,14,13
256,12,1,6,13
257,7,-5,10,7
258,-3,2,17,18
259,8,1,15,7
260,0,10,20,-1
261,12,4,4,10
262,17,-16,24,6
263,21,-8,6,18
264,14,3,5,13
265,14,-13,28,1
266,10,-1,17,6
267,3,-16,38,-3
268,16,-22,35,-2
269,-1,20,3,5
270,13,-4,16,10
271,0,4,15,12
272,5,-3,21,3
273,3,7,8,6
274,7,11,-1,9
275,23,-3,-1,16
276,17,5,-6,17
277,11,-9,31,-4
278,14,-6,27,-2
279,15,-4,16,11
280,5,0,21,2
281,10,-4,20,3
282,-1,10,6,12
283,3,9,9,7
284,7,-10,31,2
285,19,-13,14,7
286,9,-17,23,2
287,12,-3,12,12
288,8,-12,25,2
289,-1,4,17,8
290,3,12,7,17
291,19,-16,20,11
292,14,-18,26,7
293,22,-19,24,7
294,8,7,4,19
295,9,12,14,16
296,5,3,23,1
297,10,-4,25,2
298,19,-20,31,9
299,11,-7,29,7
300,7,15,-3,21
301,18,2,3,17
302,16,-1,17,14
303,21,-2,13,11
304,10,-18,38,7
305,10,0,9,14
306,8,6,13,16
307,10,0,14,14
308,17,-10,22,5
309,2,-7,23,8
310,6,-2,24,10
311,10,-10,25,10
312,16,-16,33,6
313,16,-12,25,7
314,13,-2,17,11
315,17,-7,25,4
316,13,-14,26,7
317,21,-13,24,8
318,12,-7,12,16
319,0,10,15,12
320,10,-15,29,10
321,12,-13,31,0
322,20,-23,33,5
323,5,4,15,8
324,4,3,13,16
325,10,-6,24,6
326,11,-15,41,-8
327,11,-15,36,4
328,20,-14,18,16
329,23,-19,28,9
330,15,-8,25,-2
331,13,-3,20,4
332,8,-1,13,9
333,6,-2,24,2
334,10,-11,34,0
335,18,-9,20,8
336,10,15,1,15
337,21,-12,27,8
338,9,8,-5,24
339,5,7,10,13
340,11,-5,16,12
341,7,7,1,20
342,11,0,22,5
343,18,0,23,10
344,20,-17,34,7
345,6,7,13,13
346,19,-21,36,8
347,8,2,27,11
348,11,0,12,27
349,12,1,26,12
350,19,-7,25,11
351,24,-10,28,9
