Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,5,-17,13,0
2,-7,0,0,7
3,-13,11,0,5
4,3,-10,4,4
5,7,-8,8,-4
6,-9,10,3,-5
7,-1,-10,14,-5
8,-1,-6,4,7
9,8,-6,6,4
10,0,-15,20,-5
11,-1,-6,4,7
12,-4,11,-1,0
13,17,-13,-4,4
14,-2,5,-6,6
15,-4,-2,3,0
16,9,-14,13,-7
17,2,1,-11,13
18,14,-24,15,-2
19,4,-3,10,3
20,3,-3,2,0
21,14,-13,9,0
22,5,-8,0,-5
23,-1,1,1,4
24,13,-15,5,2
25,7,5,-6,13
26,7,11,-23,9
27,7,-7,6,2
28,0,-6,3,5
29,16,-14,3,0
30,8,-15,17,-5
31,13,-31,31,-6
32,-4,6,-6,10
33,-7,12,-4,3
34,-6,9,4,1
35,0,-10,12,0
36,0,-5,10,-4
37,9,-22,23,-7
38,1,-1,5,1
39,4,-2,15,-5
40,0,3,5,0
41,6,-8,11,-6
42,-6,3,3,6
43,17,-16,15,-3
44,7,7,-16,10
45,9,-9,-3,7
46,2,8,-3,-1
47,3,-5,4,-2
48,4,15,-20,19
49,4,5,-1,5
50,3,18,-19,10
51,-2,3,3,1
52,5,0,0,0
53,-1,6,-11,13
54,0,0,4,1
55,-5,13,-13,15
56,1,7,-4,3
57,3,-4,8,-1
58,0,1,4,-2
59,0,-5,11,-1
60,6,-8,8,3
61,-5,-2,2,9
62,7,4,-12,10
63,8,-22,30,-6
64,-2,15,-16,17
65,2,-3,6,7
66,-4,18,-16,10
67,8,-19,12,-4
68,7,-19,22,-4
69,-1,5,-12,16
70,9,-18,16,-2
71,8,2,-10,7
72,-4,1,0,7
73,6,-1,2,1
74,4,-7,5,-1
75,6,-5,-2,4
76,12,-15,10,0
77,17,-13,9,-1
78,4,-5,5,5
79,0,2,0,4
80,-9,19,-9,2
81,6,3,-7,3
82,12,-15,11,0
83,0,-5,11,0
84,0,-2,5,3
85,-1,-2,0,1
86,4,-7,-2,6
87,9,-18,14,1
88,9,-12,4,2
89,-5,-2,11,-1
90,5,-5,4,9
91,13,-23,12,1
92,-3,2,2,7
93,7,5,-15,16
94,12,-13,16,-2
95,-6,15,0,7
96,0,4,0,6
97,-5,14,-7,1
98,14,-18,12,0
99,1,13,-9,6
100,10,-4,-1,5
101,1,4,1,2
102,8,-6,2,3
103,6,-19,17,-3
104,0,-18,18,1
105,5,-6,6,7
106,-6,12,3,-2
107,-8,11,4,3
108,10,-9,11,3
109,7,-10,7,8
110,0,16,-17,19
111,3,2,-1,11
112,12,-14,10,2
113,2,6,-2,11
114,-2,7,5,10
115,-6,0,18,-1
116,2,-9,11,1
117,3,-10,22,-3
118,-6,14,-6,10
119,5,-9,16,0
120,2,-12,18,0
121,14,-12,8,4
122,8,-9,7,13
123,1,9,-8,7
124,-3,0,2,13
125,3,0,5,7
126,-1,12,-2,12
127,0,6,-3,6
128,3,-2,15,8
129,8,-4,-11,18
130,6,-16,12,10
131,8,-5,6,3
132,9,-11,9,4
133,9,-7,0,10
134,-3,1,4,3
135,9,-5,13,5
136,1,12,0,5
137,4,-5,11,1
138,-1,5,2,4
139,5,7,-1,13
140,6,3,1,4
141,8,13,-5,2
142,4,-11,14,4
143,0,14,-17,14
144,3,4,4,2
145,1,4,-5,3
146,-2,0,1,7
147,0,4,4,2
148,-3,6,-2,14
149,3,3,0,6
150,11,-7,11,3
151,0,9,-4,7
152,9,-13,3,9
153,4,1,7,3
154,0,7,4,4
155,-2,0,-3,16
156,6,7,-15,18
157,-3,8,-9,13
158,4,2,8,-1
159,6,-2,-4,17
160,0,7,0,10
161,3,7,9,5
162,1,12,-5,8
163,5,-18,28,-1
164,-2,7,-1,4
165,16,-10,2,14
166,10,-4,3,4
167,11,-8,5,0
168,20,-32,31,-7
169,2,10,-13,11
170,16,-8,0,9
171,-3,0,5,9
172,1,2,4,0
173,5,-5,3,7
174,3,-10,15,-10
175,2,0,1,5
176,8,8,-12,13
177,5,5,-6,9
178,7,-4,0,6
179,7,0,-3,6
180,9,-3,9,-1
181,7,0,-8,10
