Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,8,-3,0,0
2,-2,3,0,5
3,1,-1,4,-3
4,2,5,-18,10
5,-2,13,-9,7
6,11,-8,0,2
7,5,-3,-3,-2
8,6,8,-9,6
9,7,1,-9,18
10,0,10,-3,0
11,-1,2,-8,8
12,0,-14,14,2
13,1,-4,2,0
14,8,-7,7,0
15,-5,11,-6,0
16,-7,7,0,0
17,-11,10,-3,3
18,-2,4,-3,9
19,5,-6,5,5
20,3,3,-10,14
21,13,-13,14,0
22,5,8,-18,15
23,-3,6,0,-1
24,6,3,-4,1
25,-12,28,-27,7
26,0,6,-2,7
27,1,0,6,1
28,0,14,-16,1
29,-6,15,-17,7
30,11,-17,-2,3
31,0,-7,11,-4
32,8,-4,-2,7
33,1,6,-1,-1
34,-3,9,-7,-3
35,11,-11,3,8
36,9,-3,0,8
37,0,1,1,3
38,-7,21,-14,6
39,5,-7,8,4
40,-9,12,-3,-1
41,11,-7,4,-1
42,4,-5,2,5
43,-1,7,-5,2
44,-4,7,-5,8
45,-3,8,-1,6
46,-11,23,-16,2
47,3,2,0,1
48,1,0,0,7
49,0,-1,10,-9
50,3,-14,12,0
51,0,3,-8,11
52,-2,11,3,0
53,-6,5,-8,14
54,1,-4,15,-3
55,9,-2,-3,2
56,-6,5,-12,12
57,0,0,4,0
58,0,3,-5,5
59,-3,5,-2,5
60,8,1,-1,0
61,-4,7,10,-5
62,10,-4,-7,16
63,11,-4,11,0
64,5,-12,4,9
65,10,-1,-6,10
66,12,-21,13,-2
67,-5,15,-18,13
68,2,4,-4,3
69,-6,8,1,4
70,2,-7,1,3
71,0,6,-4,1
72,9,-1,-7,3
73,3,-1,-2,0
74,1,2,6,-1
75,8,-1,-1,0
76,7,1,-8,8
77,7,-1,3,2
78,5,8,-9,10
79,0,0,-6,9
80,0,12,-16,20
81,-1,14,-10,9
82,-8,13,-11,3
83,6,-1,-3,3
84,-2,14,-11,11
85,-1,1,4,2
86,-2,10,-2,2
87,2,-4,0,7
88,-3,8,-5,6
89,3,7,0,4
90,0,6,1,11
91,1,0,3,-4
92,4,3,-5,7
93,8,-6,0,9
94,3,1,1,11
95,0,21,-9,10
96,17,-20,18,0
97,15,-9,-4,5
98,-2,19,-12,5
99,5,-12,10,5
100,0,-3,-1,-4
101,8,1,-11,12
102,-1,17,-19,11
103,2,7,-22,23
104,0,8,-10,12
105,-3,14,-13,11
106,2,14,-18,16
107,8,2,-4,5
108,3,4,-12,17
109,6,0,-6,13
110,10,-3,-11,9
111,5,1,-5,5
112,-4,18,3,0
113,7,-6,-3,11
114,-2,8,-1,3
115,0,-6,19,-2
116,-2,9,-1,19
117,7,-2,0,16
118,5,-9,12,2
119,15,-12,6,-2
120,8,3,-1,5
121,-1,19,-20,14
122,11,-6,0,9
123,8,-7,10,2
124,8,-8,3,8
125,3,2,6,13
126,13,-17,16,13
127,6,11,-10,13
128,-1,8,-1,10
129,18,-26,31,-5
130,12,-2,11,7
131,-3,-18,22,2
132,8,23,-30,23
133,6,-8,13,5
134,8,0,1,11
135,9,2,-1,13
136,4,8,-4,15
137,1,6,4,6
138,0,1,9,4
139,7,11,-8,16
140,7,6,-8,14
141,13,9,-18,16
142,4,0,-2,18
143,-1,13,-6,9
144,6,8,-8,12
145,-5,8,-8,9
146,10,1,8,2
147,1,2,1,9
148,-1,7,4,11
149,10,-12,11,5
150,8,-2,4,8
151,5,2,-6,11
152,0,6,-9,11
153,0,12,-4,5
154,2,12,-14,12
