Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-7,13,-11,2
2,2,-4,5,-2
3,-16,33,-34,15
4,-2,3,-13,3
5,-7,2,1,-1
6,-4,2,-5,4
7,-1,-13,12,-5
8,-16,16,-7,2
9,0,-14,17,-3
10,-17,31,-13,-2
11,5,-8,4,8
12,-13,11,-9,7
13,1,3,-1,-4
14,2,-2,0,3
15,-11,10,3,-3
16,4,1,0,2
17,-6,-9,0,6
18,-1,7,-19,13
19,-7,10,-2,1
20,-4,12,-6,0
21,-12,-6,15,-2
22,-1,4,-1,0
23,-12,20,-14,3
24,10,-7,-3,0
25,0,5,0,6
26,1,-3,9,-3
27,-2,8,-2,0
28,-16,9,6,3
29,-7,8,-4,2
30,0,0,-2,2
31,-8,6,2,5
32,9,-13,3,3
33,-2,6,-2,9
34,-9,12,-15,12
35,2,-2,-3,7
36,-9,13,-12,8
37,-6,7,-4,4
38,11,-9,5,0
39,-5,17,-13,6
40,1,5,-13,8
41,-5,7,-21,12
42,0,14,-19,9
43,-7,7,0,3
44,4,-5,8,-3
45,-3,6,-8,6
46,-1,-3,7,0
47,-9,8,-5,5
48,-7,6,-2,3
49,-7,35,-35,11
50,1,2,-1,12
51,-2,-8,15,-1
52,0,19,-21,15
53,-9,14,-6,12
54,-2,14,-4,0
55,-3,15,-16,6
56,4,12,-10,0
57,-2,10,-15,12
58,2,-17,13,-2
59,5,-10,15,-8
60,1,7,-6,-4
61,-7,16,-21,12
62,-20,21,-7,2
63,-1,15,-21,9
64,-5,24,-12,13
65,-14,16,-12,11
66,-2,-7,12,1
67,-8,15,-14,14
68,-10,11,-2,7
69,-2,2,2,0
70,-1,14,-16,5
71,3,-5,11,1
72,-1,-4,-4,11
73,-9,18,-7,9
74,-10,13,0,1
75,-10,25,-23,7
76,-3,-4,11,2
77,0,12,-23,8
78,0,5,-7,8
79,-2,7,-4,0
80,-12,8,-11,5
81,-10,21,-8,0
82,-1,0,6,-2
83,1,0,5,5
84,0,-7,9,2
85,8,-3,0,0
86,-17,18,-9,3
87,-1,14,-9,6
88,5,-9,19,-5
89,-6,20,-8,0
90,-4,8,-9,13
91,-25,31,-3,5
92,0,3,5,1
93,-7,16,-11,5
94,7,-10,3,7
95,-1,0,5,5
96,4,-6,9,5
97,11,-7,15,2
98,0,4,-5,8
99,-13,6,0,3
100,0,3,-8,1
101,5,-1,0,1
102,4,-8,21,-1
103,-8,12,-3,5
104,-12,14,-10,10
105,0,2,1,-2
106,9,-8,6,7
107,2,1,-4,0
108,-11,19,-9,7
109,0,0,4,2
110,0,21,-17,17
111,-1,4,-2,3
112,-5,12,-4,-5
113,4,-15,9,-1
114,1,11,-7,13
115,7,7,-8,9
116,-5,19,-16,16
117,-13,13,0,3
118,-2,5,-9,15
119,-6,3,3,2
120,-12,15,-13,11
121,-1,8,-6,4
122,-2,14,-11,4
123,1,3,-3,10
124,-5,2,4,2
125,-5,1,8,0
126,0,11,-6,4
127,4,-2,3,8
128,-8,9,-1,3
129,-1,0,5,5
130,1,4,-7,0
131,-15,25,-18,7
132,0,0,4,0
133,3,-5,17,-1
134,6,1,-5,5
135,9,-1,1,3
136,0,7,-5,3
137,-6,10,3,3
138,4,0,-1,3
139,0,1,0,4
140,0,22,-22,18
141,-8,25,-29,16
142,-5,27,-18,9
143,-1,14,-12,9
144,-12,21,-9,8
145,1,-8,12,3
146,-10,5,4,4
147,-10,5,3,7
148,-7,11,-8,4
149,1,3,-4,5
150,-11,27,-20,14
151,4,4,2,3
152,-4,18,-7,3
153,1,12,-11,6
154,0,2,-4,11
155,-4,13,-7,4
156,0,12,-13,18
157,0,-3,6,-2
158,2,7,-9,10
159,-5,15,-3,5
160,0,-3,0,9
161,-7,16,-12,13
162,3,2,-4,10
163,-11,15,0,2
164,4,13,-22,12
165,0,15,-16,10
166,2,-15,21,-4
167,-4,12,-4,11
168,11,0,-12,7
169,2,5,-9,10
170,-8,13,4,-5
171,-1,12,-9,10
172,1,2,-2,4
173,9,-11,9,-3
174,0,3,-8,9
175,3,3,-3,9
176,-5,23,-23,14
177,4,1,-10,9
178,-18,32,-14,10
179,0,-1,12,-3
180,-7,16,-12,0
181,-4,0,0,3
182,3,9,-15,7
183,7,4,-7,7
184,-5,13,-7,5
185,0,10,-8,10
186,-10,22,-16,0
187,7,17,-32,17
188,3,-9,7,0
189,-12,34,-32,18
190,4,3,-5,6
191,-5,4,1,4
192,-5,19,-20,14
193,-1,-2,5,-5
194,-4,7,-5,-1
195,0,10,-14,8
196,8,-10,7,0
197,4,6,-4,9
198,-3,18,-19,9
199,-9,17,-12,7
200,-4,15,-2,2
201,5,1,-6,20
202,0,-3,5,1
203,-1,19,-19,11
204,-8,14,-8,0
205,-2,9,0,-1
206,0,0,6,-1
207,2,13,-17,3
208,-2,6,-6,13
209,-1,13,-19,19
210,-6,16,-7,1
211,-2,3,-5,11
212,-4,16,-15,12
213,-2,16,-11,14
214,-8,15,-9,13
215,-1,16,-4,3
216,-5,14,-1,0
217,1,17,-5,0
