Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-4,-5,6,6
2,7,-9,-6,4
3,1,0,4,2
4,0,1,0,0
5,4,-4,5,0
6,2,-12,18,-6
7,1,-8,13,-7
8,-2,6,-5,7
9,-9,-2,2,0
10,7,-5,-7,1
11,-8,3,6,-2
12,-9,-8,18,-7
13,-3,-8,13,-3
14,5,-24,20,0
15,-9,15,-13,7
16,-8,15,-8,2
17,8,-18,15,0
18,0,-6,8,4
19,0,-5,8,0
20,-3,6,-1,6
21,-7,16,-18,6
22,4,-6,15,-7
23,0,-15,16,-3
24,-4,4,-1,-2
25,0,4,4,1
26,4,-7,14,0
27,-7,7,2,0
28,1,8,-5,4
29,2,-3,8,1
30,5,-14,17,-5
31,2,-10,14,4
32,-1,-7,17,-2
33,-2,-6,9,5
34,-9,2,13,-7
35,-3,-7,15,-4
36,1,-3,12,-1
37,3,-2,-1,4
38,9,-18,17,-7
39,2,-4,6,2
40,-1,7,4,2
41,-3,5,-18,15
42,-5,10,-6,9
43,10,-4,-9,9
44,3,0,-5,3
45,6,0,-11,16
46,0,2,2,0
47,1,-7,17,-2
48,5,0,0,10
49,-6,7,0,0
50,12,-7,0,0
51,8,-19,19,0
52,5,-3,3,4
53,6,5,-7,10
54,-3,6,1,8
55,-6,14,-11,2
56,-4,1,3,0
57,0,17,-16,12
58,1,3,1,-1
59,3,-5,6,8
60,0,-13,12,-2
61,-4,17,-11,5
62,-2,3,2,7
63,-1,14,-9,7
64,5,-8,14,0
65,4,-4,1,9
66,1,0,-1,6
67,-5,6,4,0
68,0,7,-16,10
69,-3,4,0,5
70,12,-12,16,1
71,1,-7,14,-5
72,1,-2,6,-3
73,4,-10,24,-1
74,1,14,1,0
75,-6,5,-1,7
76,-1,12,-2,0
77,-11,15,2,1
78,5,-9,11,5
79,1,4,0,6
80,1,-8,2,8
81,-7,15,-1,7
82,4,2,-8,9
83,-3,10,-3,12
84,-3,7,0,0
85,3,-6,12,3
86,-5,0,8,5
87,3,-10,11,2
88,-2,1,11,-1
89,-17,15,-5,4
90,8,-6,3,7
91,0,16,-10,13
92,6,3,1,4
93,5,-1,8,0
94,7,-9,9,6
95,6,-3,6,5
96,2,0,7,0
97,8,-6,9,5
98,0,6,-10,8
99,-4,9,-5,8
100,-8,3,14,-2
101,0,9,-3,4
102,-1,-8,12,7
103,11,-12,4,7
104,9,-7,5,11
105,6,1,12,-4
106,10,-10,2,7
107,2,3,7,0
108,-2,1,3,7
109,2,-2,11,1
110,-6,5,7,10
111,11,-17,17,3
112,-1,8,-4,8
113,12,-9,13,-1
114,2,0,16,0
115,7,-13,17,2
116,-1,4,9,3
117,10,-10,17,8
118,-2,-1,5,13
119,5,-2,-2,10
120,1,-1,1,12
121,-3,13,1,6
122,4,-20,29,7
123,3,-7,17,5
124,6,-10,22,4
125,15,0,13,0
126,9,2,4,6
127,6,3,12,2
128,6,-11,27,0
129,8,2,6,0
130,-1,14,-1,13
131,1,21,-17,14
132,0,14,2,5
133,10,2,20,9
134,13,10,31,15
135,23,-17,60,24
136,9,9,32,13
137,21,0,12,11
138,5,14,4,16
139,1,7,4,1
140,6,-2,13,7
141,0,0,11,4
142,2,8,4,2
143,11,-13,15,9
144,-3,15,2,0
145,2,9,-7,6
146,3,10,-11,12
147,4,4,6,9
148,4,0,5,6
149,5,0,0,8
150,4,-13,23,4
151,2,-3,16,4
152,0,0,17,1
153,0,-3,16,4
154,0,-3,16,0
155,-3,11,-5,11
156,4,0,5,5
157,11,-11,9,3
158,7,-1,7,14
159,0,5,5,1
160,-1,11,1,7
161,0,-2,9,7
162,0,14,-9,12
163,10,-4,3,6
164,3,12,-6,6
165,9,-7,14,6
166,1,-3,12,10
167,12,-6,7,9
168,-2,19,-11,8
169,-8,19,0,8
170,4,1,6,6
171,3,2,5,2
172,9,-12,21,0
173,2,-6,9,8
174,0,0,13,-2
175,-2,-1,14,0
176,21,-17,10,0
177,3,10,-5,4
178,11,-18,24,-4
179,5,-3,4,6
180,2,2,10,0
181,-5,21,-12,11
182,2,-1,8,3
183,5,4,-12,15
184,17,-8,6,3
185,6,-12,20,-11
186,0,7,-4,7
187,3,12,-7,13
188,5,0,8,4
189,1,0,3,8
190,-1,11,2,4
191,0,0,4,8
192,8,-13,21,10
193,9,1,-1,12
194,7,-8,5,12
195,9,-6,12,-2
196,3,-4,12,3
197,10,-12,21,8
198,4,6,-1,4
199,6,-2,12,0
200,9,0,13,-6
201,8,-2,5,3
202,9,0,-7,9
203,10,0,6,0
204,-3,8,3,13
205,6,-2,9,4
206,-5,16,8,3
207,1,16,-1,8
208,0,8,-2,13
209,0,-4,7,8
210,2,-1,8,2
211,2,-1,13,5
212,8,-6,14,-2
213,24,-23,18,9
214,8,-9,17,2
215,15,-9,9,9
216,1,-10,21,6
217,6,2,0,18
218,6,-3,24,2
219,7,-9,12,8
220,19,-20,14,5
221,9,-13,20,0
222,-8,24,-4,5
223,8,-12,18,8
224,6,-5,9,-3
225,23,-19,14,7
226,12,-13,22,6
227,-2,7,0,4
228,-2,-5,30,-3
229,5,8,3,6
230,2,-4,26,-4
231,2,6,14,3
232,11,-10,18,9
233,12,-8,15,6
234,5,5,0,14
235,-1,10,-1,8
236,5,6,-4,9
237,7,-7,19,2
238,9,1,0,10
239,9,-4,5,12
240,10,-6,21,-1
241,12,-20,29,6
242,0,9,1,10
243,6,-6,14,6
244,5,-6,16,8
245,12,-8,15,5
246,9,-10,22,2
247,3,-4,28,-4
248,-1,9,9,8
249,-1,5,17,3
250,-1,2,4,6
251,-3,20,-17,17
252,20,-23,23,7
253,8,-3,18,0
254,9,-2,12,10
255,8,-3,5,19
256,4,-2,13,0
257,11,-10,13,0
258,10,-17,15,9
259,14,-23,26,3
260,14,-11,16,3
261,8,3,6,18
262,4,11,5,11
263,5,-1,13,17
264,13,-12,17,3
265,2,5,11,4
266,6,0,18,10
267,3,-2,19,5
268,13,-5,15,1
269,10,-23,28,1
270,8,9,6,6
271,9,8,-7,17
272,8,3,9,7
273,5,-3,9,22
274,14,3,4,15
275,0,1,22,0
276,10,-9,15,17
277,9,-2,16,3
278,-1,4,12,9
279,5,0,12,13
280,8,8,-4,21
281,13,-15,30,0
282,12,0,3,17
283,-4,1,19,1
284,7,-7,16,10
285,2,1,16,8
