Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,5,-11,3,0
2,4,-10,7,-6
3,1,-9,0,9
4,-2,-4,5,-3
5,10,-25,12,0
6,-1,5,-15,11
7,0,6,-14,12
8,1,-10,13,-2
9,-9,19,-22,10
10,8,-15,9,2
11,-3,8,2,-3
12,1,2,7,-4
13,-4,13,-3,-3
14,4,-12,14,0
15,15,-8,-8,13
16,0,6,-5,0
17,0,-7,10,-6
18,-8,15,-9,6
19,-6,7,-5,2
20,2,-17,20,-17
21,-1,-3,1,0
22,-3,-3,0,7
23,6,-7,-1,7
24,0,-6,11,-6
25,-4,8,-5,5
26,-7,2,1,2
27,5,-1,-4,6
28,0,0,1,-9
29,0,0,-3,1
30,-5,4,0,-4
31,10,-5,8,-3
32,4,-4,0,-1
33,0,-7,6,2
34,1,-7,9,-6
35,8,-13,17,-10
36,-4,-4,12,-7
37,0,-6,-1,2
38,0,7,-6,3
39,8,-5,-5,6
40,7,-11,10,-3
41,11,-19,11,0
42,-6,24,-23,11
43,2,-6,6,-5
44,0,3,0,1
45,-3,3,1,4
46,0,-2,0,8
47,-3,17,-21,10
48,9,-5,1,-3
49,0,-3,5,-1
50,8,-1,-3,-3
51,8,-7,10,-1
52,9,-3,-10,8
53,2,-11,18,0
54,3,2,2,1
55,-3,-2,3,-1
56,2,-10,20,-6
57,19,-11,3,-1
58,5,0,1,0
59,-4,1,3,7
60,10,-18,10,-2
61,5,-4,2,2
62,7,-13,16,-7
63,4,-7,0,7
64,4,9,-11,14
65,6,-8,21,-13
66,2,4,8,-2
67,10,-12,9,0
68,11,-4,-11,17
69,5,0,-13,8
70,3,-5,8,0
71,4,-1,1,5
72,2,-8,13,2
73,-1,-5,16,-3
74,0,1,-1,1
75,1,5,-3,3
76,10,3,-16,10
77,0,14,-10,10
78,9,-3,0,6
79,0,0,-5,10
80,-1,8,0,2
81,5,-12,11,5
82,0,6,-5,13
83,-9,12,0,4
84,-1,6,-5,9
85,0,-3,-2,9
86,9,0,-6,1
87,16,-20,9,-1
88,6,-12,3,9
89,3,-7,3,6
90,12,-18,10,0
91,14,-11,3,9
92,3,-10,15,-1
93,0,-7,18,-8
94,-4,0,4,8
95,11,-7,-5,13
96,2,6,-1,7
97,6,-13,15,6
98,7,-8,11,-2
99,1,2,-9,10
100,1,0,3,0
101,9,6,-11,11
102,0,5,5,1
103,7,0,-4,4
104,-14,29,-12,4
105,16,-10,7,7
106,1,4,-3,5
107,-6,4,5,3
108,3,-3,0,5
109,1,-10,4,7
110,-2,10,-11,11
111,18,-14,9,0
112,4,-6,-2,14
113,6,-6,6,2
114,7,9,-12,12
115,2,1,-1,6
116,16,-23,24,5
117,1,0,0,3
118,7,-7,2,8
119,2,12,-13,11
120,7,4,-7,9
121,2,5,0,6
122,10,-14,11,5
123,3,9,4,1
124,12,-12,3,11
125,0,9,-4,10
126,8,9,-6,20
127,8,0,-8,11
128,10,0,0,7
129,0,0,0,7
130,5,-15,26,-5
131,4,1,-4,12
132,18,-13,9,2
133,1,1,3,1
134,12,-3,2,-6
135,8,-7,3,9
136,8,-13,2,7
137,6,-3,1,8
138,8,-1,-3,4
139,-6,7,3,9
140,7,1,-4,5
141,6,-7,21,1
142,11,-19,16,6
143,3,4,-5,12
144,-3,16,-1,6
145,8,-3,4,6
146,-9,11,1,6
147,3,-3,5,3
148,-3,-5,11,-2
149,3,0,4,5
150,17,-23,13,3
151,2,-4,8,5
152,3,2,-8,7
153,0,0,1,-1
154,5,-9,8,-1
155,-8,11,-13,13
156,12,-13,9,0
157,-6,9,-2,4
158,9,-7,0,12
159,8,-7,2,7
160,4,13,-5,8
161,0,6,-7,10
162,12,0,-3,13
163,-1,4,0,7
164,0,12,-9,3
165,4,6,-2,7
166,13,-13,8,7
167,9,-7,7,0
168,5,-5,4,6
169,1,2,-2,14
170,8,-8,7,-3
171,-1,0,-3,2
172,6,-16,14,-5
173,0,18,-19,16
174,6,0,0,-1
175,0,0,2,0
176,12,-6,4,0
177,8,-2,-3,5
178,19,-13,6,0
179,8,-6,0,7
180,10,0,-8,3
181,-1,7,-16,15
182,2,-12,17,-5
183,3,6,-11,6
184,0,-6,11,3
185,3,3,-14,7
186,4,11,-13,11
187,4,-6,4,2
188,1,10,-15,8
189,-7,16,-3,11
190,11,0,-3,3
191,16,-10,7,6
192,5,4,-10,17
193,12,-11,0,15
194,19,-19,4,14
195,2,2,-5,6
196,3,7,-3,12
197,0,0,-2,9
198,2,-2,6,-1
199,5,5,-24,9
200,0,8,-4,1
201,0,4,-3,12
202,1,-5,3,4
203,5,-9,6,8
204,2,8,-3,2
205,17,-14,13,2
206,11,3,-1,0
207,9,1,-16,14
208,13,-14,4,8
209,0,2,2,7
210,11,-11,-2,6
211,8,-1,4,8
212,-2,5,1,3
213,-3,9,3,2
214,12,-11,4,8
215,2,6,-6,14
216,0,14,-13,14
217,2,-1,7,4
218,0,-7,7,6
219,9,9,-10,20
220,14,0,-1,19
221,3,-7,16,4
222,21,-31,29,-2
223,14,-11,8,8
224,0,0,12,0
225,7,10,-11,13
226,12,-16,21,-3
227,5,0,4,2
228,10,3,-7,10
229,20,-23,15,7
230,7,6,-14,17
231,17,-16,8,3
232,0,8,4,10
233,6,-1,12,-1
234,0,4,9,6
235,16,9,-17,14
236,4,-2,3,12
237,10,-10,14,0
238,-3,5,10,4
239,16,-11,8,1
240,21,-29,24,4
241,6,-1,4,5
242,7,-11,6,2
243,1,1,-2,16
244,6,9,1,9
245,4,6,-5,9
246,12,-9,16,-1
247,0,0,14,2
248,1,18,0,11
249,2,1,12,0
250,11,-7,17,0
251,10,-5,10,2
252,-2,0,13,5
253,8,-23,37,-1
254,4,11,-5,8
255,12,-4,5,14
256,9,-2,5,16
257,4,5,2,21
258,6,-3,14,11
259,21,-20,16,7
260,12,-22,36,-4
261,11,1,1,5
262,-1,13,-5,7
263,18,-23,25,-1
264,5,-2,12,13
265,21,-4,9,9
266,12,-9,16,5
267,26,-19,21,10
268,12,2,21,4
269,17,-8,18,20
270,8,-3,25,10
271,10,11,1,20
272,21,12,2,26
273,0,20,-1,26
274,19,-6,21,15
275,14,10,14,17
276,22,-3,20,20
277,15,-7,25,15
278,5,18,11,16
279,14,7,12,15
280,21,-14,23,10
281,21,-13,28,8
282,3,3,20,8
283,20,-11,29,4
284,18,-7,22,7
285,22,-9,24,3
286,8,-7,16,10
287,21,-24,25,0
288,19,-1,8,10
289,8,-3,20,9
290,20,0,4,22
291,7,2,16,11
292,13,-10,17,14
293,7,-5,24,6
294,10,-10,27,2
295,7,3,9,17
296,16,8,0,17
297,19,-4,20,12
298,16,-12,20,11
299,27,-7,14,14
300,9,8,7,19
301,25,-24,38,1
302,12,6,9,15
303,10,-4,14,18
304,19,1,7,14
305,18,-5,8,10
306,21,-15,28,3
307,5,5,13,9
308,8,16,2,14
309,15,0,8,15
310,18,6,7,14
311,16,1,8,13
312,23,-16,23,2
313,24,-15,17,14
314,12,-2,23,6
315,16,-5,14,17
316,11,4,20,5
317,12,10,8,16
318,27,-28,25,18
319,18,-13,19,10
320,12,-6,18,12
321,17,3,10,16
322,10,7,12,8
323,3,4,21,10
324,4,-3,17,8
325,10,9,15,5
326,15,-16,24,9
327,8,6,2,12
328,12,0,20,5
329,23,-10,19,6
330,14,-5,28,0
331,7,6,6,19
332,12,7,10,8
333,20,-13,14,12
334,14,7,-4,23
335,9,0,13,14
336,12,15,-11,16
337,15,-11,12,8
338,7,-3,18,4
339,4,-4,20,3
340,13,-14,15,9
341,12,-7,9,11
342,-10,19,3,17
343,10,6,6,13
344,14,1,11,15
345,14,-14,22,11
346,-2,15,8,21
347,10,8,5,24
348,22,-11,31,7
349,17,0,16,14
350,21,-13,20,14
351,18,-3,18,10
352,17,1,10,15
353,2,7,13,15
354,21,-6,20,12
355,5,-2,12,15
356,14,0,16,21
357,14,2,5,14
358,18,-15,24,11
359,10,-4,19,18
360,18,-11,18,11
361,18,-2,18,9
362,11,13,5,20
363,23,-15,25,7
364,9,-7,23,21
365,17,-7,22,11
366,11,-9,28,8
367,15,-4,15,12
368,15,-16,23,5
369,-1,15,3,14
370,3,2,17,13
371,21,-14,29,13
372,15,8,6,13
373,15,0,18,8
374,13,-12,29,3
375,12,0,2,17
376,-1,27,-3,10
377,15,-3,17,10
378,9,-4,28,9
379,2,14,8,10
380,25,-9,15,9
381,19,-11,25,5
382,22,-7,10,14
383,15,-3,10,13
384,10,4,16,11
385,9,0,13,15
386,10,-1,9,15
387,13,-5,23,7
388,9,7,-1,15
389,14,5,14,7
390,15,2,4,14
391,17,-5,18,18
392,21,-32,39,7
393,14,8,3,13
394,7,-5,28,6
395,8,8,4,16
396,12,-10,24,8
397,11,3,2,20
398,12,-6,12,16
399,5,18,-3,11
400,1,16,3,28
401,5,-2,23,8
402,22,-18,29,12
403,11,1,21,9
404,16,-12,10,17
405,2,13,7,18
406,20,3,-1,22
407,9,7,6,23
408,6,4,11,11
409,11,-4,21,6
410,12,-8,19,14
411,16,-5,17,15
412,16,-14,28,15
413,15,2,7,19
414,13,4,3,21
415,10,5,2,21
416,12,-3,30,6
417,15,-9,23,5
418,15,-15,23,9
419,-3,27,6,24
420,23,-8,11,12
421,13,-4,18,10
422,9,2,19,18
423,9,-10,24,8
424,10,-8,12,19
425,22,-20,35,3
426,16,12,-5,27
427,14,-10,37,5
428,0,-4,25,11
429,23,-6,3,21
430,17,-14,35,4
431,16,-3,20,9
432,10,5,12,24
433,17,-11,32,5
434,17,-8,13,20
435,4,3,18,22
