Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,-1,2,0
2,1,-3,-1,1
3,3,-8,0,-4
4,0,-9,4,-2
5,6,-10,0,2
6,-3,-4,0,3
7,-3,6,-13,9
8,6,-8,10,-5
9,10,-13,2,4
10,12,-4,0,2
11,4,-9,9,0
12,1,3,-1,-1
13,2,8,-4,1
14,9,-19,15,0
15,-4,12,0,0
16,-3,2,-2,8
17,2,4,4,2
18,8,-3,0,-1
19,0,-3,19,-5
20,2,-5,0,-1
21,0,-1,4,4
22,2,-10,0,4
23,0,-8,19,-13
24,7,-10,6,2
25,13,-14,6,2
26,8,-20,13,-6
27,-6,3,3,5
28,12,-11,11,-4
29,6,-17,21,-10
30,7,-18,19,-9
31,3,1,-4,3
32,12,-13,3,3
33,10,0,0,-4
34,-8,3,4,2
35,0,-12,7,1
36,9,-11,8,0
37,6,0,-20,15
38,7,-12,4,7
39,-8,4,5,0
40,2,-6,6,-2
41,0,-4,7,-4
42,-2,-5,9,-11
43,-1,-3,2,3
44,-3,7,-2,-2
45,7,-11,14,0
46,1,4,-14,7
47,-3,8,5,0
48,-6,7,-7,11
49,8,-12,4,3
50,0,1,0,4
51,2,-5,2,6
52,9,-5,-3,9
53,5,-3,-5,8
54,15,-17,9,0
55,9,-10,12,0
56,2,-4,5,-4
57,-1,9,4,2
58,15,-19,18,-6
59,6,-2,0,1
60,12,-4,-1,9
61,9,-7,9,1
62,0,3,-2,9
63,5,-3,3,9
64,8,-7,2,7
65,11,-13,22,-5
66,0,-7,4,5
67,0,3,-2,8
68,13,-12,13,0
69,-3,0,-4,0
70,-1,3,0,6
71,0,0,2,5
72,11,-8,4,0
73,3,-11,11,-3
74,1,7,-9,6
75,-1,12,-6,4
76,-6,5,3,5
77,6,5,1,2
78,3,-12,9,1
79,4,-1,1,4
80,0,-7,12,-1
81,9,-19,16,1
82,-3,5,-1,1
83,3,6,-7,17
84,11,-10,7,2
85,4,-4,-2,8
86,1,-4,5,3
87,6,-13,18,-5
88,-12,9,-3,5
89,23,-24,12,12
90,3,-11,19,-4
91,4,-9,22,-2
92,-1,3,2,8
93,2,-1,10,2
94,-7,17,-6,4
95,13,-23,23,-3
96,-2,15,-13,9
97,14,-17,16,2
98,8,-6,13,-9
99,0,-4,9,1
100,16,-23,23,-1
101,0,-4,12,4
102,-14,19,14,-3
103,6,-16,24,-9
104,0,3,5,0
105,7,-9,16,5
106,-12,7,16,0
107,7,-2,4,8
108,-5,15,-4,6
109,6,-3,8,6
110,10,-20,17,3
111,6,-6,8,1
112,4,1,0,3
113,6,-2,6,0
114,6,-14,27,-3
115,6,0,0,11
116,10,-10,14,1
117,14,-18,6,10
118,-8,15,-15,20
119,-1,9,-4,6
120,7,-9,13,5
121,4,-9,19,-5
122,-7,8,8,3
123,1,-3,19,-9
124,7,4,-7,9
125,0,-6,11,5
126,14,-15,14,4
127,1,7,0,3
128,2,2,3,7
129,6,-6,3,2
130,11,-8,2,9
131,12,-13,15,-5
132,10,7,-3,2
133,7,-7,-1,9
134,4,0,-2,10
135,5,6,-4,6
136,-2,4,0,10
137,-7,24,-20,11
138,-7,26,-17,3
139,17,-11,1,6
140,0,14,-11,19
141,9,-6,4,5
142,10,-6,8,0
143,15,-5,6,1
144,-5,15,-11,15
145,3,3,2,-2
146,20,-18,9,6
147,12,-13,4,5
148,7,-1,-4,15
149,8,-4,7,6
150,10,-6,-1,13
151,-1,-2,15,2
152,-3,-1,4,8
153,2,20,-19,9
154,6,5,-5,14
155,6,-2,2,0
156,15,-15,10,8
157,15,-17,12,10
158,6,-2,2,2
159,12,-4,-1,14
160,8,-1,-6,8
161,3,-2,9,6
162,-2,11,-9,13
163,-3,8,-6,11
164,15,-15,0,8
165,0,3,-13,12
166,-1,12,-6,10
167,10,0,4,-3
168,6,-4,4,3
169,3,7,-9,13
170,2,9,-9,15
171,-1,12,-8,7
172,17,-26,18,0
173,0,10,-10,12
174,-1,2,-1,3
175,-1,3,-7,8
176,7,-17,22,-5
177,10,-5,0,2
178,4,10,-8,11
179,-7,9,8,0
180,4,9,-21,15
181,6,-1,7,-4
182,0,11,-18,24
183,-7,11,-4,2
184,0,3,-9,16
185,7,-8,12,-2
186,12,-3,-5,6
187,0,0,10,-5
188,3,0,-10,14
189,-1,-3,1,11
190,-2,4,-3,0
191,2,23,-22,9
192,10,-4,-5,4
193,6,-8,3,2
194,3,-6,0,4
195,8,-10,6,3
196,10,-4,1,9
197,10,0,-6,9
198,1,5,-1,6
199,-1,0,9,0
200,-3,5,1,7
201,15,-17,20,0
202,3,10,-10,13
203,-4,7,-8,6
204,9,7,-1,6
205,15,-24,20,-2
206,5,-3,2,6
207,10,-10,11,4
208,-6,19,-14,13
209,1,-8,12,9
210,3,17,-16,13
211,11,-17,12,8
212,11,2,0,4
213,5,0,5,11
214,2,0,0,16
215,9,-12,22,-1
216,8,-13,5,5
217,3,1,2,7
218,3,7,-4,7
219,5,-17,25,-6
220,2,-1,16,2
221,6,-6,4,10
222,15,-4,5,7
223,0,1,7,8
224,2,-2,10,12
225,14,-8,0,8
226,14,-10,10,7
227,-2,16,-11,15
228,9,-4,12,6
229,3,0,4,7
230,9,2,5,7
231,8,-4,12,12
232,15,-7,16,1
233,1,1,10,2
234,9,2,0,10
235,8,0,5,0
236,13,-14,18,4
237,4,1,13,5
238,1,3,0,11
239,13,-15,20,0
240,6,-4,9,7
241,7,1,5,3
242,16,-15,12,0
243,15,-18,20,0
244,16,-11,10,3
245,7,4,0,11
