Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,-3,-2,-5,9
2,13,-10,7,-1
3,-8,11,-5,1
4,1,-23,26,-6
5,-3,0,-3,4
6,14,-16,1,4
7,0,-10,12,-3
8,-7,12,-7,-1
9,5,-7,8,4
10,3,8,-11,14
11,5,-11,2,4
12,-5,12,-5,-1
13,-10,2,2,-5
14,2,1,-11,10
15,1,-9,13,4
16,0,-10,16,-2
17,-1,-2,-1,7
18,-3,-6,11,-7
19,0,1,2,-1
20,-11,17,-1,-1
21,13,-3,-1,4
22,-1,-1,0,1
23,-8,-15,21,-7
24,1,-2,0,8
25,3,-5,4,-5
26,-5,5,0,-9
27,-2,4,3,-3
28,-6,2,0,3
29,7,-15,14,-2
30,9,-16,8,2
31,2,4,-7,6
32,2,-6,14,-10
33,9,-6,-9,14
34,-11,8,6,-6
35,-5,8,5,-3
36,9,-4,-4,12
37,10,-17,14,2
38,-5,14,-15,7
39,2,0,5,0
40,4,-13,16,-6
41,-4,19,-14,10
42,-5,2,9,-1
43,5,-2,-3,-5
44,-9,10,2,0
45,2,1,4,-1
46,4,-3,9,-2
47,-3,0,9,5
48,6,-3,-2,5
49,0,-9,13,-4
50,0,9,-2,12
51,7,-6,1,1
52,0,-10,5,3
53,0,-1,6,0
54,-1,4,-8,10
55,-12,7,1,0
56,-9,13,-5,3
57,14,-20,13,0
58,-2,9,-2,9
59,0,1,3,0
60,-8,14,-11,8
61,0,6,-5,4
62,2,-17,14,0
63,0,7,-2,4
64,5,-15,17,2
65,4,8,-3,5
66,-2,4,9,-1
67,-1,7,-3,2
68,2,0,-3,7
69,-8,24,-21,8
70,-2,-1,14,1
71,8,-2,0,7
72,11,-2,-3,5
73,1,1,6,-1
74,-8,15,-7,5
75,-3,3,4,4
76,14,-3,-3,7
77,1,-7,5,0
78,1,18,-7,6
79,9,-11,9,-5
80,0,3,-3,6
81,-1,2,0,2
82,1,8,4,-7
83,7,-16,22,-7
84,9,-1,-5,2
85,-1,0,12,-5
86,-2,6,-18,11
87,7,0,-9,14
88,8,-5,-1,2
89,11,-7,2,9
90,8,-7,8,-2
91,-5,4,8,7
92,0,-5,14,9
93,16,-16,12,-3
94,9,-30,33,-9
95,0,-4,6,4
96,0,-1,2,9
97,2,-3,12,-1
98,10,-24,23,0
99,-4,8,-15,7
100,-1,7,-13,5
101,0,18,-9,0
102,0,-6,14,0
103,8,-18,20,0
104,9,-9,4,6
105,4,0,-5,12
106,11,-8,9,7
107,-3,1,13,-7
108,0,-6,14,5
109,0,-1,0,5
110,3,6,-7,4
111,1,-3,7,12
112,11,-14,14,4
113,8,-2,1,8
114,-1,2,2,11
115,6,-5,5,8
116,6,6,-13,11
117,4,4,-3,2
118,-2,12,0,0
119,0,8,-4,9
120,-7,5,0,17
121,10,-10,7,12
122,-6,5,3,10
123,-8,12,-7,8
124,4,0,-4,15
125,2,4,-6,8
126,3,2,11,6
127,3,-2,8,-1
128,8,13,-21,21
129,5,7,-3,6
130,14,-2,7,0
131,3,9,2,3
132,-10,20,-9,7
133,5,-8,9,1
134,-1,13,-21,17
135,9,0,0,6
136,7,-10,13,-4
137,1,0,-2,10
138,5,-14,13,2
139,12,-11,10,5
140,-1,3,-1,3
141,0,0,0,7
142,-4,-1,8,5
143,3,5,-3,2
144,4,-6,0,0
145,5,0,0,2
146,0,2,1,7
147,5,-10,8,12
148,1,2,-1,4
149,7,-10,4,5
150,2,4,0,11
151,-3,19,-14,10
152,-10,10,-2,5
153,1,10,-13,4
154,-14,18,-1,8
155,12,-4,-9,9
156,8,-8,1,10
157,6,-1,-6,10
158,0,1,3,4
159,3,3,-13,13
160,8,-19,6,8
161,-3,1,6,0
162,1,-9,5,5
163,10,-7,-6,17
164,0,9,-8,6
165,-1,18,-21,9
166,0,3,-15,5
167,7,-6,6,0
168,-6,15,-14,6
169,0,5,-2,4
170,6,1,7,-7
171,-2,1,-7,12
172,-2,-2,0,2
173,12,-7,7,-3
174,-1,4,-8,10
175,-8,14,-10,3
176,-5,13,-20,9
177,5,-9,0,6
178,14,-3,-10,9
179,-9,18,-11,5
180,9,-5,-9,3
181,9,0,-16,16
182,-2,0,9,-4
183,1,9,-3,0
184,-9,1,2,7
185,1,-1,8,-5
186,-4,17,-21,10
187,0,9,-14,11
188,0,11,-6,0
189,0,0,-13,7
190,1,-7,12,-7
191,6,-13,8,-2
192,0,2,-9,9
193,9,-3,0,7
194,6,-14,14,-4
195,6,6,-7,11
196,5,-2,3,-1
197,-1,10,-16,12
198,6,11,-21,21
199,1,1,0,7
200,12,-4,-2,5
201,6,9,-4,1
202,-2,12,-4,4
203,-2,-1,12,4
204,16,-24,12,-2
205,0,8,-6,8
206,0,0,0,11
207,4,0,-3,8
208,0,13,-2,6
209,8,-7,15,1
210,10,-6,11,5
211,0,13,-10,6
212,10,-15,15,4
213,-4,3,4,1
214,2,-3,4,7
215,0,-2,15,6
216,4,7,-8,14
217,14,-8,3,6
218,-2,9,3,14
219,5,12,-10,23
220,5,4,-3,15
221,1,15,-5,9
222,18,-22,18,9
223,5,-7,14,0
224,-3,10,-5,9
225,10,-8,3,4
226,-8,11,6,1
227,0,11,-7,15
228,9,2,-9,11
229,3,-7,11,2
230,0,3,0,8
231,-3,6,-1,8
232,3,14,-18,21
233,-2,8,9,7
