Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,0,-16,23,-8
2,6,-3,-6,6
3,0,9,-11,2
4,3,-12,14,-3
5,2,7,-9,0
6,3,-3,8,0
7,3,-11,19,-10
8,6,-12,14,-5
9,0,0,5,0
10,4,0,10,-4
11,3,1,0,-1
12,-6,1,0,5
13,4,-4,4,-9
14,-2,13,-10,4
15,0,0,-1,5
16,2,-10,3,7
17,9,-8,3,3
18,2,7,-20,9
19,7,-12,2,-1
20,5,-5,3,4
21,3,7,-1,1
22,0,2,2,-3
23,-5,2,4,-1
24,11,-18,24,-4
25,10,-2,0,-2
26,-4,-1,13,-3
27,3,-12,24,-10
28,0,2,7,0
29,-3,-5,7,8
30,5,-16,26,-6
31,5,3,-4,6
32,11,-9,12,1
33,4,-7,16,3
34,13,-12,6,0
35,-5,21,-6,5
36,6,-6,0,1
37,3,-5,3,-3
38,2,-15,10,0
39,-2,5,0,3
40,4,-1,3,-1
41,0,-2,9,-3
42,0,8,-1,1
43,-5,2,5,2
44,3,4,6,2
45,-4,16,-3,-1
46,2,7,-1,1
47,5,-10,8,-2
48,-1,3,4,-3
49,-6,19,-12,4
50,-5,5,8,0
51,-7,17,-9,0
52,3,0,-1,4
53,-3,2,1,2
54,-1,-1,13,-7
55,7,1,1,3
56,-11,10,1,0
57,8,-6,2,12
58,-3,4,15,-3
59,10,-1,4,-1
60,2,-11,18,0
61,4,2,5,-2
62,0,-1,0,-3
63,7,-13,18,4
64,11,-19,23,-9
65,10,-6,7,6
66,13,-11,4,4
67,4,-28,32,-6
68,5,-6,0,1
69,6,-10,15,-3
70,3,-3,9,3
71,6,-2,3,9
72,6,3,0,6
73,3,-2,8,3
74,5,-1,1,4
75,10,-20,21,-5
76,11,2,-11,12
77,13,-14,6,5
78,6,5,-9,7
79,-1,-14,14,-8
80,4,5,-12,12
81,-6,11,11,4
82,9,-3,4,3
83,-2,4,8,6
84,0,4,2,5
85,-6,5,4,0
86,-2,-1,9,3
87,23,-23,12,6
88,2,0,15,-1
89,10,-3,9,-5
90,7,1,0,0
91,10,2,-6,10
92,6,-8,18,1
93,11,1,-11,6
94,13,-13,19,1
95,0,0,18,-9
96,9,-10,9,2
97,8,-8,9,4
98,-4,5,2,8
99,0,5,-5,11
100,-2,9,2,1
101,8,0,13,-10
102,0,10,-9,2
103,0,2,-1,1
104,-1,6,2,4
105,19,-21,21,-4
106,10,-10,5,-2
107,0,21,-17,11
108,8,-5,9,1
109,-9,12,-2,3
110,9,-14,26,-3
111,2,4,5,1
112,2,4,5,4
113,5,16,-13,6
114,13,-18,15,2
115,6,-5,4,0
116,-3,1,11,-3
117,6,-3,2,6
118,13,-3,0,7
119,-1,5,1,2
120,5,0,0,6
121,2,4,1,6
122,11,-19,21,-6
123,3,-14,15,1
124,8,0,1,9
125,1,1,7,7
126,6,-6,12,7
127,16,-11,-3,6
128,9,-5,4,4
129,16,-9,7,3
130,6,2,5,6
131,13,-1,-6,9
132,11,6,-3,10
133,6,-8,16,-1
134,13,2,-3,7
135,4,6,-3,5
136,8,-1,1,5
137,-2,-3,9,15
138,2,0,0,10
139,-7,12,-7,17
140,5,0,0,4
141,5,-4,4,5
142,5,0,4,0
143,4,-8,12,1
144,2,-5,1,12
145,12,-3,-6,11
146,8,8,-5,1
147,10,-11,15,-4
148,10,-11,2,11
149,4,-4,4,3
150,2,4,-2,6
151,2,3,0,1
152,-3,6,-4,1
153,1,1,-1,3
154,14,-12,-7,9
155,4,9,-12,6
156,4,3,7,7
157,6,-8,11,3
