Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,SizeMarker
1,10,-5,-4,-1
2,2,0,-6,9
3,2,-10,20,-9
4,-1,3,0,-1
5,0,3,-8,8
6,2,-15,18,1
7,4,11,-21,7
8,2,-12,19,-6
9,-4,12,-18,18
10,-5,21,-17,2
11,0,9,-18,5
12,3,-7,15,-11
13,7,-9,0,4
14,3,5,-1,0
15,-2,6,-3,0
16,-5,11,-8,0
17,4,-20,27,-14
18,0,9,-12,6
19,-3,-7,9,-7
20,13,1,-6,3
21,4,-9,7,5
22,-7,8,-3,3
23,5,-2,-3,0
24,0,7,-10,5
25,-7,1,-1,1
26,4,-6,9,-6
27,8,3,-2,0
28,5,-24,26,-5
29,2,1,0,3
30,-11,15,-7,2
31,-7,3,-9,10
32,-7,7,-8,5
33,0,-9,20,-11
34,0,2,-9,0
35,-6,-4,9,1
36,13,-13,13,-3
37,-1,-15,20,-9
38,-2,8,-6,0
39,3,3,-4,-2
40,4,6,-2,5
41,9,2,-2,6
42,8,-10,7,0
43,-1,-8,4,-2
44,0,0,1,3
45,9,-17,21,-5
46,13,-16,15,0
47,-6,24,-21,17
48,4,-3,8,-2
49,2,12,-22,10
50,8,-4,4,8
51,0,2,0,-3
52,5,-22,25,-8
53,-6,13,-1,3
54,4,7,-2,4
55,-7,5,12,1
56,2,0,4,1
57,7,-5,7,4
58,12,-24,24,-1
59,-1,-7,11,-5
60,0,-4,14,-11
61,-2,6,6,-4
62,6,-6,4,3
63,-4,9,1,2
64,5,0,-3,1
65,-3,7,1,1
66,6,-6,0,-3
67,-6,4,8,-4
68,17,-38,33,-10
69,5,-5,10,-2
70,9,-7,8,-5
71,1,-3,2,9
72,1,-9,11,-2
73,0,0,3,2
74,-3,17,-8,10
75,4,-4,-1,2
76,-5,13,-12,13
77,11,-1,1,11
78,3,8,-15,15
79,-6,14,-5,1
80,7,-4,5,1
81,-11,6,11,-5
82,-5,1,6,0
83,0,8,5,-5
84,-7,21,-13,4
85,1,-11,24,-11
86,1,8,-5,1
87,8,-1,4,2
88,8,-10,15,-1
89,2,-10,13,-4
90,5,0,-1,6
91,0,-1,10,0
92,4,13,-23,10
93,-6,19,-23,19
94,1,-5,13,-3
95,-1,0,2,5
96,5,-1,15,-6
97,0,3,7,-5
98,8,-3,6,-7
99,-2,-7,18,-5
100,3,-5,6,-3
101,8,-1,-4,8
102,2,1,2,0
103,6,-1,0,4
104,2,-4,15,-6
105,-9,9,-7,2
106,3,3,2,7
107,3,-8,11,-4
108,1,-12,24,-7
109,9,2,-4,9
110,3,-2,5,4
111,-1,6,5,0
112,0,-12,24,0
113,-7,7,-10,8
114,-4,-1,17,-4
115,9,-3,4,6
116,6,1,13,2
117,12,1,0,0
118,4,-9,18,-1
119,0,0,8,4
120,13,-4,2,11
121,-5,6,6,-3
122,-6,20,-17,15
123,-1,9,-7,15
124,7,3,-6,14
125,9,-7,10,-8
126,1,-5,11,3
127,0,7,-5,5
128,12,-8,18,-8
129,3,-12,15,-1
130,17,-17,15,3
131,11,-18,14,-2
132,-2,3,5,2
133,-7,8,0,4
134,6,2,-7,9
135,6,-8,5,9
136,0,2,-9,7
137,0,1,-4,13
138,-4,6,-3,3
139,0,4,-2,-1
140,-1,13,-20,15
141,8,-9,10,8
142,0,7,-15,9
143,4,3,-1,0
144,15,0,-11,8
145,2,-9,3,0
146,2,0,-2,7
147,2,3,-5,2
148,1,-1,5,4
149,4,10,-4,9
150,1,-2,6,4
151,8,-2,7,3
152,0,3,0,-4
153,3,0,-6,6
154,-2,13,-11,3
155,5,16,-22,15
156,3,-4,-1,4
157,11,-12,2,1
158,0,5,-4,6
159,0,0,5,0
160,3,0,6,-5
161,-2,8,-2,9
162,15,3,-13,14
163,3,5,0,0
164,8,1,-1,-1
165,-2,-6,19,-9
166,-2,4,4,1
167,1,2,-5,8
168,0,10,-4,5
169,5,-9,0,1
170,-2,10,-15,18
171,5,6,-9,-2
172,-3,17,-14,5
173,-5,15,-4,2
174,7,-9,14,-6
175,4,-12,10,-1
176,-1,6,-13,13
177,6,4,0,8
178,2,2,-3,4
179,-2,5,0,4
180,-2,8,-8,2
181,-1,15,-14,10
182,-1,2,-8,10
183,-5,14,-13,13
184,-1,6,-12,16
185,-2,8,-5,2
186,2,-17,24,-6
187,5,-3,0,2
188,1,13,-7,1
189,1,3,-14,15
190,3,5,-8,4
191,-6,14,-4,3
192,-6,11,2,3
193,-13,18,-4,5
194,11,-16,9,3
195,-1,-7,14,0
196,3,11,-12,10
197,12,3,-9,9
198,4,1,7,0
199,0,7,3,4
200,1,-5,13,1
201,-4,14,1,6
202,13,-6,6,0
203,1,7,-4,6
204,15,2,-10,11
205,12,-13,10,3
206,12,-10,1,13
207,8,-21,28,-3
208,2,-7,5,6
209,-2,12,-12,7
210,3,4,-11,17
211,7,-4,4,7
212,1,5,5,8
213,6,-3,5,3
214,5,-1,4,-4
215,13,-2,4,4
216,11,-3,13,-6
217,-11,22,-5,10
218,12,-9,14,0
219,8,0,4,2
220,7,0,9,1
221,10,-22,29,-6
222,12,-4,12,9
223,7,-6,12,-2
224,1,0,7,5
225,9,-2,1,3
226,-3,16,-6,16
227,-15,20,1,5
228,9,-24,27,2
229,12,0,4,14
230,0,19,-9,14
231,4,-4,7,10
232,9,0,4,8
233,13,-4,5,8
234,0,-2,18,0
235,5,-12,20,3
236,1,15,3,5
237,11,-9,17,5
238,2,-1,16,7
239,6,1,2,15
240,-2,5,9,4
241,5,0,3,13
242,7,-7,9,12
243,-3,-4,27,0
244,4,7,6,16
245,9,-12,28,-4
246,4,8,7,10
247,11,7,8,8
248,4,8,3,11
249,9,0,16,13
250,12,0,20,7
251,20,-6,10,15
252,-3,25,7,1
253,11,-9,17,0
254,0,14,4,10
255,9,-12,30,2
256,8,3,-4,22
257,22,-29,34,-7
258,5,0,28,1
259,6,5,2,13
260,18,-9,6,8
261,10,-21,33,0
262,1,0,9,5
263,3,6,16,2
264,3,11,3,5
265,2,4,14,4
266,11,0,-1,10
267,16,-3,10,11
268,9,4,10,5
269,-1,26,-11,16
270,14,1,2,10
271,9,-4,15,0
272,6,-2,20,0
273,15,10,-7,20
274,7,1,18,-1
275,19,-12,21,-3
276,-1,13,0,8
277,21,-21,32,3
278,1,2,22,-2
279,14,1,11,4
280,10,6,9,7
281,5,8,7,8
282,3,11,0,8
283,2,14,0,5
284,8,-3,27,3
285,16,-5,20,8
286,6,-16,40,-3
287,1,4,23,7
288,9,-7,26,0
289,5,2,13,11
290,19,-11,12,0
291,17,-13,17,15
292,11,-16,35,5
293,11,-6,26,15
294,7,-11,36,0
295,3,9,19,2
296,7,0,9,12
297,-3,11,4,10
298,0,22,1,8
299,11,-5,28,6
300,13,-3,12,7
301,10,-12,25,10
302,21,-6,19,6
303,9,-5,32,1
304,6,6,18,1
305,17,-17,35,4
306,3,16,10,8
307,10,-7,19,8
308,9,-1,13,9
309,10,-6,17,8
310,9,-3,24,10
311,20,-11,22,0
312,21,-17,28,7
313,8,-10,23,0
314,10,-1,6,12
315,15,-12,19,6
316,6,-9,24,4
317,18,-8,16,4
318,25,-13,12,15
319,10,3,6,15
320,10,-12,33,-7
321,13,-13,15,9
322,14,-3,9,17
323,25,-12,35,18
324,16,-3,19,11
325,6,0,18,12
326,9,0,12,12
327,3,1,25,1
328,16,-13,30,0
329,4,3,30,-6
330,13,-12,23,3
331,20,-21,30,0
332,6,5,17,1
333,9,10,22,2
334,16,-17,37,0
335,11,-4,19,5
336,13,-16,29,10
337,21,-6,19,2
338,6,8,12,16
339,11,0,26,6
340,14,-5,26,11
341,6,5,14,15
342,2,9,10,11
343,19,-18,38,5
344,9,2,33,9
345,11,-7,40,0
346,6,1,19,12
347,8,0,23,12
348,5,13,11,15
349,12,-10,32,5
350,23,-5,13,9
351,17,-10,31,0
352,12,0,16,9
353,20,-17,30,6
354,11,-11,30,1
355,16,-15,24,11
356,6,12,7,22
357,15,-3,16,3
358,16,-5,20,10
359,7,12,-2,16
360,6,8,11,14
361,13,9,4,13
362,16,-5,18,12
363,12,-12,24,9
364,14,-2,17,4
365,6,-6,33,6
366,14,-25,51,-7
367,19,-18,37,5
368,7,0,17,2
369,9,7,12,11
370,8,7,13,11
371,14,-16,35,6
372,3,2,17,0
373,18,-7,20,7
374,5,5,15,15
375,9,14,-4,14
376,19,-25,39,1
377,14,-20,34,13
378,9,-1,22,2
379,15,-14,40,3
380,17,-21,36,3
381,6,13,6,13
382,13,-14,35,-1
383,18,-4,8,18
384,17,-11,30,2
385,10,9,1,15
386,12,-5,22,13
387,17,-20,35,-5
388,6,6,12,11
389,8,-4,15,3
390,12,-16,35,6
391,6,10,4,16
392,11,-1,19,18
393,8,0,15,19
394,7,-7,29,8
395,11,-6,30,6
396,22,-8,27,8
397,19,-15,23,13
398,14,-10,37,5
399,22,-6,24,2
400,6,16,0,28
401,19,-6,13,8
402,10,-10,34,7
403,26,-16,22,3
404,10,-1,18,12
405,27,-22,37,1
406,16,-15,31,7
407,20,-17,28,10
408,24,-25,36,4
409,22,-12,20,12
410,9,0,30,3
411,3,7,13,8
412,20,-1,18,7
413,21,-14,27,6
414,17,1,9,14
415,11,-16,39,4
416,13,-13,29,11
417,14,3,9,21
418,22,-9,28,5
419,5,10,10,17
420,22,-13,33,11
421,13,-6,26,16
422,19,-11,19,9
423,7,3,24,8
424,11,9,12,15
425,25,-6,25,7
426,25,-13,27,7
427,11,-3,37,4
428,15,8,12,14
429,16,-10,31,15
430,20,-10,30,22
431,9,-8,36,13
432,18,-1,23,17
433,12,9,22,11
434,14,2,28,16
435,17,-12,36,7
436,37,-30,44,7
437,24,-9,34,10
438,17,-3,21,17
439,13,-5,28,11
440,20,-18,37,10
441,16,13,0,29
442,12,7,13,19
443,21,-17,43,7
444,17,3,15,19
445,26,-17,44,8
446,4,19,10,16
447,19,-19,33,17
448,9,0,27,5
449,20,-4,33,6
450,11,-7,41,4
451,13,0,20,10
452,17,-12,38,14
453,18,-3,18,16
454,25,-17,43,8
455,14,-4,29,10
456,22,-24,43,3
457,-6,17,27,10
458,18,3,16,19
459,16,0,18,13
460,12,10,12,21
461,19,-7,27,14
462,17,-7,27,18
463,25,-21,46,3
464,28,-19,35,10
465,12,0,21,21
466,19,-12,43,6
467,15,-11,36,4
468,17,7,20,14
469,28,-21,38,5
470,36,-20,33,5
471,18,-3,20,12
472,23,-3,27,15
473,26,-10,30,12
474,19,-15,47,3
475,13,-12,43,12
476,19,-6,35,11
477,18,3,20,12
478,1,10,21,23
479,22,-10,35,15
480,22,-11,30,20
481,20,-3,18,23
482,9,-9,43,14
483,17,-2,24,22
484,14,-11,44,11
485,21,-2,29,21
486,11,9,20,19
487,20,-7,24,12
488,27,-24,53,1
489,25,-13,28,25
490,19,-9,45,10
491,20,-10,33,15
492,13,0,27,15
493,20,-1,20,20
494,18,-1,28,11
495,5,4,32,15
496,14,0,27,23
497,16,-9,32,23
498,13,-1,33,10
499,16,0,29,14
500,7,5,26,18
501,27,-9,29,14
502,16,-11,39,14
503,18,3,17,25
504,9,-2,40,8
505,21,-14,33,14
506,24,-6,35,0
507,8,-4,39,8
508,27,-25,57,5
509,26,-22,42,12
510,23,0,25,18
511,22,-20,57,0
512,15,-9,32,11
513,14,-1,23,23
514,8,2,39,3
515,19,1,35,10
516,21,3,28,12
517,25,-13,37,5
518,23,-15,46,13
519,23,-13,43,11
520,27,-22,49,5
521,11,-11,42,11
522,26,-14,32,17
523,36,-19,40,13
524,22,-11,37,12
525,29,-28,51,1
526,27,-28,50,7
527,22,-18,54,1
528,27,-25,46,7
529,20,-18,44,13
530,7,7,24,18
531,31,-2,14,21
532,17,-13,40,14
533,19,-7,27,19
534,31,-17,39,11
535,28,-11,28,15
536,22,-28,53,6
537,12,-12,48,0
538,11,-9,50,10
539,23,-24,53,8
540,15,-4,31,21
541,20,-5,38,10
542,18,-9,38,10
543,19,-17,57,0
544,23,-28,52,2
545,21,-20,54,0
546,24,-15,44,6
547,16,-19,45,16
548,25,-24,61,-5
549,23,-8,28,22
550,31,-29,53,7
551,16,-3,29,14
552,28,-21,46,0
553,17,-10,40,16
554,17,-9,41,8
555,19,-7,34,13
556,24,-11,34,11
557,29,-9,33,24
558,37,-21,44,9
559,29,-30,57,6
560,19,-7,46,0
561,22,-23,57,0
562,17,-8,41,10
563,22,-6,39,15
564,19,-9,41,3
565,28,-8,31,15
566,24,-26,56,-1
567,31,-35,56,9
568,27,-17,54,0
569,11,-20,69,2
570,23,-15,47,10
571,24,-14,38,17
572,9,0,45,2
573,32,-23,41,22
574,24,-17,35,12
575,29,-18,46,10
576,28,-22,39,20
577,20,-17,54,6
578,33,-28,64,6
579,17,-1,38,18
580,12,-10,45,10
581,27,-22,61,-3
582,23,-7,42,15
583,19,-4,47,5
584,23,-12,42,11
585,20,-9,49,7
586,32,-22,48,10
587,22,-9,48,10
588,27,-16,56,10
589,19,-16,62,6
590,22,-15,52,11
591,12,-8,53,3
592,27,-21,57,6
593,30,-41,65,8
594,16,0,39,16
595,16,-12,49,9
596,34,-33,60,5
597,23,-16,51,8
598,21,-19,65,0
599,14,0,45,7
600,22,-13,50,7
601,26,-5,54,3
602,27,-21,52,6
603,26,-27,63,8
