Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-1,0,2,0
2,4,-10,-1,2
3,5,-14,12,-8
4,-7,14,-8,6
5,-12,13,-6,-6
6,-6,6,-6,6
7,-10,6,5,-3
8,4,-10,11,0
9,-11,8,7,-11
10,-7,3,2,1
11,0,-7,3,-4
12,0,-5,8,-6
13,-4,-4,3,-3
14,-6,4,-7,-3
15,-5,0,-1,1
16,-16,24,-17,4
17,-10,11,-7,6
18,-8,9,-5,-1
19,-4,0,-1,-2
20,-7,1,-1,2
21,-14,11,-9,0
22,1,-6,0,5
23,-11,7,7,-2
24,-7,10,-4,5
25,-4,3,-6,1
26,-3,-1,0,-1
27,0,5,-8,-1
28,-5,-3,6,-6
29,0,2,-12,2
30,-7,9,-12,5
31,-3,-10,14,-11
32,-6,6,-1,-3
33,-10,5,2,-3
34,-5,0,8,-5
35,-5,0,-6,-2
36,-5,6,-8,-3
37,-7,1,-1,-1
38,-9,12,-10,-2
39,-2,-1,2,0
40,-2,-2,-5,1
41,-6,-7,5,0
42,4,-7,6,-6
43,-6,-7,15,-8
44,-12,4,-4,-3
45,0,2,-7,3
46,-3,-1,3,0
47,-3,-4,6,-3
48,-1,0,0,0
49,0,-9,-2,2
50,-2,-1,1,0
51,0,-2,-1,0
52,-3,-12,14,-14
53,-1,4,-5,3
54,-3,5,-13,-2
55,-5,-1,0,-6
56,1,-17,16,-13
57,-11,-5,11,-9
58,-7,5,-7,5
59,1,-7,1,-2
60,-12,15,-21,4
61,0,-10,5,-6
62,3,-9,6,-6
63,-11,21,-26,7
64,-7,10,-17,0
65,5,-8,-2,-2
66,-8,10,-10,-2
67,-8,9,-9,-1
68,2,-8,0,-5
69,-3,-6,8,-5
70,-1,-4,-8,7
71,4,-13,7,-6
72,-4,1,-2,1
73,-3,-5,1,2
74,-8,13,-1,-2
75,-3,1,-12,4
76,0,1,-1,-3
77,-4,2,-7,-5
78,-4,4,-13,5
79,-2,-7,5,-1
80,0,-14,7,-1
81,-4,-1,-3,-1
82,-10,-2,7,-6
83,1,-15,13,-1
84,-13,12,-11,6
85,-1,7,-19,3
86,-3,0,-6,1
87,-1,-6,-6,1
88,-6,-4,10,-7
89,-4,-5,-5,1
90,-11,9,0,-6
91,-13,12,-11,4
92,-2,3,-10,-7
93,9,-17,2,3
94,-8,9,-11,1
95,-1,-7,2,-10
96,-10,4,-9,1
97,-11,12,-10,4
98,4,-17,6,-5
99,-10,6,-6,0
100,-9,0,0,-2
101,5,-9,-9,4
102,-3,-6,3,-4
103,-1,0,-9,-2
104,-14,6,-10,0
105,-2,-13,12,-11
106,-12,12,-9,-2
107,-2,3,-12,6
108,-10,2,-1,-4
109,-9,17,-20,7
110,-3,-9,2,0
111,-6,5,-2,-5
112,-13,9,-4,-1
113,4,-12,0,-1
114,-6,6,-5,-2
115,-8,6,-2,-4
116,-12,3,-8,7
117,-6,-8,7,-5
118,-10,2,-1,-6
119,-2,2,-8,-3
120,-7,-2,5,-5
121,-9,-7,9,-4
122,-6,7,-14,-3
123,-4,-18,18,-12
124,-13,6,-5,2
125,-10,3,6,-7
126,-7,4,-14,3
127,-2,-9,1,-8
128,0,-6,0,-5
129,-6,-6,4,-1
