Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-2,-1,-1,4
2,6,-10,10,-1
3,17,-18,15,-9
4,0,-2,-2,-3
5,1,-2,17,-12
6,-4,5,-2,3
7,0,0,0,-1
8,-4,4,4,0
9,6,-2,-9,5
10,-5,-10,13,-7
11,5,-14,14,-4
12,2,-12,0,-1
13,9,-4,-9,5
14,-2,-5,3,0
15,-8,7,-6,0
16,-3,-6,7,-7
17,8,-6,-6,-2
18,5,-15,2,0
19,9,-20,7,-1
20,3,-22,11,-6
21,-1,8,-5,0
22,0,-5,6,-15
23,12,-17,5,-5
24,-7,-1,2,-9
25,1,-3,-8,1
26,6,-21,17,-8
27,-7,6,-8,5
28,4,-14,12,-4
29,11,-25,21,-4
30,-5,10,-15,2
31,1,-8,0,1
32,8,-15,3,0
33,-9,-1,0,-1
34,0,-3,-1,-1
35,1,-11,4,-5
36,3,-16,10,-6
37,-11,11,-21,3
38,5,-10,-2,-1
39,0,-10,6,-3
40,8,-19,8,-8
41,12,-30,9,-1
42,-3,-10,0,6
43,14,-27,10,-9
44,1,-2,-6,-1
45,-3,-6,9,-7
46,0,-8,3,-4
47,4,-10,5,-3
48,8,-11,-1,1
49,8,-20,3,1
50,-8,0,-3,-6
51,11,-23,11,-7
52,5,-10,6,-1
53,3,-14,4,0
54,4,-14,-1,-3
55,1,-11,9,-10
56,-6,0,5,-5
57,19,-16,-2,-10
58,-7,-2,1,-8
59,9,-9,-1,-2
60,3,-13,2,-2
61,-1,-14,13,-9
62,16,-33,15,-9
63,1,-6,1,-1
64,1,0,-12,1
65,-3,3,-4,-4
66,-10,4,-3,-4
67,-1,-7,4,-6
68,2,-17,8,-2
69,-6,-6,1,2
70,-2,-8,3,-8
71,-2,-4,0,-4
72,-1,-10,6,-8
73,5,-7,-6,-3
74,-5,-2,-1,3
75,0,-16,9,0
76,-2,-4,3,0
77,0,-9,0,-3
78,0,-7,6,-10
79,6,-25,23,-7
80,-5,-2,-7,6
81,-1,-4,4,-8
82,4,-13,-1,-4
83,-3,-15,12,-7
84,4,-7,11,-11
85,-8,-3,9,-6
86,3,-21,20,-9
87,-8,-1,-5,-4
88,2,-25,17,-6
89,8,-15,0,2
90,-3,-5,-1,0
91,-1,-5,-1,-3
92,-2,-5,4,-1
93,-4,1,-10,8
94,2,-16,1,1
95,0,-1,-7,4
96,-2,-7,-3,0
97,3,1,-10,3
98,-3,-7,0,-8
99,9,-10,-4,-1
100,-10,8,-7,-1
101,-10,4,-5,0
102,1,-14,8,-4
103,-1,-16,5,-8
104,0,-13,8,-10
105,2,0,-13,-1
106,4,-13,6,-9
107,4,-13,12,-5
108,0,-18,12,-9
109,3,-7,3,-2
110,1,-7,0,0
111,12,-23,12,-12
112,-6,-12,6,-3
113,-1,8,-11,2
114,5,-14,5,-8
115,-6,4,-10,5
116,3,-15,11,-5
117,-7,4,-10,-1
118,-8,-3,-6,1
119,5,-17,-3,0
120,-3,-13,2,-1
121,-9,-6,10,-7
122,-5,-8,6,-6
123,-13,9,-10,0
124,-10,-2,3,-8
125,-4,2,-1,-2
126,0,-13,0,-2
127,-10,1,-2,-4
128,4,0,-16,1
129,4,-19,8,-8
130,0,-3,-1,-5
131,-1,-3,-8,0
132,2,-2,-5,-1
133,3,-11,2,-2
134,1,-10,0,-5
135,-9,4,-6,-3
136,1,-10,8,-10
137,7,-23,14,-8
138,1,-18,9,-10
139,10,-19,-1,-3
140,-3,0,-4,-3
141,-17,6,5,-2
142,3,-11,-3,0
143,1,-25,22,-14
144,-13,13,-12,0
145,-15,0,0,-7
146,-5,-13,12,-9
147,-3,-7,-3,1
148,-5,-9,8,-8
149,8,-25,12,0
150,1,-22,3,-1
151,-1,-6,-4,-2
152,9,-25,5,-9
153,0,-13,4,-4
154,-9,-2,2,-2
155,0,-8,-6,5
156,0,-21,12,-9
157,11,-18,0,-3
158,-1,-6,0,-5
159,-4,-2,-2,-2
160,2,-17,2,-1
161,6,-33,18,-5
162,-3,-10,0,-8
163,-10,-4,-7,-4
164,-2,-21,14,-8
165,-8,-9,14,-11
166,-9,-1,-4,-1
167,1,-10,0,-7
168,2,-3,-10,-3
169,4,-11,0,0
170,5,-8,-2,-2
171,0,-15,4,-10
172,-6,-6,-9,-2
173,-1,-3,-5,-3
174,-5,4,-11,-1
175,-5,-3,-3,-5
176,1,-11,-1,-3
177,-5,-7,0,-2
178,-10,-4,5,-12
179,-4,-5,-1,-1
180,1,-6,1,-11
181,-2,-15,9,-6
182,3,-19,4,-11
183,-7,0,-2,-3
184,-1,-13,4,-4
185,-6,-9,4,-2
186,-1,-1,-4,-2
187,-9,-13,12,-8
188,0,-2,-6,-8
189,-4,-22,15,-7
190,-3,9,-18,2
191,-2,-2,-7,1
192,-8,-10,-3,-2
193,3,-7,-12,3
194,-1,-7,-6,-9
195,1,-20,9,-4
196,0,-17,-2,0
197,3,-11,9,-12
198,4,-18,-4,-2
199,-4,-7,0,-6
200,0,-19,17,-16
201,-2,-3,-6,1
202,-4,-5,-2,-3
203,-2,-8,0,-8
204,-6,-3,7,-10
205,8,-21,13,-15
206,4,-10,-1,-2
207,-1,-17,9,-5
208,2,-25,6,-7
209,0,-7,-7,-9
210,-4,-4,-3,0
211,-3,6,-21,3
212,1,-16,7,-1
213,10,-25,-1,-1
214,0,-16,10,-11
215,-1,-10,-4,-7
216,-5,-3,-16,1
217,-1,-16,5,-7
218,-2,0,-15,4
219,-1,-12,-3,-2
220,-1,-22,8,-4
221,-19,5,-6,-1
222,6,-21,0,0
223,-7,-9,0,-3
224,-10,3,-7,-9
225,4,-20,-1,-4
226,-16,-10,3,-7
227,-6,-9,2,-7
228,0,-23,19,-18
229,-1,-13,-6,2
230,-3,0,-13,-3
231,-7,0,-3,-7
232,3,-21,-3,0
233,3,-4,-20,3
234,-14,0,3,-6
235,-5,-5,-7,0
236,3,-22,4,2
237,-2,-20,2,-3
238,-2,-6,-11,5
239,-9,2,-5,-5
240,-6,-5,0,-8
241,5,-15,-1,-7
242,0,-19,14,-14
243,-3,-5,-13,3
244,-14,14,-23,1
245,6,-17,13,-1
246,12,-26,7,-9
247,-5,0,-14,0
248,-1,-6,-1,-10
249,-3,-6,-5,-2
250,-10,-7,0,-2
251,0,-19,7,-8
252,-3,-3,-12,-5
253,-16,-2,-6,-2
254,-8,0,-5,-6
255,-3,-10,-4,-6
256,0,-11,-1,-7
257,-8,-2,-1,-3
258,-1,-15,-3,-4
259,-4,-2,-12,-1
260,-12,1,-6,-4
261,-15,6,-22,7
262,-4,-18,7,-1
263,2,-18,2,-3
264,-5,-7,-6,-2
265,-5,-7,-6,0
266,-4,-17,9,-13
267,-2,-11,0,0
268,-7,-4,-9,-2
269,-5,-1,-9,0
270,-9,7,-24,2
271,0,-10,1,-4
272,-1,-9,0,-5
273,-7,0,-4,-1
274,1,-16,4,-12
275,2,-22,1,-9
276,-16,-6,10,-15
277,-2,-12,6,-5
278,-6,-3,-19,1
279,4,-22,7,-15
280,0,-3,-13,-1
281,-1,-8,-2,2
282,1,-2,-13,3
283,-2,-13,-1,-5
284,8,-16,-5,-3
285,-5,-10,0,-2
286,-1,-16,4,-5
287,-7,-4,-10,5
288,-2,-6,-13,3
289,-4,-6,-11,2
290,3,-10,-5,-4
291,3,-14,3,-12
292,0,-19,4,-12
293,-3,-3,-1,-4
294,-5,-15,9,-12
295,-2,-17,13,-11
296,-8,0,-14,0
297,-1,-15,5,-12
298,-1,-4,-21,10
299,1,-19,4,-1
300,-9,-9,-1,-3
301,0,-3,-12,-1
302,3,-30,14,-8
303,0,-20,8,-8
304,-10,1,-7,2
305,-5,-20,2,-9
306,6,-24,2,-6
307,2,-23,-3,-2
308,2,-14,-1,-7
309,4,-11,-6,1
310,5,-12,-1,1
311,-5,0,-8,7
312,0,2,-2,4
313,-1,15,-13,7
314,7,-2,11,4
315,14,3,9,4
316,16,1,9,7
317,15,-2,10,13
318,11,0,6,12
319,15,17,-4,19
