Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-4,-5,7,-1
2,2,-4,3,2
3,-3,4,1,-8
4,1,-1,0,-9
5,5,-23,15,-2
6,-1,-4,6,-6
7,-3,-6,2,0
8,-8,22,-17,5
9,0,0,-1,-2
10,-4,-3,4,2
11,3,4,-13,5
12,-3,-3,5,1
13,-4,-1,4,-2
14,0,-11,8,-8
15,13,-21,8,0
16,0,4,-8,3
17,-1,-5,8,-1
18,0,-16,25,-13
19,1,-7,0,-3
20,-4,-3,3,-4
21,-6,3,-1,-2
22,-5,5,-1,-4
23,4,-15,21,-11
24,-4,-10,14,-9
25,-5,0,7,-3
26,-1,0,-10,3
27,-3,-10,3,0
28,-5,0,0,-3
29,5,-15,17,-8
30,0,7,-15,4
31,0,-12,14,-4
32,-11,8,-3,-2
33,-7,3,-5,1
34,-7,7,-10,0
35,-5,-4,0,-5
36,4,-23,19,-13
37,-2,-2,-2,-2
38,2,-11,5,3
39,3,-5,-8,1
40,-7,-5,7,-6
41,-5,0,-1,4
42,7,-17,12,-10
43,0,-6,-3,-1
44,-2,-9,3,-3
45,0,-14,8,-5
46,-6,-3,9,-6
47,0,-5,0,0
48,-6,-3,-6,0
49,1,0,-10,-1
50,-2,-12,9,-9
51,-7,0,-4,1
52,10,-9,0,-1
53,4,-7,0,-2
54,-12,16,-17,0
55,8,-14,6,-2
56,0,-4,0,3
57,5,-5,4,-4
58,5,-17,12,-7
59,3,-18,6,3
60,8,-16,7,-9
61,-10,5,-4,-4
62,0,-17,12,-11
63,-8,2,-3,-2
64,4,-2,-7,0
65,5,-15,8,-9
66,1,-11,4,-1
67,-1,-17,5,-7
68,4,-17,4,-6
69,-3,3,-12,6
70,0,-13,6,-4
71,5,-13,0,0
72,-2,3,-5,-1
73,0,-13,6,-9
74,-10,6,-7,0
75,-2,3,-8,-1
76,-1,-2,1,-7
77,-4,9,-14,4
78,-6,4,-10,-2
79,6,-25,21,-10
80,1,-6,4,-4
81,-4,6,-3,-1
82,2,-7,-5,-1
83,-5,4,-2,-1
84,-8,15,-17,0
85,2,-13,0,-2
86,1,-8,4,-1
87,-1,-13,9,-10
88,4,-21,13,-7
89,5,-17,4,-7
90,-4,2,-5,-1
91,1,-10,0,-2
92,-13,17,-23,10
93,1,-8,10,-5
94,1,-13,15,-11
95,3,-17,7,-5
96,-5,-3,-2,-6
97,-8,0,0,-3
98,-3,-4,2,-10
99,5,-22,9,-4
100,-2,-9,2,-5
101,0,-4,-6,1
102,-8,5,-11,-4
103,0,0,-4,-3
104,-8,-2,-3,-4
105,0,-3,-2,-4
106,-17,-5,11,-5
107,-15,13,-8,-8
108,-5,-10,8,-8
109,-8,6,-7,-2
110,-4,3,-4,1
111,7,-8,-5,2
112,-1,-3,1,-6
113,-10,0,4,-8
114,-6,6,-6,-7
115,-2,0,-3,-3
116,0,-19,9,-5
117,0,-7,0,0
118,-4,-4,-5,-2
119,-2,-7,0,-5
120,-1,-10,8,-12
121,-1,-3,-3,-2
122,-5,-10,11,-5
123,-6,0,-10,0
124,2,-9,-8,1
125,-5,-7,0,-4
126,-6,2,-4,-1
127,-3,2,-11,0
128,2,-14,3,-2
129,-7,-3,-1,-7
130,1,-9,3,-4
131,6,-11,-4,-5
132,0,-22,12,-5
133,-11,5,-9,-4
134,1,3,-10,-3
135,-2,-12,7,-10
136,-13,8,-8,-3
137,-14,6,-8,-5
138,10,-16,-1,-1
139,-11,5,-9,0
140,-9,4,-11,-3
141,0,-18,14,-15
142,-6,-2,6,-11
143,-6,1,-5,-3
144,-8,-2,3,-5
145,0,-16,9,-6
146,3,-22,9,-14
147,-8,-6,2,-3
148,-8,-13,11,-12
149,-12,7,-5,-7
150,-1,-6,-2,-5
151,-5,-3,1,-4
152,5,-13,-2,-10
153,-10,3,0,-3
154,-1,6,-16,-3
155,-7,-7,0,-6
156,-2,-2,-8,5
157,-6,-9,-1,-8
158,4,-16,0,-9
159,-5,4,-16,0
160,-5,4,-17,0
161,-2,-5,-1,-9
162,0,-18,11,-9
163,-6,1,-13,-1
164,-1,-10,3,-8
165,-8,3,-10,1
166,-2,-15,2,-4
167,-4,-8,0,-4
168,-7,-1,-5,0
169,4,-8,0,-12
170,-7,-9,9,-10
171,-10,8,-6,-3
172,-3,-18,17,-22
173,-1,-5,-4,-6
174,-2,-9,0,0
175,-2,-8,6,-11
176,-3,0,-6,-7
177,-9,-10,17,-16
178,-11,0,9,-13
179,-10,5,-10,1
180,0,-14,3,-6
181,-6,4,-5,-1
182,-2,-10,3,-8
183,-3,-11,3,-9
184,2,-7,-12,-1
185,-1,-9,2,-7
186,-8,0,2,-11
187,-2,-3,-2,-5
188,0,-21,13,-15
189,3,-19,0,0
190,0,-14,6,-8
191,1,-13,10,-13
192,-3,-9,1,-5
193,-10,0,-6,-6
194,0,-5,1,-7
195,-13,12,-15,0
196,-11,2,-12,0
197,3,-13,1,-7
198,-1,-11,-1,-6
199,-12,21,-22,0
200,-3,-2,4,-9
201,0,-9,15,-17
202,-5,-4,0,-6
203,-1,-20,10,-8
204,-8,7,-21,4
205,-2,-18,4,-8
206,1,-17,10,-11
207,-4,-1,-2,-6
208,-1,-15,9,-11
209,-11,7,-13,0
210,-1,-8,2,-5
211,-1,-14,7,-14
212,0,-15,11,-10
213,6,-10,-6,-3
214,-2,-6,1,-11
215,-8,3,-6,-2
216,-6,-3,0,-8
217,-1,-6,0,-5
218,-10,-1,0,-5
219,-5,-16,10,-12
220,-4,0,-9,-1
221,-9,-3,0,-11
222,0,-15,-7,-8
223,-7,-5,-5,-10
224,2,-22,-1,-2
225,-12,-9,6,-10
226,-7,-7,4,-12
227,1,-21,5,-9
228,-8,9,-18,2
229,-3,-13,3,-7
230,-9,2,-6,-2
231,-2,-16,6,-10
232,-3,-11,6,-10
233,6,-18,0,-5
234,-5,-13,5,-3
235,1,-12,7,-11
236,0,-10,-1,-3
237,2,-18,1,-9
238,-10,-3,-4,-4
239,-4,-7,4,-12
240,-1,-14,5,-12
241,0,-4,-10,1
242,-9,4,-13,-7
243,-1,-6,2,-9
244,-9,4,-7,-10
245,-5,-8,0,-7
246,3,-16,5,-7
247,-12,-1,0,-10
248,-11,4,-19,0
249,3,-13,0,-3
250,-4,-5,-6,-10
251,-8,0,-3,-10
252,-4,-5,-8,1
253,0,-14,0,-8
254,-5,-5,-2,-8
255,5,-21,7,-2
256,-4,-17,21,-14
257,-2,-2,-10,-2
258,-2,-14,9,-13
259,-5,-9,7,-9
260,0,-15,0,-5
261,-6,-1,-6,-1
262,-5,-5,-6,-3
263,-3,-4,-3,-3
264,-17,8,-4,-6
265,-8,-9,9,-15
266,-8,-6,0,-9
267,-6,-1,-4,-8
268,-2,-11,0,-2
269,-12,5,-14,-4
270,0,-10,-3,-4
271,-1,-9,6,-13
272,-3,-8,1,-10
273,-2,-5,1,-9
274,-16,8,0,-11
275,-12,-1,4,-5
276,7,-24,0,-8
277,-1,-9,-4,-9
278,-6,-13,9,-14
279,2,-20,6,-8
280,-7,-5,-2,-1
