Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-10,5,-2,0
2,0,-1,1,-6
3,1,4,-9,-1
4,-6,4,1,-2
5,-3,0,-4,3
6,7,-13,-5,1
7,-4,-6,5,-3
8,6,-19,21,-10
9,0,-15,8,0
10,1,-18,13,-10
11,0,0,-9,4
12,-1,-5,0,2
13,1,-3,2,-2
14,-1,0,-4,-4
15,3,-6,-6,1
16,2,-7,-3,-1
17,6,-6,0,-1
18,5,-7,0,-3
19,-2,0,-8,2
20,-8,11,-9,5
21,1,-12,10,-5
22,1,-6,5,-1
23,-3,-4,5,-3
24,2,-13,9,-7
25,-6,5,-12,10
26,4,-12,6,-4
27,4,-22,15,-2
28,0,-4,-3,-1
29,-14,17,-9,1
30,-4,1,-6,6
31,-11,9,-15,6
32,-10,-5,-3,3
33,0,-12,3,-6
34,-4,-13,10,-1
35,-4,6,-11,4
36,2,-1,-6,-7
37,1,-18,5,-3
38,1,-14,5,-3
39,-6,8,-6,-9
40,-3,3,-6,0
41,6,-11,6,-9
42,-2,-2,-8,3
43,-5,-7,5,-7
44,-3,-9,6,-6
45,-3,-3,-7,5
46,-1,-4,-3,-6
47,-2,-8,0,0
48,-7,4,-12,0
49,-4,11,-16,8
50,-6,0,6,-3
51,0,-12,6,-8
52,-6,2,0,0
53,-5,-3,1,0
54,-3,0,-3,-3
55,-2,3,-6,2
56,7,-19,17,-14
57,-2,-4,0,0
58,-9,-7,9,0
59,0,-2,-4,0
60,-10,-1,0,-4
61,-5,0,-8,0
62,0,-3,-1,-4
63,11,-24,9,-13
64,-4,-4,-1,0
65,-9,0,-2,0
66,1,-11,0,-4
67,-2,-7,6,-15
68,-4,-1,1,1
69,-2,8,-17,5
70,3,-13,5,-1
71,0,-3,4,-15
72,-7,-2,3,-8
73,2,-8,-3,0
74,6,-15,0,-5
75,0,-9,5,0
76,-12,4,-3,-1
77,5,-6,-9,5
78,-3,14,-18,6
79,7,-24,9,-4
80,0,2,-7,3
81,-6,4,-5,-2
82,-4,14,-17,0
83,3,-23,21,-12
84,2,-5,-6,4
85,-9,4,-8,0
86,-11,10,-14,0
87,-1,6,-6,3
88,2,-15,2,1
89,8,-18,5,-5
90,-1,-15,10,-6
91,-3,-17,15,-13
92,3,-17,6,-2
93,-3,-8,5,-8
94,-12,5,-3,-3
95,-1,3,-15,2
96,1,-4,-7,-3
97,-12,0,-4,1
98,-4,0,-13,-4
99,-5,5,-13,2
100,-3,-5,-4,-6
101,10,-5,-15,1
102,-8,1,-5,-3
103,-1,-19,10,-3
104,1,-6,-5,-1
105,-3,-6,0,-4
106,-7,-5,2,0
107,2,-15,1,-4
108,0,-1,-6,0
109,0,-12,3,-4
110,3,-18,-6,1
111,1,-7,-5,-7
112,-4,-5,-4,-5
113,0,-9,-6,2
114,5,-23,10,-2
115,-11,3,-2,-4
116,-4,7,-11,-4
117,-2,-14,-1,-3
118,-15,10,-15,0
119,-2,-14,2,-5
120,0,-7,-2,-7
121,-3,-12,6,-8
122,-1,-12,0,-8
123,-9,-4,-1,-1
124,-10,-4,0,-3
125,-4,-1,-5,1
126,-5,-4,6,-11
127,-2,-9,-8,1
128,9,-19,5,-5
129,-4,-17,14,-13
130,-2,-2,-5,2
131,-7,3,-9,-4
132,-8,-18,10,-13
133,0,-12,-1,-1
134,-2,-5,0,-1
135,-5,-3,-6,-5
136,-1,-12,-4,2
137,-12,10,-10,-5
138,-6,0,-2,-2
139,-5,3,-7,-6
140,-1,0,-13,0
141,-15,17,-24,11
142,1,-15,3,0
143,-6,3,-14,4
144,-8,7,-16,-2
145,-16,0,5,-5
146,-7,-4,1,-5
147,0,-2,-6,1
148,0,-6,-7,-1
149,-6,-7,-4,2
150,-3,0,-10,0
151,0,-8,0,-9
152,-11,0,4,-10
153,-4,-2,-8,2
154,-5,8,-11,-2
155,-7,6,-13,-2
156,4,-12,5,-6
157,-2,-4,-10,1
158,-6,1,-13,0
159,0,0,-23,4
160,-2,-12,15,-14
161,0,-13,-2,5
162,-4,2,-12,-4
163,-1,-5,-7,-3
164,3,-13,-2,-3
165,4,-18,0,-5
166,0,-12,2,-14
167,-7,1,-1,-13
168,-1,-1,-5,-3
169,-5,4,-10,-2
170,-5,-6,-12,4
171,-3,9,-20,-5
172,-14,19,-23,3
173,-4,-18,5,-7
174,-9,8,-14,1
175,-10,-4,-1,-3
176,-1,0,-4,-1
177,-3,-7,4,-3
178,1,-6,-7,-1
179,7,-13,-3,-1
180,0,-14,8,-10
181,1,-4,-9,-2
182,1,-17,8,-10
183,-4,-6,1,-4
184,9,-15,3,0
185,-8,-10,5,-7
186,-9,1,0,-3
187,-13,11,-20,0
188,-12,1,-9,-1
189,-11,4,-4,-8
190,-2,-21,5,0
191,-6,-8,0,0
192,-6,-18,6,-6
193,-14,11,-3,-5
194,3,-19,-2,-5
195,0,-7,0,0
196,-3,-5,-9,2
197,0,-17,8,-11
198,1,-9,-6,2
199,1,-13,0,-6
200,-5,-14,10,-1
201,-10,1,2,-8
202,-9,7,-15,2
203,-9,3,-17,10
204,-5,-1,-2,0
205,0,-9,-8,1
206,-11,10,-22,7
207,-7,-11,4,-4
208,-6,10,-24,7
209,-7,-9,1,-12
210,-13,-8,7,-2
211,0,-22,16,-13
212,-5,-16,13,-4
213,-1,-14,9,-5
214,-6,-3,-8,-2
215,-3,-16,12,-8
216,-7,0,-12,-2
217,1,-22,4,-3
218,3,-8,-9,-2
219,-6,0,-11,-1
220,-4,-10,0,-2
221,-8,-7,3,-5
222,-10,6,-8,2
223,-2,-9,-5,-7
224,2,-19,9,-5
225,-8,-12,2,-6
226,-2,-3,-21,11
227,-15,-2,-2,-7
228,-1,-9,-4,0
229,-6,-6,-10,-1
230,6,-24,0,-2
231,-9,2,-8,-3
232,-1,-3,-4,-6
233,0,-19,0,-7
234,-10,-4,-7,6
235,-16,-3,6,-6
236,1,-14,0,-6
237,6,-14,0,-1
238,1,-13,3,-12
239,-2,0,-15,3
240,-5,-6,0,-3
241,2,-21,6,-8
242,-2,-5,-1,-6
243,-8,7,-17,1
244,-5,3,-11,-4
245,1,-6,-14,0
246,8,-24,3,-1
247,12,-25,-5,3
248,-13,2,-10,-4
249,-8,1,-8,-3
250,-10,0,-17,6
251,-13,-4,0,-6
252,-4,-1,-8,1
253,1,-15,0,-2
254,-3,1,-15,0
255,-2,-9,0,-4
256,-13,-1,-2,-8
257,-4,0,-19,10
258,7,-19,-3,1
259,-2,-11,-4,1
260,-5,-6,1,-8
261,-11,-1,-9,9
262,3,-7,-10,-1
263,-7,2,-5,-14
264,-14,12,-18,3
265,-13,6,-6,-8
266,-6,-12,0,-5
267,-3,-4,-6,-6
268,-2,-1,-8,-5
269,-11,-1,-11,-7
270,-5,-3,-3,-6
271,-3,-8,-6,-6
272,-9,0,-10,-10
273,-3,-12,4,-1
274,9,-16,-3,-12
275,0,-7,-15,-1
276,-2,0,-17,5
277,-5,-10,2,-1
278,-12,10,-11,-3
279,-1,-12,1,-9
280,-7,-8,3,-5
281,-17,8,-13,0
282,-3,-5,-6,1
283,-4,-4,1,-9
284,-1,-12,3,-5
285,-3,-2,-10,-2
286,-7,-2,-1,-8
287,-3,-10,5,-10
288,-4,1,-15,3
289,-12,6,-17,3
290,-2,-11,-4,-3
291,-7,-23,13,-7
292,-7,-7,0,-1
293,3,-16,-6,1
294,0,2,-17,1
295,-6,-8,4,-2
296,2,-10,0,-11
297,-1,-9,-3,-6
298,-7,-8,5,-6
299,0,-1,-11,1
300,-4,-5,-5,1
301,-10,7,-20,1
302,-6,0,1,1
303,-7,-7,8,-1
304,6,-6,7,0
305,-1,-1,-8,8
306,0,-4,-7,7
307,-3,-7,7,-4
308,3,7,-7,4
309,2,-14,15,2
310,5,-18,8,3
311,5,-7,0,9
312,-3,-8,6,2
313,-14,11,-15,6
314,0,-7,3,0
315,-3,-13,9,-1
316,-11,1,-13,0
317,-5,-18,2,-6
318,0,-8,-3,0
319,0,-13,0,-6
320,-3,-6,-5,-1
321,-7,-4,-9,0
322,-2,-12,2,-7
323,-17,15,-12,-1
324,-14,8,-16,9
325,-9,1,-15,2
326,-4,2,-14,-2
327,0,-17,3,-11
328,0,-4,-5,-2
329,-5,-7,-11,7
330,-11,5,-6,-5
331,-3,-3,-2,7
332,-7,-17,-3,6
333,-5,0,-12,-2
334,-2,-6,-10,2
335,-7,2,-10,2
336,-2,-7,-3,-5
337,0,3,-17,0
338,-4,13,-28,2
339,0,-19,8,-6
340,0,-2,-11,0
341,-11,0,-6,0
342,-4,-7,1,-10
343,-9,0,-17,0
344,-7,-2,0,-7
345,4,-18,-7,1
346,-1,-15,5,-2
347,1,1,-24,10
348,-6,11,-29,9
349,4,-15,2,0
350,0,-8,3,-2
351,-10,2,-10,1
352,-2,0,-6,0
353,-11,0,8,-4
354,-6,0,-4,0
355,-2,-12,-5,-1
356,-7,-3,0,-7
357,-3,-1,-5,-1
358,-4,-13,0,-1
359,0,-9,-5,-1
360,-5,-12,4,-1
361,-8,-8,4,0
362,-5,-8,2,-5
363,-12,12,-15,-2
364,0,0,-15,0
365,-4,-1,-20,7
366,0,-7,-2,-1
367,-7,-2,-6,4
368,0,-12,-1,0
369,1,-16,0,-4
370,-7,7,-26,4
371,-4,1,-15,0
372,-3,3,-14,1
373,-8,8,-22,5
