Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-1,5,-1,-2
2,-3,-7,10,-4
3,2,-11,5,-2
4,4,-22,12,-7
5,-2,0,-1,-2
6,-4,6,-12,-1
7,6,-1,-3,-6
8,1,-2,4,-1
9,-3,11,-8,2
10,3,0,-5,-1
11,4,-3,1,-5
12,8,-4,0,-4
13,14,-6,-4,1
14,4,-9,4,-8
15,0,1,-7,6
16,1,-4,-2,-7
17,0,8,-14,2
18,-3,-6,2,-2
19,3,-15,10,-10
20,1,-5,6,-8
21,-8,15,-14,4
22,-2,5,-4,0
23,2,0,-11,3
24,3,0,-4,-2
25,-4,-4,4,-3
26,3,-10,12,0
27,1,-15,15,-8
28,3,-7,1,0
29,-1,-2,2,-2
30,1,0,0,-4
31,7,-11,4,-5
32,8,-15,0,1
33,4,-8,0,-5
34,1,-10,7,-4
35,9,-11,-2,0
36,3,3,-14,2
37,3,-3,-6,2
38,8,-23,12,-6
39,1,-1,-9,-3
40,-3,12,-12,3
41,9,-34,18,-4
42,1,-13,4,-3
43,0,-6,3,-2
44,0,-13,10,-1
45,-5,3,2,-4
46,-5,8,-11,-2
47,2,-2,2,-4
48,10,-18,7,-5
49,8,-17,2,-6
50,5,-11,6,-4
51,1,13,-18,3
52,2,-9,2,-4
53,1,8,-19,6
54,-2,-6,0,-10
55,7,-1,-2,0
56,-3,2,0,1
57,9,-14,11,-2
58,9,-21,16,-6
59,11,-24,13,-8
60,-4,0,-6,3
61,0,-8,0,-2
62,-7,6,-8,3
63,-10,11,-13,4
64,-10,13,-15,4
65,-2,-6,7,-11
66,3,-13,-2,0
67,-1,0,-6,0
68,3,-7,0,-5
69,-9,-1,4,-8
70,10,-8,-17,-2
71,-5,0,-4,0
72,-3,-3,-4,1
73,-3,1,-11,0
74,-12,0,2,-3
75,3,-16,-1,0
76,-4,3,-11,0
77,1,-10,3,3
78,-6,0,-1,-8
79,0,-4,-1,0
80,3,-13,6,-4
81,3,-4,-3,0
82,-4,13,-14,0
83,0,-7,-2,1
84,-2,-8,0,-5
85,9,-21,2,-6
86,0,-5,-6,0
87,0,-28,21,-8
88,8,-14,5,-5
89,3,-7,-11,-1
90,-5,10,-16,1
91,-1,-2,-3,-2
92,-8,-1,-4,-3
93,2,-7,6,-5
94,1,-6,-9,0
95,4,-21,7,-10
96,-4,3,-15,4
97,-2,-5,-1,-7
98,12,-16,-14,2
99,9,-14,1,-4
100,-11,-1,8,-11
101,5,-20,10,-7
102,-11,5,-3,-6
103,-4,-9,10,-11
104,-3,0,-10,-5
105,-2,0,-11,3
106,0,-7,-6,-3
107,1,-5,-7,-10
108,-3,-4,0,1
109,-1,-12,7,-1
110,-4,0,-4,-5
111,3,-3,-9,0
112,0,0,-7,6
113,-10,-5,8,-14
114,9,-11,0,-8
115,-3,-1,-11,1
116,11,-22,12,-13
117,-1,-8,0,-4
118,0,4,-16,9
119,-3,-1,-19,1
120,7,-19,0,-5
121,7,-29,15,-12
122,1,-6,-2,-6
123,4,-3,-5,-1
124,-1,-9,0,-10
125,5,-11,-1,0
126,5,-9,-1,-9
127,-1,0,-7,-7
128,3,-10,0,-5
129,1,-7,-6,-2
130,-3,-10,2,-2
131,-8,4,-11,-4
132,-1,-4,-3,0
133,-5,-5,-7,-4
134,-7,16,-22,4
135,0,-14,-6,0
136,-6,0,0,-10
137,4,-20,9,-9
138,-4,0,-9,-5
139,6,-15,1,-8
140,3,-9,2,-1
141,1,-11,6,-2
142,-9,-7,4,-8
143,1,-9,-1,-3
144,4,-6,-6,-3
145,-4,-1,-9,0
146,1,-6,4,-10
147,5,-14,4,-5
148,0,-18,8,-4
149,-2,-11,5,-2
150,-9,7,-17,5
151,4,-14,5,-7
152,0,0,-14,3
153,0,-8,2,-10
154,-5,-1,-7,3
155,0,-10,0,-3
156,-7,-3,-4,-4
157,-3,-6,3,-13
158,10,-7,-7,-3
159,3,-10,-9,-4
160,-3,-5,-7,0
161,4,-17,13,-14
162,-5,-11,4,-4
163,-2,-8,-2,-5
164,-1,-18,6,-6
165,0,-8,-4,-9
166,0,-6,-9,2
167,10,-20,-1,-5
168,-4,-18,5,-3
169,-7,1,-7,-3
170,-1,-3,-1,-3
171,2,-14,10,-8
172,-10,13,-15,3
173,-12,14,-14,-4
174,-4,6,-13,1
175,-10,6,-16,-5
176,-1,-8,-1,-7
177,5,-21,0,-5
178,-7,2,-11,0
179,-4,-10,1,-13
180,-8,-3,-2,2
181,0,-2,-17,0
182,-11,-2,5,-12
183,-18,7,-13,-7
184,4,-14,2,-6
185,-11,6,-9,-3
186,-1,0,-3,-5
