Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-6,6,7,-6
2,-9,18,-9,2
3,-4,-1,4,-11
4,-9,26,-27,7
5,-1,12,-7,0
6,0,-5,7,-6
7,-13,12,2,-5
8,5,-20,15,4
9,-8,1,8,-1
10,-10,7,6,-8
11,-10,13,-7,-5
12,0,-15,11,-8
13,4,-10,10,-8
14,-4,-1,3,-3
15,2,-10,7,-5
16,-1,-5,3,0
17,0,-1,5,0
18,-1,-20,21,-9
19,-10,9,1,-5
20,-9,10,-12,8
21,-13,-1,11,-1
22,-6,5,-6,-2
23,-10,-9,13,-15
24,-6,4,3,-7
25,-5,2,7,-11
26,-8,4,4,-4
27,4,-12,3,0
28,12,-9,4,1
29,-2,-2,7,-10
30,-12,8,1,-3
31,-12,14,-7,2
32,-6,-2,9,-8
33,-11,10,-9,1
34,-17,15,5,-7
35,-10,8,-2,4
36,0,0,3,0
37,-5,3,1,-4
38,-12,8,0,-3
39,-8,7,-6,3
40,-9,6,3,-3
41,-14,18,-9,3
42,-2,-11,20,-12
43,-11,15,-4,10
44,-6,6,-10,5
45,-1,-9,7,-5
46,-6,3,9,-16
47,-7,0,-2,0
48,-11,20,-13,0
49,-10,10,0,0
50,-12,7,5,9
51,-4,5,6,46
52,-5,3,3,2
53,-5,9,-6,0
54,-6,10,-9,0
55,-5,2,-4,4
56,-15,11,2,-4
57,-6,3,-1,-3
58,-10,-8,10,-3
59,-2,-4,4,-2
60,-4,-3,1,-1
61,-11,11,0,-8
62,-13,8,-4,-3
63,-1,0,-5,0
64,5,-13,-4,-1
65,-6,10,-17,2
66,-6,3,-3,0
67,0,-2,-4,-3
68,-8,4,13,-6
69,-11,4,2,-2
70,-3,-7,3,-4
71,7,-20,13,-5
72,-9,1,5,-10
73,-8,-9,13,-11
74,-14,6,-1,-1
75,-9,8,-2,0
76,-4,-11,10,-6
77,-1,-6,7,-5
78,-6,6,-9,-2
79,-6,-4,1,3
80,-4,-7,7,-3
81,-17,18,-17,0
82,-10,-7,15,-13
83,1,-1,0,-2
84,-11,1,10,-5
85,0,-7,3,-1
86,-3,-10,7,-5
87,-5,0,-2,-2
88,-1,-9,7,-4
89,-7,0,4,-8
90,-3,-2,1,-6
91,-9,0,5,-11
92,-2,7,-12,-4
93,-2,-9,8,0
94,-3,-3,16,-13
95,-1,-7,4,-2
96,-11,0,-3,-2
97,-8,5,-8,1
98,-5,12,-2,-11
99,-8,-4,-2,0
