Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,0,-7,1,0
2,0,-1,-4,6
3,-3,6,-10,0
4,6,-8,6,-4
5,4,-9,0,3
6,-8,8,-2,1
7,2,-2,-6,6
8,-1,-5,1,-4
9,-6,-2,-1,-4
10,-7,0,4,-1
11,-5,-7,5,3
12,-4,7,-14,5
13,1,-7,0,3
14,-1,-5,4,-2
15,0,-9,4,2
16,-3,-6,-2,-3
17,-8,5,-13,5
18,-1,7,-21,7
19,-1,4,-7,-1
20,-4,7,-11,1
21,-4,13,-19,3
22,-1,5,-15,8
23,-3,0,-7,0
24,-9,-2,6,0
25,-2,-12,13,-12
26,-1,-6,-1,-4
27,-9,10,-16,5
28,-3,-2,-4,0
29,-4,-7,6,-2
30,1,0,-4,1
31,-9,9,-8,4
32,-16,0,2,-8
33,3,-9,-6,1
34,-7,7,-10,0
35,-8,-2,4,-4
36,1,-13,15,-14
37,-1,-8,-7,-1
38,-5,4,-5,-1
39,-6,10,-21,11
40,-2,-19,16,-10
41,1,-10,1,-3
42,10,-31,21,-4
43,-14,10,-15,3
44,-11,0,-1,-2
45,-2,0,-6,-1
46,-7,0,-10,7
47,-16,11,-7,-4
48,-2,-3,-8,6
49,-9,6,-23,7
50,0,-6,-6,1
51,8,-24,5,-4
52,-11,0,-3,4
53,3,-18,8,-3
54,-7,4,-16,1
55,1,6,-19,2
56,-7,-8,1,-5
57,0,-7,-13,1
58,-7,2,-8,1
59,-16,14,-12,3
60,4,-6,-2,-4
61,-4,-5,-7,3
62,-5,-7,4,-1
63,-2,0,-9,1
64,-10,-7,10,-8
65,-4,0,-12,0
66,-6,6,-16,-2
67,-8,-3,9,-9
68,-3,7,-24,10
69,-4,-7,3,-4
70,2,-10,-6,8
71,-9,-7,12,-12
72,1,-9,0,-1
73,-16,1,15,-13
74,-8,0,-9,7
75,-7,4,-17,5
76,-12,-1,-9,1
77,-8,1,0,-4
78,-14,9,-9,-5
79,-7,5,-18,5
80,-11,1,2,-7
81,0,-5,-9,4
82,2,-17,2,-1
83,-13,13,-17,5
84,-12,-2,-5,1
85,-2,-11,2,-2
86,-2,-5,-1,-10
87,-3,-7,4,-11
88,-8,8,-7,-3
89,-2,-13,7,-11
90,-13,0,-5,0
91,-7,0,-4,-2
92,-13,9,-8,-5
93,-12,8,-8,-2
94,-5,-5,-6,0
95,3,-8,-5,-4
96,-7,1,-7,0
97,-14,11,-21,9
98,-7,-7,3,-3
99,-6,-18,12,-8
100,-10,-1,-3,-1
101,-15,15,-20,5
102,-3,1,-7,2
103,-14,9,-18,7
104,-11,15,-20,1
105,-3,0,-10,7
106,-16,-3,-1,-1
107,-14,14,-18,9
108,-1,-7,-2,-4
109,6,-9,-4,-3
110,8,-29,6,-1
111,-7,1,-3,-3
112,-8,-9,3,-2
113,-8,-2,-12,2
114,8,-22,4,-8
115,-4,-6,-2,0
116,-10,3,-7,-9
117,0,-10,-4,-3
118,2,-18,0,-7
119,-10,-1,-8,-1
120,-9,3,-18,3
121,-18,6,-3,-11
122,-5,4,-12,1
123,-11,6,-7,-6
124,-10,-1,-5,-1
125,0,-8,-13,6
126,-4,-6,-7,1
127,-3,-5,-18,4
128,-7,8,-13,0
129,-10,4,-12,0
130,-8,8,-11,0
131,-13,3,-8,-7
132,-6,14,-29,5
133,-11,-1,-7,2
134,-12,14,-18,2
135,-2,2,-10,-6
136,-9,-5,3,-6
137,-19,5,-7,3
138,-4,-1,-12,3
139,-7,-2,-21,15
140,-5,-7,-4,-8
141,-7,2,-4,0
142,-3,-8,-1,1
143,0,-5,-15,2
144,5,-28,3,-5
145,-16,18,-20,-1
146,-6,-1,-9,-1
147,-7,-4,-8,2
148,-10,1,-3,-1
149,0,-26,19,-13
150,-13,9,-7,0
151,-8,4,-14,-2
152,-11,0,-6,-3
153,-6,-1,-2,-6
154,-14,6,-8,-3
155,-8,-5,-2,0
156,-9,11,-23,4
157,-10,5,-10,-1
158,2,-18,8,-13
159,-2,-11,-1,-8
160,-9,10,-16,-4
161,-7,0,-7,-6
162,-6,-9,-2,-4
163,-6,-4,-8,2
164,-5,-7,-8,0
165,-13,0,-1,0
166,-12,0,-1,-6
167,-10,2,-12,2
168,-2,-4,-13,1
169,-12,9,-23,6
170,-6,-6,-3,1
171,-15,12,-21,3
172,-12,3,-13,9
173,0,-9,-2,-8
174,-4,6,-20,4
175,-16,13,-14,-1
176,-12,-4,0,-4
177,-10,-10,0,-5
178,-5,-5,-1,-5
179,-11,1,-8,-4
180,2,-3,-20,8
181,-7,-9,1,0
182,0,0,-5,1
183,-7,-9,2,-2
184,-12,2,-6,-3
185,-1,-7,-6,-7
186,-3,-16,1,-6
187,-13,2,-8,-2
188,-11,1,-9,2
189,-11,-7,-1,-3
190,-4,1,-9,-7
191,-6,-11,0,1
192,-10,6,-15,1
193,-13,-4,0,-7
