Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-2,-4,-1,1
2,-2,-1,2,-1
3,-3,-11,21,-13
4,3,-12,4,0
5,-6,-10,16,-17
6,0,-9,8,-8
7,0,-1,-5,0
8,-2,-2,5,-2
9,9,-11,-5,-3
10,-7,0,4,-1
11,0,-9,7,-4
12,-10,6,-5,0
13,0,-6,3,-8
14,10,-14,-1,0
15,-1,6,-10,0
16,-3,-8,1,-6
17,-10,12,-8,-3
18,2,-22,16,-11
19,3,-11,1,4
20,-3,4,-8,-1
21,-10,6,-4,-2
22,-1,-10,6,-4
23,-4,-3,0,0
24,-4,0,8,-9
25,0,0,-9,1
26,-10,7,-6,-1
27,-2,-6,10,-5
28,5,0,-3,-3
29,7,-8,4,0
30,8,-24,20,-15
31,5,-15,7,-6
32,0,-11,7,-4
33,3,-1,-1,0
34,-2,0,1,-1
35,3,-9,-1,-1
36,-4,-4,0,-4
37,10,-23,4,-1
38,1,-19,8,-4
39,6,-14,6,-8
40,-10,7,-3,2
41,5,-21,15,-12
42,-9,8,-3,0
43,-2,3,-5,-1
44,-1,-3,-3,-5
45,-4,-5,3,-6
46,3,-3,-6,-2
47,5,0,-9,-1
48,1,0,-14,5
49,-6,6,0,-4
50,3,-17,8,-5
51,1,-14,15,-11
52,2,-3,-2,-4
53,-3,-5,5,-1
54,-6,0,0,-7
55,0,-3,-6,-2
56,-6,0,7,-5
57,5,-6,-8,4
58,4,-20,9,-4
59,-4,-14,14,-10
60,4,-11,4,-7
61,4,-10,2,-4
62,-1,-12,5,-1
63,-2,2,-15,9
64,-2,-8,10,-5
65,-1,-4,1,-10
66,0,-6,7,-4
67,0,-2,-9,4
68,2,-23,20,-12
69,-7,1,2,-6
70,5,-11,2,-5
71,1,-9,0,-2
72,0,1,-1,-4
73,1,0,-5,-4
74,0,-1,-4,0
75,-2,2,-9,3
76,-1,-4,-3,-1
77,-8,-1,7,-6
78,-5,-9,14,-11
79,10,-9,0,-2
80,11,-20,15,-11
81,-7,0,3,-11
82,-3,-2,5,-5
83,-8,-5,12,-13
84,0,-10,11,-7
85,-7,0,0,-3
86,-1,-3,0,-4
87,6,-7,-9,0
88,1,-7,0,-2
89,-8,0,-2,0
90,11,-13,-5,-1
91,-14,14,-8,2
92,-4,-13,2,-2
93,1,-8,-3,-5
94,12,-28,18,-14
95,1,-6,-5,-2
96,-10,0,-7,1
97,-8,-2,8,-13
98,-1,6,-24,10
99,2,-6,7,-2
100,-9,9,-11,5
101,0,-6,3,-9
102,-12,17,-19,4
103,0,-14,3,-1
104,-10,0,1,-4
105,10,-22,-4,0
106,-5,-5,3,-3
107,-6,-7,12,-12
108,-2,-23,24,-14
109,-7,2,-7,2
110,-9,1,-6,0
111,-2,-13,9,-8
112,-3,7,-14,0
113,2,-7,-5,-2
114,3,-11,-5,6
115,-11,10,-5,-3
116,-17,2,1,-2
117,-1,-2,-6,-6
118,-7,-2,-1,-2
119,-6,0,-7,-7
120,-6,-6,-5,-1
121,-8,-1,-3,-6
122,1,-16,8,-8
123,3,-12,-4,-7
124,-4,-7,5,-9
125,-2,-12,3,-5
126,-4,-10,5,-11
127,3,-11,-3,-3
128,3,-14,3,-7
129,-10,4,-1,-5
130,8,-27,9,-7
131,-5,5,-12,-3
132,-6,-4,1,-7
133,-6,-7,1,-7
134,-6,0,-2,-5
135,8,-19,0,-4
136,0,-8,3,-15
137,0,-12,8,-11
138,-12,10,-9,-2
139,-11,-1,-1,-8
140,5,-23,10,-6
141,-6,-8,6,-11
142,-4,-3,0,-7
143,-7,-7,8,-5
144,2,-14,11,-16
145,4,-12,-4,-5
146,-4,-9,0,-3
147,0,-7,1,0
148,1,-9,-3,-2
149,2,-12,2,-4
150,0,-13,4,-6
151,-5,-2,-9,-4
152,-2,-6,5,-11
153,-1,-8,3,-7
154,-5,-7,2,-1
155,-9,4,-14,1
156,1,-2,-15,7
157,7,-6,-12,1
158,0,-9,1,0
159,5,-19,12,-6
160,-8,-1,-7,0
161,-8,-5,5,-8
162,1,-8,0,-8
163,-5,-14,14,-15
164,0,-15,6,-4
165,3,-9,2,-10
166,-24,6,-4,-7
167,0,-13,0,-7
168,-8,-12,1,0
169,-1,-14,9,-6
170,4,-19,14,-14
171,1,-15,0,-10
