Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,4,1,-13,1
2,0,-8,5,1
3,-10,9,-7,1
4,-5,0,0,0
5,-2,-5,4,-7
6,-2,-4,3,-11
7,0,3,-9,3
8,-1,2,-7,7
9,-1,10,-11,4
10,-1,1,-3,0
11,2,-12,4,7
12,-7,11,-1,-4
13,-6,3,-1,-2
14,4,5,-8,-1
15,2,-14,4,-1
16,12,-37,21,-8
17,-7,8,1,-5
18,-8,14,-11,0
19,9,-11,8,-5
20,-4,3,-7,1
21,-3,5,-5,-1
22,1,-4,-4,5
23,-11,5,2,-8
24,3,-19,18,-18
25,-6,9,-8,-4
26,7,-21,9,-1
27,1,-7,7,-4
28,0,-8,8,-10
29,12,-15,7,-7
30,-11,14,-5,1
31,-7,0,9,-4
32,-1,7,-18,5
33,2,-14,13,-2
34,-3,-3,-6,6
35,4,-6,-6,-2
36,-4,0,0,-6
37,-5,-9,-1,0
38,0,-6,0,-9
39,-3,13,-15,-1
40,2,-7,7,-6
41,12,-13,2,-4
42,4,-3,3,-7
43,3,-7,1,-3
44,6,-22,21,-14
45,-10,16,-6,-8
46,-5,-3,-1,-7
47,0,-14,4,-3
48,6,-4,-7,3
49,-10,6,-7,3
50,5,-4,3,-3
51,-4,5,-7,3
52,-5,-4,5,-1
53,-3,-9,4,-1
54,-7,-5,0,-6
55,-7,14,-19,3
56,0,-8,10,-9
57,-10,-2,7,-12
58,-1,-6,7,-9
59,2,-9,-1,-1
60,-4,-11,16,-11
61,0,8,-23,1
62,2,-7,-2,-7
63,-10,15,-17,0
64,-3,9,-19,1
65,-7,6,-11,0
66,1,-8,0,-1
67,-5,0,-4,-6
68,-6,0,0,-11
69,-11,10,-14,3
70,4,-13,2,-6
71,-5,2,3,-5
72,8,-21,11,-6
73,-2,5,-6,0
74,0,2,-11,0
75,4,-9,0,-5
76,-5,2,-10,-1
77,-3,0,-4,-2
78,2,9,-21,6
79,-4,7,-7,1
80,-5,3,-5,4
81,1,-8,-1,-9
82,-2,-14,12,-15
83,-4,2,-2,-8
84,0,-7,-4,2
85,-8,5,-10,-9
86,-8,2,-5,0
87,0,-3,-5,-6
88,2,-16,3,-4
89,-8,3,0,-2
90,9,-11,1,-4
91,-11,3,-10,0
92,-5,-8,-5,-1
93,3,-14,9,-7
94,-7,10,-9,-3
95,8,-2,-15,-5
96,-3,2,-4,5
97,-3,9,-14,3
98,-3,0,-7,4
99,0,12,-25,1
100,2,-2,-11,-6
101,-8,6,-11,-2
102,-5,0,0,-10
103,15,-27,13,-10
104,0,-13,7,-14
105,-2,-14,12,-15
106,-2,3,-5,-3
107,-3,-14,7,-5
108,-4,4,-3,-7
109,-8,0,-3,-3
110,-2,4,-10,-4
111,0,5,-16,2
112,-3,-6,-1,-4
113,-2,2,-15,0
114,-10,2,-7,0
115,5,-12,-2,1
116,-5,-4,-2,-4
117,-11,10,-13,-6
118,-1,-7,2,-3
119,-7,15,-17,2
120,1,-2,-2,0
121,-7,6,-12,0
122,-4,-16,2,-3
123,5,-16,7,-4
124,-2,-2,-5,0
125,0,-2,-8,-6
126,0,-8,0,-10
127,1,-8,-14,0
128,-1,-5,-1,-6
129,-4,0,-8,-2
130,-8,-3,1,-1
131,0,-1,-9,0
132,-1,-11,-2,3
133,1,-16,8,-6
134,7,-12,0,-4
135,2,-4,-11,-7
136,-11,1,1,-6
137,0,5,-11,-9
138,-4,-4,-8,-1
139,-2,-14,17,-13
140,-15,11,-11,-4
141,11,-14,1,-11
142,3,-5,-8,1
143,3,-15,10,-8
144,-1,-3,-14,-3
145,-3,-4,-5,-4
146,0,-7,-3,0
147,-10,9,-9,1
148,6,-4,-14,5
149,-1,6,-15,-5
150,0,-3,-3,-5
151,-2,8,-13,-2
152,-2,0,-14,-5
153,1,-4,0,-9
154,-7,0,-5,-1
155,5,-10,0,-5
156,-7,6,-12,-4
157,-8,4,-2,-7
158,-17,13,-14,-6
159,-9,-8,-1,-7
160,-1,-11,-1,-7
161,-11,13,-14,-1
162,2,-9,-3,0
163,4,-6,2,-16
164,-6,0,-8,-4
165,-7,10,-8,-3
166,1,3,-10,0
167,2,-10,5,-8
168,-9,5,-17,0
169,-6,0,-6,0
170,-11,-8,9,-7
171,-12,0,-9,-1
172,-3,-3,-7,0
173,0,-13,5,-8
174,-4,-5,1,-5
175,7,-20,-2,1
176,-3,5,-25,3
177,-8,0,-5,-2
178,-8,3,-10,-1
179,0,9,-12,-8
180,-15,11,-12,-6
181,2,-9,1,-13
182,-5,5,-11,-9
183,-11,3,-10,0
184,-17,4,3,-9
185,-3,-8,-3,-4
186,-5,-10,0,1
187,7,-17,5,-10
188,-4,3,-11,-4
189,-8,3,-10,-1
190,5,-9,-10,1
191,7,-24,17,-14
192,-3,9,-19,-1
193,5,-8,-15,-2
194,-11,5,-5,2
195,-2,-7,-8,-4
196,-13,8,-20,7
197,1,-1,-18,-6
198,8,-22,-4,-1
199,-4,3,-12,4
200,1,-6,-6,-5
201,-10,1,-6,-2
202,-10,1,0,-1
203,0,-12,7,-11
204,-1,1,-21,-1
205,1,-12,3,-6
206,1,-8,0,-4
207,-3,0,-14,1
208,-11,0,-11,-3
209,-15,3,-9,-5
210,-9,13,-19,3
211,5,-17,2,-5
212,4,-15,0,-7
213,5,-5,-10,-7
