Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-5,1,2,2
2,-3,-3,6,4
3,-6,6,0,0
4,-7,5,-2,0
5,0,-12,11,-11
6,3,-14,14,-6
7,-3,-7,6,-3
8,6,-3,6,-6
9,5,-10,10,-4
10,0,0,-3,-1
11,0,2,-8,2
12,-3,-5,5,0
13,6,-12,10,-3
14,-5,6,-7,5
15,-2,8,-11,4
16,-1,-4,-1,-1
17,-7,0,6,-3
18,8,-8,8,-9
19,-5,-3,-1,0
20,0,-2,3,-3
21,-22,12,-1,2
22,-4,-4,0,-4
23,7,-7,0,0
24,-10,6,6,-3
25,2,-8,5,-3
26,5,-11,2,5
27,-2,-8,13,0
28,6,-8,11,-3
29,4,-6,3,-2
30,2,-16,13,-7
31,0,-5,8,-7
32,-1,2,2,-3
33,0,-11,12,-4
34,5,-9,0,1
35,-3,1,-1,-8
36,-19,12,6,-9
37,2,-4,-8,0
38,-6,2,10,-10
39,6,-10,5,0
40,-2,4,-9,4
41,-8,7,-6,0
42,2,-2,-6,12
43,-2,-4,2,-4
44,-5,0,-5,3
45,0,-4,0,4
46,6,-22,16,-10
47,3,-9,1,-3
48,1,-13,7,-6
49,1,-4,0,-1
50,-16,19,-17,6
51,0,0,-4,0
52,3,-17,16,-9
53,4,-12,7,2
54,-2,-11,8,-3
55,0,-3,-1,-4
56,3,-15,6,-3
57,5,-19,11,-6
58,-5,-7,13,-5
59,3,-11,3,-3
60,-4,-4,4,-4
61,-5,1,4,-11
62,7,-1,-12,0
63,0,-10,7,-5
64,0,0,-5,-3
65,-4,9,-12,4
66,-4,-3,4,-11
67,-5,0,-4,-2
68,-3,6,-8,-2
69,-3,0,0,-6
70,8,-19,7,-7
71,3,-11,22,-12
72,2,-3,-4,1
73,9,-25,21,-13
74,0,-6,0,-5
75,6,-8,-7,4
76,-2,1,-10,7
77,-4,-2,0,-3
78,1,-21,23,-9
79,-3,-3,3,-8
80,2,-14,-1,0
81,-1,-10,-2,-1
82,-3,-5,-4,-7
83,-9,4,-1,-4
84,0,-14,14,-10
85,-7,7,-17,6
86,-7,0,-6,-4
87,3,-12,-4,-7
88,1,-13,8,-4
89,-7,2,-6,1
90,2,-8,-2,-5
91,0,-18,6,-6
92,-2,-4,2,-2
93,-3,-10,11,-4
94,-3,-10,13,-11
95,-13,10,-6,-4
96,-3,0,-6,-7
97,0,-23,19,-11
98,-4,0,-1,-10
99,-2,1,-4,0
100,-5,-6,8,-7
101,1,0,0,-3
102,-1,-20,16,-10
103,-2,-5,2,-9
104,-1,1,-15,3
105,-7,-3,0,-1
106,1,-7,-4,3
107,-4,-5,-2,-3
108,-9,-4,8,-11
109,5,-7,0,0
110,0,-6,6,-17
111,-2,-6,-11,7
112,0,0,-10,1
113,1,-5,-2,-7
114,2,-9,-1,-3
115,-6,4,-9,1
116,-1,-4,4,-9
117,0,4,-11,-5
118,-7,1,-4,-5
119,0,-4,-3,0
120,-6,13,-18,7
121,10,-22,3,-11
122,-2,-11,6,-8
123,-3,-10,7,-10
124,-7,12,-21,-3
125,1,-10,1,-4
126,-4,-9,-1,-3
127,-5,-8,-4,-4
128,-7,-3,4,-6
129,4,-25,10,-15
130,-4,0,-3,0
131,0,-21,12,-15
132,-7,-5,1,-6
133,-4,-3,4,-13
134,-3,-6,-2,-2
135,-5,-4,0,-9
136,-13,15,-18,4
137,-2,-8,5,-10
138,-11,5,-3,-4
139,-9,8,-9,0
140,-1,-6,-7,-4
141,-8,0,6,-11
142,-4,-8,-6,0
143,5,-5,-15,4
144,2,-9,-5,-1
145,-12,1,0,-2
146,-6,5,-2,-10
147,1,-8,5,-4
148,0,-12,11,-10
149,-5,1,-7,2
150,-4,-18,15,-12
151,-4,-7,3,-13
152,-9,2,-5,-8
153,-1,-4,-5,-4
154,-12,0,-1,0
155,4,-10,-2,-3
156,-2,0,-10,-6
157,6,-22,-6,0
158,-1,-9,6,-13
159,6,-12,-3,-2
160,0,-12,8,-6
161,-5,2,-3,-15
162,-4,-3,1,-8
163,-7,-5,7,-8
164,1,-16,9,-5
165,3,-13,5,0
166,-2,-4,-5,-3
167,-1,1,-14,-2
168,-5,-13,3,-10
169,1,-26,17,-12
170,0,-16,7,-3
171,3,-20,12,-7
172,-16,1,-2,-5
173,-4,-16,11,-10
174,-4,-9,7,-6
175,-8,1,-8,-4
176,-6,-2,-2,-10
177,-8,8,-13,-1
178,-6,-1,3,-9
179,-7,-18,19,-18
180,2,-13,-3,-4
181,-3,-1,0,-7
182,-9,9,-9,-4
183,6,-27,12,-3
184,2,-14,0,-4
185,0,-8,-1,-1
186,4,-17,9,-8
187,-8,-8,10,-13
188,-4,-2,-8,-1
189,-12,8,-4,-7
190,-1,-8,5,-11
191,-2,-9,11,-7
192,-5,0,1,-13
193,-6,-3,-3,-7
194,2,-19,18,-9
195,-17,13,-15,2
196,-1,-9,0,-6
197,0,-24,16,-15
198,-3,-14,7,-5
199,-9,2,-3,-4
200,2,-18,14,-12
201,0,-9,0,-6
202,8,-19,2,-4
203,-2,-12,6,-13
204,-10,6,-7,-1
205,1,-13,4,-6
206,-9,2,-10,2
207,-2,-8,6,-5
208,-11,8,-7,-4
209,-12,6,-14,-7
210,-2,1,1,-5
211,-3,0,0,-2
212,-1,0,0,-2
213,-5,0,-3,-5
214,6,-28,20,-11
215,-5,0,1,-5
216,-10,-4,-2,0
217,-8,-5,2,-12
218,-2,-8,2,-8
219,-3,-15,13,-13
220,-7,10,-16,1
221,-6,-9,0,-4
222,-12,-2,0,-9
223,-1,-24,13,-6
224,-4,7,-16,2
225,-5,-10,11,-9
226,0,-6,2,-6
227,-3,-10,2,-7
228,-1,-8,0,-3
229,-5,-16,7,-13
230,0,-11,11,-20
231,1,-11,-1,-5
232,-4,-8,11,-6
233,-3,-5,0,-7
234,4,-26,16,-6
235,-4,-2,0,-3
236,0,-11,-5,2
237,-6,-8,3,-10
238,-7,-13,13,-15
239,-7,-5,3,-7
240,-10,-4,10,-6
241,-8,-4,0,-8
242,-8,7,-18,6
243,-3,-8,11,-12
244,5,-13,4,-4
245,-1,-19,19,-10
246,-7,5,-9,0
247,-3,-10,6,-9
248,-3,-8,-1,-10
249,-11,-6,6,-13
250,0,-1,-14,4
251,-11,2,3,-6
252,-2,-2,-4,0
253,9,-18,1,-10
254,-6,-9,4,-7
255,-10,0,0,-6
256,-8,-1,2,-9
257,0,-16,6,-8
258,-13,7,-8,2
259,0,-12,4,-8
260,6,-39,25,-13
261,-7,-4,7,-9
262,-6,-8,5,-12
263,-8,-10,8,-2
264,4,-24,14,-9
265,0,-5,-8,-1
266,-10,8,-4,-8
267,-8,-1,2,-18
268,-1,-9,0,-3
269,0,-17,13,-16
270,0,-20,14,-8
271,-4,2,-3,-7
272,0,-13,3,-11
273,2,-10,6,-7
274,-3,3,-15,0
275,-3,-2,-2,-7
276,5,-13,-6,-4
277,-8,-13,0,-2
278,-5,-8,7,-8
279,-1,-8,-5,-1
280,-8,-3,-1,-4
281,-9,1,-7,-3
282,-5,-8,2,-7
283,7,-32,21,-13
284,-2,-14,4,-4
285,0,-2,0,-11
286,0,-1,-5,-5
287,4,-13,-4,2
288,-6,9,-29,12
289,-5,-2,-2,-4
290,3,-10,3,-9
291,-8,-1,-10,3
292,-5,-15,6,-5
293,-19,14,-6,-4
294,0,-16,10,-6
295,8,-23,8,-4
296,3,-11,-3,-4
297,4,-12,-1,-4
298,-2,-6,-1,1
299,1,-5,-2,3
300,-11,-1,4,0
301,4,-7,-4,0
302,7,-11,1,2
303,-8,5,-2,3
304,-3,-3,10,1
305,3,7,-7,6
306,4,-7,5,7
307,0,0,-4,7
308,-2,11,-6,8
309,2,-6,11,-5
310,-1,3,-4,4
311,-2,4,4,-4
312,9,-19,4,0
313,-6,12,-6,3
314,-1,5,-4,5
315,0,-14,4,-7
316,-6,1,-6,0
317,1,0,-15,0
318,2,-8,-1,1
319,-6,2,-1,-10
320,-8,0,0,-1
321,1,-11,0,-2
322,-7,-9,19,-16
323,-7,-6,1,-3
324,4,-17,7,-3
325,-12,3,-4,-1
326,-7,-5,2,-3
327,-11,6,-13,0
328,4,-2,-11,4
329,-11,-7,9,-11
330,-8,-1,-5,-3
331,-1,-6,-5,-8
332,-7,0,-7,-8
333,-4,-16,18,-13
334,-5,-5,7,-11
335,-4,-8,7,-2
336,8,-27,21,-7
337,-3,3,-7,2
338,1,-11,2,-6
339,-1,-11,3,-7
340,-4,-9,4,-4
341,-7,7,-14,4
342,2,0,-14,2
343,-7,-10,9,-12
344,-19,12,-5,-13
345,-8,3,-10,2
346,-10,0,2,2
347,3,-15,9,-13
348,1,-1,-4,4
349,-8,7,0,-3
350,-2,-5,2,-3
351,-13,16,-19,7
352,0,-3,-5,0
353,-4,-19,15,-8
354,-3,-4,2,-5
355,7,-8,-8,-3
356,-1,-10,0,-2
357,0,-9,-2,5
358,-3,1,-6,-4
