Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-1,3,-2,0
2,-3,6,-5,-6
3,-2,0,-3,-3
4,-6,6,-2,-2
5,3,-8,-2,-1
6,0,-9,1,1
7,-3,1,-4,-2
8,0,-4,2,0
9,8,-14,3,6
10,-12,8,0,-7
11,-6,-4,15,-8
12,2,-2,-7,3
13,-8,-4,8,-8
14,-14,16,-9,-3
15,0,-10,0,1
16,-7,11,-14,5
17,-1,-1,0,0
18,0,-3,-1,-4
19,-4,-9,16,-13
20,2,-11,6,-6
21,0,1,-3,-3
22,0,-12,11,-9
23,-1,-12,11,-4
24,-2,-4,-2,0
25,-4,-6,9,-5
26,-5,2,-5,-3
27,0,-14,9,-6
28,-5,-4,9,-11
29,-9,5,-4,-2
30,-3,0,-2,-1
31,-4,8,-12,-1
32,-3,-13,9,-8
33,1,-15,6,-9
34,-6,2,-7,3
35,7,-15,11,-9
36,-12,12,-11,0
37,0,-8,1,-8
38,-11,-9,11,-8
39,1,-16,6,-4
40,-3,-12,15,-15
41,4,-12,6,-9
42,-10,12,-8,-1
43,-2,-7,6,-1
44,-11,6,-8,-7
45,-5,-7,1,-3
46,-1,-11,11,-5
47,-7,9,-6,1
48,7,-12,3,-5
49,-6,8,-10,3
50,0,-12,8,-5
51,0,-4,2,-4
52,0,-12,0,-2
53,-3,-6,2,-2
54,-12,19,-19,-1
55,-7,-3,1,-3
56,-11,9,-12,3
57,-9,3,-5,-2
58,-10,-8,5,-3
59,-7,0,1,1
60,-10,-4,0,-1
61,-2,-10,3,4
62,-7,0,-4,0
63,-2,-13,6,-7
64,-9,4,-1,-7
65,-4,-13,2,-3
66,-21,18,-15,8
67,-12,-6,8,-6
68,-10,2,-7,1
69,-7,6,-4,-6
70,5,-9,-5,-3
71,1,-7,-1,0
72,-4,-10,4,-6
73,-10,8,-12,6
74,0,-15,15,-8
75,-13,3,-1,1
76,-9,-1,2,-6
77,-5,0,-1,-8
78,0,-4,-2,-4
79,-1,-4,-6,-3
80,-9,-3,1,0
81,-5,-6,7,-7
82,0,-21,18,-14
83,-21,13,-4,-1
84,-10,12,-14,-4
85,-9,0,-3,0
86,-10,-11,20,-14
87,-1,-7,0,-1
88,0,-5,1,-8
89,-3,-4,-1,-6
90,0,-3,-14,3
91,-10,2,-10,3
92,-8,1,-10,-4
93,-8,0,-2,-2
94,-22,16,-14,3
95,-15,-1,3,-10
96,0,-13,4,-7
97,-5,-7,0,-3
98,0,-16,11,-13
99,-4,-14,16,-9
100,-6,3,-10,-3
101,-10,-1,0,-2
102,-2,-14,10,-7
103,0,-12,1,-1
104,-6,1,-5,-5
105,-13,3,-8,0
106,-6,-1,-3,-3
107,-4,-1,-7,-2
108,-10,-1,0,0
109,-7,0,-7,-2
110,-4,-6,6,-4
