Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,0,-18,18,-8
2,3,-17,6,-3
3,8,-13,4,-3
4,-1,-3,-4,2
5,-2,-4,6,0
6,-4,-7,1,-1
7,-6,0,7,-9
8,-6,-2,8,0
9,1,-6,-2,2
10,2,1,-11,1
11,0,7,-15,4
12,4,-12,2,0
13,2,-5,5,-6
14,-2,5,-12,7
15,0,-7,9,-4
16,8,-16,6,-4
17,0,-4,6,-8
18,-9,4,-3,1
19,-3,-1,5,-4
20,-2,-9,13,-7
21,-6,1,0,-5
22,4,-5,4,-3
23,0,-12,17,-13
24,-2,-4,7,-5
25,-1,-10,4,-1
26,-6,8,-11,-1
27,-3,5,-14,3
28,-16,7,0,-4
29,-6,-6,16,-4
30,-2,0,1,-5
31,2,-7,2,-2
32,1,0,-8,-3
33,-3,-7,8,-3
34,-8,7,0,0
35,4,-14,15,-9
36,4,-14,8,-5
37,0,-12,3,-2
38,0,0,-9,0
39,0,-8,6,-8
40,-6,2,-5,-3
41,3,-8,4,-9
42,4,-21,15,-10
43,-3,-9,12,-4
44,-15,5,6,-5
45,10,-18,5,0
46,1,-12,8,-7
47,-3,-5,0,-4
48,-11,3,-2,-9
49,-5,-4,-2,0
50,-6,-6,8,-9
51,-10,-3,8,-7
52,2,-9,6,-11
53,-1,-1,-4,-3
54,-8,7,-8,-3
55,-4,7,-17,7
56,-6,-1,0,0
57,1,-12,9,-7
58,-11,9,-9,0
59,-4,0,-1,-4
60,-8,-6,3,-4
61,-5,-6,7,-4
62,2,-18,14,-6
63,-6,2,-7,1
64,3,-2,-6,-6
65,3,-7,-3,-4
66,-6,-1,3,-5
67,-5,-6,0,-3
68,2,0,-3,-7
69,-6,-12,15,-5
70,-8,5,-11,0
71,-9,0,2,-11
72,-3,-5,2,-5
73,-8,-2,7,-9
74,-4,3,-9,-4
75,0,-3,-9,0
76,-4,-10,4,-7
77,3,-5,-3,-6
78,0,0,-11,3
79,-3,-3,-8,3
80,-3,-3,-6,0
81,-4,4,-8,-1
82,1,-12,2,-8
83,-4,-4,-1,-3
84,5,-20,12,-3
85,3,-4,-13,0
86,-10,11,-17,7
87,1,-8,0,-3
88,5,-23,14,-13
89,-5,-5,5,-2
90,-2,-1,-5,0
91,1,-22,16,-13
92,-3,-8,12,-11
93,6,-16,4,-8
94,4,-14,2,0
95,1,-7,-3,3
96,-5,1,-8,-4
97,0,-7,-3,0
98,-1,-7,-3,-6
99,0,-2,-6,0
100,6,-6,-6,-6
101,7,-18,3,-7
102,-5,1,-8,-5
103,-14,9,-6,0
104,-2,-10,3,-5
105,3,-16,11,-10
106,0,2,-4,-5
107,-3,-13,5,-11
108,-4,5,-4,-6
109,3,-16,7,-8
110,2,-11,-1,0
111,3,-11,0,-11
112,-2,0,-4,-5
113,-2,2,-2,-2
114,-1,-3,-4,-10
115,-4,-4,-2,-8
116,-8,2,-3,-6
117,-10,-4,-4,-8
118,-4,0,-12,0
119,2,-11,-3,1
120,-4,6,-13,-7
121,-5,2,-5,-6
122,-8,-6,2,-7
123,-4,-10,-4,-7
124,-2,-4,-7,0
125,-2,-17,19,-14
126,-6,12,-20,-2
127,-4,1,-5,-3
128,-12,0,5,-9
129,-11,0,0,-3
130,-5,2,-10,0
131,-2,-14,3,-6
132,-3,2,-3,-2
133,1,-8,5,-5
134,0,-3,3,-11
135,-7,-3,-1,-5
136,-6,-2,1,-3
137,-8,5,-5,-5
138,0,-11,1,-7
139,-2,3,-7,-6
140,-6,-14,11,-14
141,-5,0,-7,-6
142,-9,-2,5,-9
143,-7,-3,4,-8
144,-5,-4,-9,-1
145,-4,-2,-9,-3
146,0,0,-11,4
147,0,-12,2,0
148,0,-4,0,-10
149,2,-3,-12,2
150,-12,2,2,0
151,-9,-6,3,-11
152,2,-10,-2,-2
153,-6,-13,15,-12
154,-2,-7,0,-3
155,-5,-12,10,-12
156,-1,-17,11,-14
157,-9,-1,-1,-11
158,0,-15,-1,-2
159,0,-2,-15,-1
