Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,1,-10,10,-6
2,2,-6,3,-3
3,-7,17,-17,2
4,3,9,-14,2
5,-7,1,2,-5
6,-4,0,0,0
7,1,-13,12,-13
8,4,1,-9,4
9,8,-4,-4,0
10,-2,0,0,4
11,4,-7,3,-5
12,0,-5,4,-2
13,3,-4,5,-4
14,-2,0,-10,5
15,-4,-4,7,-1
16,-5,5,-4,0
17,-4,-6,6,-1
18,-8,6,-5,-1
19,4,-8,5,-4
20,-2,9,-13,7
21,-6,8,-6,-1
22,-1,0,0,-5
23,0,9,-17,8
24,-5,7,-5,-3
25,1,-3,0,0
26,1,-6,2,0
27,-12,0,6,0
28,-9,2,0,-2
29,-5,-1,4,-3
30,-5,9,-8,-1
31,-2,5,-4,-6
32,-3,0,3,-1
33,-9,15,-13,1
34,10,-14,5,-5
35,0,-9,2,0
36,-2,9,-7,1
37,-6,1,-9,7
38,-19,13,-6,2
39,-4,6,-12,-1
40,2,-8,5,-4
41,-8,11,-11,8
42,3,-1,-4,1
43,-5,2,-2,2
44,-5,1,-2,-3
45,1,-11,8,-6
46,-11,12,-7,-3
47,0,-3,3,-4
48,-2,0,-8,1
49,-3,1,-9,5
50,-9,0,5,-9
51,-1,-7,-1,-1
52,0,-2,0,-5
53,-3,10,-10,-4
54,-5,6,-9,5
55,-5,-2,-7,-1
56,-12,10,-13,3
57,-5,-4,0,0
58,2,-5,-3,-1
59,0,-15,14,-9
60,-5,-9,16,-10
61,-5,8,-10,6
62,2,-9,0,0
63,-4,6,-5,-4
64,-7,0,0,-4
65,-3,-2,-9,2
66,-5,8,-14,-1
67,-2,0,-9,0
68,-3,6,-9,0
69,-5,3,0,0
70,-2,9,-15,3
71,2,-11,3,-3
72,1,-9,-1,0
73,8,-6,-8,3
74,2,-15,18,-14
75,-7,4,-6,0
76,4,-11,10,-6
77,3,-10,3,-2
78,3,-7,-8,2
79,-3,1,0,-3
80,-2,0,-11,0
81,-3,5,-11,-2
82,1,-3,-1,-5
83,-4,3,-9,2
84,-2,3,-9,0
85,-4,-1,-6,-4
86,-2,-5,-17,6
87,-3,-10,7,-7
88,-12,12,-8,-2
89,0,-4,-4,-2
90,3,-7,-1,-7
91,-8,3,0,-3
92,10,-20,10,-7
93,5,-20,14,-6
94,-5,2,2,-10
95,-2,1,-5,-4
96,0,-14,17,-11
97,-4,1,-6,-4
98,-3,-12,5,-7
99,-5,-3,-4,1
100,-4,5,-8,2
101,-10,12,-12,3
102,-7,9,-15,0
103,2,-6,0,-7
104,-7,-2,0,0
105,-2,11,-20,0
106,-7,0,2,-14
107,0,-15,10,-7
108,-7,-4,5,-2
109,-7,4,-13,3
110,0,0,-8,-6
111,0,-2,-13,-2
112,3,-2,-9,2
113,-1,2,-2,-7
114,-7,5,-8,-4
115,-5,-5,-3,-1
116,-5,6,-6,-5
117,-9,8,-13,-2
118,3,-13,-3,0
119,1,8,-26,4
120,-7,2,-5,0
121,-2,-6,3,-6
122,0,0,-7,-9
123,-9,-1,-4,0
124,-8,-2,1,-12
125,-5,-7,-2,-2
126,-8,4,-7,-6
127,-3,-3,6,-12
128,-7,0,-1,-7
129,7,-16,0,-5
130,-5,3,-12,7
131,-5,2,1,-5
132,3,-6,0,-4
133,-11,4,0,-4
134,-9,-4,3,-6
135,-8,2,-11,-4
136,-6,9,-10,-1
137,-6,9,-19,4
138,-1,1,-10,0
139,-3,3,-10,-2
140,-3,-1,-10,1
141,0,-8,7,-10
142,-1,-12,8,-9
143,-9,-4,4,-12
144,-6,4,-10,-5
145,-4,4,-9,2
146,0,-2,-6,-5
147,-2,-4,0,-13
148,-3,2,-6,-1
149,5,-8,-6,-2
150,3,-7,-5,-5
151,-6,6,-10,1
152,-11,8,-9,-6
153,-1,-1,-7,-3
154,0,-1,-14,7
155,-3,4,-5,-7
156,-7,2,-4,-6
157,0,-3,-12,0
158,-3,-6,3,-12
159,-7,2,-7,-6
160,-5,0,-4,-1
161,-8,0,0,-4
162,0,-3,-4,0
163,-1,-4,0,-4
164,3,-5,1,-12
165,-5,0,-7,-5
166,-3,0,-7,-2
167,0,1,-14,4
168,9,-21,3,-8
169,-7,0,-3,-3
170,-9,3,0,-12
171,0,-5,0,-5
172,-7,4,-7,-10
173,-9,10,-14,-3
174,0,-10,0,0
175,-3,10,-18,-2
176,0,-6,0,-8
177,-2,-5,-3,-10
178,-5,-4,-5,0
179,-17,10,-6,-7
180,-8,11,-13,-3
181,-1,-7,2,-2
182,0,-1,-13,-3
183,1,-14,4,-8
184,2,-5,0,-3
185,-1,-4,-5,-2
186,4,-11,-5,1
187,-9,13,-14,0
188,-2,-7,4,-14
189,-3,-3,2,-4
190,-9,5,-9,-6
191,-7,6,-7,-3
192,-5,1,-10,-3
193,-6,-6,0,-5
194,-1,0,-6,0
195,-4,1,-7,-1
196,-4,7,-16,7
197,0,0,-14,-2
198,0,-2,-5,-6
