Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-4,0,0,0
2,-1,16,-21,7
3,-6,-2,0,-6
4,-9,0,4,-2
5,-8,0,5,-2
6,-5,-3,0,-2
7,-5,2,0,-3
8,0,-15,14,-4
9,1,1,-18,8
10,-2,2,-2,-1
11,4,-13,6,-4
12,0,-12,9,-5
13,-8,9,-6,7
14,-4,2,-3,2
15,3,-3,-6,0
16,-17,13,-8,0
17,11,-13,1,-9
18,-1,0,-2,-4
19,-7,4,-3,-5
20,2,0,-6,5
21,-2,5,-7,4
22,3,-19,9,-6
23,-3,2,-4,1
24,-2,-3,-1,-2
25,6,-7,-1,3
26,1,-8,6,-5
27,-1,-9,1,0
28,1,-10,1,-1
29,-3,10,-12,0
30,-2,-3,2,-4
31,6,-10,0,-6
32,-5,5,-5,-2
33,-7,-1,-3,-1
34,2,-9,5,-4
35,0,-4,0,-3
36,2,-5,-5,-2
37,5,-8,4,-3
38,0,-8,0,-7
39,-11,7,-4,-6
40,-3,0,0,-1
41,-11,12,-16,6
42,-5,9,-18,8
43,-2,-2,-7,-5
44,-9,4,-5,-5
45,-1,-7,-1,0
46,-3,-4,3,-8
47,-9,12,-12,1
48,-13,13,-7,2
49,-3,-11,3,-9
50,-3,-4,-10,0
51,5,-13,2,0
52,6,-27,22,-13
53,-12,10,-12,0
54,-7,-5,6,-6
55,-11,20,-17,-2
56,-1,-9,-5,5
57,-6,2,-2,-2
58,0,-13,9,-6
59,8,-24,15,-14
60,-4,0,-4,-1
61,-1,-9,4,-2
62,0,-4,1,-2
63,-2,0,-5,-5
64,-2,3,-17,-4
65,-7,2,-7,2
66,-9,8,-15,1
67,-5,3,-13,-5
68,1,-10,-3,0
69,-3,-6,3,-4
70,-1,-6,-2,1
71,-7,-5,2,-9
72,-8,5,-10,0
73,-7,-6,7,-8
74,-1,-3,-5,-4
75,2,-12,2,0
76,-9,0,-5,-2
77,-6,-5,7,-5
78,-1,-10,1,-5
79,-9,0,-5,-6
80,-6,-2,-5,-6
81,-4,-2,-10,2
82,-8,6,-10,-1
83,-9,3,-10,1
84,-2,6,-12,0
85,-6,-3,-1,-7
86,-1,-5,3,-6
87,0,-22,15,-9
88,-21,17,-7,-3
89,-10,14,-22,11
90,-4,-1,-13,-1
91,-1,-4,-9,-3
92,-9,9,-14,1
93,-15,8,-5,-2
94,1,-6,-13,5
95,-7,0,-10,-1
96,-2,2,-11,3
97,-14,19,-19,5
98,-5,-4,0,-6
99,-5,7,-16,4
100,-11,13,-23,-1
101,-6,14,-20,-1
102,-7,7,0,-10
103,0,0,-15,4
104,-9,10,-18,5
105,-4,0,-5,-1
106,-10,2,-10,-2
107,-4,-4,-4,-3
108,0,-3,-2,-3
109,-7,0,-1,-6
110,-3,-3,5,-10
111,-2,-12,0,-1
112,-6,-4,8,-10
113,-5,-2,-2,-4
114,-8,-11,8,-8
115,-7,-1,-1,-6
116,-9,-4,4,-2
117,-14,10,-10,-1
118,-15,10,-3,-10
119,3,-11,1,-9
120,-2,-17,9,-6
121,-5,-14,3,-1
122,0,-16,3,-10
123,0,-8,1,-5
124,0,-14,9,-10
125,-10,7,-13,5
126,-1,-8,-1,-6
127,-1,-3,0,-6
128,-8,9,-12,7
129,-10,12,-5,-3
130,-16,9,-5,-7
131,-4,0,-9,-2
132,-9,-5,8,-6
133,-1,-22,14,-11
134,2,-8,-9,7
135,-8,1,-7,2
136,-3,-11,11,-11
137,-2,-8,-2,-8
138,-9,9,-8,-8
139,-3,-2,-4,-7
140,-2,-12,7,-8
141,-6,-5,3,-9
142,-2,-15,6,-9
143,-2,-6,-5,4
144,-5,-1,5,-12
145,-6,6,-6,-4
146,-12,11,-12,-2
147,-1,-16,4,1
148,-8,-3,-2,-5
149,-6,8,-17,-1
150,-4,-3,-2,-5
151,-16,0,8,-10
152,-6,-6,8,-12
153,-13,7,-14,2
154,0,-13,1,-1
155,-4,1,-4,-5
156,-7,-9,4,-5
157,-10,0,-1,-8
158,-3,-5,0,-5
159,-9,6,-8,-7
160,-10,4,-5,-1
161,-3,-3,0,-7
162,2,-14,0,0
163,2,-13,0,0
164,-1,-6,0,-4
165,-3,-6,-8,-2
166,-7,-8,4,-8
167,-9,3,-9,-1
168,-3,-6,0,-3
169,0,-6,4,-6
170,6,-21,4,-5
171,-11,9,-13,-5
172,-5,1,-16,-6
173,-2,-6,-10,-1
174,-1,-10,-3,-1
175,-5,-8,4,-9
176,-6,-3,-4,-4
177,-2,-12,0,-6
178,-2,-22,16,-10
179,-3,-1,-10,-1
180,2,-13,2,-10
181,0,-8,-4,-3
182,-8,-3,-2,-5
183,2,-16,8,-7
184,-11,-3,2,-10
185,-13,6,-9,-4
186,-12,3,0,-8
187,-6,-7,-1,-7
188,-6,-4,0,0
189,-1,-9,3,-9
190,-11,0,0,-8
191,-1,0,0,-9
192,2,-18,4,-8
193,-4,-7,-6,-6
194,-2,-8,0,-9
195,-7,-2,1,-6
196,-4,-10,0,-4
197,2,-9,-4,-8
198,-10,-1,-1,-6
199,-10,-1,-3,-6
200,-3,-6,-6,0
201,-5,0,-8,-10
202,-7,-7,0,0
203,-7,-2,0,-11
204,-8,3,-10,-3
205,-4,-1,-2,0
206,-7,7,-17,0
207,-6,0,-6,-3
208,-11,4,0,-14
209,-5,-17,15,-17
210,-15,0,1,-7
211,-7,0,-8,-4
212,0,-16,8,-16
213,-4,-12,-4,-4
214,-6,-8,6,-6
215,-6,0,0,-11
216,0,-17,4,-5
217,-11,-2,-8,0
218,-9,0,-10,0
219,-3,-3,-2,-5
220,-3,-5,-8,-1
221,-13,-5,10,-11
222,0,-13,5,-4
223,-9,11,-25,6
224,-7,-7,-5,-6
225,-13,0,-6,2
226,-7,-1,-8,-6
227,-3,-11,0,-8
228,-1,-13,-4,-4
229,-10,5,-13,-5
230,-6,-1,-7,0
231,-1,-13,9,-11
232,-9,-8,5,-9
233,-17,19,-28,8
234,-7,-6,0,-5
235,-6,-1,-9,-1
236,-8,-9,1,-4
237,-3,-5,0,-5
238,2,-1,-15,0
239,-1,-8,-2,-8
240,-6,-15,10,-10
241,-5,-4,-8,-1
242,6,-26,3,-7
243,-4,-14,11,-16
244,5,-7,-4,-5
245,-1,2,-13,-6
246,-11,2,-1,-11
247,-8,2,-11,-2
248,-7,-4,-6,-6
249,-13,7,-11,-2
250,-5,-9,5,-10
251,-16,14,-20,3
252,-8,2,-6,-14
253,0,-5,-11,0
254,-8,-6,-2,-2
255,-9,5,-6,-6
256,-12,9,-14,-4
257,-6,4,-8,-4
258,-3,5,-19,0
259,-6,-17,8,-7
260,-5,-4,-3,-4
261,-5,-1,0,-15
262,-8,-5,-6,-2
263,-11,-11,2,-4
264,-6,-1,-6,-4
265,-4,-8,0,-7
266,-12,6,-12,-4
267,5,-24,10,-10
268,-8,-2,-5,-14
269,-8,-1,-4,-8
270,-5,-4,-8,-2
271,-2,-24,14,-12
272,-10,12,-16,-1
273,-3,-3,-9,-4
274,-18,16,-20,0
275,-13,3,-3,-11
276,-10,5,-12,0
277,-3,-21,14,-12
278,-13,0,1,-14
279,-5,-7,0,-8
280,-16,10,-7,-6
281,-7,-1,-9,-4
282,-10,-3,1,-9
283,-2,-9,-3,-9
284,-6,-5,0,-5
285,-8,-2,-4,-7
286,-3,3,-15,-2
287,-4,-8,-9,0
288,-5,-9,-8,-1
289,-8,2,-14,3
290,0,-9,-7,-7
291,-1,-9,-8,-6
292,0,-11,2,-12
293,-12,0,-8,-1
294,-7,0,-2,-4
295,-10,-7,4,-12
296,0,-8,1,-12
297,-16,11,-11,-10
298,-3,-15,9,-9
299,-8,-4,2,-10
300,-7,-9,7,-8
301,-6,-2,-11,-3
302,-6,0,-11,-2
303,-9,2,-3,-3
304,-17,14,-18,-3
305,-7,2,-5,-8
306,-11,-12,1,-5
307,-3,-5,-4,-7
308,-2,-8,-1,-1
309,1,-19,9,-9
310,-9,0,-14,2
311,-9,3,-17,-2
312,-21,16,-12,-2
313,-9,-2,0,-14
314,-5,-4,2,-7
315,-1,-3,-11,-8
316,-9,-6,2,-15
317,-2,-11,7,-12
318,-8,11,-19,2
319,-6,-10,4,-12
320,-10,-7,5,-12
321,-7,-4,-4,-5
322,-5,-11,7,-14
323,-1,-6,-4,-3
324,1,-8,-10,-11
325,6,-23,10,-2
326,-17,2,0,-10
327,0,-20,8,-7
328,-8,-3,0,-12
329,-10,1,0,-10
330,-6,-10,5,-12
331,-19,9,-3,-6
332,-6,-6,3,-15
333,-8,-7,1,-11
334,-2,-7,-8,0
335,-2,-17,13,-12
336,-1,-10,0,0
337,-11,0,-4,-8
338,-8,-5,-1,-6
339,-8,-1,-9,0
340,-6,0,0,-7
341,9,-5,1,-2
342,-7,13,-16,7
343,0,6,-9,0
344,3,1,-8,3
345,11,-9,1,0
346,3,3,-2,4
347,-3,1,12,0
348,4,4,0,9
349,0,1,8,6
350,-10,19,-5,8
351,2,-8,3,1
352,-12,7,5,1
353,0,-1,8,-2
354,-1,0,-1,3
355,0,-19,16,-12
356,-5,-4,0,-4
357,2,-12,9,-9
358,1,-18,0,-1
359,-7,-4,-1,-8
360,-2,0,-2,-5
361,-8,-7,1,-1
362,-6,-3,-7,-1
363,-4,-5,3,-4
364,0,-11,-2,-6
365,-13,1,-3,-1
366,0,-11,6,-5
367,0,-17,8,-7
368,0,-9,3,-6
369,-8,2,-17,-7
370,4,-12,-3,-1
371,-9,9,-23,5
372,-10,7,-8,-5
373,-5,-2,-11,0
374,-6,-4,7,-7
375,-7,-8,6,-11
376,-1,-18,21,-19
377,-9,-14,15,-16
378,-5,1,-8,-7
379,-11,3,0,-7
380,0,-4,-19,3
381,-5,-15,7,-12
382,3,-20,5,-5
383,-6,-3,3,-8
384,-7,-2,-5,5
385,-11,0,-1,-2
386,-7,7,-8,-7
387,-18,2,4,-14
388,-1,-12,4,-6
389,-6,0,-5,-3
390,0,-20,0,-6
391,-18,11,-10,-2
392,-1,-11,3,-8
393,1,-26,26,-18
394,-3,-16,9,-5
395,1,-16,11,-5
396,1,-7,-4,-2
397,-1,-1,-9,-2
398,-3,-9,4,-5
399,-2,0,-3,-2
400,-3,-6,10,0
401,5,-14,13,-8
