Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,5,-8,6,-8
2,5,-9,11,-11
3,-2,-1,-8,-2
4,0,0,-8,-1
5,-1,-2,3,-8
6,0,-8,3,0
7,-7,-4,8,-4
8,-6,2,-7,2
9,-1,8,-8,2
10,-7,6,-3,1
11,0,-9,3,-2
12,-2,-6,3,0
13,6,-6,4,-5
14,-4,1,1,-8
15,8,-2,-8,0
16,-11,1,0,-4
17,3,-13,1,-2
18,4,1,-4,-5
19,4,-13,6,-8
20,0,-6,2,-3
21,0,-3,-3,-3
22,4,-4,0,0
23,2,-4,4,3
24,-11,13,-1,-1
25,-14,19,-19,4
26,-4,0,0,-4
27,0,-10,7,-5
28,-6,1,-1,0
29,2,-7,2,0
30,-7,12,-3,-3
31,-3,-1,0,0
32,-1,-10,13,-11
33,9,-15,0,3
34,1,-10,3,-9
35,1,0,-7,0
36,6,-13,5,-1
37,-13,11,-4,-5
38,-1,-3,8,-7
39,5,-6,-9,3
40,0,-1,-9,0
41,3,-7,2,-5
42,4,-3,1,-5
43,3,-5,5,-11
44,0,-10,19,-17
45,-7,10,-18,0
46,-6,8,-12,2
47,3,-8,5,-8
48,-3,0,-2,0
49,-3,-6,2,-10
50,0,-15,10,-9
51,-3,7,-3,-8
52,0,-9,7,-8
53,2,-17,15,-4
54,-9,2,-3,-7
55,-6,7,-7,-5
56,-7,-2,4,-6
57,5,-9,0,-5
58,-1,-2,1,-4
59,0,-10,6,-4
60,0,2,-12,1
61,-3,8,-18,0
62,-2,0,-17,7
63,-3,6,-7,-1
64,0,-3,1,-9
65,6,-24,6,-3
66,-2,-2,0,-3
67,-14,11,-4,-4
68,-9,0,1,-7
69,2,-12,2,-5
70,-7,10,-12,3
71,-4,-8,2,-5
72,1,-8,5,-13
73,-6,-2,7,-7
74,1,-6,3,-9
75,-3,-10,2,-3
76,8,-26,16,-7
77,0,-9,2,-2
78,3,-4,-3,-4
79,7,-6,-1,-5
80,2,-6,0,-7
81,-17,19,-10,-2
82,-8,3,-2,-5
83,-7,-19,22,-16
84,3,-8,0,-8
85,-2,-2,-5,0
86,-2,-5,-3,-7
87,-8,-4,-3,-2
88,3,-20,11,-4
89,-3,2,-7,-3
90,-10,4,-5,-6
91,-4,5,-5,-4
92,3,-5,0,-2
93,6,-11,0,-9
94,-3,3,-12,7
95,0,-11,10,-13
96,-1,0,-5,-2
97,-9,3,-10,-2
98,-9,7,-5,-3
99,-2,-10,7,-11
100,-3,-5,2,-7
101,-10,12,-10,1
102,4,-10,-2,1
103,4,-12,3,-8
104,-4,0,-5,-5
