Position,ReactionChannel#1,SequenceChannel#1,SequenceChannel#2,UnknownChannel
1,-11,18,-12,1
2,-6,9,-12,4
3,0,4,-6,-2
4,3,0,-5,2
5,-2,10,-6,1
6,-6,19,-24,7
7,-7,11,-12,3
8,10,-14,4,0
9,-6,5,1,-3
10,-8,0,7,-4
11,5,-9,-5,3
12,2,-10,4,-8
13,0,-7,8,-1
14,-4,6,-1,-8
15,1,-3,0,-4
16,-4,17,-21,6
17,1,-4,-6,5
18,-1,9,-13,6
19,0,-8,-2,-3
20,6,-12,0,6
21,4,-9,1,-1
22,1,6,-14,1
23,0,-1,3,0
24,0,6,-7,-1
25,0,4,-5,0
26,-1,-5,1,2
27,-4,8,-11,1
28,-2,-5,6,-8
29,-5,1,8,-2
30,-1,-7,10,-10
31,0,3,-5,1
32,-1,-8,5,-3
33,0,-6,2,-2
34,1,4,-5,0
35,-1,0,-3,-3
36,2,-10,7,-3
37,-1,-5,5,-9
38,0,4,-6,3
39,4,-17,5,1
40,-3,8,-3,-4
41,1,-2,-7,3
42,-6,0,4,-4
43,2,-13,8,-8
44,-6,2,3,-4
45,2,-2,-5,-3
46,2,-6,-2,-5
47,3,-6,0,-2
48,2,-11,1,0
49,7,-16,4,-11
50,-2,-12,8,-7
51,-10,13,-2,-3
52,-6,4,-8,-2
53,-4,3,-10,7
54,-10,24,-24,1
55,0,-11,0,-1
56,-3,-8,2,-2
57,0,0,-1,-6
58,1,-5,-2,-4
59,-5,7,-11,2
60,-1,1,-4,-3
61,-4,0,5,-5
62,0,5,-10,4
63,-3,-10,10,-12
64,0,-5,1,-4
65,1,-5,-3,0
66,-5,1,-2,-8
67,-7,-5,4,-3
68,-5,-1,-2,0
69,-2,-7,0,-3
70,-7,5,-6,0
71,-13,14,-17,-3
72,-2,-2,-3,-1
73,-7,10,-18,1
74,-14,17,-8,1
75,6,-8,2,-5
76,-11,8,-7,-5
77,-8,-3,2,-8
78,-10,8,-9,0
79,-1,-16,8,-4
80,-9,7,-6,-5
81,-4,0,-8,-1
82,-10,8,-16,0
83,-12,6,2,-7
84,-3,-6,-7,4
85,2,-12,1,-1
86,-1,3,-19,3
87,-12,6,-9,0
88,-5,-11,11,-4
89,-3,-3,-4,-4
90,-3,-4,-4,-3
91,-8,4,-5,-1
92,4,-5,1,-12
93,-9,-1,-2,3
94,-3,-5,-3,-5
95,-9,4,7,-10
96,-1,3,-10,0
97,-2,-3,-6,1
98,-14,7,-17,0
99,-8,4,-10,-4
100,-11,4,-4,-5
101,2,-12,0,0
102,-3,3,-12,3
103,0,-18,14,-10
104,-6,8,-11,0
105,-3,-2,-9,-4
106,-9,4,-8,0
107,-8,-2,1,-3
108,0,-5,-10,1
109,-6,7,-8,2
110,4,-12,-5,-5
111,-2,2,-7,-3
112,-8,-1,-6,-1
113,-1,2,-10,-5
114,-9,11,-12,1
115,-1,-10,-3,4
