Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,3,2,-17,0
2,6,-17,19,-10
3,0,-1,-8,-2
4,0,0,-2,4
5,-1,0,-5,0
6,0,-8,8,-5
7,2,-8,5,-3
8,0,0,2,-7
9,-1,-8,10,-4
10,-4,1,2,-2
11,-3,-1,-10,2
12,-10,8,-14,3
13,2,-4,-3,0
14,0,-6,-7,2
15,-2,-4,-4,4
16,-8,2,-5,1
17,0,-13,0,0
18,1,-1,-2,-2
19,0,-3,2,-1
20,-3,0,0,0
21,-3,4,-9,-4
22,-4,3,-14,8
23,0,-4,-8,7
24,4,-9,1,-5
25,-1,-1,-9,1
26,0,-4,-4,1
27,0,-2,0,-5
28,10,-23,18,-9
29,2,0,-12,0
30,-3,2,-9,10
31,-3,-3,2,0
32,2,-3,-7,6
33,10,-11,2,-2
34,-3,-5,-4,-1
35,-2,-1,-1,-1
36,-15,2,-3,0
37,5,-9,-7,2
38,-9,5,-8,-3
39,-7,10,-22,6
40,1,-14,9,-11
41,-12,8,-5,1
42,-2,-3,-5,0
43,-10,0,-1,-3
44,-7,0,3,0
45,2,-21,13,-4
46,-6,-3,-5,4
47,-10,5,-1,-3
48,-3,1,-8,6
49,-1,-8,1,-4
50,-7,-1,-10,1
51,-8,0,-3,-8
52,-3,2,-14,0
53,-11,9,-16,0
54,-4,0,-4,-5
55,-3,0,-4,-3
56,0,-12,5,-9
57,-1,-5,-5,0
58,-6,4,-1,-5
59,-1,-10,-5,2
60,-2,-3,-4,-1
61,1,-20,16,-10
62,-9,0,0,-10
63,-3,7,-15,0
64,-10,30,-36,3
65,-2,-2,-12,-1
66,-3,-5,-4,-1
67,-3,-5,-2,0
68,-4,0,-8,2
69,0,-13,10,-6
70,-11,4,-7,0
71,-7,9,-17,4
72,-1,0,-13,-1
73,0,-8,0,-6
74,-4,-5,-5,-4
75,-9,2,-13,1
76,-5,-6,6,-8
77,-11,15,-24,6
78,-2,-3,-3,-3
79,1,-10,5,-11
80,-8,-2,-4,-3
81,2,-9,-3,-5
82,-2,5,-16,-2
