Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,2,0,-1,-3
2,0,-2,-2,0
3,-2,4,-8,3
4,-4,1,0,-3
5,3,-9,4,-7
6,-2,12,-11,2
7,0,4,-9,1
8,-16,12,-2,0
9,-2,8,-13,5
10,1,-14,8,-2
11,-6,3,-1,4
12,-9,7,-6,0
13,-9,4,-6,-4
14,-4,1,11,-8
15,2,-5,-5,-5
16,-16,9,0,-10
17,-12,12,-4,3
18,-1,-6,-2,8
19,3,-14,11,-2
20,-2,-8,7,-5
21,-4,-6,13,-9
22,0,-10,12,-5
23,-2,-7,7,1
24,-5,-3,6,-8
25,2,-14,16,-9
26,-5,-6,-1,-4
27,-11,11,-7,-2
28,-6,-6,11,-6
29,-1,-4,0,-3
30,-4,1,-8,0
31,-11,6,-6,-3
32,-12,12,-15,2
33,-12,23,-33,14
34,0,-2,-7,-5
35,-6,-6,9,-10
36,-2,-4,-2,-9
37,-3,-8,14,-5
38,5,-24,9,-1
39,-6,5,-12,-1
40,0,-16,14,-2
41,8,-15,11,-3
42,-4,-8,13,-10
43,-7,1,0,-1
44,-3,4,-5,-3
45,-2,-17,17,-7
46,0,-11,7,-6
47,2,-10,-5,5
48,4,-20,17,-11
49,0,-9,9,-4
50,-6,1,-6,-1
51,-2,-13,12,-10
52,-8,-1,1,-8
53,-3,-13,9,-6
54,0,-10,11,-10
55,-6,5,-2,-6
56,-5,-4,1,-8
57,1,-10,1,-1
58,-5,7,-12,-3
59,-4,-2,10,-9
60,-4,-8,8,-6
61,1,-19,20,-11
62,0,-6,16,-9
63,-7,4,-5,0
64,-4,-6,16,-8
65,-7,-3,-2,-1
66,0,-11,5,-5
67,3,-21,26,-8
68,-4,-5,1,-4
69,-6,-4,0,-3
70,-2,-12,12,-5
71,-9,-4,13,-13
72,-5,-9,17,-4
73,3,-20,11,0
74,-9,-3,12,-4
75,-1,-12,8,-1
76,2,-20,9,-3
77,-5,-2,6,-1
78,-3,-3,2,-4
79,-4,0,-1,-1
80,-6,2,0,-4
81,-7,-16,17,1
82,1,-7,0,-4
83,-5,0,8,-8
84,-4,2,3,-7
85,-12,7,-7,0
86,-10,11,-9,-6
87,0,-18,14,-7
88,-6,5,-12,3
89,-9,0,-2,-1
90,-9,-1,5,-11
91,-8,2,-6,-6
92,-5,-5,-3,-4
93,0,-17,7,-2
94,-16,18,-26,0
95,-12,2,3,-8
96,-7,-1,-6,-5
97,-2,-12,14,-7
98,4,-15,3,2
99,-6,0,-2,-2
100,-9,5,-3,-1
101,-11,10,-19,4
102,-9,1,-2,2
103,-5,-3,-8,-1
104,-13,0,5,-11
105,-12,6,-8,-4
106,9,-25,13,-4
107,1,-7,0,-3
108,-6,0,-2,-6
109,-2,-5,3,-7
110,-7,-3,3,-5
111,-5,0,0,-7
112,-13,7,-5,-2
113,-4,-6,4,-13
114,-8,1,2,-7
115,-9,11,-9,-2
116,-10,-3,8,-10
117,0,-3,-9,6
118,-9,-14,16,-10
119,-16,14,-15,0
120,-2,-8,7,-3
121,-3,-5,-1,-4
122,-5,-3,-10,-2
123,-2,-10,4,-6
124,0,-13,4,-8
125,-11,1,0,-6
126,-6,9,-12,-4
127,-13,2,0,0
128,-7,-4,3,-4
129,2,-13,9,-9
130,-8,4,-15,0
131,-9,2,-13,0
132,-10,1,6,-6
133,-11,4,-10,0
134,-5,-6,10,-7
135,-3,-10,2,-7
136,0,-11,1,-7
137,-2,-13,15,-14
138,-3,-6,-6,-3
139,-14,8,-5,-12
140,0,-12,0,-3
141,0,-8,7,-4
142,-6,6,-7,0
143,-11,-9,6,-9
144,0,-14,11,-9
145,-2,-3,-13,3
146,3,-10,-3,2
147,-4,-10,3,-8
148,-7,0,-15,1
149,-3,-1,-6,-8
150,-10,4,-9,-5
151,-5,-6,0,-5
152,-9,0,-5,-2
153,0,-14,14,-12
154,-10,4,-4,-4
