Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,2,-10,15,-4
2,-5,7,-14,-3
3,6,-17,6,-1
4,-4,-4,7,-6
5,-4,-4,10,-9
6,0,-6,-2,2
7,-2,0,-1,-5
8,0,-2,-3,-1
9,0,-7,2,0
10,-8,5,2,-4
11,-2,3,-10,-1
12,0,-12,13,-8
13,0,-6,1,-5
14,-1,-5,6,-6
15,-5,7,-19,3
16,-9,12,-16,2
17,0,-6,3,3
18,1,-10,7,-4
19,0,-6,3,0
20,0,-9,-2,2
21,2,-10,2,1
22,3,-18,12,-4
23,-6,0,-4,0
24,3,-15,16,-3
25,10,-25,20,-4
26,-3,-4,-3,-1
27,-6,-1,0,3
28,1,-8,4,-3
29,5,-11,-4,-3
30,0,-5,0,0
31,1,-11,0,-3
32,-5,-1,-9,0
33,-16,14,-12,0
34,-13,6,-11,0
35,-10,13,-21,2
36,-10,5,-9,0
37,-1,-3,0,-3
38,-6,4,-6,0
39,-1,-7,2,-5
40,1,-9,1,2
41,5,-25,22,-12
42,1,-7,8,-6
43,-2,-4,2,-2
44,-3,0,-5,2
45,0,-7,0,-5
46,0,-9,4,-6
47,-4,-12,17,-12
48,-3,-3,4,-5
49,-5,-14,17,-5
50,0,-13,7,-8
51,0,-21,16,-8
52,-8,4,-8,0
53,-2,-6,7,-5
54,-5,-1,1,-6
55,-2,-3,-6,-4
56,-5,2,-4,-5
57,-2,-12,8,-8
58,-3,-1,-10,1
59,-2,-4,2,-7
60,-7,1,1,-5
61,-1,-12,12,-6
62,2,-7,0,7
63,-4,-18,20,-16
64,0,-7,-3,3
65,2,-14,12,-12
66,3,-14,3,-4
67,2,-14,12,-6
68,3,-14,3,-6
69,-1,1,-11,2
70,-7,-3,-1,-5
71,-5,0,1,-2
72,2,-26,25,-9
73,-4,-9,13,-6
74,8,-16,19,-9
75,-3,-15,16,-4
76,-1,-9,7,-5
77,-3,-11,14,-1
78,7,-26,14,-2
79,6,-19,20,-11
