Position,ReactionChannel#1,SequenceChannel#1,ReactionChannel#2,SequenceChannel#2
1,-1,-3,6,-8
2,0,-5,4,-7
3,6,-22,18,-7
4,-1,-5,-1,-3
5,-1,0,5,-2
6,2,-6,0,1
7,5,-6,2,-5
8,-1,1,1,-4
9,0,-9,4,-2
10,8,-18,17,-4
11,-3,0,1,-2
12,-6,0,0,-2
13,0,-9,6,-2
14,-2,6,-9,6
15,11,-16,4,-6
16,-3,2,-8,0
17,1,-5,5,-8
18,1,-8,2,2
19,-3,0,1,-3
20,1,-2,4,-2
21,-1,-3,9,-3
22,0,-13,13,-6
23,2,-12,19,-7
24,-1,-14,13,-7
25,-4,-3,0,0
26,-10,12,-12,-1
27,9,-12,5,-9
28,-3,-3,0,0
29,-1,-3,-6,1
30,-1,-10,6,-8
31,-4,-6,0,-3
32,-3,-7,3,-1
33,-2,-3,2,-7
34,-12,9,-10,-2
35,-5,4,-11,0
36,5,-7,-2,-6
37,4,-13,5,-3
38,4,-7,4,-11
39,-7,11,-8,-5
40,4,-8,0,-2
41,10,-16,12,-9
42,-3,-4,-1,-2
43,-3,-8,14,-11
44,0,-7,6,-5
45,-6,2,-6,0
46,-7,-6,10,-5
47,0,-14,9,-4
48,10,-14,3,-4
49,0,-17,20,-8
50,1,-9,9,-5
51,-8,-2,11,-12
52,-6,2,-7,-4
53,-3,-9,11,-9
54,4,-14,2,-4
55,-12,0,7,-9
56,-5,-2,1,-2
57,1,-7,0,-4
58,-3,-7,4,-8
59,-7,1,0,0
60,6,-22,10,-1
61,0,-9,14,-3
62,0,-28,29,-11
63,-9,-4,0,-1
64,-4,-10,18,-14
65,-6,-13,18,-8
66,-1,-9,8,-4
67,2,-14,12,-4
68,-4,-2,0,-5
69,-4,-11,7,-5
70,2,-7,-1,-2
71,-4,-11,20,-13
72,-4,-5,7,-1
73,0,-17,12,0
74,1,-16,15,-5
75,-6,-5,-1,2
76,2,-17,11,-10
77,2,-17,13,-10
78,-7,0,-3,-6
79,0,-2,-8,0
80,1,-11,9,-7
81,6,-14,4,-5
82,1,-14,10,-5
83,4,-13,12,-7
84,-2,-4,3,-9
85,-1,-8,5,-9
86,-10,3,-3,-7
87,3,-21,17,-9
88,-3,0,-5,-3
89,-2,8,-15,-1
90,11,-20,8,1
91,-14,9,-7,-4
92,3,-20,15,-15
93,6,-14,7,-12
94,-10,-5,2,0
95,-2,0,-9,3
96,6,-12,1,-6
97,-3,-20,16,-12
98,-4,-6,11,-12
99,-2,0,-4,0
100,-3,-2,2,-5
101,-4,1,-10,1
102,-4,-1,-4,-4
103,2,-14,0,-6
104,-7,3,0,-9
105,-7,5,-4,-2
106,-11,0,2,-7
107,-7,-7,9,-9
108,12,-27,17,-12
109,2,-15,11,-6
110,0,-13,17,-10
111,0,-12,6,-7
112,6,-14,0,0
113,-4,-4,-6,1
114,-5,1,-3,-6
115,-6,-1,-9,-5
116,-5,-4,4,-5
117,-10,4,1,-1
118,4,-6,-3,-10
119,-7,-8,9,-7
120,3,-17,7,-3
121,-7,0,3,-7
122,5,-8,-5,-2
123,-4,-8,5,-8
124,0,-17,0,0
125,-7,1,-9,-2
126,-6,3,-6,-8
127,-2,-4,-4,0
128,2,-20,19,-6
129,-8,-4,13,-14
130,6,-13,9,-10
131,-2,-14,0,-5
132,1,-18,16,-3
133,6,-10,-5,0
134,-4,-8,7,-7
135,-7,11,-18,5
136,0,-18,24,-16
137,4,-11,0,-8
138,-5,-7,4,-7
139,-13,5,-5,-7
140,-4,0,-6,-1
141,2,-17,11,-12
142,-3,-10,1,-2
143,6,-19,6,-8
144,-12,-5,8,-7
145,-10,9,-13,-1
146,0,-5,0,-9
147,-8,-2,0,-10
148,-8,0,-3,-9
149,-6,-11,5,-9
150,-1,-10,1,-12
151,-7,-4,1,-9
152,-3,-19,23,-11
153,-1,-4,-8,0
154,0,-7,1,-12
155,-1,-3,1,-6
156,-4,-6,0,-9
157,-1,-23,25,-12
158,0,-11,13,-12
159,6,-16,5,-5
160,-6,-11,18,-19
161,-4,-4,0,-5
162,0,-16,15,-16
163,-8,-4,9,-8
164,1,-12,4,-5
165,-11,6,-7,-5
166,-5,-2,0,-5
167,-10,-3,5,-4
168,-16,10,-2,-8
169,-8,2,-10,-1
170,-7,6,-12,1
171,0,-17,8,-11
172,-5,2,-7,-3
173,-6,-2,0,-8
174,-10,-9,8,-13
175,-2,-12,4,-7
176,-9,-8,12,-9
177,8,-10,-2,-6
178,-1,2,-8,-2
179,0,-14,16,-8
180,0,-4,-1,-9
181,-1,-10,10,-3
182,-12,-5,12,-6
183,-4,-11,7,-14
184,-6,-2,2,-4
185,-10,0,1,-5
186,-4,-5,13,-15
187,-6,-9,12,-8
188,-3,-16,23,-13
189,-3,-8,8,-3
190,1,-6,8,-5
191,0,-7,0,-2
192,0,-16,17,-14
193,-2,-9,6,-5
194,3,-18,5,-8
195,-9,4,-5,0
196,0,-7,1,-12
197,-3,-10,10,-5
198,1,-9,4,-7
199,-3,0,-6,-4
200,-3,-4,3,-7
201,0,-14,7,-11
202,-1,-6,7,-4
203,1,-12,0,-4
204,3,-11,5,0
205,-2,-11,22,-6
206,1,-8,7,-10
207,0,-10,9,-4
208,5,-27,18,-10
209,1,-12,0,-2
210,-4,-4,0,-2
211,1,-13,6,-5
212,-2,-9,8,-7
213,5,-22,25,-8
214,3,-18,11,-7
215,-4,-2,-6,1
216,1,-10,11,-8
217,-8,3,-3,-2
218,-2,-4,-3,-1
219,-13,0,-3,0
220,-2,-5,-2,-5
221,-5,-5,-4,-3
222,-8,4,0,1
223,1,-13,3,-8
224,-12,5,-2,-10
225,-3,-8,8,-6
226,-4,-6,2,-7
227,-10,1,-4,0
228,-5,-8,8,-6
229,-8,-6,12,-2
230,-2,-7,3,-8
231,-12,9,-6,0
232,0,-17,20,-14
233,-2,0,-6,-1
234,-6,-17,22,-13
235,0,-14,-1,1
236,-3,3,-9,1
237,-4,0,-6,-2
238,-6,-12,10,-11
239,-11,0,-6,0
240,-3,3,-10,-1
241,4,-12,-2,-1
242,-4,-3,-2,-8
243,-3,-11,4,-4
244,-4,-1,-3,2
245,0,-7,1,-3
246,-5,-2,-7,1
247,0,-11,7,-2
248,5,-19,13,-10
249,2,-15,8,-10
250,-1,-3,-2,0
251,-7,-1,6,-4
252,5,-19,14,-9
253,0,-7,2,-7
254,-2,0,-2,-5
255,0,-15,11,-8
256,-7,-1,-2,0
257,-14,-5,10,-14
258,1,-12,8,-4
259,-6,-5,2,-3
260,-7,8,-3,-3
261,-9,-1,-7,0
262,2,-14,16,-1
263,6,-21,15,-9
264,1,-12,7,-4
265,-1,-6,-2,-7
266,-3,1,-14,0
267,-2,0,0,0
268,-4,2,-6,4
269,0,-11,15,-7
270,-9,11,-19,0
271,0,-19,12,-2
272,-4,-3,2,-7
273,3,-16,16,-2
274,0,-14,6,-3
275,-9,-1,-5,0
276,0,-7,1,1
277,-1,2,-2,-1
278,-5,-4,7,-6
279,-2,-8,10,-3
280,-4,-5,6,-1
281,-2,-9,7,0
282,3,-5,-5,5
283,-3,-10,10,-6
284,-2,-13,14,-1
285,2,-13,11,1
286,0,-11,2,-3
287,1,-7,2,4
288,0,-6,0,-1
289,-3,-5,6,3
290,1,-8,2,-5
291,-4,-11,6,-4
292,3,-8,-2,-1
293,-3,1,-4,-4
294,-5,-5,0,1
295,-3,-1,-7,-1
296,6,-21,10,-5
297,-12,5,-4,-1
298,0,-8,0,4
299,-1,-3,-5,0
300,-1,-9,6,0
301,-1,-11,9,-8
302,2,-16,10,0
303,1,-17,4,2
304,7,-31,21,0
305,1,-10,8,-2
306,-1,-7,3,-3
307,1,-17,20,-11
308,1,-4,-3,1
309,0,-10,1,2
310,3,-14,4,1
311,5,-23,11,1
312,3,-7,-4,13
313,-1,0,-14,13
314,-3,-19,13,8
315,1,-9,6,0
316,0,-16,9,7
317,0,-5,-4,11
318,0,-5,-3,8
319,10,-22,7,10
320,1,-21,10,10
321,-7,5,-10,17
322,4,-12,1,5
323,0,-2,-8,15
324,6,-18,14,5
325,1,-5,0,7
326,-5,-2,0,14
327,-3,-9,12,7
328,-4,1,-8,2
329,-6,0,-2,9
330,1,-14,10,10
331,-1,-7,2,9
332,-9,3,-8,17
333,-6,2,-11,10
334,-3,-4,-3,16
335,-1,-3,-3,6
336,2,-17,14,4
337,-6,5,3,4
338,-1,-7,0,9
339,1,-10,2,15
340,-2,-6,-1,7
341,0,-4,2,1
342,0,-1,0,3
343,1,-12,5,4
344,-3,-3,-6,8
345,-12,0,6,8
346,-5,-8,7,14
347,0,-10,0,5
348,1,-7,5,1
349,-10,-2,7,0
350,-2,-1,-11,12
351,-8,4,-8,13
352,-2,-9,-1,3
353,3,-18,9,6
354,-2,-11,-3,12
355,-7,1,-7,10
356,3,-10,11,1
357,-2,2,-17,10
358,-8,-3,5,3
359,-5,-3,-6,9
360,0,-7,-9,12
361,0,-9,10,-1
362,7,-21,7,7
363,-6,6,-10,13
364,-2,-1,-7,7
365,3,-10,1,6
366,-9,2,-3,7
367,0,-15,6,3
368,-2,0,-11,11
369,-6,3,-10,14
370,3,-13,5,6
371,-16,6,-1,7
372,-11,3,-5,5
373,0,-11,2,9
374,-2,5,-13,12
375,0,-4,-5,10
376,-3,-14,14,3
377,0,-11,3,10
378,3,-6,-3,7
379,1,-1,-9,5
380,-1,-2,-7,7
381,-3,-2,1,6
382,-6,0,-5,9
383,-3,-3,0,0
384,-3,-6,3,5
385,1,-13,7,8
386,4,-20,15,4
387,0,-3,-3,8
388,-4,-1,-2,7
389,0,-7,2,6
390,-4,-2,-1,12
391,-3,-5,0,2
392,0,-7,-1,8
393,-2,1,-5,8
394,5,-10,2,4
395,-2,-9,-2,5
396,-6,2,-8,5
397,-1,0,0,9
398,0,-6,-3,10
399,-6,1,3,12
400,1,7,-10,13
401,-2,-2,-6,18
402,-3,4,0,7
403,-1,-5,6,10
404,-6,4,7,12
405,0,-10,18,7
406,-1,7,-11,15
407,-3,1,-1,7
408,-5,3,-5,10
409,-5,-1,-5,11
410,0,-5,2,12
411,-2,2,-4,8
412,5,-18,11,7
413,-2,-13,5,5
414,-3,-5,-3,13
415,-1,3,-17,13
416,-1,1,0,15
417,-6,12,-15,17
418,8,-22,12,5
419,-8,2,-1,10
420,1,-8,-2,12
421,-11,5,-6,7
422,0,-8,2,12
423,-10,11,-14,13
424,-7,1,-1,8
425,-1,-6,3,11
426,-5,2,4,3
427,-3,0,-10,16
428,0,-7,0,11
429,-9,8,-1,8
430,-4,3,2,7
431,-6,-2,-4,16
432,0,-8,-4,5
433,-7,-3,-4,10
434,-4,1,-12,11
435,1,-11,7,3
436,-4,-7,-1,10
437,3,-10,-2,12
438,-2,-3,-8,7
439,-6,-3,0,12
440,1,-14,7,8
441,-2,4,-21,13
442,-4,8,-10,14
443,0,-3,-6,16
444,-4,4,-8,12
445,-2,-13,16,5
446,3,-19,11,4
447,-5,-2,-4,6
448,-3,-4,-3,13
449,0,0,-15,13
450,-3,11,-12,12
451,-7,15,-19,12
452,-2,2,-2,6
453,-6,1,-1,15
454,-12,6,1,6
455,4,-13,12,4
456,-2,1,-1,10
457,-5,-3,-1,15
458,1,-3,-7,10
459,1,-20,8,6
460,-4,-4,2,11
461,-2,-12,6,2
462,0,-4,-8,5
463,4,-11,-3,5
464,-10,5,-3,3
465,2,-14,9,0
466,1,-11,12,0
467,-7,1,-7,12
468,-2,-8,8,4
469,0,0,-2,10
470,1,-7,-4,9
471,-1,-6,8,9
472,4,-11,-2,10
473,3,-13,15,2
474,-2,0,-6,11
475,-6,9,-14,11
476,-9,9,-15,21
477,-6,4,-4,6
478,-1,4,-16,18
479,-1,-3,-10,11
480,-8,4,-9,9
481,-4,4,-2,3
482,0,-4,-1,12
483,-3,-4,-1,7
484,-2,-3,-2,16
485,-2,-1,0,15
486,-1,-1,0,12
487,-1,2,-1,8
488,5,-12,10,6
489,1,3,-7,5
490,-2,-15,11,1
491,-7,0,4,1
492,5,-19,3,0
493,-2,-7,0,1
494,-4,6,-15,17
495,-5,-1,0,13
496,-4,3,-7,16
497,-3,-4,5,5
498,3,-6,-1,3
499,0,-12,-1,4
500,-1,-1,-2,6
501,0,2,-11,11
502,-7,5,-14,6
503,-2,-4,-2,10
504,0,-9,10,2
505,0,-4,0,0
506,0,5,-18,10
507,0,-18,16,4
508,-7,-2,-5,7
509,0,-5,4,6
510,-2,-1,-6,11
511,2,-12,4,6
512,-9,1,-5,9
513,-2,-16,13,-2
514,2,-15,7,2
515,-4,2,-5,11
516,0,-5,-5,6
517,-1,-9,1,6
518,6,-16,5,3
519,-6,-1,0,3
520,-2,-3,-5,6
521,2,-15,8,0
522,-2,-12,7,1
523,-3,-2,-3,0
524,-2,-8,4,0
525,-6,0,2,3
526,-3,3,-5,7
527,-2,0,1,6
528,1,-1,-3,8
529,-4,-6,11,1
530,-2,-13,17,-1
531,-3,-3,4,-1
532,0,-4,1,1
533,0,-13,14,-1
534,-4,4,-12,10
535,1,-10,10,2
536,-7,7,-6,0
537,-3,-5,-4,4
538,0,-16,4,4
539,-2,-10,3,2
540,2,-12,6,1
541,0,-4,0,6
542,-1,-3,0,3
543,-6,-5,1,9
544,1,-10,6,4
545,-3,6,-12,7
546,-10,6,0,4
547,5,-13,6,8
548,-6,5,-6,1
549,0,-5,-4,9
550,6,-19,12,1
551,-6,8,-16,14
552,0,-14,19,0
553,-8,9,-12,5
554,3,-8,9,2
555,-1,0,-2,8
556,1,-4,-2,5
557,0,-2,5,11
558,12,-8,1,6
559,-2,2,-4,6
560,-1,4,6,5
561,0,-9,8,4
562,-2,8,-15,14
563,1,-1,-10,14
564,0,3,-5,10
565,-4,-7,14,5
566,-4,0,-2,4
567,0,-5,5,6
568,1,-2,1,8
569,-8,9,-6,12
570,5,-10,16,-3
571,-2,1,-1,8
572,-4,-6,7,6
573,0,-2,6,-1
574,5,-8,7,3
575,11,-12,-4,9
576,3,-6,-1,5
577,8,-12,-2,13
578,-4,9,-12,8
579,-8,5,-10,11
580,1,-5,7,5
581,-5,-5,1,2
